2016-03-05T00:00:00.000-05:00
market cap,0.229409
Exchange Commission,0.397595
Horseman Capital Management,0.287663
Asset Management Corp,0.183923
52-week low,-0.746438
dividend yield,0.436829
Costco Wholesale Co.,-0.211642
Acadian Asset Management,0.379936
retailer,0.379645
DekaBank Deutsche Girozentrale,0.0260941
stock,0.149697
consensus price target,0.478505
recent filing,0.397595
InvestorPlace Broker Center,0.555736
firm’s stock,-0.215117
Chevy Chase Trust,0.42844
sell rating,0.409776
AMI Asset Management,0.183923
personal trading style,0.598412
target price,-0.252047
shares,0.130712
Chase Trust Holdings,0.42844
concise daily summary,0.443329
VP Paul G.,-0.215117
stock broker,0.245696
company,0.229409
consensus rating,0.365132
Asset Management,0.17311
rating,0.135407
Costco Wholesale,0.0344999
research analyst,0.409776
quarter,0.134194
