2016-03-05T00:00:00.000-05:00
position,-0.227978
Exchange Commission,0.532163
dividend yield,0.618086
strong buy rating,0.296326
Osborn Rohs Williams,0.397802
price target,0.283783
Kistler-Tiffany Companies,0.387416
midday trading,-0.317348
stock,0.0328035
InvestorPlace Broker Center,0.555736
Renaissance Investment Group,0.346925
Community Banking,0.479049
Lawrence B. Cohen,0.43322
personal trading style,0.598412
Community Banking segment,0.75094
recent disclosure,0.532163
average rating,-0.309537
financial products,0.75094
research note,0.283783
shares,0.153323
financial services provider,0.353555
concise daily summary,0.437701
consensus target price,0.437056
Park National,0.0610176
stock broker,0.245696
company,0.080761
Wells Fargo,0.168451
rating,-0.0194819
quarter,-0.00911042
