2016-03-15T00:00:00.000-04:00
neutral rating,0.394297
IPG Investment Advisors,0.468046
market cap,0.20996
organic foods supermarkets,0.573687
Foods Market Inc.,0.658115
consensus estimates,0.313161
insider Jeff Turnas,-0.243469
price-to-earnings ratio,0.20996
strong buy rating,0.342602
FDx Advisors Inc.,0.466958
stock,0.121909
Commonwealth Bank,0.272679
Capital Partners LLP,0.406328
hold rating,0.492401
related companies,0.658115
InvestorPlace Broker Center,0.555736
Profund Advisors LLC,0.450726
Foods Market,-0.221633
WFM,0.280748
personal trading style,0.598412
average rating,0.224693
target price,0.371467
buy rating,0.445107
Advisors LLC,0.459386
GSA Capital Partners,0.406328
JPMorgan Chase,0.394297
average price,0.102718
consensus estimate,0.306383
shares,0.142923
concise daily summary,0.470305
consensus target price,0.224693
Marketbeat.com reports,-0.276585
stock broker,0.245696
company,0.146022
Investment Advisors LLC,0.468046
quarter,0.412948
