2016-03-12T00:00:00.000-05:00
Xerox Corp Daily,0.420341
Denali Advisors,0.429888
previous quarterly dividend,0.555477
quarterly dividend,0.555477
Ratings Network.com reports,-0.224015
Xerox Corp,0.0276109
price target,-0.0661465
Capstone Asset Management,0.451025
stock,0.0310017
market capitalization,-0.325809
positive change,0.555477
P/E ratio,-0.325809
Asset Management Company,0.451025
InvestorPlace Broker Center,0.555736
high fees,-0.735674
personal trading style,0.598412
equal weight,-0.352933
BMO Capital Markets,-0.243733
equities research analysts,-0.609543
Global Advisors Inc.,0.432118
document management solutions,0.817696
consensus estimate,0.559839
shares,0.238694
concise daily summary,0.512335
midsize businesses,0.427676
company,0.472504
stock broker,0.245696
Xerox Corporation,0.817696
quarter,0.494454
