2016-03-07T00:00:00.000-05:00
Exchange Commission,0.532163
GIB shares,-0.40565
consensus estimates,0.361739
Group Inc Daily,0.431901
CIBC World Markets,0.254378
price target,-0.247687
Regentatlantic Capital LLC,0.211221
RBC Capital,-0.243451
CGI Group,0.156391
recent quarter,0.426745
stock,0.164277
related companies,0.577851
InvestorPlace Broker Center,0.555736
high fees,-0.735674
Kantonalbank Zurich Cantonalbank,0.426745
Zacks Investment Research,0.2377
personal trading style,0.598412
recent disclosure,0.532163
Zurcher Kantonalbank Zurich,0.426745
GIB,-0.40565
average price,0.389382
shares,0.164838
Canada-based company,0.362796
concise daily summary,0.515036
consensus target price,0.484952
stock broker,0.245696
company,0.435187
mid-day trading,-0.493242
consensus rating,0.456787
rating,0.456787
Montrusco Bolton Investments,0.434566
quarter,0.164947
