Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,10.25,10.73,10.23,10.35,277300,10.35
2016-02-29,9.65,9.83,9.65,9.75,102800,9.75
2016-02-26,10.03,10.19,9.64,9.69,91100,9.69
2016-02-25,9.84,10.03,9.71,10.03,122800,10.03
2016-02-24,9.46,9.87,9.31,9.84,106400,9.84
2016-02-23,9.68,9.75,9.28,9.59,116400,9.59
2016-02-22,9.63,9.85,9.46,9.67,129400,9.67
2016-02-19,9.61,9.80,9.56,9.57,65600,9.57
2016-02-18,9.90,9.92,9.61,9.63,81700,9.63
2016-02-17,9.98,10.08,9.84,9.92,88700,9.92
2016-02-16,9.42,9.91,9.41,9.89,205300,9.89
2016-02-12,9.09,9.41,9.09,9.36,96900,9.36
2016-02-11,9.15,9.29,8.91,9.02,100200,9.02
2016-02-10,9.36,9.42,9.26,9.29,163000,9.29
2016-02-09,9.38,9.40,8.93,9.29,198700,9.29
2016-02-08,9.76,9.76,9.40,9.45,234800,9.45
2016-02-05,10.11,10.12,9.75,9.80,244800,9.80
2016-02-04,10.55,10.74,10.16,10.16,206800,10.16
2016-02-03,10.61,10.70,10.45,10.55,101500,10.55
2016-02-02,10.59,10.71,10.28,10.57,86200,10.57
2016-02-01,10.60,10.79,10.47,10.70,100200,10.70
2016-01-29,10.48,10.82,10.48,10.66,196300,10.66
2016-01-28,10.52,10.60,10.36,10.42,58000,10.42
2016-01-27,10.60,10.65,10.38,10.42,95500,10.42
2016-01-26,10.39,10.59,10.38,10.57,86600,10.57
2016-01-25,10.63,10.68,10.37,10.38,78100,10.38
2016-01-22,10.58,10.79,10.49,10.70,72900,10.70
2016-01-21,10.40,10.63,10.20,10.42,111500,10.42
2016-01-20,10.56,10.56,9.60,10.37,248700,10.37
2016-01-19,10.86,11.10,10.55,10.65,117400,10.65
2016-01-15,10.85,10.93,10.41,10.84,181200,10.84
2016-01-14,10.88,11.20,10.71,11.11,109800,11.11
2016-01-13,11.26,11.35,10.86,10.92,139200,10.92
2016-01-12,11.38,11.38,11.05,11.26,158400,11.26
2016-01-11,11.29,11.45,11.26,11.32,101600,11.32
2016-01-08,11.61,11.66,11.30,11.33,105100,11.33
2016-01-07,11.63,11.75,11.59,11.60,112600,11.60
2016-01-06,11.45,11.87,11.45,11.83,139300,11.83
2016-01-05,11.28,11.58,11.28,11.51,73500,11.51
2016-01-04,11.35,11.35,11.15,11.29,178800,11.29
2015-12-31,11.56,11.66,11.43,11.44,119800,11.44
2015-12-30,11.81,11.85,11.56,11.56,73300,11.56
2015-12-29,11.76,11.95,11.72,11.87,108600,11.87
2015-12-28,11.87,11.94,11.78,11.88,125300,11.63
2015-12-24,11.86,11.96,11.80,11.85,50400,11.600632
2015-12-23,11.69,11.96,11.68,11.89,135600,11.63979
2015-12-22,11.81,11.96,11.58,11.58,465500,11.336313
2015-12-21,11.91,11.95,11.72,11.82,71300,11.571262
2015-12-18,11.84,11.93,11.73,11.80,137900,11.551684
2015-12-17,11.93,11.99,11.86,11.90,69000,11.649579
2015-12-16,11.74,11.95,11.71,11.91,106600,11.659368
2015-12-15,11.79,11.84,11.56,11.66,144500,11.414629
2015-12-14,12.01,12.12,11.51,11.67,199600,11.424419
2015-12-11,12.25,12.36,11.97,12.08,160500,11.825791
2015-12-10,12.45,12.46,12.29,12.37,109800,12.109688
2015-12-09,12.38,12.50,12.31,12.43,72200,12.168426
2015-12-08,12.47,12.53,12.40,12.43,51100,12.168426
2015-12-07,12.71,12.71,12.44,12.49,80700,12.227163
2015-12-04,12.72,12.88,12.70,12.73,44200,12.462112
2015-12-03,12.79,12.87,12.69,12.73,84300,12.462112
2015-12-02,12.82,12.82,12.68,12.79,96500,12.52085
2015-12-01,12.88,13.01,12.82,12.82,130600,12.550218
2015-11-30,13.00,13.01,12.83,12.87,65900,12.599166
2015-11-27,12.87,13.04,12.87,13.00,23900,12.726431
2015-11-25,12.92,12.95,12.80,12.89,55700,12.618746
2015-11-24,12.76,12.97,12.75,12.92,136000,12.648114
2015-11-23,12.72,12.86,12.68,12.83,89500,12.560008
2015-11-20,12.63,12.85,12.62,12.75,95900,12.481692
2015-11-19,12.54,12.67,12.51,12.57,69900,12.305479
2015-11-18,12.39,12.62,12.35,12.55,109200,12.285901
2015-11-17,12.52,12.64,12.33,12.40,91400,12.139057
2015-11-16,12.47,12.58,12.36,12.53,87200,12.266321
2015-11-13,12.46,12.62,12.38,12.47,75700,12.207584
2015-11-12,12.69,12.75,12.42,12.52,145700,12.256532
2015-11-11,12.64,12.80,12.60,12.75,136500,12.481692
2015-11-10,12.57,12.70,12.49,12.64,109500,12.374007
2015-11-09,12.57,12.62,12.45,12.60,135500,12.334849
2015-11-06,12.56,12.74,12.43,12.61,170000,12.344638
2015-11-05,12.55,12.64,12.28,12.61,144600,12.344638
2015-11-04,12.55,12.62,12.40,12.53,98200,12.266321
2015-11-03,12.65,12.65,12.40,12.56,174700,12.295691
2015-11-02,12.32,12.66,12.32,12.66,127200,12.393586
2015-10-30,12.35,12.36,12.17,12.34,131100,12.08032
2015-10-29,12.44,12.49,12.24,12.35,85100,12.09011
2015-10-28,12.24,12.53,12.12,12.52,143300,12.256532
2015-10-27,12.43,12.43,12.18,12.20,102000,11.943266
2015-10-26,12.56,12.60,12.36,12.45,96700,12.188005
2015-10-23,12.68,12.70,12.42,12.58,85300,12.315269
2015-10-22,12.49,12.66,12.42,12.66,104600,12.393586
2015-10-21,12.63,12.63,12.42,12.44,85700,12.178215
2015-10-20,12.53,12.68,12.42,12.62,102400,12.354427
2015-10-19,12.59,12.68,12.50,12.52,99900,12.256532
2015-10-16,12.46,12.88,12.43,12.62,162000,12.354427
2015-10-15,12.27,12.47,12.15,12.47,155700,12.207584
2015-10-14,12.42,12.54,12.19,12.21,105300,11.953056
2015-10-13,12.40,12.52,12.37,12.46,105800,12.197795
2015-10-12,12.34,12.46,12.23,12.43,124000,12.168426
2015-10-09,12.41,12.41,12.24,12.31,87100,12.050952
2015-10-08,12.37,12.44,12.26,12.37,91600,12.109688
2015-10-07,12.32,12.45,12.30,12.39,130500,12.129268
2015-10-06,12.31,12.38,12.19,12.30,96600,12.041162
2015-10-05,12.08,12.38,12.08,12.31,186500,12.050952
2015-10-02,11.98,12.07,11.87,12.07,142500,11.816001
2015-10-01,12.01,12.14,11.82,11.99,166500,11.737685
2015-09-30,11.75,12.03,11.59,11.99,204400,11.737685
2015-09-29,12.06,12.10,11.54,11.67,230300,11.424419
2015-09-28,12.08,12.15,11.86,12.06,190700,11.806212
2015-09-25,12.62,12.63,12.31,12.35,202100,11.845371
2015-09-24,12.48,12.61,12.46,12.57,114100,12.056381
2015-09-23,12.48,12.55,12.44,12.53,87300,12.018015
2015-09-22,12.50,12.57,12.41,12.43,384900,11.922102
2015-09-21,12.63,12.69,12.50,12.54,119000,12.027607
2015-09-18,12.27,12.60,12.27,12.60,296200,12.085155
2015-09-17,12.40,12.51,12.17,12.40,186100,11.893327
2015-09-16,12.25,12.41,12.25,12.38,131100,11.874144
2015-09-15,12.14,12.24,12.05,12.22,106200,11.720682
2015-09-14,12.10,12.18,12.00,12.11,112000,11.615176
2015-09-11,12.03,12.13,12.00,12.08,91800,11.586403
2015-09-10,11.91,12.12,11.89,12.09,175800,11.595994
2015-09-09,12.18,12.23,11.88,11.91,343300,11.423349
2015-09-08,12.21,12.27,12.12,12.13,223900,11.63436
2015-09-04,12.20,12.26,12.09,12.12,148300,11.624768
2015-09-03,12.32,12.39,12.21,12.27,307400,11.768639
2015-09-02,12.39,12.46,12.26,12.30,212500,11.797413
2015-09-01,12.36,12.49,12.21,12.30,215900,11.797413
2015-08-31,12.84,12.93,12.45,12.52,446100,12.008424
2015-08-28,13.00,13.05,12.83,12.92,259800,12.39208
2015-08-27,12.78,13.18,12.78,13.01,344000,12.478402
2015-08-26,12.73,12.80,12.50,12.73,306500,12.209843
2015-08-25,12.67,12.82,12.50,12.56,347200,12.04679
2015-08-24,12.38,12.55,12.00,12.47,426200,11.960467
2015-08-21,12.60,12.84,12.58,12.70,247400,12.181069
2015-08-20,12.82,13.00,12.70,12.78,230500,12.2578
2015-08-19,12.82,13.06,12.79,12.90,372500,12.372896
2015-08-18,13.03,13.12,12.83,12.85,315300,12.32494
2015-08-17,12.83,13.17,12.81,13.08,522900,12.545542
2015-08-14,12.69,12.93,12.68,12.91,295100,12.382488
2015-08-13,12.78,12.80,12.67,12.73,167900,12.209843
2015-08-12,12.60,12.81,12.56,12.81,176100,12.286575
2015-08-11,12.49,12.80,12.45,12.61,300100,12.094746
2015-08-10,12.57,12.78,12.51,12.58,255500,12.065972
2015-08-07,12.49,12.66,12.42,12.56,261700,12.04679
2015-08-06,12.62,12.75,12.51,12.55,383700,12.037198
2015-08-05,12.72,12.75,12.48,12.63,343300,12.113929
2015-08-04,12.74,12.79,12.63,12.68,304500,12.161886
2015-08-03,12.49,12.72,12.47,12.70,531000,12.181069
2015-07-31,12.46,12.55,12.43,12.45,423400,11.941284
2015-07-30,12.13,12.38,12.01,12.34,524100,11.835779
2015-07-29,12.00,12.08,11.94,12.02,128500,11.528855
2015-07-28,11.97,12.15,11.94,12.01,285700,11.519263
2015-07-27,11.90,12.04,11.87,11.92,199300,11.43294
2015-07-24,11.90,11.99,11.86,11.92,198600,11.43294
2015-07-23,12.00,12.09,11.89,11.89,213300,11.404166
2015-07-22,11.94,12.07,11.92,11.98,225400,11.490488
2015-07-21,11.96,12.13,11.90,11.95,122400,11.461714
2015-07-20,12.06,12.08,11.94,12.00,123600,11.509671
2015-07-17,12.00,12.09,11.96,12.05,79000,11.557629
2015-07-16,11.98,12.08,11.96,12.01,142300,11.519263
2015-07-15,12.02,12.03,11.89,11.94,113700,11.452123
2015-07-14,11.89,11.99,11.88,11.98,150700,11.490488
2015-07-13,11.90,12.00,11.87,11.91,118200,11.423349
2015-07-10,11.84,11.93,11.84,11.88,126600,11.394575
2015-07-09,11.88,11.95,11.70,11.76,161800,11.279478
2015-07-08,11.74,11.90,11.71,11.84,417200,11.356209
2015-07-07,11.57,11.77,11.56,11.75,257600,11.269887
2015-07-06,11.54,11.61,11.44,11.57,251600,11.097241
2015-07-02,11.45,11.57,11.38,11.41,55400,10.943779
2015-07-01,11.43,11.47,11.37,11.42,91500,10.953371
2015-06-30,11.44,11.49,11.36,11.39,131100,10.924597
2015-06-29,11.39,11.51,11.32,11.40,211000,10.934188
2015-06-26,11.41,11.56,11.28,11.48,492600,11.010919
2015-06-25,11.75,11.77,11.60,11.66,122700,10.943779
2015-06-24,11.74,11.77,11.66,11.69,135800,10.971936
2015-06-23,11.75,11.83,11.61,11.74,162700,11.018865
2015-06-22,11.81,11.87,11.73,11.75,132200,11.028251
2015-06-19,11.65,11.77,11.58,11.75,210400,11.028251
2015-06-18,11.50,11.65,11.50,11.63,112000,10.915622
2015-06-17,11.44,11.51,11.28,11.50,138300,10.793607
2015-06-16,11.39,11.41,11.34,11.39,84600,10.690364
2015-06-15,11.49,11.49,11.35,11.42,97400,10.718521
2015-06-12,11.55,11.60,11.46,11.53,73300,10.821764
2015-06-11,11.46,11.60,11.44,11.59,69700,10.878079
2015-06-10,11.51,11.51,11.40,11.46,81400,10.756064
2015-06-09,11.49,11.53,11.42,11.43,42200,10.727907
2015-06-08,11.50,11.51,11.39,11.49,47000,10.784221
2015-06-05,11.50,11.60,11.39,11.48,90000,10.774835
2015-06-04,11.66,11.71,11.49,11.50,180000,10.793607
2015-06-03,11.80,11.80,11.66,11.67,102600,10.953165
2015-06-02,11.78,11.86,11.70,11.76,103200,11.037637
2015-06-01,11.71,11.82,11.62,11.78,60300,11.056408
2015-05-29,11.70,11.70,11.60,11.65,107400,10.934393
2015-05-28,11.71,11.74,11.60,11.71,47700,10.990708
2015-05-27,11.64,11.77,11.61,11.75,54700,11.028251
2015-05-26,11.65,11.71,11.56,11.64,113100,10.925008
2015-05-22,11.74,11.75,11.69,11.71,58000,10.990708
2015-05-21,11.91,11.91,11.72,11.75,89500,11.028251
2015-05-20,11.89,12.00,11.86,11.91,194000,11.178423
2015-05-19,11.91,11.91,11.81,11.89,116000,11.159652
2015-05-18,11.87,11.91,11.82,11.89,163700,11.159652
2015-05-15,11.78,11.91,11.75,11.88,204900,11.150266
2015-05-14,11.74,11.80,11.73,11.79,266500,11.065794
2015-05-13,11.61,11.75,11.61,11.67,96800,10.953165
2015-05-12,11.50,11.68,11.38,11.63,133400,10.915622
2015-05-11,11.60,11.64,11.56,11.57,123800,10.859307
2015-05-08,11.52,11.57,11.46,11.57,119000,10.859307
2015-05-07,11.31,11.55,11.27,11.44,192300,10.737292
2015-05-06,11.32,11.40,11.20,11.27,119800,10.577736
2015-05-05,11.36,11.40,11.22,11.26,144700,10.56835
2015-05-04,11.36,11.40,11.30,11.35,63000,10.652822
2015-05-01,11.37,11.37,11.25,11.30,64000,10.605893
2015-04-30,11.54,11.54,11.34,11.35,79000,10.652822
2015-04-29,11.50,11.59,11.45,11.54,91800,10.83115
2015-04-28,11.47,11.57,11.35,11.51,105400,10.802993
2015-04-27,11.52,11.59,11.45,11.50,50300,10.793607
2015-04-24,11.53,11.60,11.47,11.53,61100,10.821764
2015-04-23,11.51,11.60,11.45,11.51,181800,10.802993
2015-04-22,11.51,11.53,11.41,11.51,62100,10.802993
2015-04-21,11.44,11.54,11.40,11.48,289300,10.774835
2015-04-20,11.40,11.45,11.35,11.41,97400,10.709136
2015-04-17,11.30,11.39,11.27,11.35,98000,10.652822
2015-04-16,11.36,11.45,11.34,11.35,128500,10.652822
2015-04-15,11.40,11.40,11.30,11.35,137600,10.652822
2015-04-14,11.28,11.38,11.24,11.34,78700,10.643436
2015-04-13,11.21,11.33,11.21,11.27,73900,10.577736
2015-04-10,11.22,11.28,11.19,11.24,81300,10.549578
2015-04-09,11.25,11.26,11.01,11.15,112700,10.465106
2015-04-08,11.01,11.26,10.92,11.26,176200,10.56835
2015-04-07,11.11,11.13,10.96,11.02,181600,10.343092
2015-04-06,11.05,11.17,10.97,11.09,129000,10.408792
2015-04-02,11.03,11.10,11.00,11.03,275200,10.352477
2015-04-01,11.07,11.17,11.02,11.05,337300,10.371249
2015-03-31,11.09,11.14,10.97,11.05,437600,10.371249
2015-03-30,11.12,11.14,11.04,11.09,160800,10.408792
2015-03-27,10.94,11.16,10.90,11.05,229400,10.371249
2015-03-26,11.22,11.36,11.11,11.19,408000,10.268005
2015-03-25,11.40,11.50,11.24,11.24,339600,10.313886
2015-03-24,11.51,11.57,11.38,11.39,231600,10.451527
2015-03-23,11.54,11.64,11.53,11.54,135500,10.589168
2015-03-20,11.40,11.58,11.37,11.55,378600,10.598344
2015-03-19,11.35,11.42,11.31,11.33,133900,10.39647
2015-03-18,11.44,11.45,11.30,11.38,282200,10.442351
2015-03-17,11.48,11.54,11.44,11.46,117700,10.515759
2015-03-16,11.52,11.54,11.43,11.50,87800,10.552463
2015-03-13,11.51,11.51,11.39,11.49,121700,10.543287
2015-03-12,11.45,11.53,11.41,11.50,136500,10.552463
2015-03-11,11.43,11.48,11.33,11.38,110500,10.442351
2015-03-10,11.51,11.60,11.40,11.41,115600,10.469879
2015-03-09,11.63,11.65,11.35,11.57,305200,10.616696
2015-03-06,11.73,11.83,11.61,11.64,143300,10.680929
2015-03-05,12.20,12.20,11.87,11.87,210800,10.891977
2015-03-04,12.14,12.18,12.05,12.14,67300,11.139731
2015-03-03,12.15,12.22,12.04,12.14,69400,11.139731
2015-03-02,12.05,12.18,11.96,12.14,99500,11.139731
2015-02-27,12.05,12.09,11.98,12.00,152400,11.011266
2015-02-26,11.99,12.09,11.92,12.03,94700,11.038794
2015-02-25,12.07,12.10,11.96,11.97,88300,10.983738
2015-02-24,12.08,12.08,12.00,12.04,42300,11.04797
2015-02-23,12.02,12.08,11.87,12.08,97800,11.084675
2015-02-20,12.20,12.20,12.04,12.06,88600,11.066323
2015-02-19,12.25,12.27,12.14,12.18,50800,11.176436
2015-02-18,12.30,12.32,12.14,12.24,72700,11.231491
2015-02-17,12.14,12.37,12.14,12.30,103900,11.286548
2015-02-13,12.28,12.28,12.15,12.17,70500,11.167259
2015-02-12,12.05,12.23,12.05,12.22,74300,11.21314
2015-02-11,12.06,12.20,12.02,12.11,58200,11.112203
2015-02-10,12.05,12.08,11.85,12.07,77400,11.075498
2015-02-09,12.15,12.21,11.95,11.98,88600,10.992914
2015-02-06,12.32,12.32,12.13,12.15,76800,11.148907
2015-02-05,12.15,12.35,12.15,12.34,117100,11.323252
2015-02-04,12.30,12.30,12.15,12.16,102900,11.158083
2015-02-03,12.28,12.35,12.15,12.25,98800,11.240668
2015-02-02,12.03,12.35,12.00,12.21,266700,11.203963
2015-01-30,12.08,12.13,12.00,12.03,118800,11.038794
2015-01-29,12.09,12.13,11.97,12.13,83200,11.130555
2015-01-28,12.08,12.09,11.98,12.07,133800,11.075498
2015-01-27,12.15,12.15,12.01,12.05,75200,11.057147
2015-01-26,12.02,12.21,12.00,12.20,96500,11.194787
2015-01-23,12.15,12.18,12.03,12.04,70100,11.04797
2015-01-22,12.06,12.19,12.06,12.18,78700,11.176436
2015-01-21,12.09,12.20,11.92,12.02,78800,11.029619
2015-01-20,12.28,12.35,12.04,12.08,99000,11.084675
2015-01-16,12.15,12.37,12.05,12.35,127000,11.332429
2015-01-15,12.17,12.20,11.95,12.17,136700,11.167259
2015-01-14,11.87,12.12,11.72,12.10,157900,11.103027
2015-01-13,11.68,11.89,11.62,11.89,175600,10.91033
2015-01-12,11.63,11.71,11.50,11.64,74500,10.680929
2015-01-09,11.68,11.74,11.54,11.60,53800,10.644224
2015-01-08,11.70,11.71,11.58,11.69,97600,10.726808
2015-01-07,11.48,11.64,11.36,11.63,93100,10.671752
2015-01-06,11.51,11.56,11.15,11.42,169600,10.479055
2015-01-05,11.53,11.64,11.44,11.48,113600,10.534111
2015-01-02,11.54,11.64,11.44,11.60,43700,10.644224
2014-12-31,11.64,11.68,11.45,11.48,203000,10.534111
2014-12-30,11.52,11.67,11.45,11.60,149800,10.644224
2014-12-29,11.51,11.69,11.49,11.60,150500,10.644224
2014-12-26,11.84,11.89,11.78,11.80,103400,10.598344
2014-12-24,11.85,11.87,11.70,11.81,115400,10.607326
2014-12-23,11.85,11.88,11.76,11.88,108200,10.670197
2014-12-22,11.90,12.00,11.73,11.78,165600,10.580381
2014-12-19,11.85,11.98,11.80,11.87,191900,10.661215
2014-12-18,11.91,11.92,11.75,11.85,234300,10.643253
2014-12-17,11.56,11.80,11.50,11.80,186000,10.598344
2014-12-16,11.57,11.69,11.50,11.51,156400,10.337876
2014-12-15,11.83,11.83,11.53,11.57,165400,10.391766
2014-12-12,11.85,11.94,11.76,11.76,84700,10.562418
2014-12-11,11.91,12.04,11.90,11.97,234200,10.751032
2014-12-10,12.03,12.09,11.83,11.86,160900,10.652234
2014-12-09,11.82,12.11,11.80,12.07,179000,10.840848
2014-12-08,11.88,11.95,11.80,11.88,175200,10.670197
2014-12-05,11.93,11.98,11.86,11.88,121600,10.670197
2014-12-04,11.96,11.99,11.86,11.95,130600,10.733069
2014-12-03,11.94,12.02,11.93,11.98,77900,10.760013
2014-12-02,11.82,11.98,11.82,11.96,47200,10.74205
2014-12-01,11.88,11.96,11.83,11.83,268900,10.625289
2014-11-28,11.96,12.00,11.90,11.95,50700,10.733069
2014-11-26,11.89,11.98,11.82,11.94,67500,10.724087
2014-11-25,11.84,11.85,11.79,11.85,80000,10.643253
2014-11-24,11.82,11.85,11.78,11.85,94800,10.643253
2014-11-21,12.02,12.02,11.81,11.81,72300,10.607326
2014-11-20,11.84,11.95,11.81,11.92,91800,10.706124
2014-11-19,12.03,12.04,11.83,11.83,70100,10.625289
2014-11-18,11.96,12.05,11.93,12.02,102100,10.795941
2014-11-17,11.91,12.00,11.85,11.92,79700,10.706124
2014-11-14,12.05,12.05,11.96,11.98,98200,10.760013
2014-11-13,12.05,12.08,11.97,12.01,89500,10.786959
2014-11-12,11.95,12.09,11.93,12.01,131800,10.786959
2014-11-11,12.00,12.04,11.91,11.95,239100,10.733069
2014-11-10,11.94,12.11,11.86,12.11,256900,10.876775
2014-11-07,11.92,12.09,11.89,12.05,141500,10.822885
2014-11-06,12.07,12.09,11.89,11.90,173500,10.68816
2014-11-05,11.95,12.08,11.95,12.04,58800,10.813904
2014-11-04,12.01,12.04,11.91,11.99,116100,10.768995
2014-11-03,12.14,12.18,11.99,12.02,111600,10.795941
2014-10-31,12.19,12.20,12.08,12.16,93800,10.921683
2014-10-30,12.05,12.14,11.95,12.06,190800,10.831867
2014-10-29,12.25,12.28,12.04,12.05,138400,10.822885
2014-10-28,12.04,12.21,11.94,12.21,101400,10.966592
2014-10-27,11.96,12.05,11.86,12.00,109900,10.777977
2014-10-24,12.07,12.09,11.93,11.97,53200,10.751032
2014-10-23,11.96,12.09,11.91,12.04,113100,10.813904
2014-10-22,12.13,12.19,11.87,11.88,148700,10.670197
2014-10-21,11.97,12.11,11.89,12.03,165100,10.804922
2014-10-20,11.81,11.98,11.81,11.95,95800,10.733069
2014-10-17,11.86,11.88,11.76,11.81,104700,10.607326
2014-10-16,11.70,12.05,11.69,11.77,208800,10.5714
2014-10-15,11.68,11.82,11.61,11.74,140900,10.544454
2014-10-14,11.73,11.86,11.64,11.71,148000,10.517509
2014-10-13,11.68,11.78,11.61,11.71,143700,10.517509
2014-10-10,11.58,11.75,11.55,11.66,240700,10.472601
2014-10-09,11.76,11.84,11.63,11.63,93200,10.445656
2014-10-08,11.57,11.85,11.41,11.75,149800,10.553436
2014-10-07,11.57,11.66,11.56,11.57,83100,10.391766
2014-10-06,11.58,11.74,11.54,11.59,97300,10.40973
2014-10-03,11.77,11.77,11.53,11.55,161500,10.373803
2014-10-02,11.74,11.75,11.57,11.69,119100,10.499546
2014-10-01,11.72,11.78,11.65,11.71,170000,10.517509
2014-09-30,11.86,11.86,11.69,11.69,353700,10.499546
