Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,5.15,5.24,5.11,5.24,1622000,5.24
2016-02-29,5.03,5.06,4.99,5.00,1081700,5.00
2016-02-26,5.04,5.06,4.98,5.00,1205600,5.00
2016-02-25,4.95,4.97,4.89,4.96,1564600,4.96
2016-02-24,4.87,4.95,4.80,4.93,2714100,4.93
2016-02-23,5.04,5.04,4.92,4.94,1936100,4.94
2016-02-22,4.91,5.00,4.91,4.99,1595600,4.99
2016-02-19,4.74,4.82,4.74,4.79,1814200,4.79
2016-02-18,5.02,5.04,4.97,5.02,2017100,5.02
2016-02-17,4.91,5.05,4.91,5.03,1696200,5.03
2016-02-16,4.75,4.79,4.67,4.76,2340000,4.76
2016-02-12,4.62,4.70,4.58,4.70,2735700,4.70
2016-02-11,4.72,4.75,4.61,4.67,2160100,4.67
2016-02-10,4.97,5.03,4.90,4.92,2359600,4.92
2016-02-09,4.80,4.93,4.79,4.83,3622000,4.83
2016-02-08,5.23,5.26,5.19,5.23,2073200,5.23
2016-02-05,5.44,5.45,5.36,5.38,2472400,5.38
2016-02-04,5.40,5.50,5.38,5.47,1993300,5.47
2016-02-03,5.35,5.37,5.21,5.37,2778400,5.37
2016-02-02,5.41,5.41,5.31,5.34,2022700,5.34
2016-02-01,5.58,5.66,5.55,5.64,1743200,5.64
2016-01-29,5.60,5.70,5.55,5.68,2001900,5.68
2016-01-28,5.64,5.66,5.53,5.61,1229200,5.61
2016-01-27,5.59,5.68,5.54,5.56,1698400,5.56
2016-01-26,5.63,5.71,5.62,5.68,1675800,5.68
2016-01-25,5.59,5.63,5.55,5.55,1917400,5.55
2016-01-22,5.72,5.81,5.64,5.72,4400100,5.72
2016-01-21,5.44,5.55,5.39,5.49,2267900,5.49
2016-01-20,5.46,5.51,5.32,5.46,3514900,5.46
2016-01-19,5.65,5.67,5.55,5.61,1830000,5.61
2016-01-15,5.70,5.80,5.68,5.74,1886000,5.74
2016-01-14,5.87,5.96,5.82,5.93,2241900,5.93
2016-01-13,5.98,6.00,5.75,5.77,3797800,5.77
2016-01-12,5.37,5.41,5.32,5.41,1960300,5.41
2016-01-11,5.28,5.31,5.23,5.29,1747600,5.29
2016-01-08,5.27,5.29,5.14,5.15,1775600,5.15
2016-01-07,5.18,5.28,5.17,5.18,2119600,5.18
2016-01-06,5.35,5.42,5.33,5.38,1309800,5.38
2016-01-05,5.42,5.47,5.38,5.46,1963200,5.46
2016-01-04,5.53,5.57,5.45,5.56,2049100,5.56
2015-12-31,5.66,5.71,5.65,5.67,688800,5.67
2015-12-30,5.74,5.76,5.70,5.72,932800,5.72
2015-12-29,5.76,5.80,5.74,5.80,1226000,5.80
2015-12-28,5.77,5.78,5.73,5.77,1198700,5.77
2015-12-24,5.75,5.83,5.75,5.77,698600,5.77
2015-12-23,5.73,5.80,5.70,5.78,1769700,5.78
2015-12-22,5.58,5.65,5.55,5.61,2450400,5.61
2015-12-21,5.63,5.65,5.53,5.58,2762800,5.58
2015-12-18,5.48,5.54,5.46,5.48,1722200,5.48
2015-12-17,5.64,5.64,5.51,5.53,1864300,5.53
2015-12-16,5.49,5.54,5.40,5.53,2564500,5.53
2015-12-15,5.47,5.53,5.44,5.46,2438400,5.46
2015-12-14,5.51,5.54,5.43,5.49,3235500,5.49
2015-12-11,5.69,5.70,5.58,5.59,1243400,5.59
2015-12-10,5.85,5.87,5.80,5.81,1316500,5.81
2015-12-09,5.84,5.97,5.82,5.87,1698900,5.87
2015-12-08,5.78,5.85,5.75,5.80,1575100,5.80
2015-12-07,5.92,5.93,5.84,5.86,1723400,5.86
2015-12-04,5.88,5.97,5.88,5.96,1034600,5.96
2015-12-03,6.04,6.05,5.91,5.93,1269200,5.93
2015-12-02,6.09,6.13,6.03,6.04,1032400,6.04
2015-12-01,6.17,6.19,6.14,6.18,1086500,6.18
2015-11-30,6.14,6.14,6.09,6.10,1348800,6.10
2015-11-27,6.12,6.14,6.10,6.12,866700,6.12
2015-11-25,6.03,6.10,6.02,6.08,1296000,6.08
