Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,25.559999,25.709999,25.559999,25.709999,29900,25.709999
2016-02-29,25.58,25.629999,25.549999,25.549999,28200,25.549999
2016-02-26,25.60,25.66,25.50,25.65,16100,25.65
2016-02-25,25.66,25.85,25.639999,25.85,31200,25.506
2016-02-24,25.59,25.719999,25.549999,25.719999,20000,25.377729
2016-02-23,25.73,25.74,25.66,25.73,27700,25.387596
2016-02-22,25.67,25.75,25.65,25.73,39700,25.387596
2016-02-19,25.57,25.74,25.51,25.709999,38500,25.367861
2016-02-18,25.68,25.780001,25.629999,25.77,31400,25.427064
2016-02-17,25.620001,25.709999,25.540001,25.700001,24200,25.357996
2016-02-16,25.450001,25.639999,25.379999,25.610001,146900,25.269194
2016-02-12,25.33,25.59,25.129999,25.40,72200,25.061987
2016-02-11,25.040001,25.379999,24.950001,25.299999,61100,24.963318
2016-02-10,25.370001,25.48,25.360001,25.450001,25400,25.111323
2016-02-09,25.27,25.549999,25.059999,25.27,53800,24.933718
2016-02-08,25.559999,25.690001,25.459999,25.540001,50100,25.200126
2016-02-05,25.709999,25.780001,25.68,25.700001,24500,25.357996
2016-02-04,25.75,25.85,25.719999,25.799999,28100,25.456664
2016-02-03,25.85,25.85,25.629999,25.700001,29200,25.357996
2016-02-02,25.77,25.780001,25.65,25.700001,30700,25.357996
2016-02-01,25.709999,25.82,25.68,25.77,34300,25.427064
2016-01-29,25.559999,25.700001,25.559999,25.67,32200,25.328395
2016-01-28,25.58,25.66,25.540001,25.58,24400,25.239592
2016-01-27,25.58,25.60,25.51,25.530001,28100,25.190258
2016-01-26,25.52,25.65,25.49,25.49,21600,25.15079
2016-01-25,25.59,25.59,25.41,25.43,17300,25.091589
2016-01-22,25.51,25.639999,25.459999,25.549999,36300,25.209991
2016-01-21,25.50,25.549999,25.309999,25.379999,66300,25.042253
2016-01-20,25.440001,25.59,25.299999,25.459999,81600,25.121188
2016-01-19,25.67,25.67,25.51,25.59,35800,25.249459
2016-01-15,25.50,25.60,25.40,25.49,146700,25.15079
2016-01-14,25.549999,25.610001,25.50,25.57,26800,25.229725
2016-01-13,25.799999,25.83,25.549999,25.60,19100,25.259327
2016-01-12,25.860001,25.860001,25.50,25.719999,283200,25.377729
2016-01-11,25.75,25.790001,25.639999,25.690001,38100,25.348129
