Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,21.51,21.719999,20.879999,21.49,256200,21.49
2016-02-29,21.639999,21.969999,21.280001,21.290001,208300,21.290001
2016-02-26,21.59,21.940001,21.40,21.60,162000,21.60
2016-02-25,21.450001,21.559999,21.17,21.52,142200,21.52
2016-02-24,20.77,21.459999,20.559999,21.34,160500,21.34
2016-02-23,21.129999,21.41,20.91,20.99,193300,20.99
2016-02-22,19.969999,21.90,19.969999,21.23,333700,21.23
2016-02-19,19.700001,19.90,19.41,19.559999,239200,19.559999
2016-02-18,19.629999,20.34,19.469999,19.74,213600,19.74
2016-02-17,19.790001,19.99,19.450001,19.559999,214900,19.559999
2016-02-16,19.16,19.74,19.01,19.620001,189200,19.620001
2016-02-12,19.129999,19.139999,18.76,18.93,170600,18.93
2016-02-11,19.41,19.41,18.360001,18.98,163100,18.98
2016-02-10,19.719999,20.200001,19.440001,19.790001,247100,19.790001
2016-02-09,19.200001,19.790001,19.01,19.629999,213900,19.629999
2016-02-08,19.10,19.48,18.700001,19.40,176600,19.40
2016-02-05,19.959999,19.98,19.26,19.299999,149400,19.299999
2016-02-04,19.629999,20.639999,19.60,20.049999,115900,20.049999
2016-02-03,19.540001,19.76,18.91,19.67,189300,19.67
2016-02-02,20.40,20.57,19.34,19.360001,173600,19.360001
2016-02-01,20.879999,20.879999,20.219999,20.690001,165100,20.690001
2016-01-29,20.32,21.02,20.190001,21.01,362500,21.01
2016-01-28,20.809999,21.030001,20.16,20.25,161900,20.25
2016-01-27,20.950001,21.110001,20.530001,20.66,144100,20.66
2016-01-26,21.09,21.389999,20.870001,21.10,198000,21.10
2016-01-25,21.76,21.77,21.00,21.030001,158900,20.955001
2016-01-22,22.08,22.42,21.58,21.889999,187800,21.811933
2016-01-21,22.049999,22.309999,21.690001,21.75,192400,21.672432
2016-01-20,21.559999,22.16,20.290001,21.99,303600,21.911576
2016-01-19,24.02,24.09,21.42,21.879999,350200,21.801968
2016-01-15,23.09,23.969999,22.99,23.870001,350300,23.784873
2016-01-14,23.17,23.91,22.700001,23.66,259900,23.575621
2016-01-13,23.76,23.91,23.01,23.120001,308400,23.037547
2016-01-12,23.52,23.790001,23.110001,23.76,331700,23.675264
2016-01-11,23.60,23.780001,23.059999,23.360001,189800,23.276691
2016-01-08,24.200001,24.200001,23.469999,23.51,297500,23.426156
2016-01-07,24.209999,24.690001,24.10,24.10,206800,24.014052
2016-01-06,25.110001,25.219999,24.559999,24.66,177700,24.572054
2016-01-05,25.92,25.92,25.219999,25.43,117800,25.339309
2016-01-04,25.82,25.969999,25.26,25.790001,225500,25.698025
2015-12-31,26.139999,26.68,25.84,26.290001,228900,26.196242
2015-12-30,26.60,26.620001,26.17,26.290001,108900,26.196242
2015-12-29,26.42,26.93,26.370001,26.66,156000,26.564922
2015-12-28,26.40,26.59,25.74,26.25,171700,26.156384
2015-12-24,26.360001,26.77,26.25,26.59,127700,26.495172
2015-12-23,26.370001,26.52,25.73,26.379999,237700,26.28592
2015-12-22,26.309999,26.469999,25.299999,26.23,291400,26.136455
2015-12-21,24.60,26.02,24.41,26.00,423500,25.907276
2015-12-18,23.379999,25.42,23.379999,24.610001,1035200,24.522233
2015-12-17,23.370001,23.620001,22.99,23.030001,307800,22.947868
2015-12-16,22.77,23.440001,22.65,23.40,196600,23.316548
2015-12-15,21.780001,22.68,21.68,22.65,208000,22.569222
2015-12-14,21.76,22.00,21.49,21.610001,340600,21.532932
2015-12-11,22.030001,22.370001,21.73,21.780001,284500,21.702326
2015-12-10,22.889999,22.950001,22.540001,22.75,161600,22.668866
2015-12-09,23.07,23.73,22.73,22.91,166600,22.828295
2015-12-08,23.35,23.389999,22.809999,23.120001,170300,23.037547
2015-12-07,24.290001,24.290001,23.450001,23.58,212400,23.495906
2015-12-04,24.540001,24.65,24.16,24.379999,171100,24.293052
2015-12-03,24.83,24.83,24.26,24.549999,192800,24.462446
2015-12-02,24.60,25.00,24.57,24.73,115200,24.641804
2015-12-01,24.610001,24.719999,24.42,24.65,114800,24.56209
2015-11-30,24.17,24.719999,24.08,24.559999,154800,24.472411
