Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,6.85,6.91,6.82,6.86,2250100,6.86
2016-03-03,6.80,6.90,6.77,6.90,1842200,6.90
2016-03-02,6.61,6.77,6.59,6.76,2842900,6.76
2016-03-01,6.36,6.52,6.32,6.52,2594300,6.52
2016-02-29,6.36,6.38,6.30,6.33,2024000,6.33
2016-02-26,6.30,6.35,6.27,6.27,2032000,6.27
2016-02-25,6.06,6.09,5.99,6.08,2827100,6.08
2016-02-24,5.94,6.01,5.86,6.01,2916700,6.01
2016-02-23,6.30,6.31,6.15,6.18,1571200,6.18
2016-02-22,6.28,6.36,6.27,6.35,1513600,6.35
2016-02-19,6.11,6.20,6.06,6.17,2720600,6.17
2016-02-18,6.46,6.46,6.25,6.28,1780500,6.28
2016-02-17,6.44,6.56,6.43,6.54,3057600,6.54
2016-02-16,6.37,6.37,6.24,6.30,1766000,6.30
2016-02-12,6.09,6.23,5.99,6.22,2084200,6.22
2016-02-11,6.02,6.08,5.91,5.97,4547100,5.97
2016-02-10,6.31,6.42,6.25,6.31,2698300,6.31
2016-02-09,6.03,6.14,5.98,6.09,4905300,6.09
2016-02-08,6.31,6.33,6.21,6.29,3945400,6.29
2016-02-05,6.56,6.63,6.53,6.58,2155200,6.58
2016-02-04,6.19,6.51,6.19,6.51,3112900,6.51
2016-02-03,6.09,6.19,5.89,6.18,3808400,6.18
2016-02-02,6.18,6.18,6.05,6.08,3171000,6.08
2016-02-01,6.34,6.40,6.29,6.37,2788500,6.37
2016-01-29,6.38,6.47,6.33,6.47,2843400,6.47
2016-01-28,6.35,6.38,6.22,6.31,3316200,6.31
2016-01-27,6.40,6.49,6.37,6.38,1912900,6.38
2016-01-26,6.34,6.49,6.33,6.48,2966100,6.48
2016-01-25,6.30,6.33,6.23,6.26,3683700,6.26
2016-01-22,6.48,6.53,6.44,6.51,5019200,6.51
2016-01-21,6.20,6.32,6.13,6.28,2408500,6.28
2016-01-20,6.22,6.24,6.06,6.20,4234900,6.20
2016-01-19,6.42,6.44,6.31,6.37,3769300,6.37
2016-01-15,6.55,6.59,6.41,6.46,3106200,6.46
2016-01-14,6.68,6.80,6.60,6.76,2709600,6.76
2016-01-13,6.82,6.85,6.60,6.62,7301900,6.62
2016-01-12,6.84,6.86,6.72,6.81,2062100,6.81
2016-01-11,6.77,6.82,6.72,6.77,2858700,6.77
2016-01-08,6.87,6.89,6.69,6.69,3232400,6.69
2016-01-07,6.83,6.93,6.82,6.85,2809700,6.85
2016-01-06,6.98,7.04,6.95,7.00,2256900,6.913
2016-01-05,7.23,7.24,7.11,7.19,2738500,7.100639
2016-01-04,7.21,7.24,7.08,7.23,3052200,7.140141
2015-12-31,7.36,7.39,7.32,7.33,1640800,7.238898
2015-12-30,7.51,7.52,7.45,7.46,1383100,7.367283
2015-12-29,7.51,7.54,7.46,7.52,1979800,7.426537
2015-12-28,7.57,7.59,7.51,7.58,1661800,7.485791
2015-12-24,7.82,7.82,7.64,7.66,1212200,7.564797
2015-12-23,7.53,7.63,7.53,7.63,2767400,7.53517
2015-12-22,7.39,7.48,7.35,7.46,2533100,7.367283
2015-12-21,7.40,7.45,7.34,7.39,3483600,7.298153
2015-12-18,7.63,7.64,7.54,7.56,3425300,7.46604
2015-12-17,7.80,7.80,7.66,7.66,2821900,7.564797
2015-12-16,7.69,7.79,7.61,7.76,2719300,7.663554
2015-12-15,7.61,7.65,7.55,7.57,3565600,7.475916
2015-12-14,7.64,7.67,7.51,7.56,3623500,7.46604
2015-12-11,7.72,7.74,7.62,7.62,3171900,7.525294
2015-12-10,7.82,7.87,7.77,7.82,2032300,7.722809
2015-12-09,7.81,7.93,7.77,7.81,2188700,7.712933
2015-12-08,7.76,7.81,7.74,7.77,2191000,7.67343
2015-12-07,7.96,7.97,7.90,7.95,3167000,7.851193
2015-12-04,7.95,8.11,7.95,8.09,2237300,7.989453
2015-12-03,8.16,8.16,7.97,8.00,2843600,7.900571
2015-12-02,8.13,8.16,8.04,8.06,2338900,7.959826
2015-12-01,8.35,8.39,8.31,8.37,1421800,8.265973
2015-11-30,8.28,8.33,8.26,8.27,1320600,8.167216
2015-11-27,8.33,8.33,8.26,8.28,838900,8.177091
2015-11-25,8.17,8.26,8.16,8.21,1652500,8.107961
2015-11-24,8.16,8.29,8.15,8.27,2384600,8.167216
2015-11-23,8.26,8.29,8.20,8.21,1617600,8.107961
2015-11-20,8.37,8.39,8.21,8.21,1236600,8.107961
2015-11-19,8.39,8.42,8.34,8.38,1745100,8.275849
2015-11-18,8.20,8.25,8.17,8.25,1446100,8.147464
2015-11-17,8.20,8.24,8.14,8.14,1649900,8.038832
2015-11-16,8.06,8.19,8.06,8.18,1975300,8.078335
2015-11-13,8.09,8.15,8.03,8.10,1748100,7.999329
2015-11-12,8.15,8.17,8.09,8.10,2233900,7.999329
2015-11-11,8.47,8.48,8.36,8.36,4296600,8.256097
2015-11-10,8.39,8.42,8.35,8.42,4049800,8.315351
2015-11-09,8.56,8.58,8.47,8.51,1328500,8.404233
2015-11-06,8.53,8.61,8.47,8.56,1973700,8.453612
2015-11-05,8.59,8.60,8.43,8.46,2116400,8.354854
2015-11-04,8.77,8.78,8.59,8.63,2285500,8.522741
2015-11-03,8.63,8.72,8.63,8.72,2452200,8.611623
2015-11-02,8.71,8.75,8.68,8.70,2549400,8.591871
2015-10-30,8.58,8.68,8.54,8.62,6063100,8.512866
2015-10-29,8.81,8.95,8.79,8.92,7319500,8.809137
2015-10-28,8.94,9.14,8.93,9.09,23285600,8.977024
2015-10-27,8.89,8.92,8.87,8.89,1083700,8.77951
2015-10-26,9.00,9.05,8.97,9.02,1198400,8.907895
2015-10-23,9.01,9.04,8.91,8.99,2212200,8.878267
2015-10-22,9.06,9.14,9.04,9.07,1560500,8.957272
2015-10-21,9.00,9.04,8.95,8.95,849400,8.838764
2015-10-20,8.95,9.02,8.92,8.99,1197700,8.878267
2015-10-19,9.04,9.05,8.98,9.01,1213000,8.898019
2015-10-16,9.10,9.17,9.08,9.15,1885400,9.036278
2015-10-15,8.98,9.08,8.98,9.07,967300,8.957272
2015-10-14,8.97,8.99,8.90,8.95,1334400,8.838764
2015-10-13,8.96,9.01,8.90,8.91,1055100,8.799261
2015-10-12,9.13,9.16,9.10,9.11,1031500,8.996775
2015-10-09,9.17,9.20,9.11,9.16,1823800,9.046154
2015-10-08,8.89,9.00,8.86,9.00,1561500,8.888143
2015-10-07,8.96,8.99,8.86,8.93,1663100,8.819013
2015-10-06,8.59,8.71,8.59,8.67,3190400,8.562244
2015-10-05,8.57,8.63,8.51,8.61,2383500,8.50299
2015-10-02,8.21,8.46,8.21,8.45,2432600,8.344978
2015-10-01,8.45,8.46,8.33,8.40,1242200,8.2956
2015-09-30,8.41,8.43,8.29,8.37,1581000,8.265973
2015-09-29,8.40,8.47,8.35,8.42,2618200,8.22647
2015-09-28,8.22,8.26,8.16,8.20,2553800,8.011526
2015-09-25,8.40,8.44,8.29,8.32,1580700,8.128768
2015-09-24,8.26,8.35,8.21,8.30,2492400,8.109228
2015-09-23,8.37,8.37,8.24,8.27,1818600,8.079918
2015-09-22,8.41,8.43,8.31,8.40,2118400,8.206929
2015-09-21,8.64,8.70,8.60,8.63,1516800,8.431643
2015-09-18,8.80,8.83,8.71,8.73,3804800,8.529344
2015-09-17,9.12,9.24,9.07,9.13,2226600,8.920151
2015-09-16,8.95,9.04,8.93,9.02,881000,8.81268
2015-09-15,8.80,8.90,8.79,8.87,1542600,8.666127
2015-09-14,8.79,8.81,8.72,8.78,2412400,8.578195
2015-09-11,8.77,8.88,8.77,8.87,857600,8.666127
2015-09-10,8.81,8.93,8.80,8.89,1683200,8.685668
2015-09-09,9.06,9.08,8.85,8.85,1313100,8.646587
2015-09-08,8.86,8.90,8.79,8.87,1003500,8.666127
2015-09-04,8.69,8.77,8.67,8.74,1593300,8.539115
2015-09-03,8.92,9.02,8.87,8.91,2301500,8.705207
2015-09-02,9.06,9.06,8.92,9.03,2155700,8.822449
2015-09-01,9.01,9.03,8.89,8.94,2984000,8.734518
2015-08-31,9.29,9.34,9.19,9.29,1777600,9.076473
2015-08-28,9.30,9.38,9.24,9.37,2224000,9.154635
2015-08-27,9.34,9.47,9.32,9.47,3935000,9.252336
2015-08-26,9.30,9.32,9.11,9.30,3209700,9.086244
2015-08-25,9.43,9.44,9.12,9.15,4594400,8.939691
2015-08-24,9.09,9.45,8.97,9.15,7195800,8.939691
2015-08-21,9.56,9.62,9.31,9.34,3216200,9.125324
2015-08-20,9.67,9.68,9.53,9.53,2724900,9.310957
2015-08-19,9.72,9.84,9.70,9.76,1949900,9.535671
2015-08-18,9.96,9.96,9.87,9.87,1459900,9.643142
2015-08-17,9.90,10.03,9.85,10.03,1977500,9.799465
2015-08-14,10.01,10.07,9.96,10.04,1928100,9.809235
2015-08-13,10.09,10.12,10.05,10.07,1388700,9.838545
2015-08-12,10.11,10.21,10.04,10.21,2250200,9.975328
2015-08-11,10.27,10.30,10.18,10.25,1266000,10.014408
2015-08-10,10.21,10.34,10.21,10.34,1082100,10.10234
2015-08-07,10.03,10.20,10.02,10.18,1607800,9.946017
2015-08-06,10.11,10.13,10.05,10.12,3009400,9.887396
2015-08-05,10.04,10.10,9.99,10.05,1259000,9.819005
2015-08-04,9.96,10.01,9.94,9.97,2628600,9.740844
2015-08-03,10.17,10.19,10.06,10.13,1217000,9.897166
2015-07-31,10.02,10.19,9.99,10.12,2833700,9.887396
2015-07-30,10.09,10.11,10.00,10.08,1731500,9.848316
2015-07-29,10.18,10.29,10.17,10.22,2993600,9.985098
2015-07-28,10.25,10.30,10.20,10.28,1374200,10.043718
2015-07-27,10.17,10.18,10.08,10.11,1702700,9.877626
2015-07-24,10.17,10.21,10.10,10.12,1541300,9.887396
2015-07-23,10.30,10.35,10.24,10.26,1579000,10.024179
2015-07-22,10.25,10.29,10.21,10.28,1412900,10.043718
2015-07-21,10.18,10.25,10.17,10.21,1947800,9.975328
2015-07-20,10.22,10.24,10.18,10.19,989000,9.955787
2015-07-17,10.20,10.20,10.12,10.15,851300,9.916706
2015-07-16,10.19,10.25,10.18,10.21,1667200,9.975328
2015-07-15,10.10,10.11,9.99,10.04,1641800,9.809235
2015-07-14,10.06,10.16,10.05,10.14,1508200,9.906937
2015-07-13,10.13,10.15,10.05,10.05,1608300,9.819005
2015-07-10,10.12,10.15,10.04,10.11,2834000,9.790671
2015-07-09,9.64,9.70,9.55,9.59,2041000,9.287096
2015-07-08,9.35,9.41,9.28,9.35,2794900,9.054677
2015-07-07,9.25,9.53,9.13,9.49,3788200,9.190254
2015-07-06,9.38,9.55,9.37,9.45,2693300,9.151518
2015-07-02,9.84,9.85,9.75,9.81,1426200,9.500148
2015-07-01,9.96,9.98,9.83,9.89,1948800,9.577621
2015-06-30,10.01,10.03,9.77,9.87,2503200,9.558252
2015-06-29,9.92,9.99,9.78,9.80,3259100,9.490463
2015-06-26,10.51,10.58,10.44,10.48,2226300,10.148985
2015-06-25,10.42,10.44,10.33,10.38,1523800,10.052144
2015-06-24,10.41,10.46,10.37,10.37,1647000,10.042459
2015-06-23,10.54,10.59,10.48,10.49,1542600,10.158669
2015-06-22,10.59,10.75,10.57,10.65,3314000,10.313615
2015-06-19,10.21,10.27,10.18,10.25,1626600,9.92625
2015-06-18,10.06,10.42,10.05,10.20,3022300,9.877829
2015-06-17,10.05,10.07,9.89,9.96,2047300,9.645409
2015-06-16,9.94,10.07,9.93,10.03,2705800,9.713198
2015-06-15,9.90,10.04,9.88,10.02,3494200,9.703515
2015-06-12,10.06,10.21,10.00,10.21,3244000,9.887513
2015-06-11,10.20,10.26,10.13,10.24,1244900,9.916565
2015-06-10,10.05,10.24,10.04,10.22,1741700,9.897198
2015-06-09,9.88,9.96,9.81,9.90,1017500,9.587304
2015-06-08,9.93,9.94,9.86,9.89,1268300,9.577621
2015-06-05,9.91,10.03,9.86,9.97,1625000,9.655094
2015-06-04,10.18,10.36,10.04,10.07,1496400,9.751935
2015-06-03,10.19,10.34,10.19,10.25,1362000,9.92625
2015-06-02,10.11,10.14,10.04,10.09,1637500,9.771304
2015-06-01,9.91,9.92,9.76,9.83,1441500,9.519515
2015-05-29,9.93,9.97,9.82,9.89,1458400,9.577621
2015-05-28,9.90,9.97,9.80,9.96,1408500,9.645409
2015-05-27,9.78,9.99,9.74,9.95,2988200,9.635725
2015-05-26,9.88,9.88,9.71,9.76,2240700,9.451727
2015-05-22,10.27,10.28,10.21,10.22,908800,9.897198
2015-05-21,10.24,10.37,10.22,10.34,1221700,10.013407
2015-05-20,10.29,10.34,10.25,10.30,983500,9.974671
2015-05-19,10.19,10.25,10.17,10.20,1335300,9.877829
2015-05-18,10.20,10.24,10.15,10.19,1541400,9.868144
2015-05-15,10.31,10.40,10.27,10.40,1193100,10.071512
2015-05-14,10.38,10.46,10.35,10.41,2033600,10.081196
2015-05-13,10.27,10.34,10.21,10.22,1422500,9.897198
2015-05-12,10.12,10.17,10.08,10.12,1081500,9.800356
2015-05-11,10.11,10.16,10.09,10.12,959500,9.800356
2015-05-08,10.14,10.27,10.14,10.25,1081600,9.92625
2015-05-07,10.09,10.15,10.01,10.08,1966100,9.761619
2015-05-06,10.07,10.19,10.02,10.09,2524900,9.771304
2015-05-05,9.97,9.97,9.82,9.83,2362000,9.519515
2015-05-04,10.12,10.14,10.04,10.07,807300,9.751935
2015-05-01,10.07,10.13,10.03,10.11,998200,9.790671
2015-04-30,10.01,10.10,9.98,10.02,3271400,9.703515
2015-04-29,10.11,10.23,10.05,10.09,2826500,9.771304
2015-04-28,10.31,10.36,10.28,10.36,1882300,10.032775
2015-04-27,10.31,10.37,10.27,10.27,1441200,9.945618
2015-04-24,10.16,10.19,10.03,10.18,1701000,9.858461
2015-04-23,9.95,10.20,9.93,10.15,1773100,9.829408
2015-04-22,9.94,9.99,9.86,9.98,1084500,9.664777
2015-04-21,9.94,9.98,9.90,9.92,2163100,9.606673
2015-04-20,9.78,9.87,9.76,9.81,1231500,9.500148
2015-04-17,9.88,9.94,9.84,9.92,1803400,9.606673
2015-04-16,10.16,10.17,10.06,10.12,3987400,9.800356
2015-04-15,10.27,10.32,10.19,10.29,2366600,9.964986
2015-04-14,10.14,10.21,10.11,10.18,2176500,9.858461
2015-04-13,10.19,10.27,10.16,10.17,1308600,9.848777
2015-04-10,10.10,10.12,10.03,10.11,4128700,9.790671
2015-04-09,10.33,10.34,10.24,10.31,6815700,9.984355
2015-04-08,10.45,10.46,10.31,10.41,5671600,10.081196
