Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,12.34,12.48,12.21,12.47,43700,12.47
2016-02-29,12.37,12.51,12.08,12.25,60500,12.25
2016-02-26,12.59,12.66,12.22,12.22,15900,12.22
2016-02-25,12.39,12.46,12.35,12.40,13900,12.40
2016-02-24,12.31,12.51,12.20,12.35,19300,12.35
2016-02-23,12.44,12.53,12.34,12.39,54400,12.39
2016-02-22,12.38,12.72,12.38,12.68,42000,12.68
2016-02-19,12.14,12.35,11.99,12.27,38000,12.27
2016-02-18,12.21,12.38,12.05,12.18,47700,12.18
2016-02-17,11.88,12.25,11.84,12.11,35700,12.11
2016-02-16,11.88,11.97,11.70,11.82,57800,11.82
2016-02-12,11.31,11.87,11.31,11.71,54600,11.71
2016-02-11,11.08,11.49,11.08,11.27,72300,11.27
2016-02-10,11.42,11.60,11.35,11.37,31900,11.37
2016-02-09,11.51,11.66,11.22,11.36,30300,11.36
2016-02-08,11.37,11.54,11.35,11.50,29100,11.50
2016-02-05,11.74,11.74,11.50,11.54,25600,11.54
2016-02-04,11.40,11.78,11.23,11.64,70400,11.64
2016-02-03,11.35,11.44,11.10,11.42,217200,11.42
2016-02-02,11.33,11.37,11.19,11.26,92400,11.26
2016-02-01,11.34,11.53,11.33,11.46,104900,11.46
2016-01-29,11.27,11.63,11.22,11.55,142300,11.55
2016-01-28,11.12,11.36,10.99,11.25,211500,11.25
2016-01-27,11.13,11.14,10.94,11.09,136700,11.09
2016-01-26,10.85,11.25,10.84,11.25,60000,11.25
2016-01-25,11.16,11.16,10.68,10.88,1287300,10.88
2016-01-22,10.90,11.34,10.90,11.18,80700,11.18
2016-01-21,10.88,10.91,10.79,10.87,41000,10.87
2016-01-20,10.66,10.99,10.58,10.89,68400,10.89
2016-01-19,11.15,11.35,10.78,10.91,73800,10.91
2016-01-15,11.30,11.45,11.03,11.15,84900,11.15
2016-01-14,11.38,11.62,11.38,11.52,57700,11.52
2016-01-13,11.36,11.56,11.36,11.37,75500,11.37
2016-01-12,11.35,11.37,11.13,11.36,46700,11.36
2016-01-11,11.27,11.42,11.25,11.34,19800,11.34
2016-01-08,11.33,11.51,11.08,11.31,68300,11.31
2016-01-07,11.47,11.52,11.28,11.32,53200,11.32
2016-01-06,11.60,11.87,11.59,11.66,57800,11.66
2016-01-05,11.60,11.88,11.55,11.74,45800,11.74
2016-01-04,11.65,11.77,11.56,11.71,141000,11.71
2015-12-31,12.06,12.28,11.15,11.70,45700,11.70
2015-12-30,12.12,12.22,11.98,12.10,38000,12.10
2015-12-29,12.23,12.29,12.03,12.24,83600,12.24
2015-12-28,12.28,12.36,11.87,12.24,82300,12.24
2015-12-24,12.46,12.46,12.11,12.29,33600,12.29
2015-12-23,12.30,12.51,12.24,12.39,40000,12.39
2015-12-22,12.22,12.39,12.10,12.26,50400,12.26
2015-12-21,12.35,12.54,11.96,12.20,46400,12.20
2015-12-18,12.41,12.56,12.09,12.24,33900,12.24
2015-12-17,12.49,12.55,12.28,12.40,22500,12.40
2015-12-16,12.42,12.51,12.21,12.40,85900,12.40
2015-12-15,12.11,12.43,12.11,12.27,31300,12.27
2015-12-14,12.23,12.25,11.77,12.08,83300,12.08
2015-12-11,12.50,12.55,12.25,12.29,81900,12.29
2015-12-10,12.50,12.73,12.44,12.58,56600,12.58
2015-12-09,12.37,12.75,12.35,12.49,151000,12.49
2015-12-08,12.54,12.54,12.21,12.35,29800,12.35
2015-12-07,12.60,12.60,12.28,12.50,52000,12.50
2015-12-04,12.77,12.77,12.48,12.54,56700,12.54
2015-12-03,12.94,12.94,12.53,12.78,126800,12.78
2015-12-02,12.93,12.99,12.74,12.96,27800,12.96
2015-12-01,12.88,13.01,12.77,12.94,32100,12.94
2015-11-30,12.80,13.00,12.59,12.74,80700,12.74
2015-11-27,12.67,12.91,12.64,12.71,14200,12.71
2015-11-25,12.80,12.93,12.71,12.80,22900,12.80
2015-11-24,12.92,12.95,12.77,12.88,98300,12.88
2015-11-23,13.13,13.15,12.78,12.94,57700,12.94
2015-11-20,13.24,13.26,13.08,13.16,107200,13.16
2015-11-19,13.10,13.33,13.10,13.33,51300,13.33
2015-11-18,13.06,13.09,12.85,13.05,100900,13.05
2015-11-17,13.19,13.19,12.85,13.09,151800,13.09
2015-11-16,13.22,13.27,12.95,13.12,58200,13.12
2015-11-13,13.27,13.39,13.15,13.20,78200,13.20
2015-11-12,13.34,13.48,13.19,13.39,72800,13.39
2015-11-11,13.26,13.63,13.08,13.58,67700,13.58
2015-11-10,13.14,13.25,13.07,13.12,23800,13.12
2015-11-09,13.43,13.43,12.97,13.28,73800,13.28
2015-11-06,13.53,13.69,13.00,13.50,129000,13.50
2015-11-05,13.67,13.81,13.50,13.58,30700,13.58
2015-11-04,13.70,13.75,13.43,13.62,70400,13.62
2015-11-03,13.42,13.69,13.42,13.60,25800,13.60
2015-11-02,13.70,13.70,13.28,13.51,36500,13.51
2015-10-30,13.76,13.79,13.49,13.70,24900,13.70
2015-10-29,13.64,13.91,13.59,13.70,32500,13.70
2015-10-28,13.83,14.02,13.44,13.68,113100,13.68
2015-10-27,14.00,14.02,13.61,13.76,97400,13.76
2015-10-26,13.84,14.08,13.81,14.02,19900,14.02
2015-10-23,13.86,13.91,13.76,13.83,29400,13.83
2015-10-22,13.59,13.75,13.54,13.72,53200,13.72
2015-10-21,13.52,13.57,13.36,13.49,95300,13.49
2015-10-20,13.63,13.72,13.51,13.65,88300,13.65
2015-10-19,14.02,14.02,13.31,13.67,83400,13.67
2015-10-16,14.01,14.24,13.82,14.09,23100,14.09
2015-10-15,13.90,14.14,13.90,14.06,13500,14.06
2015-10-14,13.79,14.01,13.73,13.83,39800,13.83
2015-10-13,13.79,13.88,13.70,13.79,26600,13.79
2015-10-12,13.80,13.96,13.65,13.90,6300,13.90
2015-10-09,13.98,13.98,13.65,13.87,23300,13.87
2015-10-08,13.60,14.03,13.53,13.88,58800,13.88
2015-10-07,13.66,13.82,13.50,13.82,26600,13.82
2015-10-06,13.38,13.64,13.38,13.55,14900,13.55
2015-10-05,13.60,13.60,13.29,13.43,94800,13.43
2015-10-02,13.09,13.64,12.97,13.46,48100,13.46
2015-10-01,13.37,13.39,13.09,13.23,16200,13.23
2015-09-30,13.29,13.37,13.16,13.33,61600,13.33
2015-09-29,12.84,13.19,12.84,13.17,98900,13.17
2015-09-28,13.32,13.32,12.71,12.91,43500,12.91
2015-09-25,13.46,13.65,13.31,13.39,27100,13.39
2015-09-24,13.19,13.49,13.07,13.41,45900,13.41
2015-09-23,13.44,13.64,13.14,13.49,70200,13.49
2015-09-22,13.64,13.64,13.35,13.48,49700,13.48
2015-09-21,13.88,14.14,13.79,13.84,114400,13.84
2015-09-18,13.81,14.38,13.75,13.91,41300,13.91
2015-09-17,14.26,14.43,14.08,14.21,68900,14.21
2015-09-16,14.16,14.34,14.10,14.24,51600,14.24
2015-09-15,14.14,14.14,13.89,14.03,54200,14.03
2015-09-14,14.05,14.16,13.73,14.10,42200,14.10
2015-09-11,14.12,14.21,13.82,14.06,29800,14.06
2015-09-10,13.55,14.55,13.45,14.55,131800,14.55
2015-09-09,13.79,13.79,13.37,13.56,104900,13.56
