Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,30.950001,31.639999,30.860001,31.23,282100,31.23
2016-03-03,31.83,32.080002,29.379999,30.969999,723300,30.969999
2016-03-02,32.009998,32.450001,31.73,32.18,237900,32.18
2016-03-01,31.91,32.07,30.969999,31.93,425500,31.93
2016-02-29,31.77,32.099998,31.379999,31.799999,326100,31.799999
2016-02-26,31.85,31.959999,31.32,31.75,313500,31.75
2016-02-25,31.73,31.98,31.49,31.889999,265800,31.889999
2016-02-24,31.440001,31.780001,31.18,31.67,328900,31.67
2016-02-23,31.42,32.110001,31.280001,31.860001,286000,31.860001
2016-02-22,31.65,31.91,31.290001,31.360001,451400,31.360001
2016-02-19,31.50,31.82,30.99,31.32,403400,31.32
2016-02-18,31.27,31.84,30.82,31.75,287800,31.75
2016-02-17,30.959999,31.85,30.709999,31.299999,569000,31.299999
2016-02-16,29.379999,30.91,29.16,30.620001,664300,30.620001
2016-02-12,28.559999,29.27,28.219999,29.219999,373500,29.219999
2016-02-11,28.030001,28.700001,27.860001,28.51,479200,28.51
2016-02-10,28.860001,28.99,27.950001,28.370001,396400,28.370001
2016-02-09,28.32,28.98,28.32,28.67,682300,28.67
2016-02-08,27.879999,28.65,27.540001,28.57,531700,28.57
2016-02-05,28.08,28.639999,27.76,28.120001,604800,28.120001
2016-02-04,28.41,29.23,27.950001,28.58,581000,28.58
2016-02-03,28.66,28.969999,28.280001,28.959999,290900,28.959999
2016-02-02,28.75,28.790001,28.27,28.52,409500,28.52
2016-02-01,28.219999,29.040001,28.219999,28.860001,400400,28.860001
2016-01-29,27.719999,28.49,27.610001,28.42,389800,28.42
2016-01-28,27.940001,28.10,27.40,27.68,336600,27.68
2016-01-27,27.860001,28.10,27.42,27.68,409100,27.68
2016-01-26,26.860001,28.18,26.860001,27.92,296700,27.92
2016-01-25,27.66,27.76,26.65,26.73,604100,26.73
2016-01-22,27.50,28.200001,27.440001,27.85,493000,27.85
2016-01-21,27.32,27.32,26.48,27.129999,669000,27.129999
2016-01-20,26.49,27.450001,26.049999,27.200001,476400,27.200001
2016-01-19,27.709999,28.00,26.59,26.879999,419100,26.879999
2016-01-15,26.370001,27.299999,26.309999,27.15,649600,27.15
2016-01-14,26.91,27.33,26.59,26.790001,897200,26.790001
2016-01-13,27.16,27.610001,26.549999,26.809999,727200,26.809999
2016-01-12,28.549999,28.780001,27.860001,28.41,728200,27.16
2016-01-11,28.299999,28.48,27.67,28.120001,550300,26.88276
2016-01-08,30.07,30.290001,28.139999,28.16,951100,26.920999
2016-01-07,29.08,30.780001,28.950001,30.110001,1475300,28.785203
2016-01-06,29.469999,29.969999,28.530001,28.790001,611500,27.523281
2016-01-05,30.01,30.24,29.33,29.780001,526100,28.469722
2016-01-04,30.50,30.629999,29.57,29.870001,726800,28.555763
2015-12-31,30.85,30.950001,30.690001,30.780001,386600,29.425724
2015-12-30,30.93,31.299999,30.73,31.01,294300,29.645604
2015-12-29,30.809999,30.99,30.610001,30.92,209900,29.559563
2015-12-28,30.639999,30.879999,30.18,30.50,319300,29.158043
2015-12-24,30.52,30.74,30.120001,30.67,161000,29.320563
2015-12-23,30.790001,31.01,30.309999,30.59,403700,29.244083
2015-12-22,29.610001,30.76,29.610001,30.57,361600,29.224963
2015-12-21,30.98,31.08,29.40,29.59,405000,28.288082
2015-12-18,30.870001,31.129999,30.60,30.99,878800,29.626483
2015-12-17,31.92,31.959999,30.709999,31.040001,538600,29.674284
2015-12-16,31.09,31.969999,31.059999,31.969999,497800,30.563364
2015-12-15,31.219999,31.379999,30.610001,31.049999,292400,29.683843
