Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,12.73,12.79,12.41,12.48,2111200,12.48
2016-03-03,12.39,12.67,12.29,12.65,1816800,12.65
2016-03-02,12.22,12.40,12.00,12.40,1662000,12.40
2016-03-01,12.25,12.48,12.08,12.28,1194800,12.28
2016-02-29,12.04,12.20,11.97,12.11,1486900,12.11
2016-02-26,12.22,12.30,11.94,11.98,1457700,11.98
2016-02-25,12.12,12.23,11.81,12.04,1630600,12.04
2016-02-24,11.59,12.15,11.59,12.15,1081200,12.15
2016-02-23,12.12,12.34,11.93,12.01,1058100,12.01
2016-02-22,12.29,12.45,12.27,12.36,1613000,12.36
2016-02-19,11.80,12.07,11.75,12.03,965900,12.03
2016-02-18,12.21,12.30,11.92,12.09,1674700,12.09
2016-02-17,11.68,12.17,11.68,12.13,1492100,12.13
2016-02-16,11.56,11.65,11.26,11.51,1619000,11.51
2016-02-12,10.98,11.57,10.93,11.43,1370500,11.43
2016-02-11,10.48,10.81,10.41,10.76,1698300,10.76
2016-02-10,10.88,11.05,10.64,10.66,1468200,10.66
2016-02-09,11.36,11.44,10.63,10.86,3319500,10.86
2016-02-08,11.67,11.74,11.46,11.48,2562600,11.48
2016-02-05,12.19,12.40,12.04,12.34,1427000,12.34
2016-02-04,12.41,12.54,12.27,12.41,2480900,12.41
2016-02-03,11.92,12.24,11.71,12.22,1364300,12.22
2016-02-02,11.77,11.79,11.56,11.73,966000,11.73
2016-02-01,12.00,12.15,11.80,12.12,909700,12.12
2016-01-29,12.02,12.15,11.90,12.14,1280300,12.14
2016-01-28,11.89,11.96,11.58,11.92,1576400,11.92
2016-01-27,11.47,11.78,11.33,11.53,1198600,11.53
2016-01-26,11.41,11.64,11.30,11.57,995400,11.57
2016-01-25,11.49,11.54,11.14,11.18,1046200,11.18
2016-01-22,11.52,11.67,11.30,11.59,1315800,11.59
2016-01-21,10.95,11.34,10.72,11.19,1853300,11.19
2016-01-20,10.67,10.97,10.31,10.87,1627500,10.87
2016-01-19,11.16,11.19,10.72,10.90,1899400,10.90
2016-01-15,10.82,10.93,10.57,10.81,2475800,10.81
2016-01-14,11.20,11.37,11.00,11.30,1366200,11.30
2016-01-13,11.84,11.84,11.03,11.10,1446400,11.10
2016-01-12,11.40,11.60,11.06,11.45,2129900,11.45
2016-01-11,11.54,11.55,11.14,11.26,1581000,11.26
2016-01-08,11.10,11.58,11.05,11.44,1702200,11.44
2016-01-07,11.22,11.41,10.94,10.97,1962400,10.97
2016-01-06,11.59,11.70,11.38,11.48,1161600,11.48
2016-01-05,12.05,12.06,11.73,11.83,1250400,11.83
2016-01-04,11.95,12.10,11.71,12.05,2206600,12.05
2015-12-31,12.13,12.34,12.07,12.33,1053000,12.33
2015-12-30,12.23,12.32,12.13,12.13,845400,12.13
2015-12-29,12.37,12.46,12.23,12.40,907900,12.40
2015-12-28,12.48,12.48,12.15,12.24,1155900,12.167999
2015-12-24,12.50,12.61,12.47,12.53,549600,12.456293
2015-12-23,12.42,12.57,12.31,12.53,1197100,12.456293
2015-12-22,11.96,12.37,11.90,12.25,1202400,12.177941
2015-12-21,12.13,12.20,11.92,12.02,1472300,11.949294
2015-12-18,11.74,12.12,11.68,12.08,2741600,12.008941
2015-12-17,11.99,11.99,11.61,11.66,1330300,11.591411
2015-12-16,11.66,12.03,11.63,12.00,1561900,11.929411
2015-12-15,11.41,11.80,11.32,11.69,1734100,11.621235
2015-12-14,11.64,11.67,11.26,11.31,2172200,11.243471
2015-12-11,11.86,11.92,11.60,11.62,1459900,11.551647
2015-12-10,11.81,12.25,11.79,12.13,1486900,12.058647
2015-12-09,11.80,12.09,11.67,11.89,1422900,11.820059
2015-12-08,11.52,11.84,11.40,11.68,2218100,11.611294
2015-12-07,11.95,11.95,11.60,11.69,1552700,11.621235
2015-12-04,11.88,12.17,11.70,12.11,1683500,12.038764
2015-12-03,12.23,12.24,11.86,11.88,1569800,11.810117
2015-12-02,12.47,12.51,12.04,12.12,1521800,12.048705
2015-12-01,12.20,12.52,12.20,12.49,1242300,12.416529
2015-11-30,12.08,12.29,12.04,12.22,1333200,12.148118
2015-11-27,12.01,12.11,11.92,12.10,628800,12.028824
2015-11-25,12.13,12.23,12.04,12.07,1074800,11.998999
2015-11-24,11.93,12.22,11.92,12.15,2213900,12.078529
2015-11-23,12.01,12.21,11.93,11.95,1355000,11.879705
2015-11-20,12.38,12.50,12.04,12.06,1558000,11.989059
2015-11-19,12.48,12.52,12.25,12.38,886300,12.307176
2015-11-18,12.24,12.42,12.15,12.36,1609900,12.287293
2015-11-17,12.23,12.43,12.09,12.17,1203400,12.098411
2015-11-16,12.23,12.41,12.08,12.22,2339100,12.148118
2015-11-13,12.33,12.46,12.11,12.23,1086700,12.158058
2015-11-12,12.38,12.53,12.28,12.36,1689300,12.287293
2015-11-11,12.56,12.68,12.47,12.52,1779100,12.446353
2015-11-10,12.49,12.58,12.35,12.52,1497800,12.446353
2015-11-09,12.74,12.88,12.50,12.53,1435800,12.456293
2015-11-06,12.78,12.94,12.61,12.77,1563600,12.694882
2015-11-05,13.11,13.12,12.84,12.96,1557100,12.883764
2015-11-04,13.53,13.61,13.09,13.19,1740500,13.112411
2015-11-03,13.77,13.91,13.48,13.53,2545900,13.450411
2015-11-02,13.55,13.99,13.29,13.82,3586700,13.738705
2015-10-30,14.27,14.27,13.97,14.17,2228300,14.086647
2015-10-29,14.16,14.40,14.06,14.21,1316500,14.126411
2015-10-28,13.95,14.40,13.95,14.23,1288100,14.146293
2015-10-27,13.92,14.07,13.77,13.89,1114400,13.808294
2015-10-26,14.52,14.52,14.05,14.10,1269400,14.017059
2015-10-23,14.20,14.43,14.04,14.43,1930200,14.345118
2015-10-22,14.21,14.42,14.04,14.19,1252600,14.106529
2015-10-21,14.24,14.27,14.02,14.09,801300,14.007117
