Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,6.84,7.01,6.81,6.95,1200500,6.95
2016-03-03,6.58,6.80,6.56,6.78,1087000,6.78
2016-03-02,6.51,6.59,6.47,6.58,1440600,6.58
2016-03-01,6.65,6.71,6.55,6.69,828200,6.69
2016-02-29,6.62,6.70,6.54,6.63,762300,6.63
2016-02-26,6.54,6.57,6.47,6.51,954100,6.51
2016-02-25,6.44,6.49,6.36,6.46,878700,6.46
2016-02-24,6.23,6.28,6.10,6.26,1597900,6.26
2016-02-23,6.48,6.51,6.36,6.38,437400,6.38
2016-02-22,6.46,6.59,6.46,6.54,956500,6.54
2016-02-19,6.31,6.34,6.24,6.30,1356700,6.30
2016-02-18,6.55,6.56,6.43,6.45,1679500,6.45
2016-02-17,6.48,6.70,6.46,6.67,1103800,6.67
2016-02-16,6.46,6.49,6.28,6.42,1448400,6.42
2016-02-12,6.15,6.31,6.09,6.31,1505800,6.31
2016-02-11,6.01,6.05,5.84,5.92,2046300,5.92
2016-02-10,6.12,6.39,6.07,6.28,2289400,6.28
2016-02-09,6.00,6.10,5.91,5.97,1673000,5.97
2016-02-08,6.30,6.31,6.16,6.25,2207100,6.25
2016-02-05,6.48,6.63,6.48,6.56,2250500,6.56
2016-02-04,5.95,6.28,5.94,6.27,5727600,6.27
2016-02-03,6.13,6.21,5.94,6.18,1802100,6.18
2016-02-02,6.29,6.30,6.12,6.15,2129300,6.15
2016-02-01,6.33,6.53,6.27,6.51,2747300,6.51
2016-01-29,6.18,6.27,6.12,6.26,2795600,6.26
2016-01-28,6.21,6.22,6.01,6.13,1983400,6.13
2016-01-27,6.09,6.21,6.07,6.11,2010200,6.11
2016-01-26,5.94,6.16,5.92,6.12,2579200,6.12
2016-01-25,5.96,5.96,5.76,5.76,3314000,5.76
2016-01-22,6.22,6.25,6.01,6.05,4541000,6.05
2016-01-21,5.88,6.08,5.84,6.04,1850800,6.04
2016-01-20,5.82,5.91,5.67,5.88,2540500,5.88
2016-01-19,5.91,5.97,5.86,5.94,1692000,5.94
2016-01-15,5.97,5.99,5.88,5.96,3203800,5.96
2016-01-14,6.22,6.31,6.13,6.29,1572000,6.29
2016-01-13,6.38,6.41,6.14,6.18,1846200,6.18
2016-01-12,6.39,6.40,6.24,6.30,1043400,6.30
2016-01-11,6.40,6.42,6.25,6.29,1583800,6.29
2016-01-08,6.26,6.29,6.20,6.21,1641800,6.21
2016-01-07,6.29,6.38,6.26,6.30,1436800,6.30
2016-01-06,6.44,6.50,6.38,6.43,1117100,6.43
2016-01-05,6.51,6.59,6.49,6.56,980300,6.56
2016-01-04,6.59,6.62,6.45,6.60,2752600,6.60
2015-12-31,6.89,6.92,6.83,6.84,423700,6.84
2015-12-30,6.94,7.02,6.91,6.94,724000,6.94
2015-12-29,6.98,7.08,6.97,7.01,975400,7.01
2015-12-28,7.13,7.15,7.01,7.07,745000,7.07
2015-12-24,7.10,7.20,7.10,7.16,505700,7.16
2015-12-23,7.00,7.16,7.00,7.16,1797700,7.16
2015-12-22,6.76,6.93,6.75,6.89,1654400,6.89
2015-12-21,6.82,6.85,6.74,6.78,998200,6.78
2015-12-18,6.86,6.86,6.74,6.74,1069700,6.74
2015-12-17,7.10,7.13,6.88,6.92,1056500,6.92
2015-12-16,7.01,7.10,6.96,7.08,1523800,7.08
2015-12-15,7.13,7.14,6.94,7.01,2166500,7.01
2015-12-14,7.15,7.18,7.08,7.16,1474000,7.16
2015-12-11,7.09,7.17,7.03,7.06,2101900,7.06
2015-12-10,7.16,7.17,7.05,7.08,822600,7.08
2015-12-09,7.16,7.27,7.04,7.05,1537500,7.05
2015-12-08,7.14,7.24,7.11,7.16,1355100,7.16
2015-12-07,7.18,7.24,7.15,7.23,507900,7.23
2015-12-04,7.25,7.35,7.22,7.33,1166400,7.33
2015-12-03,7.24,7.28,7.12,7.16,906300,7.16
2015-12-02,7.23,7.29,7.14,7.16,682800,7.16
2015-12-01,7.40,7.45,7.20,7.24,1246100,7.24
2015-11-30,7.25,7.32,7.21,7.31,1441400,7.31
2015-11-27,7.21,7.25,7.17,7.22,714600,7.22
2015-11-25,6.91,6.99,6.87,6.94,1573700,6.94
2015-11-24,6.66,6.73,6.56,6.65,1395200,6.65
2015-11-23,6.88,6.94,6.79,6.81,856800,6.81
2015-11-20,6.77,6.78,6.67,6.70,1150200,6.70
2015-11-19,6.68,6.81,6.65,6.76,597800,6.76
2015-11-18,6.59,6.74,6.59,6.73,1370200,6.73
2015-11-17,6.42,6.48,6.37,6.41,825100,6.41
2015-11-16,6.35,6.46,6.31,6.41,3414200,6.41
2015-11-13,6.75,6.80,6.68,6.76,3295300,6.76
2015-11-12,6.76,6.78,6.66,6.75,4988100,6.75
2015-11-11,7.02,7.04,6.92,6.95,554900,6.95
2015-11-10,6.81,6.95,6.81,6.92,2158500,6.92
2015-11-09,7.07,7.08,6.84,6.87,926700,6.87
2015-11-06,6.89,6.99,6.82,6.99,999000,6.99
2015-11-05,7.07,7.09,6.93,6.95,1841200,6.95
2015-11-04,7.15,7.23,6.99,7.01,1820700,7.01
2015-11-03,6.87,6.99,6.86,6.96,1163500,6.96
2015-11-02,6.86,6.96,6.85,6.93,2128100,6.93
2015-10-30,6.78,6.84,6.76,6.79,2223400,6.79
2015-10-29,6.81,6.90,6.44,6.77,3209300,6.77
2015-10-28,6.70,6.91,6.68,6.85,3127200,6.85
2015-10-27,6.76,6.79,6.64,6.67,1145100,6.67
2015-10-26,6.90,6.91,6.79,6.83,578300,6.83
2015-10-23,6.90,6.95,6.86,6.94,1144600,6.94
2015-10-22,6.65,6.87,6.65,6.82,1081900,6.82
2015-10-21,6.74,6.76,6.66,6.69,988000,6.69
2015-10-20,6.50,6.65,6.48,6.63,1490300,6.63
2015-10-19,6.63,6.63,6.54,6.60,1833800,6.60
2015-10-16,6.85,6.86,6.69,6.74,1466300,6.74
2015-10-15,7.06,7.07,6.95,7.02,989800,7.02
2015-10-14,7.32,7.34,7.14,7.21,1713200,7.21
2015-10-13,7.16,7.21,7.11,7.13,1284100,7.13
2015-10-12,7.42,7.43,7.29,7.30,1771400,7.30
2015-10-09,7.33,7.39,7.29,7.37,2580200,7.37
2015-10-08,7.18,7.26,7.15,7.24,1196300,7.24
2015-10-07,7.28,7.32,7.15,7.20,1598900,7.20
2015-10-06,7.01,7.14,7.00,7.13,1226100,7.13
2015-10-05,6.89,7.07,6.89,7.06,1269800,7.06
2015-10-02,6.58,6.73,6.55,6.70,2751000,6.70
2015-10-01,6.58,6.60,6.46,6.49,965600,6.49
2015-09-30,6.47,6.52,6.44,6.52,964100,6.52
2015-09-29,6.36,6.42,6.36,6.38,932100,6.38
2015-09-28,6.44,6.50,6.43,6.45,1570900,6.45
2015-09-25,6.63,6.72,6.62,6.66,1176300,6.66
2015-09-24,6.61,6.62,6.51,6.57,2212000,6.57
2015-09-23,6.86,6.88,6.83,6.84,1391400,6.84
2015-09-22,6.93,6.99,6.89,6.93,2161700,6.93
2015-09-21,7.17,7.20,7.13,7.16,1890200,7.16
2015-09-18,7.32,7.36,7.26,7.26,1057600,7.26
2015-09-17,7.55,7.68,7.53,7.58,1208000,7.58
2015-09-16,7.52,7.64,7.50,7.62,1191200,7.62
2015-09-15,7.31,7.41,7.28,7.40,739200,7.40
2015-09-14,7.38,7.38,7.29,7.32,641700,7.32
2015-09-11,7.48,7.51,7.40,7.44,679900,7.44
2015-09-10,7.39,7.48,7.38,7.42,850500,7.42
2015-09-09,7.63,7.64,7.45,7.45,740400,7.45
2015-09-08,7.57,7.59,7.51,7.58,1178200,7.58
2015-09-04,7.38,7.43,7.31,7.37,1207300,7.37
2015-09-03,7.55,7.71,7.55,7.69,1165800,7.69
2015-09-02,7.68,7.69,7.47,7.60,1765600,7.60
2015-09-01,7.79,7.82,7.57,7.60,2078800,7.60
2015-08-31,7.96,8.02,7.86,7.91,2029200,7.91
2015-08-28,7.95,8.05,7.92,8.04,1148100,8.04
2015-08-27,8.05,8.13,7.97,8.03,1786400,8.03
2015-08-26,8.07,8.08,7.89,8.04,1430900,8.04
2015-08-25,8.03,8.04,7.92,7.92,2446200,7.92
2015-08-24,7.67,7.91,7.64,7.75,2778000,7.75
2015-08-21,8.02,8.02,7.75,7.75,2025800,7.75
2015-08-20,8.25,8.25,8.14,8.16,1694400,8.16
2015-08-19,8.41,8.47,8.29,8.37,821300,8.37
2015-08-18,8.56,8.59,8.49,8.53,1258000,8.53
2015-08-17,8.71,8.82,8.68,8.81,978800,8.81
2015-08-14,8.93,8.94,8.81,8.88,1387900,8.88
2015-08-13,8.92,9.02,8.89,8.96,960500,8.96
2015-08-12,8.92,9.06,8.87,9.04,3217000,9.04
2015-08-11,9.28,9.31,9.18,9.24,716400,9.24
