Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,6.92,6.99,6.81,6.92,12300,6.92
2016-02-29,6.65,7.13,6.65,6.90,35000,6.90
2016-02-26,6.71,6.79,6.55,6.75,17900,6.75
2016-02-25,6.77,6.85,6.40,6.47,29000,6.47
2016-02-24,6.42,6.87,6.20,6.75,23600,6.75
2016-02-23,6.50,6.60,6.17,6.52,26100,6.52
2016-02-22,6.24,6.62,6.195,6.51,60300,6.51
2016-02-19,6.54,6.54,6.04,6.15,40000,6.15
2016-02-18,7.02,7.04,6.623,6.69,26500,6.69
2016-02-17,6.65,7.00,6.50,6.93,63500,6.93
2016-02-16,6.67,6.67,6.30,6.54,37400,6.54
2016-02-12,6.16,6.47,5.98,6.42,23700,6.42
2016-02-11,6.24,6.24,6.04,6.13,33700,6.13
2016-02-10,6.40,6.48,6.05,6.29,53500,6.29
2016-02-09,6.92,7.00,6.03,6.16,64300,6.16
2016-02-08,7.27,7.27,6.829,6.84,53900,6.84
2016-02-05,7.34,7.47,7.34,7.42,34800,7.42
2016-02-04,7.28,7.57,7.22,7.28,34600,7.28
2016-02-03,7.81,7.85,7.499,7.65,65400,7.137
2016-02-02,7.84,8.04,7.46,7.57,35700,7.062365
2016-02-01,7.89,8.06,7.58,7.82,62600,7.2956
2016-01-29,7.18,7.94,7.18,7.90,105300,7.370236
2016-01-28,6.83,7.38,6.82,7.25,83600,6.763824
2016-01-27,6.91,6.94,6.75,6.878,67000,6.416769
2016-01-26,6.81,7.028,6.574,6.90,136700,6.437294
2016-01-25,6.76,6.90,6.70,6.73,79000,6.278694
2016-01-22,6.77,7.00,6.53,6.76,169400,6.306683
2016-01-21,6.75,7.24,6.46,6.58,98900,6.138753
2016-01-20,6.70,6.87,6.14,6.63,57000,6.1854
2016-01-19,6.99,7.00,6.54,6.75,88700,6.297353
2016-01-15,6.60,7.40,6.49,6.80,102100,6.344
2016-01-14,6.46,6.99,6.27,6.78,112500,6.325342
2016-01-13,7.23,7.23,6.36,6.52,174300,6.082777
2016-01-12,7.11,7.259,6.01,6.46,374300,6.0268
2016-01-11,7.89,7.89,6.95,7.09,189100,6.614553
2016-01-08,8.22,8.357,7.95,7.95,93500,7.416882
2016-01-07,8.50,8.50,7.924,8.165,70800,7.617465
2016-01-06,8.81,8.84,8.53,8.60,99000,8.023295
2016-01-05,9.20,9.28,8.85,9.05,165200,8.443118
2016-01-04,9.27,9.39,9.14,9.25,79000,8.629706
2015-12-31,8.83,9.32,8.77,9.27,108800,8.648365
2015-12-30,9.07,9.08,8.77,8.80,70100,8.209883
2015-12-29,9.24,9.419,8.90,9.15,138700,8.536412
2015-12-28,9.22,9.31,8.77,9.29,55300,8.667024
2015-12-24,9.55,9.55,9.275,9.275,34300,8.653029
2015-12-23,9.07,9.52,9.07,9.50,116400,8.862941
2015-12-22,8.66,9.22,8.50,9.15,229600,8.536412
2015-12-21,8.50,8.60,8.25,8.58,99400,8.004635
2015-12-18,8.97,9.00,8.252,8.32,117600,7.76207
2015-12-17,8.80,8.99,8.78,8.80,65600,8.209883
2015-12-16,8.98,9.10,8.574,8.87,119100,8.275188
2015-12-15,9.16,9.16,8.95,8.97,46600,8.368483
2015-12-14,9.09,9.09,8.62,9.01,83900,8.4058
2015-12-11,9.43,9.55,9.01,9.14,96200,8.527083
2015-12-10,9.68,9.68,9.38,9.43,44100,8.797636
2015-12-09,9.76,9.91,9.52,9.53,79400,8.890929
2015-12-08,10.16,10.16,9.67,9.70,63900,9.049529
2015-12-07,10.57,10.57,10.00,10.16,63600,9.478682
2015-12-04,10.56,11.00,10.09,10.52,96100,9.814542
2015-12-03,11.31,11.34,10.45,10.63,57600,9.917165
2015-12-02,11.30,11.57,11.21,11.27,36400,10.514248
2015-12-01,11.62,11.71,11.31,11.31,37700,10.551565
2015-11-30,11.60,11.70,11.385,11.63,26300,10.850106
2015-11-27,11.55,11.66,11.12,11.45,15300,10.682177
2015-11-25,11.78,11.80,11.19,11.44,87100,10.672847
2015-11-24,11.40,11.73,11.37,11.72,51300,10.934071
2015-11-23,11.83,11.87,11.55,11.63,52700,10.850106
2015-11-20,12.40,12.40,11.67,11.74,141800,10.952729
2015-11-19,12.33,12.35,11.83,12.32,27000,11.493835
2015-11-18,12.14,12.45,12.05,12.31,59700,11.484507
