Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,3.33,3.37,3.31,3.36,1166400,3.36
2016-02-29,3.28,3.33,3.28,3.32,553300,3.32
2016-02-26,3.29,3.31,3.28,3.30,1413500,3.30
2016-02-25,3.29,3.30,3.26,3.29,756900,3.29
2016-02-24,3.23,3.29,3.23,3.28,920600,3.28
2016-02-23,3.25,3.28,3.23,3.26,837700,3.26
2016-02-22,3.25,3.27,3.23,3.24,526700,3.24
2016-02-19,3.21,3.23,3.19,3.21,446900,3.21
2016-02-18,3.20,3.22,3.19,3.19,533100,3.19
2016-02-17,3.19,3.21,3.18,3.19,1374100,3.19
2016-02-16,3.17,3.19,3.16,3.18,768700,3.18
2016-02-12,3.14,3.18,3.14,3.16,931800,3.16
2016-02-11,3.15,3.17,3.12,3.15,499600,3.15
2016-02-10,3.17,3.21,3.17,3.20,326500,3.18
2016-02-09,3.15,3.19,3.15,3.18,526800,3.160125
2016-02-08,3.22,3.24,3.19,3.19,653600,3.170062
2016-02-05,3.25,3.29,3.24,3.26,611100,3.239625
2016-02-04,3.26,3.28,3.24,3.27,350200,3.249562
2016-02-03,3.26,3.29,3.26,3.27,207100,3.249562
2016-02-02,3.28,3.31,3.27,3.27,468800,3.249562
2016-02-01,3.29,3.33,3.27,3.29,587500,3.269437
2016-01-29,3.31,3.32,3.28,3.31,466600,3.289312
2016-01-28,3.24,3.30,3.24,3.30,464900,3.279375
2016-01-27,3.22,3.24,3.21,3.23,391100,3.209812
2016-01-26,3.18,3.25,3.18,3.25,313300,3.229687
2016-01-25,3.16,3.20,3.16,3.19,617300,3.170062
2016-01-22,3.18,3.20,3.15,3.18,1149100,3.160125
2016-01-21,3.18,3.20,3.11,3.15,1781200,3.130313
2016-01-20,3.14,3.16,3.07,3.14,1338500,3.120375
2016-01-19,3.20,3.22,3.16,3.17,1561100,3.150188
2016-01-15,3.15,3.20,3.13,3.20,1239600,3.18
2016-01-14,3.22,3.24,3.20,3.22,945000,3.199875
2016-01-13,3.29,3.31,3.23,3.23,861800,3.209812
2016-01-12,3.30,3.32,3.28,3.29,557300,3.269437
2016-01-11,3.29,3.33,3.29,3.30,610600,3.279375
2016-01-08,3.34,3.35,3.30,3.30,1166500,3.279375
2016-01-07,3.35,3.36,3.33,3.33,722500,3.309187
2016-01-06,3.35,3.38,3.34,3.36,661600,3.339
2016-01-05,3.35,3.38,3.34,3.37,326000,3.348937
2016-01-04,3.35,3.35,3.31,3.34,643100,3.319125
2015-12-31,3.35,3.38,3.33,3.37,738900,3.348937
2015-12-30,3.34,3.38,3.31,3.38,718400,3.358875
2015-12-29,3.37,3.40,3.34,3.34,819600,3.319125
2015-12-28,3.36,3.41,3.36,3.39,1184700,3.348938
2015-12-24,3.37,3.43,3.37,3.40,513500,3.358816
2015-12-23,3.35,3.41,3.34,3.39,805300,3.348938
2015-12-22,3.31,3.35,3.30,3.35,752800,3.309422
2015-12-21,3.31,3.33,3.31,3.31,560700,3.269906
2015-12-18,3.33,3.34,3.30,3.32,1445200,3.279785
2015-12-17,3.30,3.33,3.30,3.33,612900,3.289664
2015-12-16,3.25,3.32,3.25,3.32,790000,3.279785
2015-12-15,3.23,3.28,3.22,3.25,1576600,3.210633
2015-12-14,3.21,3.23,3.17,3.23,1281200,3.190875
2015-12-11,3.29,3.29,3.21,3.23,984100,3.190875
2015-12-10,3.28,3.32,3.28,3.31,434500,3.269906
2015-12-09,3.31,3.33,3.29,3.31,545700,3.250149
2015-12-08,3.34,3.34,3.30,3.32,382700,3.259968
2015-12-07,3.37,3.39,3.34,3.34,449100,3.279606
2015-12-04,3.38,3.40,3.36,3.39,456200,3.328702
2015-12-03,3.35,3.38,3.35,3.38,718800,3.318883
2015-12-02,3.35,3.37,3.35,3.36,385900,3.299245
2015-12-01,3.36,3.37,3.35,3.36,411300,3.299245
2015-11-30,3.34,3.37,3.33,3.35,378400,3.289425
2015-11-27,3.34,3.35,3.33,3.33,213400,3.269787
2015-11-25,3.33,3.35,3.33,3.35,265000,3.289425
2015-11-24,3.31,3.36,3.31,3.36,570000,3.299245
2015-11-23,3.33,3.34,3.32,3.33,444300,3.269787
2015-11-20,3.31,3.33,3.30,3.33,489300,3.269787
2015-11-19,3.33,3.33,3.30,3.31,398300,3.250149
2015-11-18,3.30,3.35,3.30,3.34,548100,3.279606
2015-11-17,3.32,3.34,3.31,3.31,347500,3.250149
2015-11-16,3.31,3.33,3.31,3.33,484800,3.269787
2015-11-13,3.35,3.36,3.31,3.31,457700,3.250149
2015-11-12,3.38,3.38,3.36,3.37,467300,3.309064
2015-11-11,3.43,3.44,3.41,3.41,755600,3.328702
2015-11-10,3.44,3.45,3.43,3.44,474800,3.357987
2015-11-09,3.48,3.48,3.43,3.44,554300,3.357987
2015-11-06,3.47,3.48,3.45,3.48,361600,3.397033
2015-11-05,3.47,3.50,3.47,3.49,454600,3.406795
2015-11-04,3.48,3.50,3.48,3.48,363700,3.397033
2015-11-03,3.47,3.51,3.47,3.49,521100,3.406795
2015-11-02,3.44,3.50,3.44,3.50,488200,3.416557
2015-10-30,3.45,3.46,3.43,3.46,453600,3.37751
2015-10-29,3.43,3.45,3.43,3.45,381500,3.367749
