Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,15.47,15.64,15.44,15.53,53300,15.53
2016-03-03,15.40,15.49,15.36,15.49,11400,15.49
2016-03-02,15.35,15.38,15.31,15.36,18300,15.36
2016-03-01,15.30,15.36,15.25,15.36,28700,15.36
2016-02-29,15.24,15.27,15.19,15.27,18300,15.27
2016-02-26,15.26,15.28,15.20,15.20,22000,15.20
2016-02-25,15.29,15.29,15.25,15.26,23200,15.26
2016-02-24,15.24,15.29,15.24,15.27,16200,15.27
2016-02-23,15.19,15.25,15.15,15.25,23300,15.25
2016-02-22,15.28,15.28,15.16,15.16,18700,15.16
2016-02-19,15.21,15.25,15.16,15.25,23000,15.25
2016-02-18,15.30,15.30,15.17,15.23,17100,15.23
2016-02-17,15.27,15.28,15.20,15.25,14200,15.25
2016-02-16,15.40,15.40,15.25,15.25,21300,15.25
2016-02-12,15.39,15.44,15.38,15.42,31200,15.42
2016-02-11,15.44,15.44,15.36,15.36,22300,15.36
2016-02-10,15.50,15.52,15.44,15.48,14900,15.41
2016-02-09,15.44,15.46,15.39,15.46,19600,15.39009
2016-02-08,15.40,15.44,15.40,15.44,10900,15.37018
2016-02-05,15.35,15.47,15.35,15.41,18700,15.340316
2016-02-04,15.37,15.39,15.34,15.38,23900,15.310452
2016-02-03,15.36,15.43,15.29,15.34,29400,15.270633
2016-02-02,15.24,15.34,15.24,15.31,28100,15.240769
2016-02-01,15.14,15.25,15.14,15.21,27500,15.141221
2016-01-29,15.11,15.16,15.10,15.13,16400,15.061583
2016-01-28,15.03,15.09,15.02,15.09,7000,15.021764
2016-01-27,14.98,15.06,14.96,15.00,15900,14.932171
2016-01-26,14.91,15.02,14.91,15.02,20200,14.952081
2016-01-25,14.96,15.00,14.92,14.92,20600,14.852532
2016-01-22,14.93,15.03,14.93,14.96,21400,14.892351
2016-01-21,14.89,14.98,14.83,14.94,11900,14.872441
2016-01-20,15.01,15.02,14.82,14.84,20300,14.772894
2016-01-19,15.04,15.12,15.01,15.01,12000,14.942126
2016-01-15,15.01,15.14,15.01,15.05,17000,14.981945
2016-01-14,15.10,15.10,15.02,15.09,15200,15.021764
2016-01-13,15.25,15.25,15.08,15.10,13600,15.031719
2016-01-12,15.19,15.25,15.18,15.25,26400,15.111356
2016-01-11,15.24,15.29,15.18,15.22,18200,15.08163
2016-01-08,15.28,15.28,15.25,15.25,7800,15.111356
2016-01-07,15.24,15.32,15.24,15.30,20800,15.160902
2016-01-06,15.16,15.26,15.16,15.23,26100,15.091538
2016-01-05,15.13,15.27,15.11,15.19,38900,15.051902
2016-01-04,15.14,15.15,15.08,15.14,14600,15.002357
2015-12-31,15.07,15.14,15.05,15.11,12300,14.972629
2015-12-30,14.95,15.03,14.89,15.03,28700,14.893356
2015-12-29,14.98,15.08,14.94,14.96,24900,14.823993
2015-12-28,14.97,15.05,14.96,15.05,13800,14.87552
2015-12-24,14.89,15.00,14.89,15.00,6400,14.8261
2015-12-23,15.00,15.08,14.87,14.93,28400,14.756912
2015-12-22,15.01,15.03,14.91,14.98,17100,14.806331
2015-12-21,14.87,15.01,14.86,14.98,37400,14.806331
2015-12-18,14.89,14.95,14.83,14.92,20600,14.747027
2015-12-17,14.78,14.90,14.78,14.84,22500,14.667955
2015-12-16,14.67,14.80,14.67,14.73,17100,14.55923
2015-12-15,14.73,14.75,14.61,14.68,32800,14.50981
2015-12-14,14.83,14.83,14.56,14.74,32100,14.569114
2015-12-11,14.78,14.93,14.77,14.84,34100,14.667955
2015-12-10,14.86,14.96,14.84,14.86,27200,14.618534
2015-12-09,14.90,14.91,14.87,14.88,8900,14.63821
2015-12-08,14.83,14.93,14.83,14.87,20500,14.628372
2015-12-07,14.88,14.91,14.83,14.83,8900,14.589022
2015-12-04,14.80,14.92,14.80,14.83,10100,14.589022
2015-12-03,14.93,14.93,14.80,14.81,14500,14.569347
2015-12-02,14.94,14.95,14.89,14.90,7600,14.657884
2015-12-01,14.93,14.97,14.89,14.94,15200,14.697234
2015-11-30,14.93,14.98,14.88,14.88,12200,14.63821
2015-11-27,14.92,15.01,14.92,14.99,3600,14.746422
2015-11-25,14.90,15.07,14.90,14.90,19300,14.657884
2015-11-24,15.01,15.01,14.88,14.89,13700,14.648047
2015-11-23,15.00,15.00,14.96,14.96,9600,14.71691
2015-11-20,14.91,14.99,14.91,14.99,5600,14.746422
2015-11-19,14.91,14.95,14.90,14.90,4700,14.657884
2015-11-18,14.90,14.95,14.88,14.91,3600,14.667722
2015-11-17,14.90,14.90,14.87,14.89,4300,14.648047
2015-11-16,14.89,14.95,14.89,14.95,4600,14.707072
2015-11-13,14.80,14.94,14.78,14.89,10300,14.648047
2015-11-12,14.88,14.95,14.88,14.88,8200,14.63821
2015-11-11,14.95,14.98,14.89,14.90,1500,14.589022
2015-11-10,14.90,14.95,14.90,14.95,3600,14.637979
2015-11-09,15.10,15.10,14.92,14.95,13000,14.637979
