Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,24.417,24.417,24.219999,24.219999,1500,24.219999
2016-02-29,24.344999,24.344999,24.344999,24.344999,200,24.344999
2016-02-26,24.549999,24.549999,24.17,24.50,7100,24.50
2016-02-25,24.58,24.58,24.17,24.464001,5900,24.464001
2016-02-24,24.459999,24.50,24.459999,24.49,4300,24.49
2016-02-23,24.200001,24.23,24.15,24.16,5100,24.16
2016-02-22,24.219999,24.35,24.200001,24.200001,1900,24.200001
2016-02-19,24.18,24.18,24.18,24.18,000,24.18
2016-02-18,24.40,24.40,24.17,24.18,5200,24.18
2016-02-17,24.60,24.60,24.15,24.190001,4200,24.190001
2016-02-16,24.950001,24.969999,24.299999,24.434,10500,24.434
2016-02-12,24.219999,24.25,23.90,24.041,6500,24.041
2016-02-11,24.25,24.438999,23.90,24.25,6800,24.25
2016-02-10,24.530001,24.530001,24.25,24.25,2700,24.089
2016-02-09,24.41,24.83,24.200001,24.25,3000,24.089
2016-02-08,24.054001,24.780001,24.049999,24.16,9800,23.999597
2016-02-05,24.030001,24.25,24.030001,24.059999,2500,23.900261
2016-02-04,23.82,24.25,23.812,24.00,3500,23.84066
2016-02-03,24.389999,24.389999,23.799999,23.812,7800,23.653908
2016-02-02,24.450001,24.450001,24.051001,24.184,3300,24.023438
2016-02-01,24.457001,24.50,24.457001,24.469999,800,24.307539
2016-01-29,24.650999,24.75,24.00,24.129999,3700,23.969796
2016-01-28,24.02,24.25,24.02,24.25,4300,24.089
2016-01-27,24.190001,24.190001,23.799999,24.156,3000,23.995624
2016-01-26,24.15,24.15,23.85,23.90,7900,23.741323
2016-01-25,24.002001,24.26,24.000999,24.26,1200,24.098934
2016-01-22,24.080999,24.618999,24.080999,24.280001,3000,24.118801
2016-01-21,23.40,24.83,23.40,24.059999,12500,23.900261
2016-01-20,24.33,24.50,22.51,23.49,20900,23.334045
2016-01-19,24.99,24.99,24.65,24.68,5300,24.516145
2016-01-15,24.82,24.92,24.559999,24.917,7900,24.751571
2016-01-14,25.200001,25.200001,24.950001,25.027,4400,24.860842
2016-01-13,24.940001,25.10,24.68,25.00,19400,24.83402
2016-01-12,25.190001,25.200001,25.049999,25.139999,6700,24.81316
2016-01-11,25.186001,25.190001,25.059999,25.072001,10500,24.746045
2016-01-08,25.23,25.25,25.15,25.190001,11000,24.862511
2016-01-07,25.200001,25.25,25.200001,25.25,5000,24.92173
2016-01-06,25.461,25.461,25.200001,25.440001,2000,25.109261
2016-01-05,25.264999,25.290001,25.264999,25.290001,700,24.961211
2016-01-04,25.278,25.315001,25.15,25.15,16000,24.82303
2015-12-31,25.448999,25.448999,25.275,25.392,5200,25.061884
2015-12-30,25.202,25.290001,25.15,25.290001,2800,24.961211
2015-12-29,25.219999,25.219999,25.01,25.09,5200,24.76381
2015-12-28,25.139999,25.209999,25.10,25.10,5000,24.773681
2015-12-24,25.139999,25.190001,25.110001,25.190001,700,24.862511
2015-12-23,24.969999,25.277,24.950001,25.15,7300,24.82303
2015-12-22,24.726999,24.98,24.610001,24.950001,17200,24.625631
2015-12-21,24.52,24.789,24.445999,24.50,4800,24.181481
2015-12-18,24.469999,24.59,24.379999,24.392,6300,24.074885
2015-12-17,24.33,24.66,24.33,24.540001,6400,24.220962
