Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,26.030001,26.07,26.030001,26.030001,2800,26.030001
2016-03-03,26.00,26.09,26.00,26.09,6600,26.09
2016-03-02,26.09,26.09,26.01,26.049999,6500,26.049999
2016-03-01,25.82,26.10,25.75,26.10,16200,26.10
2016-02-29,25.49,25.75,25.49,25.719999,3800,25.719999
2016-02-26,25.809999,25.889999,25.48,25.60,12300,25.60
2016-02-25,25.639999,25.67,25.370001,25.65,5200,25.65
2016-02-24,25.459999,25.719999,25.34,25.389999,4000,25.389999
2016-02-23,26.110001,26.110001,25.60,25.700001,10200,25.700001
2016-02-22,25.77,26.129999,25.77,26.00,5500,26.00
2016-02-19,25.379999,25.780001,25.34,25.780001,5600,25.780001
2016-02-18,25.25,25.450001,25.25,25.33,4500,25.33
2016-02-17,25.360001,25.549999,25.23,25.440001,6100,25.440001
2016-02-16,25.200001,25.299999,24.90,25.190001,11500,25.190001
2016-02-12,24.700001,24.889999,24.67,24.84,24700,24.84
2016-02-11,24.959999,25.290001,24.620001,24.620001,11400,24.620001
2016-02-10,25.67,25.67,25.01,25.280001,8700,25.280001
2016-02-09,25.40,25.67,24.92,25.25,11900,25.25
2016-02-08,25.66,25.700001,25.49,25.49,11100,25.49
2016-02-05,25.690001,25.82,25.68,25.790001,3100,25.790001
2016-02-04,25.60,25.799999,25.60,25.790001,11000,25.790001
2016-02-03,25.77,25.959999,25.620001,25.65,8200,25.65
2016-02-02,25.559999,25.780001,25.559999,25.66,10300,25.66
2016-02-01,25.67,25.82,25.67,25.799999,4400,25.799999
2016-01-29,25.809999,25.99,25.77,25.83,3300,25.83
2016-01-28,25.790001,25.84,25.639999,25.75,8700,25.75
2016-01-27,25.690001,25.790001,25.530001,25.610001,11000,25.610001
2016-01-26,25.379999,25.50,25.309999,25.35,11300,25.35
2016-01-25,25.33,25.42,25.15,25.32,5600,25.32
2016-01-22,25.549999,25.57,25.40,25.469999,7200,25.469999
2016-01-21,25.59,25.59,25.120001,25.309999,9400,25.309999
2016-01-20,25.190001,25.389999,24.92,25.07,12300,25.07
2016-01-19,25.49,25.49,25.18,25.209999,6000,25.209999
2016-01-15,25.07,25.66,25.07,25.35,12000,25.35
2016-01-14,25.65,25.690001,25.469999,25.690001,5000,25.690001
2016-01-13,25.639999,25.85,25.389999,25.60,12300,25.60
2016-01-12,25.51,25.68,25.41,25.540001,14400,25.540001
2016-01-11,25.540001,25.65,25.309999,25.549999,3400,25.549999
2016-01-08,25.77,25.77,25.58,25.610001,8400,25.610001
2016-01-07,25.66,26.209999,25.58,25.799999,12900,25.799999
2016-01-06,25.639999,25.639999,25.469999,25.60,11400,25.60
2016-01-05,25.549999,25.66,25.530001,25.639999,7900,25.639999
2016-01-04,25.540001,25.549999,25.40,25.540001,13600,25.540001
2015-12-31,25.60,25.60,25.440001,25.60,1600,25.60
2015-12-30,25.07,25.530001,25.07,25.530001,1500,25.530001
2015-12-29,25.40,25.49,25.26,25.40,10200,25.40
2015-12-28,25.360001,25.66,25.360001,25.60,13500,25.272
