Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,35.59,36.810001,35.41,36.700001,1781400,36.700001
2016-03-03,34.799999,35.540001,34.490002,35.330002,1622200,35.330002
2016-03-02,34.91,35.049999,34.139999,34.759998,1180200,34.759998
2016-03-01,34.959999,36.049999,34.82,35.060001,1847100,35.060001
2016-02-29,34.740002,35.43,34.700001,35.32,2224400,35.32
2016-02-26,34.169998,35.330002,34.080002,34.740002,3367900,34.740002
2016-02-25,30.82,33.709999,29.889999,33.689999,9728700,33.689999
2016-02-24,30.49,31.610001,29.629999,31.50,1214200,31.50
2016-02-23,31.700001,31.73,30.870001,31.040001,1458700,31.040001
2016-02-22,32.310001,32.759998,31.84,31.92,1582400,31.92
2016-02-19,31.85,31.90,30.66,31.34,1637700,31.34
2016-02-18,33.720001,33.720001,31.799999,32.09,2371900,32.09
2016-02-17,33.290001,33.689999,32.540001,33.18,1419800,33.18
2016-02-16,32.720001,32.810001,31.389999,32.560001,1355400,32.560001
2016-02-12,31.58,32.720001,31.450001,31.879999,1314300,31.879999
2016-02-11,30.68,31.43,30.200001,30.83,1889400,30.83
2016-02-10,32.169998,32.419998,31.48,31.57,1960500,31.189001
2016-02-09,32.790001,33.209999,31.700001,32.240002,1707100,31.850917
2016-02-08,33.299999,33.48,32.34,33.330002,1520300,32.927762
2016-02-05,34.369999,34.439999,33.669998,33.889999,1284800,33.481002
2016-02-04,34.700001,35.48,34.459999,34.669998,1251100,34.251587
2016-02-03,33.950001,34.849998,32.73,34.740002,1510600,34.320746
2016-02-02,32.599998,33.09,32.119999,32.869999,1208300,32.473311
2016-02-01,33.91,33.959999,33.080002,33.73,1091700,33.322933
2016-01-29,33.720001,34.700001,33.16,34.599998,1265100,34.182432
2016-01-28,33.419998,33.790001,32.439999,33.049999,1425700,32.651139
2016-01-27,32.529999,33.169998,31.370001,32.169998,1421300,31.781758
2016-01-26,32.18,32.939999,31.42,32.59,1568000,32.196691
2016-01-25,33.049999,33.73,31.52,31.549999,2128500,31.169242
2016-01-22,32.509998,33.529999,31.93,33.450001,2790600,33.046313
2016-01-21,28.73,31.35,28.559999,31.26,3914700,30.882742
2016-01-20,29.35,29.629999,27.43,28.440001,3299600,28.096775
2016-01-19,30.370001,30.66,29.52,30.280001,2425600,29.91457
2016-01-15,29.540001,30.559999,29.27,30.309999,1699000,29.944207
2016-01-14,30.120001,31.280001,29.969999,31.17,2647100,30.793828
2016-01-13,31.700001,31.90,29.34,29.809999,1304900,29.450241
2016-01-12,31.530001,31.940001,30.42,31.24,1947600,30.862983
2016-01-11,31.91,31.99,30.77,31.139999,1237500,30.76419
2016-01-08,31.049999,32.169998,31.02,31.709999,1469400,31.32731
2016-01-07,31.059999,31.809999,30.76,31.00,1478600,30.62588
2016-01-06,32.080002,32.310001,31.42,31.67,2323500,31.287794
2016-01-05,32.740002,32.93,32.32,32.889999,1957700,32.49307
2016-01-04,32.619999,32.98,32.130001,32.900002,1963800,32.502951
2015-12-31,32.610001,33.25,32.48,33.189999,1490900,32.789449
2015-12-30,32.889999,33.27,32.43,32.82,1007300,32.423915
2015-12-29,33.639999,33.919998,33.07,33.360001,1386100,32.957399
2015-12-28,32.970001,33.119999,32.720001,32.990002,912900,32.591865
2015-12-24,33.700001,33.919998,33.419998,33.52,760900,33.115468
