Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,22.049999,22.059999,21.940001,22.01,60900,22.01
2016-02-29,22.00,22.01,21.93,21.98,32700,21.98
2016-02-26,21.950001,22.00,21.940001,21.940001,101900,21.940001
2016-02-25,21.90,21.98,21.90,21.950001,30300,21.950001
2016-02-24,21.860001,21.950001,21.85,21.90,68900,21.90
2016-02-23,21.82,21.90,21.799999,21.90,52700,21.90
2016-02-22,21.90,21.90,21.719999,21.77,33200,21.77
2016-02-19,21.75,21.889999,21.65,21.889999,37300,21.889999
2016-02-18,21.709999,21.74,21.639999,21.690001,63400,21.690001
2016-02-17,21.719999,21.809999,21.709999,21.799999,29800,21.714
2016-02-16,21.799999,21.83,21.719999,21.83,64800,21.743882
2016-02-12,21.889999,21.940001,21.809999,21.809999,44700,21.72396
2016-02-11,21.99,21.99,21.870001,21.93,23400,21.843488
2016-02-10,21.82,21.940001,21.82,21.940001,29400,21.853449
2016-02-09,21.860001,22.02,21.85,21.91,60700,21.823566
2016-02-08,21.870001,22.01,21.870001,22.01,56900,21.923172
2016-02-05,21.940001,21.950001,21.879999,21.940001,49100,21.853449
2016-02-04,21.90,21.93,21.85,21.93,32400,21.843488
2016-02-03,21.84,21.889999,21.780001,21.889999,53700,21.803645
2016-02-02,21.75,21.82,21.75,21.790001,26700,21.704041
2016-02-01,21.75,21.780001,21.73,21.780001,35900,21.69408
2016-01-29,21.68,21.74,21.68,21.74,33400,21.654237
2016-01-28,21.629999,21.68,21.540001,21.68,32300,21.594474
2016-01-27,21.450001,21.57,21.450001,21.52,17900,21.435105
2016-01-26,21.59,21.59,21.450001,21.549999,52100,21.464986
2016-01-25,21.530001,21.540001,21.48,21.50,45700,21.415184
2016-01-22,21.440001,21.540001,21.43,21.530001,29400,21.445066
2016-01-21,21.370001,21.459999,21.280001,21.41,39800,21.325539
2016-01-20,21.41,21.57,21.27,21.35,88400,21.265776
2016-01-19,21.639999,21.68,21.469999,21.48,33000,21.309601
2016-01-15,21.540001,21.620001,21.50,21.540001,21200,21.369126
2016-01-14,21.629999,21.629999,21.440001,21.530001,36800,21.359205
2016-01-13,21.559999,21.610001,21.469999,21.50,56400,21.329443
2016-01-12,21.610001,21.610001,21.530001,21.58,26400,21.408808
2016-01-11,21.620001,21.620001,21.440001,21.530001,33300,21.359205
2016-01-08,21.629999,21.629999,21.49,21.57,26600,21.398887
2016-01-07,21.719999,21.73,21.540001,21.57,42800,21.398887
2016-01-06,21.58,21.74,21.530001,21.65,68400,21.478252
2016-01-05,21.559999,21.60,21.49,21.59,27700,21.418729
2016-01-04,21.379999,21.530001,21.379999,21.52,72200,21.349284
2015-12-31,21.50,21.58,21.40,21.43,41800,21.259998
2015-12-30,21.40,21.43,21.34,21.43,46800,21.259998
2015-12-29,21.440001,21.440001,21.299999,21.32,38600,21.15087
2015-12-28,21.190001,21.48,21.190001,21.450001,37800,21.27984
2015-12-24,21.50,21.50,21.280001,21.309999,51900,21.140949
2015-12-23,21.51,21.66,21.41,21.42,79900,21.250077
2015-12-22,21.66,21.73,21.549999,21.700001,45800,21.527857
2015-12-21,21.780001,21.780001,21.559999,21.610001,46500,21.43361
2015-12-18,21.65,21.709999,21.559999,21.66,31500,21.397904
2015-12-17,21.280001,21.66,21.280001,21.639999,24400,21.378145
2015-12-16,21.129999,21.360001,21.129999,21.360001,40400,21.101535
2015-12-15,21.07,21.34,21.00,21.290001,50800,21.032382
2015-12-14,21.59,21.59,21.059999,21.10,34900,20.844681
2015-12-11,21.48,21.700001,21.469999,21.690001,30200,21.427542
2015-12-10,21.51,21.540001,21.35,21.49,30800,21.229961
2015-12-09,21.52,21.60,21.51,21.530001,24100,21.269478
2015-12-08,21.469999,21.610001,21.35,21.59,18300,21.328751
2015-12-07,21.32,21.440001,21.299999,21.389999,11800,21.131171
2015-12-04,21.27,21.48,21.27,21.309999,30700,21.052139
2015-12-03,21.41,21.41,21.299999,21.309999,27400,21.052139
2015-12-02,21.370001,21.530001,21.290001,21.48,54300,21.220082
2015-12-01,21.629999,21.639999,21.40,21.440001,49200,21.180567
2015-11-30,21.530001,21.559999,21.40,21.51,34900,21.249719
2015-11-27,21.52,21.52,21.379999,21.43,5800,21.170687
2015-11-25,21.280001,21.440001,21.280001,21.43,17000,21.170687
2015-11-24,21.32,21.389999,21.26,21.299999,26100,21.042259
2015-11-23,21.34,21.42,21.280001,21.42,24300,21.160808
2015-11-20,21.309999,21.370001,21.26,21.27,23200,21.012624
2015-11-19,21.15,21.26,21.059999,21.26,37100,21.002744
