Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,24.75,24.90,23.51,24.440001,89700,24.440001
2016-03-03,23.190001,24.969999,23.190001,24.360001,42700,24.360001
2016-03-02,23.299999,24.34,23.042999,23.25,105100,23.25
2016-03-01,24.469999,24.469999,22.85,23.620001,79300,23.620001
2016-02-29,25.01,25.235001,23.75,23.870001,151700,23.870001
2016-02-26,24.43,26.23,24.43,25.01,133500,25.01
2016-02-25,22.389999,24.709999,22.389999,24.049999,173400,24.049999
2016-02-24,21.82,23.530001,21.209999,22.799999,145400,22.799999
2016-02-23,23.440001,23.629999,21.75,22.389999,170200,22.389999
2016-02-22,23.219999,23.870001,22.690001,23.549999,244500,23.549999
2016-02-19,22.42,23.00,21.809999,22.610001,205200,22.610001
2016-02-18,23.23,24.049999,22.200001,22.85,280700,22.85
2016-02-17,21.51,23.17,20.50,22.73,280700,22.73
2016-02-16,20.00,21.360001,19.549999,21.15,73100,21.15
2016-02-12,18.59,20.08,18.09,19.75,79500,19.75
2016-02-11,18.110001,18.57,17.790001,18.280001,223900,18.280001
2016-02-10,19.120001,20.799999,18.59,18.68,127100,18.68
2016-02-09,19.709999,20.690001,19.129999,19.32,283700,19.32
2016-02-08,21.200001,22.25,19.93,19.93,203600,19.93
2016-02-05,21.50,21.719999,20.395,21.50,779800,21.50
2016-02-04,19.299999,21.73,18.700001,21.00,3940200,21.00
2016-02-03,19.610001,19.76,18.474001,19.16,76500,19.16
2016-02-02,20.040001,20.26,19.120001,19.280001,97500,19.280001
2016-02-01,21.16,21.16,19.790001,20.530001,63100,20.530001
2016-01-29,20.870001,21.74,19.790001,21.60,147200,21.60
2016-01-28,20.469999,21.00,20.110001,20.67,102900,20.67
2016-01-27,20.440001,20.75,19.33,19.860001,87500,19.738001
2016-01-26,21.120001,21.40,19.42,20.60,130500,20.473455
2016-01-25,20.700001,21.799999,20.200001,20.99,199400,20.861059
2016-01-22,19.870001,21.24,19.700001,21.10,115500,20.970384
2016-01-21,18.91,19.448,18.379999,19.16,357000,19.0423
2016-01-20,19.030001,19.355,17.915001,18.76,412000,18.644758
2016-01-19,20.00,20.43,18.924999,19.57,245200,19.449782
2016-01-15,19.549999,20.66,19.52,19.879999,94600,19.757877
2016-01-14,18.82,20.50,18.58,20.17,102900,20.046096
2016-01-13,18.93,18.93,18.110001,18.620001,114400,18.505619
2016-01-12,19.889999,19.889999,17.639999,18.790001,251300,18.674574
2016-01-11,21.120001,21.120001,19.309999,19.530001,227400,19.410028
2016-01-08,20.129999,21.940001,19.15,21.299999,173400,21.169154
2016-01-07,20.09,20.49,19.68,19.98,107400,19.857263
2016-01-06,20.08,20.700001,19.440001,20.559999,127500,20.4337
2016-01-05,20.52,20.93,19.57,20.60,125500,20.473455
2016-01-04,20.65,20.780001,20.139999,20.559999,142100,20.4337
2015-12-31,21.440001,22.049999,20.68,20.76,317900,20.632472
2015-12-30,20.91,21.719999,20.10,21.639999,174900,21.507065
2015-12-29,21.43,21.725,20.209999,21.17,139200,21.039953
2015-12-28,20.639999,21.59,19.834999,21.09,193400,20.960445
2015-12-24,20.25,21.389999,20.25,20.77,87100,20.642411
2015-12-23,19.379999,20.379999,19.15,20.10,358500,19.976527
2015-12-22,19.09,20.26,18.959999,19.190001,295200,19.072117
2015-12-21,18.42,19.17,18.27,19.030001,95400,18.9131
2015-12-18,18.280001,18.73,18.17,18.57,248400,18.455925
2015-12-17,19.84,19.84,18.110001,18.26,320100,18.14783
2015-12-16,19.07,20.09,19.040001,19.790001,245600,19.668431
2015-12-15,19.67,19.77,19.00,19.02,137400,18.903161
2015-12-14,20.40,20.440001,19.240999,19.360001,76700,19.241073
2015-12-11,21.120001,21.17,19.815001,20.290001,92600,20.16536
2015-12-10,22.76,23.035,21.299999,21.530001,117900,21.397742
2015-12-09,20.09,23.24,19.959999,23.00,604900,22.858712
2015-12-08,17.67,20.360001,17.389999,19.92,470000,19.797632
2015-12-07,19.15,19.15,17.889999,18.040001,401400,17.929182
2015-12-04,20.040001,21.219999,19.450001,19.969999,367100,19.847324
2015-12-03,21.360001,21.360001,20.049999,20.17,443100,20.046096
2015-12-02,22.26,22.33,21.00,21.200001,271600,21.06977
2015-12-01,22.75,22.962999,22.23,22.469999,79200,22.331967
2015-11-30,23.049999,23.305,22.360001,22.83,197600,22.689756
2015-11-27,23.15,23.309999,23.00,23.059999,13100,22.918342
2015-11-25,22.950001,23.780001,22.58,23.24,166600,23.097237
2015-11-24,22.950001,23.459999,22.950001,22.959999,235900,22.818956
2015-11-23,22.959999,23.465,22.790001,22.969999,102600,22.828895
2015-11-20,23.84,24.049999,22.299999,22.92,396100,22.779203
2015-11-19,24.299999,24.49,23.77,23.83,107700,23.683613
2015-11-18,23.92,24.440001,23.822001,24.200001,206700,24.051341
2015-11-17,23.98,24.280001,23.530001,23.959999,146400,23.812813
2015-11-16,23.889999,24.57,23.57,24.01,165600,23.862507
2015-11-13,24.17,25.361,23.790001,23.860001,309000,23.713429
2015-11-12,24.57,24.57,24.219999,24.379999,41000,24.230233
2015-11-11,24.879999,25.200001,24.43,24.85,57600,24.697347
2015-11-10,25.959999,25.959999,24.51,25.01,229800,24.856364
2015-11-09,26.129999,26.299999,25.389999,26.030001,84700,25.870099
2015-11-06,25.82,26.809999,25.450001,26.129999,71700,25.969483
2015-11-05,26.360001,26.469999,25.73,26.139999,42200,25.979422
2015-11-04,26.73,27.110001,26.299999,26.440001,68500,26.27758
2015-11-03,25.84,27.450001,25.84,26.709999,316300,26.54592
2015-11-02,26.120001,26.68,24.860001,25.59,155200,25.432801
2015-10-30,25.434999,26.889999,25.148001,26.440001,121700,26.27758
2015-10-29,24.60,25.65,24.60,25.440001,133100,25.283723
2015-10-28,24.77,25.709999,24.719999,24.950001,68900,24.693372
2015-10-27,25.549999,25.549999,24.00,24.41,97600,24.158925
2015-10-26,25.85,25.85,25.219999,25.620001,82700,25.35648
2015-10-23,25.379999,26.43,25.379999,25.98,199000,25.712776
2015-10-22,26.09,26.48,24.969999,25.49,151700,25.227816
2015-10-21,26.610001,26.85,25.809999,26.290001,114600,26.019589
2015-10-20,27.200001,27.459999,26.530001,26.870001,57000,26.593623
2015-10-19,27.51,27.620001,26.690001,27.219999,104100,26.940022
2015-10-16,27.25,27.944,27.049999,27.709999,200900,27.424981
2015-10-15,27.77,27.799999,27.08,27.209999,136700,26.930124
2015-10-14,27.370001,27.620001,26.870001,27.469999,82800,27.18745
2015-10-13,27.65,27.950001,27.40,27.52,185700,27.236937
2015-10-12,27.549999,27.879999,27.450001,27.879999,158300,27.593233
2015-10-09,28.25,28.25,27.551001,27.83,171900,27.543748
2015-10-08,27.00,28.139999,26.790001,27.93,195000,27.64272
2015-10-07,25.280001,27.15,25.280001,27.00,191400,26.722285
2015-10-06,24.389999,26.26,24.389999,25.41,215100,25.148639
2015-10-05,23.43,24.959999,23.190001,24.73,207700,24.475633
2015-10-02,22.200001,23.25,22.120001,22.940001,313200,22.704046
2015-10-01,23.02,23.059999,22.02,22.700001,496700,22.466515
2015-09-30,22.52,23.030001,22.139999,22.74,238400,22.506102
2015-09-29,23.280001,23.395,21.879999,22.379999,128700,22.149804
2015-09-28,23.82,24.00,22.99,23.24,226600,23.000959
2015-09-25,24.07,24.709999,23.59,24.02,123600,23.772937
2015-09-24,25.24,25.24,22.98,24.18,477400,23.931291
2015-09-23,26.57,26.629999,25.15,25.18,233100,24.921005
2015-09-22,26.450001,26.50,25.709999,26.27,129500,25.999794
2015-09-21,26.940001,26.98,26.32,26.74,114900,26.464959
2015-09-18,27.299999,27.440001,26.48,26.82,115300,26.544136
2015-09-17,27.42,27.51,27.24,27.299999,51400,27.019199
2015-09-16,27.18,27.559999,27.18,27.48,200500,27.197348
2015-09-15,27.709999,27.709999,26.799999,27.16,224700,26.880639
2015-09-14,27.91,27.91,27.25,27.459999,87600,27.177553
2015-09-11,29.58,29.790001,27.280001,27.68,182500,27.395291
2015-09-10,29.92,30.040001,29.360001,29.82,84700,29.513279
2015-09-09,32.119999,32.119999,29.700001,29.92,225800,29.612251
2015-09-08,32.50,32.52,30.965,31.799999,293800,31.472913
2015-09-04,31.84,33.18,31.84,32.779999,192700,32.442832
2015-09-03,32.18,32.84,32.00,32.630001,161300,32.294378
2015-09-02,31.41,32.209999,30.76,32.02,100700,31.690651
2015-09-01,32.049999,32.490002,31.01,31.200001,193300,30.879086
2015-08-31,32.130001,32.52,31.219999,32.52,54300,32.185508
2015-08-28,31.209999,32.59,31.209999,32.299999,205800,31.96777
2015-08-27,30.559999,31.790001,30.10,31.42,233100,31.096822
2015-08-26,30.00,30.00,28.299999,29.700001,129900,29.394514
2015-08-25,30.40,30.40,29.040001,29.549999,171400,29.246056
2015-08-24,29.715,29.77,28.65,29.59,379700,29.285645
2015-08-21,30.809999,31.08,30.549999,30.99,253400,30.671245
2015-08-20,31.42,31.629999,30.879999,31.040001,129800,30.720732
2015-08-19,31.59,31.85,30.780001,31.74,115900,31.413531
2015-08-18,30.57,31.540001,29.889999,31.469999,109600,31.146307
2015-08-17,29.959999,30.91,29.68,30.790001,83200,30.473303
2015-08-14,30.00,30.00,28.76,29.91,328600,29.602354
2015-08-13,31.07,31.139999,29.450001,29.790001,298600,29.483589
2015-08-12,30.77,31.24,30.469999,31.09,226200,30.770217
2015-08-11,30.85,31.00,30.50,30.74,200600,30.423816
2015-08-10,30.440001,31.360001,30.110001,30.940001,215400,30.62176
2015-08-07,30.690001,30.75,29.41,30.17,273700,29.859679
2015-08-06,30.200001,31.00,28.620001,30.709999,332200,30.394124
2015-08-05,31.190001,32.360001,29.950001,30.030001,267500,29.72112
2015-08-04,32.200001,32.438,30.764,30.879999,412600,30.562376
2015-08-03,32.50,32.645,31.799999,32.259998,332500,31.928181
2015-07-31,32.02,32.709999,31.834999,32.610001,131100,32.274583
2015-07-30,32.709999,32.860001,31.67,32.279999,155200,31.90146
2015-07-29,32.049999,33.00,31.709999,32.669998,94400,32.286886
2015-07-28,31.08,32.529999,30.799999,32.18,536500,31.802634
2015-07-27,30.99,31.469999,30.690001,31.26,403000,30.893422
2015-07-24,31.200001,31.889999,30.50,31.459999,324200,31.091076
2015-07-23,30.91,31.540001,30.91,31.26,698200,30.893422
2015-07-22,31.42,31.780001,30.629999,31.23,226200,30.863774
2015-07-21,32.18,32.18,31.299999,31.549999,101300,31.180021
2015-07-20,32.540001,32.639999,31.40,32.060001,183600,31.684042
2015-07-17,34.009998,34.439999,32.330002,32.619999,566100,32.237473
2015-07-16,34.360001,34.66,33.34,34.110001,336500,33.710002
2015-07-15,34.50,34.50,33.91,34.259998,84600,33.85824
2015-07-14,33.50,35.169998,33.50,34.669998,200500,34.263432
2015-07-13,33.130001,33.48,32.279999,33.299999,103200,32.909499
2015-07-10,32.950001,33.900002,32.91,33.18,115000,32.790907
2015-07-09,33.09,33.639999,32.560001,32.790001,221600,32.405481
2015-07-08,32.349998,33.00,31.940001,32.549999,324800,32.168294
2015-07-07,32.77,32.869999,31.594999,32.580002,89800,32.197945
2015-07-06,32.32,32.759998,31.049999,32.669998,276600,32.286886
2015-07-02,33.77,33.77,32.624001,32.75,184200,32.365949
2015-07-01,34.150002,34.220001,33.439999,33.91,89800,33.512346
2015-06-30,34.360001,34.700001,33.52,33.990002,233000,33.59141
2015-06-29,34.330002,34.490002,33.349998,34.259998,213400,33.85824
2015-06-26,34.470001,35.25,34.00,34.669998,267600,34.263432
2015-06-25,33.450001,35.014999,33.41,34.400002,272600,33.996602
2015-06-24,32.950001,33.880001,32.849998,33.619999,349000,33.225746
2015-06-23,32.50,32.98,32.50,32.970001,281500,32.583371
2015-06-22,32.490002,32.681999,31.66,32.57,122800,32.18806
2015-06-19,31.90,32.139999,31.25,32.02,84400,31.64451
2015-06-18,30.799999,32.150002,30.120001,32.00,575800,31.624744
2015-06-17,31.690001,32.169998,30.48,30.799999,479600,30.438816
2015-06-16,32.119999,32.400002,31.370001,31.540001,394500,31.17014
2015-06-15,31.90,32.689999,31.120001,32.290001,439400,31.911345
2015-06-12,31.58,32.790001,31.24,32.07,180100,31.693923
2015-06-11,32.900002,32.914001,32.57,32.599998,67900,32.217707
2015-06-10,32.240002,33.720001,32.18,33.009998,41100,32.622899
2015-06-09,32.07,32.470001,32.00,32.130001,135100,31.753221
2015-06-08,31.950001,32.130001,31.719999,32.060001,130700,31.684042
2015-06-05,31.00,32.25,30.719999,32.240002,203600,31.861932
2015-06-04,31.26,32.25,31.17,31.299999,645900,30.932952
2015-06-03,32.240002,32.740002,31.385,31.66,213800,31.288731
2015-06-02,31.190001,32.580002,31.09,32.240002,299600,31.861932
2015-06-01,32.220001,32.335999,31.41,31.450001,341500,31.081195
2015-05-29,32.48,32.50,32.16,32.220001,168700,31.842166
2015-05-28,33.009998,33.07,31.93,32.200001,238000,31.8224
2015-05-27,32.549999,33.41,32.349998,33.279999,314900,32.889733
2015-05-26,33.169998,33.189999,32.220001,32.619999,422100,32.237473
2015-05-22,32.860001,33.900002,32.674,33.130001,170000,32.741494
2015-05-21,32.59,32.810001,32.349998,32.709999,355100,32.326418
2015-05-20,32.91,32.950001,32.360001,32.650002,448300,32.267124
2015-05-19,33.220001,33.419998,32.709999,33.00,544300,32.613018
2015-05-18,32.650002,33.380001,32.540001,33.220001,289900,32.830439
2015-05-15,32.82,32.82,32.43,32.50,293000,32.118881
2015-05-14,32.299999,33.09,32.209999,32.66,539000,32.277005
2015-05-13,33.009998,33.080002,32.27,32.48,823700,32.099115
2015-05-12,32.00,33.549999,31.50,32.919998,20425900,32.533954
2015-05-11,27.00,27.00,27.00,27.00,000,26.683378
