Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,8.24,8.48,7.94,8.33,27442400,8.33
2016-03-03,7.24,8.00,7.17,7.90,19981900,7.90
2016-03-02,6.96,7.25,6.91,7.23,15249600,7.23
2016-03-01,7.00,7.08,6.79,7.02,14211700,7.02
2016-02-29,6.77,7.21,6.67,7.00,14117100,7.00
2016-02-26,7.01,7.20,6.70,6.81,17098800,6.81
2016-02-25,6.46,7.65,6.15,6.80,47946600,6.80
2016-02-24,6.49,7.22,5.94,7.17,25982500,7.17
2016-02-23,7.10,7.20,6.53,6.62,22909900,6.62
2016-02-22,7.07,7.30,7.03,7.16,22631300,7.16
2016-02-19,6.78,6.87,6.44,6.81,21238900,6.81
2016-02-18,6.77,6.90,6.25,6.86,21540900,6.86
2016-02-17,6.28,6.70,6.24,6.52,21871900,6.52
2016-02-16,5.90,6.06,5.67,6.06,25660700,6.06
2016-02-12,5.83,6.17,5.42,5.59,27050600,5.59
2016-02-11,5.00,5.94,4.81,5.52,43241400,5.52
2016-02-10,4.71,5.61,4.61,5.25,40672000,5.25
2016-02-09,4.33,4.96,4.17,4.57,63401900,4.57
2016-02-08,5.80,5.83,4.00,4.05,134293000,4.05
2016-02-05,7.71,7.79,6.96,6.98,33607500,6.98
2016-02-04,7.71,8.05,7.27,7.83,20044800,7.83
2016-02-03,8.47,8.49,7.10,7.87,26012200,7.585
2016-02-02,8.46,8.64,8.10,8.13,14756100,7.835585
2016-02-01,8.53,8.91,8.01,8.66,22607800,8.346391
2016-01-29,8.99,9.14,8.30,8.68,26200000,8.365667
2016-01-28,9.67,9.96,8.55,8.78,26158900,8.462046
2016-01-27,9.75,9.87,8.52,8.85,37001800,8.529511
2016-01-26,9.66,10.01,8.66,9.90,35513100,9.541486
2016-01-25,9.25,11.15,9.08,9.17,44343500,8.837923
2016-01-22,7.94,9.69,7.87,9.63,49755700,9.281265
2016-01-21,7.19,7.79,6.97,7.19,30766400,6.929625
2016-01-20,7.16,7.44,6.60,7.00,27798400,6.746506
2016-01-19,8.85,8.94,7.50,7.54,30438000,7.26695
2016-01-15,8.17,9.98,8.04,8.78,28845600,8.462046
2016-01-14,8.14,10.20,8.03,9.96,56151100,9.599314
2016-01-13,9.14,9.15,7.39,8.09,54076800,7.797033
2016-01-12,10.51,10.85,8.28,8.98,56516500,8.654803
2016-01-11,10.82,10.83,10.02,10.29,24750600,9.917363
2016-01-08,11.01,11.11,9.74,10.82,39012500,10.42817
2016-01-07,11.64,11.92,10.53,10.56,22140500,10.177586
2016-01-06,13.60,13.60,11.80,11.93,20661500,11.497974
2016-01-05,14.24,14.30,13.63,13.98,11103000,13.473735
2016-01-04,13.62,14.39,13.56,14.07,15549100,13.560476
2015-12-31,13.22,13.93,13.00,13.74,11379800,13.242427
2015-12-30,13.09,13.42,12.80,13.18,14440400,12.702707
2015-12-29,13.71,14.03,13.01,13.45,16084900,12.962929
2015-12-28,13.10,13.65,12.91,13.47,15835200,12.982205
2015-12-24,14.00,14.22,13.22,13.43,14342500,12.943654
2015-12-23,12.30,14.03,12.20,13.97,39672700,13.464098
2015-12-22,11.99,12.86,11.64,11.86,45897800,11.430508
2015-12-21,11.24,11.81,10.84,11.77,33088000,11.343768
2015-12-18,12.20,12.21,10.85,11.09,34507100,10.688393
2015-12-17,13.01,13.14,11.58,11.76,17364100,11.33413
2015-12-16,12.90,13.28,12.68,13.02,14909000,12.548501
2015-12-15,13.17,13.56,13.00,13.11,14577500,12.635241
2015-12-14,13.32,13.35,12.32,12.88,20744300,12.413571
2015-12-11,14.97,15.01,13.26,13.34,19828800,12.856913
2015-12-10,14.74,15.53,14.62,15.38,20287900,14.823037
2015-12-09,13.33,15.13,13.17,14.90,46687800,14.360419
2015-12-08,12.47,14.33,11.95,13.20,33126900,12.721982
2015-12-07,14.48,14.60,12.14,12.99,50280300,12.519587
2015-12-04,16.58,16.709999,15.12,15.29,36006400,14.736296
2015-12-03,18.24,18.52,16.65,16.85,23571600,16.239804
2015-12-02,18.99,18.99,17.879999,18.190001,25380200,17.531278
2015-12-01,18.93,19.219999,18.66,19.139999,22069600,18.446874
2015-11-30,18.66,19.02,18.549999,18.940001,8665600,18.254118
2015-11-27,18.809999,18.879999,18.52,18.67,2238900,17.993895
2015-11-25,19.23,19.60,18.66,18.959999,5530000,18.273392
2015-11-24,19.09,19.60,19.030001,19.32,9982700,18.620356
2015-11-23,19.040001,19.57,18.809999,19.01,11138500,18.321582
2015-11-20,19.59,20.00,18.93,19.09,10572100,18.398685
2015-11-19,19.950001,20.370001,19.48,19.799999,9640500,19.082973
2015-11-18,19.780001,20.379999,19.58,20.00,9509400,19.275731
2015-11-17,19.85,20.49,19.32,19.700001,12199400,18.986596
2015-11-16,18.389999,19.92,18.33,19.84,15929300,19.121525
2015-11-13,17.90,18.620001,17.17,18.24,15277200,17.579466
2015-11-12,18.60,18.620001,17.99,18.17,11065500,17.512002
2015-11-11,19.33,19.379999,18.440001,18.85,17498300,18.167377
2015-11-10,19.34,19.540001,18.91,19.27,7028000,18.572167
2015-11-09,20.07,20.35,19.360001,19.42,5057400,18.716735
2015-11-06,20.389999,20.93,19.66,20.110001,12561200,19.381748
2015-11-05,20.809999,21.040001,19.709999,20.48,20710800,19.738348
2015-11-04,21.879999,21.98,20.629999,20.940001,14983600,20.181691
2015-11-03,21.530001,22.10,21.440001,21.82,4847400,21.029822
2015-11-02,21.42,22.25,21.16,21.709999,7554100,20.649125
2015-10-30,20.889999,21.82,20.709999,21.549999,9455900,20.496944
2015-10-29,20.74,21.24,20.540001,20.85,8573800,19.831151
2015-10-28,20.33,21.379999,20.309999,20.84,9450300,19.821639
2015-10-27,20.139999,20.42,19.52,20.280001,9889300,19.289005
2015-10-26,21.309999,21.34,20.139999,20.209999,8401400,19.222424
2015-10-23,21.77,21.98,21.190001,21.290001,9394600,20.249651
2015-10-22,22.02,22.209999,21.440001,21.719999,10434400,20.658637
2015-10-21,22.790001,22.799999,21.83,22.15,8209100,21.067625
2015-10-20,22.91,23.32,22.59,22.73,6674700,21.619283
2015-10-19,23.190001,23.530001,22.559999,23.07,5225200,21.942669
2015-10-16,23.32,23.709999,22.950001,23.450001,6194100,22.304101
2015-10-15,22.809999,23.35,22.41,23.190001,9019500,22.056805
2015-10-14,23.030001,23.33,22.40,22.809999,10887300,21.695373
2015-10-13,23.860001,24.23,23.01,23.030001,12062800,21.904624
2015-10-12,24.959999,25.07,23.74,23.950001,7526600,22.779668
2015-10-09,24.809999,25.059999,24.379999,24.879999,8353900,23.664221
2015-10-08,24.629999,25.360001,24.42,24.65,7830100,23.445461
2015-10-07,24.01,24.889999,23.950001,24.690001,11038300,23.483507
2015-10-06,23.540001,24.309999,23.27,23.790001,11007200,22.627486
2015-10-05,23.34,23.889999,23.120001,23.40,10707600,22.256543
2015-10-02,22.030001,23.24,21.41,22.99,18286700,21.866578
2015-10-01,21.10,22.51,20.719999,22.040001,21980400,20.963001
2015-09-30,19.290001,20.959999,19.00,20.809999,28952100,19.793105
2015-09-29,20.360001,20.66,18.620001,18.77,28259400,17.852792
2015-09-28,22.24,22.41,20.17,20.290001,30394200,19.298516
2015-09-25,23.709999,24.24,22.610001,23.24,8941300,22.104361
2015-09-24,24.219999,24.49,22.290001,23.67,17960900,22.51335
