Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,6.06,6.15,6.06,6.11,370600,6.11
2016-02-29,6.05,6.08,6.01,6.04,276200,6.04
2016-02-26,6.03,6.07,5.98,6.02,552400,6.02
2016-02-25,5.97,6.05,5.97,6.03,387000,6.03
2016-02-24,5.95,6.03,5.95,5.99,659000,5.99
2016-02-23,5.92,6.02,5.92,6.00,448500,6.00
2016-02-22,6.10,6.11,5.93,5.94,1078400,5.94
2016-02-19,6.04,6.10,6.00,6.04,315700,6.04
2016-02-18,5.97,6.06,5.97,6.05,320600,6.05
2016-02-17,5.98,6.02,5.95,5.97,238500,5.97
2016-02-16,5.88,5.97,5.88,5.94,237900,5.94
2016-02-12,5.91,5.95,5.87,5.87,308600,5.87
2016-02-11,5.86,5.95,5.86,5.92,630100,5.92
2016-02-10,6.08,6.08,5.91,5.94,431900,5.94
2016-02-09,6.04,6.13,6.04,6.07,257900,6.045
2016-02-08,6.15,6.17,6.04,6.14,240900,6.114712
2016-02-05,6.26,6.27,6.18,6.20,288100,6.174464
2016-02-04,6.29,6.29,6.18,6.26,288200,6.234218
2016-02-03,6.26,6.29,6.13,6.29,339000,6.264094
2016-02-02,6.29,6.35,6.17,6.20,393500,6.174464
2016-02-01,6.27,6.36,6.26,6.35,436300,6.323847
2016-01-29,6.24,6.28,6.21,6.26,388800,6.234218
2016-01-28,6.16,6.22,6.15,6.17,339300,6.144588
2016-01-27,6.08,6.25,6.02,6.11,566800,6.084835
2016-01-26,5.99,6.07,5.97,6.05,333700,6.025083
2016-01-25,6.00,6.07,5.99,5.99,427800,5.965329
2016-01-22,5.99,6.01,5.93,6.00,593400,5.975288
2016-01-21,5.88,6.00,5.88,5.96,290100,5.935453
2016-01-20,5.89,5.97,5.88,5.89,742200,5.865741
2016-01-19,6.07,6.07,5.93,5.95,465800,5.925494
2016-01-15,6.10,6.11,6.05,6.09,447600,6.064918
2016-01-14,6.16,6.16,6.12,6.14,256100,6.114712
2016-01-13,6.18,6.18,6.12,6.16,490600,6.134629
2016-01-12,6.21,6.23,6.15,6.15,647600,6.124671
2016-01-11,6.21,6.22,6.15,6.17,556700,6.119691
2016-01-08,6.24,6.27,6.21,6.21,486100,6.159365
2016-01-07,6.33,6.34,6.21,6.22,595300,6.169283
2016-01-06,6.34,6.36,6.32,6.35,210900,6.298223
2016-01-05,6.33,6.38,6.30,6.36,335000,6.308142
2016-01-04,6.33,6.41,6.31,6.34,470200,6.288305
2015-12-31,6.34,6.46,6.34,6.35,921800,6.298223
2015-12-30,6.44,6.49,6.34,6.34,655900,6.288305
2015-12-29,6.50,6.59,6.45,6.46,511300,6.407327
2015-12-28,6.56,6.58,6.40,6.46,685000,6.407327
2015-12-24,6.59,6.62,6.58,6.59,181700,6.536267
2015-12-23,6.51,6.66,6.43,6.62,850200,6.566022
2015-12-22,6.46,6.51,6.44,6.51,378500,6.456919
2015-12-21,6.38,6.51,6.38,6.51,635200,6.456919
2015-12-18,6.35,6.41,6.35,6.39,516200,6.337897
2015-12-17,6.30,6.40,6.28,6.35,551800,6.298223
2015-12-16,6.18,6.39,6.18,6.32,523400,6.268468
2015-12-15,6.13,6.18,6.10,6.15,548000,6.099854
2015-12-14,6.25,6.29,6.07,6.10,821400,6.050262
2015-12-11,6.35,6.36,6.22,6.28,561500,6.203998
2015-12-10,6.41,6.42,6.33,6.37,372300,6.292909
2015-12-09,6.43,6.44,6.36,6.40,505600,6.322546
2015-12-08,6.46,6.48,6.38,6.39,623400,6.312667
2015-12-07,6.46,6.51,6.45,6.46,537700,6.38182
2015-12-04,6.46,6.47,6.43,6.47,585500,6.391698
2015-12-03,6.50,6.52,6.45,6.46,468300,6.38182
2015-12-02,6.43,6.50,6.42,6.50,618000,6.421335
2015-12-01,6.42,6.48,6.42,6.47,537400,6.391698
2015-11-30,6.44,6.44,6.38,6.41,441200,6.332424
2015-11-27,6.44,6.45,6.40,6.43,135000,6.352182
2015-11-25,6.32,6.44,6.32,6.44,522800,6.362062
2015-11-24,6.36,6.41,6.25,6.30,1547500,6.223756
2015-11-23,6.38,6.44,6.38,6.38,338500,6.302788
2015-11-20,6.40,6.47,6.39,6.39,372000,6.312667
2015-11-19,6.35,6.44,6.35,6.43,437700,6.352182
2015-11-18,6.38,6.40,6.31,6.35,673400,6.273151
2015-11-17,6.42,6.44,6.34,6.37,348700,6.292909
2015-11-16,6.34,6.49,6.30,6.47,513600,6.391698
2015-11-13,6.34,6.37,6.31,6.34,277100,6.263272
2015-11-12,6.32,6.40,6.30,6.37,314100,6.292909
2015-11-11,6.41,6.44,6.32,6.33,336800,6.253393
2015-11-10,6.38,6.41,6.34,6.36,268200,6.28303
2015-11-09,6.48,6.53,6.41,6.41,190900,6.332424
2015-11-06,6.56,6.57,6.45,6.53,530000,6.426275
2015-11-05,6.56,6.59,6.55,6.56,217400,6.455798
2015-11-04,6.48,6.58,6.48,6.56,402400,6.455798
2015-11-03,6.51,6.54,6.46,6.46,335500,6.357387
2015-11-02,6.54,6.61,6.52,6.52,345100,6.416434
2015-10-30,6.52,6.54,6.49,6.53,256900,6.426275
2015-10-29,6.55,6.59,6.43,6.46,855000,6.357387
2015-10-28,6.54,6.59,6.54,6.55,332100,6.445957
2015-10-27,6.60,6.63,6.57,6.58,377800,6.475481
2015-10-26,6.52,6.58,6.52,6.57,146000,6.46564
2015-10-23,6.56,6.58,6.54,6.54,342800,6.436116
