Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,26.799999,26.889999,26.719999,26.860001,66000,26.860001
2016-03-03,26.77,26.85,26.719999,26.76,60000,26.76
2016-03-02,26.77,26.83,26.719999,26.76,64100,26.76
2016-03-01,26.610001,26.90,26.440001,26.82,149900,26.82
2016-02-29,26.450001,26.549999,26.370001,26.51,86500,26.51
2016-02-26,26.469999,26.469999,26.280001,26.379999,66300,26.379999
2016-02-25,26.450001,26.450001,26.290001,26.32,82100,26.32
2016-02-24,26.219999,26.35,26.18,26.309999,50300,26.309999
2016-02-23,26.40,26.42,26.25,26.35,57100,26.35
2016-02-22,26.700001,26.700001,26.379999,26.40,72200,26.40
2016-02-19,26.18,26.60,26.120001,26.57,102500,26.57
2016-02-18,26.18,26.32,26.110001,26.18,87600,26.18
2016-02-17,26.07,26.280001,26.02,26.08,96500,26.08
2016-02-16,25.73,26.09,25.66,25.98,217400,25.98
2016-02-12,25.67,25.82,25.42,25.440001,244800,25.440001
2016-02-11,25.52,25.83,25.42,25.60,529800,25.60
2016-02-10,25.82,26.09,25.82,26.02,105300,26.02
2016-02-09,25.700001,25.84,25.27,25.709999,341400,25.709999
2016-02-08,26.23,26.24,25.809999,26.00,415000,26.00
2016-02-05,26.51,26.610001,26.23,26.389999,199000,26.389999
2016-02-04,26.549999,26.68,26.49,26.52,112400,26.52
2016-02-03,26.65,26.709999,26.530001,26.690001,98800,26.690001
2016-02-02,26.620001,26.700001,26.620001,26.68,58600,26.68
2016-02-01,26.59,26.75,26.59,26.709999,87500,26.709999
2016-01-29,26.629999,26.719999,26.60,26.629999,95100,26.629999
2016-01-28,26.549999,26.610001,26.49,26.610001,83100,26.610001
2016-01-27,26.379999,26.58,26.379999,26.540001,75000,26.540001
2016-01-26,26.389999,26.50,26.379999,26.379999,51000,26.379999
2016-01-25,26.48,26.559999,26.34,26.389999,93200,26.389999
2016-01-22,26.59,26.60,26.51,26.58,77800,26.58
2016-01-21,26.40,26.610001,26.26,26.459999,104500,26.459999
2016-01-20,26.51,26.51,26.10,26.43,149100,26.43
2016-01-19,26.540001,26.620001,26.450001,26.610001,42800,26.610001
2016-01-15,26.48,26.559999,26.35,26.530001,95800,26.530001
2016-01-14,26.65,26.65,26.33,26.49,84900,26.49
