Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,28.530001,28.530001,28.129999,28.27,730000,28.27
2016-03-03,28.50,28.559999,28.27,28.52,639600,28.52
2016-03-02,28.24,28.48,28.16,28.459999,841200,28.459999
2016-03-01,27.90,28.32,27.90,28.299999,862900,28.299999
2016-02-29,27.67,28.16,27.620001,27.809999,1211500,27.809999
2016-02-26,27.76,27.91,27.629999,27.67,1421100,27.67
2016-02-25,27.49,27.90,27.49,27.76,1063900,27.76
2016-02-24,27.110001,27.40,27.030001,27.360001,898300,27.360001
2016-02-23,27.07,27.48,27.02,27.15,627400,27.15
2016-02-22,27.389999,27.49,27.030001,27.09,970100,27.09
2016-02-19,26.799999,27.450001,26.799999,27.120001,1457300,27.120001
2016-02-18,26.58,27.129999,26.43,26.940001,983000,26.940001
2016-02-17,26.860001,26.959999,26.43,26.50,1255700,26.50
2016-02-16,26.540001,26.76,26.33,26.73,1587000,26.73
2016-02-12,26.709999,26.75,26.02,26.360001,1968800,26.360001
2016-02-11,26.120001,26.790001,25.90,26.629999,1044800,26.629999
2016-02-10,26.73,26.950001,26.379999,26.50,1831000,26.50
2016-02-09,27.08,27.469999,26.49,26.549999,2457000,26.549999
2016-02-08,28.15,28.25,27.10,27.34,1465600,27.34
2016-02-05,28.620001,28.67,28.34,28.389999,750300,28.389999
2016-02-04,28.25,28.66,28.18,28.610001,905500,28.610001
2016-02-03,28.24,28.719999,28.09,28.280001,1649300,28.280001
2016-02-02,28.059999,28.26,27.91,28.09,1122300,28.09
2016-02-01,27.860001,28.48,27.76,28.129999,819400,28.129999
2016-01-29,27.299999,28.049999,27.139999,28.040001,1142200,28.040001
2016-01-28,27.610001,28.00,27.10,27.110001,4276500,27.110001
2016-01-27,27.799999,27.90,27.33,27.559999,798100,27.559999
2016-01-26,27.620001,28.040001,27.51,27.90,1196500,27.90
2016-01-25,27.85,28.040001,27.459999,27.51,535700,27.51
2016-01-22,27.299999,27.98,27.190001,27.85,686800,27.85
2016-01-21,26.879999,27.440001,26.620001,27.02,637400,27.02
2016-01-20,26.969999,27.290001,26.41,26.780001,1442800,26.780001
2016-01-19,26.48,27.290001,26.41,27.15,1042700,27.15
2016-01-15,26.33,26.43,26.01,26.299999,980400,26.299999
2016-01-14,26.76,26.92,26.49,26.690001,1121600,26.690001
2016-01-13,27.17,27.360001,26.540001,26.719999,565600,26.719999
2016-01-12,27.389999,27.42,26.879999,27.07,805500,27.07
2016-01-11,27.280001,27.67,27.190001,27.360001,1098500,27.360001
2016-01-08,27.02,27.290001,26.92,27.209999,1074300,27.209999
2016-01-07,26.940001,27.190001,26.82,26.98,785800,26.98
2016-01-06,27.190001,27.370001,27.08,27.290001,761500,27.290001
2016-01-05,26.82,27.440001,26.60,27.32,944000,27.32
2016-01-04,26.82,26.83,26.33,26.540001,950100,26.540001
2015-12-31,27.219999,27.24,26.93,26.969999,725400,26.969999
2015-12-30,27.129999,27.219999,26.940001,27.110001,581600,27.110001
2015-12-29,26.83,27.16,26.77,27.120001,676800,27.120001
2015-12-28,26.950001,27.07,26.889999,27.00,880800,26.704999
2015-12-24,27.040001,27.08,26.85,27.040001,400200,26.744563
2015-12-23,26.92,27.040001,26.809999,26.93,824500,26.635765
2015-12-22,26.719999,27.110001,26.719999,26.84,672600,26.546748
2015-12-21,26.959999,27.030001,26.50,26.66,488500,26.368714
2015-12-18,26.790001,26.879999,26.559999,26.82,1005900,26.526966
2015-12-17,26.790001,26.91,26.690001,26.82,591000,26.526966
2015-12-16,26.49,26.90,26.450001,26.76,688500,26.467622
2015-12-15,26.40,26.58,26.32,26.379999,587700,26.091773
2015-12-14,26.139999,26.34,26.10,26.32,705800,26.032429
2015-12-11,25.84,26.190001,25.780001,26.18,548600,25.893959
2015-12-10,26.40,26.50,25.99,26.00,917100,25.715925
2015-12-09,26.049999,26.440001,25.99,26.389999,917000,26.101664
2015-12-08,25.870001,26.43,25.82,26.27,664700,25.982976
2015-12-07,25.84,25.92,25.60,25.799999,635600,25.51811
2015-12-04,25.77,26.18,25.77,25.860001,697400,25.577456
2015-12-03,26.059999,26.059999,25.719999,25.75,550600,25.468657
2015-12-02,26.58,26.709999,26.09,26.139999,897700,25.854395
2015-12-01,26.200001,26.66,26.200001,26.629999,511800,26.339041
2015-11-30,26.120001,26.290001,25.98,26.110001,778600,25.824724
2015-11-27,25.66,26.10,25.65,26.08,322600,25.795051
2015-11-25,25.389999,25.77,25.389999,25.66,389400,25.37964
2015-11-24,25.290001,25.41,25.09,25.360001,423900,25.082919
2015-11-23,25.209999,25.49,25.209999,25.370001,292700,25.09281
2015-11-20,25.110001,25.43,25.02,25.209999,495100,24.934556
2015-11-19,24.790001,25.08,24.790001,24.950001,449700,24.677398
2015-11-18,24.540001,24.790001,24.379999,24.77,445200,24.499365
2015-11-17,24.370001,24.66,24.35,24.48,416000,24.212532
2015-11-16,24.200001,24.459999,24.00,24.450001,484000,24.182861
2015-11-13,24.26,24.48,24.110001,24.24,465000,23.975155
2015-11-12,24.35,24.469999,24.18,24.27,519500,24.004828
2015-11-11,24.360001,24.50,24.33,24.40,480200,24.133406
2015-11-10,24.24,24.450001,24.190001,24.360001,827500,24.093844
2015-11-09,24.51,24.51,23.98,24.24,721500,23.975155
2015-11-06,25.25,25.33,24.379999,24.610001,861500,24.341113
2015-11-05,25.58,25.60,25.32,25.559999,555000,25.280732
2015-11-04,25.75,25.870001,25.43,25.59,815700,25.310405
2015-11-03,26.25,26.26,25.66,25.74,933200,25.458766
2015-11-02,26.309999,26.389999,26.110001,26.32,1131200,26.032429
2015-10-30,26.41,26.50,26.10,26.309999,1654200,26.022538
2015-10-29,26.450001,26.51,26.219999,26.370001,928600,26.081884
2015-10-28,25.280001,26.58,25.10,26.450001,1829000,26.161009
2015-10-27,26.139999,26.52,26.02,26.42,972400,26.131337
2015-10-26,26.139999,26.23,25.950001,26.200001,799800,25.913741
2015-10-23,26.209999,26.23,25.889999,26.129999,1021600,25.844504
2015-10-22,26.040001,26.27,26.02,26.18,400900,25.893959
2015-10-21,26.16,26.190001,25.950001,26.01,410100,25.725816
2015-10-20,25.940001,26.129999,25.85,26.110001,344000,25.824724
2015-10-19,25.700001,26.01,25.700001,26.01,422100,25.725816
