Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,11.58,12.14,11.53,12.14,2682100,12.14
2016-02-29,11.11,11.61,11.01,11.53,2719500,11.53
2016-02-26,11.14,11.38,11.04,11.16,1595700,11.16
2016-02-25,10.82,11.15,10.82,11.14,1584000,11.14
2016-02-24,10.58,10.85,10.45,10.76,1432500,10.76
2016-02-23,10.56,10.74,10.54,10.66,771400,10.66
2016-02-22,10.44,10.64,10.44,10.60,852300,10.60
2016-02-19,10.40,10.43,10.23,10.27,687700,10.27
2016-02-18,10.16,10.47,10.03,10.43,1043500,10.43
2016-02-17,10.25,10.45,10.11,10.12,736800,10.12
2016-02-16,9.97,10.17,9.91,10.16,1009100,10.16
2016-02-12,9.47,9.90,9.47,9.87,1200600,9.87
2016-02-11,9.67,9.78,9.37,9.40,1136200,9.40
2016-02-10,9.83,9.99,9.71,9.83,951800,9.83
2016-02-09,9.99,10.12,9.71,9.77,1459100,9.77
2016-02-08,10.64,10.73,9.99,10.11,1403900,10.11
2016-02-05,11.11,11.11,10.75,10.76,2081100,10.76
2016-02-04,11.32,11.36,10.61,10.92,2477300,10.92
2016-02-03,10.61,10.86,10.47,10.83,1221000,10.83
2016-02-02,10.82,10.89,10.40,10.55,1373900,10.55
2016-02-01,10.69,11.00,10.52,10.88,1071500,10.88
2016-01-29,10.49,10.76,10.41,10.75,1254600,10.75
2016-01-28,10.87,10.97,10.40,10.42,1924000,10.42
2016-01-27,11.07,11.24,10.77,10.87,1479400,10.87
2016-01-26,10.99,11.39,10.99,11.36,1595800,11.36
2016-01-25,11.19,11.26,10.92,10.92,1099100,10.92
2016-01-22,11.05,11.29,11.05,11.22,1199400,11.22
2016-01-21,10.84,11.20,10.70,10.91,1308900,10.91
2016-01-20,10.61,10.88,10.18,10.77,2417800,10.77
2016-01-19,11.06,11.15,10.70,10.72,2337200,10.72
2016-01-15,10.92,10.93,10.65,10.86,1698500,10.86
2016-01-14,11.30,11.32,11.01,11.08,1309200,11.08
2016-01-13,11.44,11.65,11.21,11.27,1183400,11.27
2016-01-12,11.71,11.71,11.29,11.43,1324200,11.43
2016-01-11,11.64,11.97,11.51,11.60,1494900,11.60
2016-01-08,12.05,12.17,11.61,11.63,1451400,11.63
2016-01-07,12.18,12.33,12.04,12.05,1458500,12.05
2016-01-06,12.24,12.50,12.11,12.47,2540800,12.47
2016-01-05,12.17,12.61,12.16,12.52,2051600,12.52
2016-01-04,12.29,12.29,12.05,12.16,2554300,12.16
2015-12-31,12.54,12.85,12.36,12.37,800000,12.37
2015-12-30,12.44,12.58,12.42,12.53,855000,12.53
2015-12-29,12.36,12.56,12.30,12.48,1136800,12.48
2015-12-28,12.43,12.47,12.18,12.31,1420900,12.31
2015-12-24,12.77,12.82,12.71,12.71,438400,12.445
2015-12-23,12.64,12.80,12.58,12.79,1160600,12.523332
2015-12-22,12.50,12.65,12.45,12.50,1404200,12.239379
2015-12-21,12.59,12.65,12.32,12.42,1210600,12.161047
2015-12-18,12.85,12.86,12.44,12.46,1923800,12.200213
2015-12-17,12.88,12.98,12.70,12.85,1449000,12.582082
2015-12-16,12.61,12.87,12.59,12.85,1150700,12.582082
2015-12-15,12.37,12.65,12.34,12.55,1215200,12.288336
2015-12-14,12.36,12.41,12.06,12.31,1797300,12.053341
2015-12-11,12.48,12.50,12.24,12.39,1169100,12.131672
2015-12-10,12.73,12.88,12.51,12.53,1067900,12.268753
2015-12-09,12.50,12.75,12.44,12.72,2255700,12.454792
2015-12-08,12.41,12.55,12.37,12.52,1405100,12.258962
2015-12-07,12.57,12.58,12.41,12.48,2315700,12.219795
2015-12-04,12.18,12.73,12.18,12.63,4126800,12.366668
2015-12-03,12.70,12.77,12.10,12.17,2532600,11.916259
2015-12-02,13.27,13.27,12.67,12.70,1560000,12.435209
2015-12-01,13.15,13.34,13.04,13.33,2024600,13.052073
2015-11-30,13.49,13.61,12.97,13.07,2076200,12.797494
2015-11-27,13.34,13.47,13.29,13.44,837400,13.15978
2015-11-25,13.35,13.35,13.27,13.30,879000,13.022699
2015-11-24,13.37,13.44,13.14,13.36,1999700,13.081448
2015-11-23,13.62,13.71,13.39,13.41,1090900,13.130405
2015-11-20,13.52,13.64,13.47,13.62,1298200,13.336027
2015-11-19,13.36,13.48,13.32,13.44,884700,13.15978
2015-11-18,13.20,13.34,13.12,13.34,1219100,13.061865
2015-11-17,13.24,13.46,13.04,13.15,1388300,12.875826
2015-11-16,13.25,13.32,13.05,13.27,1401700,12.993325
2015-11-13,13.61,13.72,13.29,13.33,1543900,13.052073
2015-11-12,13.65,13.70,13.51,13.58,1194400,13.296861
2015-11-11,13.65,13.73,13.48,13.69,1506900,13.404567
2015-11-10,13.47,13.63,13.28,13.63,2311300,13.345819
2015-11-09,13.90,14.11,13.35,13.47,1676600,13.189155
