Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,26.959999,27.120001,26.889999,27.030001,6500,27.030001
2016-02-29,26.826,26.959999,26.82,26.959999,2700,26.959999
2016-02-26,26.84,26.84,26.73,26.733999,2200,26.733999
2016-02-25,26.76,26.84,26.57,26.690001,6800,26.690001
2016-02-24,26.690001,27.00,26.51,26.92,5400,26.568
2016-02-23,27.200001,27.24,26.91,27.219999,4900,26.864077
2016-02-22,27.17,27.17,26.77,27.01,2700,26.656824
2016-02-19,26.809999,27.040001,26.809999,26.99,7400,26.637085
2016-02-18,26.690001,26.950001,26.690001,26.940001,3700,26.587739
2016-02-17,26.889999,26.940001,26.57,26.57,2100,26.222577
2016-02-16,26.459999,26.889999,26.32,26.57,21000,26.222577
2016-02-12,26.48,26.50,26.24,26.450001,3300,26.104147
2016-02-11,26.83,26.83,26.07,26.15,7400,25.808068
2016-02-10,26.969999,26.969999,26.809999,26.889999,1500,26.538392
2016-02-09,26.809999,26.879999,26.780001,26.780001,3400,26.429832
2016-02-08,26.860001,26.878,26.76,26.780001,4700,26.429832
2016-02-05,26.93,27.02,26.879999,27.02,1300,26.666693
2016-02-04,27.08,27.08,26.889999,26.950001,1800,26.597609
2016-02-03,27.129999,27.129999,26.799999,26.92,1600,26.568
2016-02-02,26.879999,27.08,26.870001,26.92,6600,26.568
2016-02-01,26.959999,26.959999,26.90,26.90,1900,26.548261
2016-01-29,26.99,27.18,26.863001,26.969999,8200,26.617346
2016-01-28,26.959999,26.99,26.77,26.85,3600,26.498916
2016-01-27,26.98,26.98,26.82,26.82,1000,26.469308
2016-01-26,26.92,26.940001,26.75,26.76,12700,26.410093
2016-01-25,26.82,26.929001,26.68,26.75,2300,26.400223
2016-01-22,26.92,27.139999,26.799999,26.940001,6600,26.587739
2016-01-21,26.75,27.200001,26.75,26.860001,16700,26.508785
2016-01-20,26.610001,27.09,26.41,26.610001,14000,26.262054
2016-01-19,27.25,27.25,26.58,26.74,6300,26.390354
2016-01-15,26.84,26.950001,26.66,26.709999,5800,26.360745
2016-01-14,27.01,27.01,26.65,26.870001,39600,26.518655
