Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,13.69,13.95,13.15,13.91,1197800,13.91
2016-02-29,13.32,14.49,13.23,13.89,1383800,13.89
2016-02-26,12.83,13.28,12.69,12.99,508400,12.99
2016-02-25,12.71,12.81,12.34,12.48,462700,12.48
2016-02-24,12.77,12.77,12.36,12.68,796800,12.68
2016-02-23,13.45,13.60,13.01,13.02,244500,13.02
2016-02-22,13.38,13.74,13.38,13.50,321200,13.50
2016-02-19,13.31,13.50,13.04,13.19,322000,13.19
2016-02-18,13.77,13.77,13.36,13.44,302700,13.44
2016-02-17,13.32,13.73,13.18,13.52,771100,13.52
2016-02-16,13.76,13.89,12.77,12.95,1129900,12.95
2016-02-12,13.43,13.82,13.38,13.54,377400,13.54
2016-02-11,12.94,13.43,12.85,13.25,1020300,13.25
2016-02-10,13.20,13.54,13.06,13.10,438900,13.10
2016-02-09,13.85,13.99,13.19,13.29,290700,13.29
2016-02-08,13.92,14.06,13.65,13.99,321500,13.99
2016-02-05,14.54,14.65,13.90,14.11,786600,14.11
2016-02-04,14.65,14.87,14.40,14.72,511200,14.72
2016-02-03,14.45,14.47,13.87,14.38,328400,14.38
2016-02-02,14.07,14.29,13.92,14.25,630600,14.25
2016-02-01,14.66,14.66,14.07,14.43,407400,14.43
2016-01-29,14.41,14.74,14.41,14.63,328900,14.63
2016-01-28,14.41,14.56,14.13,14.41,354200,14.41
2016-01-27,13.77,14.17,13.54,13.85,416000,13.85
2016-01-26,13.53,14.02,13.46,13.81,527900,13.81
2016-01-25,13.57,13.76,13.20,13.31,508400,13.31
2016-01-22,14.05,14.43,13.84,14.03,277000,14.03
2016-01-21,13.30,13.94,13.27,13.65,279800,13.65
2016-01-20,13.39,13.55,12.98,13.40,601000,13.40
2016-01-19,13.55,13.68,13.26,13.62,517700,13.62
2016-01-15,13.43,13.60,13.15,13.47,403300,13.47
2016-01-14,13.74,13.99,13.40,13.89,496800,13.89
2016-01-13,14.28,14.47,13.60,13.64,520300,13.64
2016-01-12,14.19,14.28,13.83,14.13,522700,14.13
2016-01-11,14.05,14.10,13.72,14.00,702700,14.00
2016-01-08,14.16,14.23,13.83,14.02,639600,14.02
2016-01-07,14.83,14.98,14.02,14.06,1086800,14.06
2016-01-06,15.95,16.10,14.97,15.02,552700,15.02
2016-01-05,16.540001,16.709999,16.190001,16.24,418700,16.24
2016-01-04,16.799999,17.07,16.41,16.60,981700,16.60
2015-12-31,15.93,16.700001,15.93,16.690001,379700,16.690001
2015-12-30,15.95,16.32,15.94,16.030001,311100,16.030001
2015-12-29,16.309999,16.58,16.040001,16.24,231600,16.24
2015-12-28,16.17,16.34,16.00,16.059999,285500,16.059999
2015-12-24,16.65,16.780001,16.41,16.41,187700,16.41
2015-12-23,16.26,16.75,16.209999,16.719999,279800,16.719999
2015-12-22,15.53,16.110001,15.45,15.95,340700,15.95
2015-12-21,15.66,15.79,15.36,15.47,524500,15.47
2015-12-18,15.53,15.91,15.53,15.61,826200,15.61
2015-12-17,16.09,16.110001,15.37,15.77,564700,15.77
2015-12-16,16.360001,16.73,16.129999,16.24,425200,16.24
2015-12-15,15.87,16.48,15.79,16.43,490900,16.43
2015-12-14,15.44,16.01,15.06,15.69,619700,15.69
2015-12-11,15.46,15.46,15.08,15.24,240500,15.24
2015-12-10,15.51,15.73,15.41,15.63,257400,15.63
2015-12-09,15.74,16.139999,15.39,15.64,382700,15.64
2015-12-08,15.32,15.86,15.20,15.63,526000,15.63
2015-12-07,15.79,15.97,14.99,15.57,551900,15.57
2015-12-04,16.200001,16.35,15.89,16.209999,219800,16.209999
2015-12-03,16.540001,16.68,16.18,16.379999,272200,16.379999
2015-12-02,16.870001,17.139999,16.299999,16.34,545300,16.34
2015-12-01,16.879999,17.16,16.77,17.049999,381500,17.049999
2015-11-30,17.00,17.370001,16.85,16.90,358300,16.90
2015-11-27,16.809999,16.950001,16.549999,16.620001,136500,16.620001
2015-11-25,16.950001,17.33,16.66,16.98,289400,16.98
2015-11-24,16.639999,17.25,16.26,17.110001,393900,17.110001
2015-11-23,16.440001,16.780001,16.32,16.639999,421400,16.489999
2015-11-20,16.469999,16.700001,16.24,16.540001,316700,16.390902
2015-11-19,16.889999,17.02,16.360001,16.469999,260700,16.321532
2015-11-18,16.790001,17.09,16.59,16.969999,254800,16.817024
2015-11-17,16.870001,16.90,16.52,16.639999,264500,16.489999
2015-11-16,16.52,16.940001,16.43,16.940001,346100,16.787296
2015-11-13,16.360001,16.709999,16.139999,16.51,432900,16.361172
2015-11-12,16.41,16.860001,16.23,16.34,438700,16.192704
2015-11-11,17.00,17.08,16.620001,16.709999,711800,16.559368
2015-11-10,16.860001,17.190001,16.799999,16.879999,460700,16.727836
2015-11-09,17.030001,17.26,16.77,17.07,367300,16.916123
2015-11-06,17.51,17.51,16.90,17.07,439400,16.916123
2015-11-05,17.299999,17.85,17.15,17.25,617000,17.094501
2015-11-04,15.52,17.85,15.52,17.41,1262300,17.253059
2015-11-03,17.26,18.09,16.639999,17.209999,1396500,17.054861
2015-11-02,16.75,17.309999,16.530001,17.219999,1011100,17.064771
2015-10-30,16.860001,17.17,16.68,17.16,561400,17.005312
2015-10-29,17.200001,17.40,16.709999,16.77,650200,16.618829
2015-10-28,17.41,17.799999,16.98,17.18,817100,17.025132
2015-10-27,17.15,17.549999,16.91,17.32,704300,17.16387
2015-10-26,17.66,17.790001,17.32,17.389999,314300,17.233238
2015-10-23,17.58,18.00,17.49,17.68,425100,17.520625
2015-10-22,17.75,17.98,17.48,17.67,401500,17.510715
2015-10-21,18.02,18.139999,17.440001,17.48,650300,17.322427
2015-10-20,17.32,18.110001,17.24,18.08,460000,17.917019
2015-10-19,17.459999,17.940001,17.17,17.32,445800,17.16387
2015-10-16,17.889999,17.889999,17.450001,17.66,304600,17.500805
2015-10-15,17.370001,17.950001,17.290001,17.950001,280700,17.788192
2015-10-14,17.379999,17.549999,17.219999,17.51,300900,17.352158
2015-10-13,17.370001,17.68,17.139999,17.459999,345000,17.302607
2015-10-12,17.91,17.92,17.35,17.530001,531500,17.371978
2015-10-09,17.790001,18.00,17.51,17.90,640700,17.738641
2015-10-08,17.459999,17.85,17.059999,17.68,678400,17.520625
2015-10-07,17.35,17.780001,16.940001,17.65,792600,17.490895
2015-10-06,17.709999,17.74,16.379999,17.26,1105100,17.104411
2015-10-05,15.80,16.59,15.58,16.459999,1053700,16.311622
2015-10-02,14.95,15.91,14.80,15.90,668900,15.75667
2015-10-01,15.54,15.75,14.83,15.03,750200,14.894513
2015-09-30,15.43,15.47,15.13,15.33,447700,15.191809
2015-09-29,15.50,15.69,15.06,15.33,329600,15.191809
2015-09-28,15.77,15.93,15.24,15.35,286200,15.211629
2015-09-25,15.97,16.059999,15.72,15.96,285600,15.81613
2015-09-24,15.77,15.97,15.67,15.84,236500,15.697212
2015-09-23,16.07,16.18,15.79,15.84,172100,15.697212
2015-09-22,15.95,16.459999,15.94,15.98,425400,15.835949
2015-09-21,16.280001,16.559999,16.110001,16.25,444000,16.103516
2015-09-18,16.219999,16.549999,16.15,16.27,510400,16.123336
2015-09-17,16.84,17.07,16.67,16.76,370700,16.608918
2015-09-16,16.50,17.02,16.34,16.950001,390700,16.797206
2015-09-15,16.32,16.52,16.25,16.459999,283300,16.311622
2015-09-14,16.370001,16.440001,16.18,16.25,263900,16.103516
2015-09-11,16.209999,16.440001,16.02,16.43,268300,16.281893
2015-09-10,16.549999,16.65,16.139999,16.52,352900,16.371082
2015-09-09,16.809999,17.059999,16.32,16.42,362600,16.271983
2015-09-08,16.889999,16.969999,16.559999,16.709999,336500,16.559368
2015-09-04,16.67,16.83,16.50,16.68,629500,16.52964
2015-09-03,16.40,16.93,16.280001,16.889999,1072400,16.737746
2015-09-02,16.209999,16.60,15.93,16.40,942200,16.252163
2015-09-01,15.88,16.370001,15.81,16.16,1013400,16.014327
2015-08-31,15.88,16.379999,15.59,16.309999,672100,16.162974
2015-08-28,15.24,16.040001,15.24,15.94,496000,15.79631
2015-08-27,14.68,15.52,14.60,15.43,693400,15.290908
2015-08-26,14.39,14.69,14.13,14.62,944900,14.339561
2015-08-25,14.34,14.47,14.14,14.24,653900,13.96685
2015-08-24,14.22,14.61,13.86,14.09,1439200,13.819728
2015-08-21,14.75,15.18,14.71,14.86,1599200,14.574957
2015-08-20,15.08,15.34,14.83,14.87,1736300,14.584766
2015-08-19,15.13,15.28,14.76,15.03,913000,14.741697
2015-08-18,15.24,15.31,15.02,15.13,716900,14.839779
2015-08-17,15.37,15.46,15.01,15.21,1113200,14.918244
2015-08-14,15.64,15.92,15.49,15.51,728700,15.21249
2015-08-13,15.84,15.94,15.36,15.66,692000,15.359612
2015-08-12,15.65,16.389999,15.49,16.00,870300,15.69309
2015-08-11,15.38,15.71,15.23,15.68,1027200,15.379229
2015-08-10,14.97,15.72,14.85,15.62,906200,15.320379
2015-08-07,15.23,15.56,14.87,14.93,1238200,14.643615
2015-08-06,14.69,15.41,14.11,15.35,1896300,15.055559
2015-08-05,14.50,15.15,13.66,14.93,2482300,14.643615
2015-08-04,15.91,16.120001,15.52,15.57,1333500,15.271338
2015-08-03,16.030001,16.280001,15.73,15.80,759200,15.496927
2015-07-31,16.50,16.58,16.17,16.190001,484400,15.879446
2015-07-30,16.66,16.879999,16.34,16.52,507900,16.203116
2015-07-29,16.58,16.959999,16.49,16.790001,357700,16.467938
2015-07-28,16.299999,16.809999,16.26,16.700001,736000,16.379664
2015-07-27,16.41,16.620001,16.200001,16.24,772200,15.928487
2015-07-24,16.77,17.049999,16.620001,16.75,865300,16.428704
2015-07-23,16.18,16.98,16.040001,16.799999,1264200,16.477744
2015-07-22,16.639999,16.719999,15.97,16.02,2004400,15.712707
2015-07-21,17.389999,17.700001,16.870001,16.91,806800,16.585635
2015-07-20,17.09,17.33,16.879999,17.27,831700,16.93873
2015-07-17,17.09,17.139999,16.83,17.049999,1174000,16.722949
2015-07-16,17.389999,17.42,16.98,17.120001,578500,16.791608
2015-07-15,17.60,17.620001,17.120001,17.24,648000,16.909305
2015-07-14,17.41,17.889999,17.41,17.67,951900,17.331057
2015-07-13,17.43,17.58,17.32,17.40,901600,17.066235
2015-07-10,17.84,17.870001,17.27,17.440001,821300,17.105469
2015-07-09,17.709999,18.059999,17.43,17.66,1040000,17.321248
2015-07-08,17.68,17.969999,17.360001,17.41,655900,17.076044
2015-07-07,17.790001,18.059999,17.48,17.879999,1048400,17.537028
2015-07-06,18.34,18.450001,17.85,17.860001,2347200,17.517413
2015-07-02,18.790001,18.809999,18.51,18.629999,490800,18.272641
2015-07-01,18.90,18.90,18.23,18.41,502900,18.056862
2015-06-30,18.99,19.049999,18.700001,18.84,403900,18.478614
2015-06-29,18.82,19.27,18.65,18.83,496700,18.468806
2015-06-26,19.209999,19.209999,18.719999,19.09,924700,18.723819
2015-06-25,19.16,19.40,19.030001,19.15,280100,18.782667
2015-06-24,19.299999,19.450001,19.08,19.110001,175000,18.743435
2015-06-23,19.09,19.42,19.08,19.40,203300,19.027872
2015-06-22,18.889999,19.290001,18.639999,19.08,417700,18.71401
2015-06-19,19.219999,19.219999,18.709999,18.77,786300,18.409957
2015-06-18,19.469999,19.469999,18.889999,19.190001,880500,18.821901
2015-06-17,19.620001,19.84,19.299999,19.379999,385900,19.008255
2015-06-16,19.620001,19.719999,19.42,19.530001,327200,19.155379
2015-06-15,19.65,19.84,19.48,19.700001,219900,19.322118
2015-06-12,19.530001,19.90,19.49,19.83,346000,19.449624
2015-06-11,20.42,20.51,19.58,19.65,1009500,19.273076
2015-06-10,20.34,20.51,20.25,20.450001,261800,20.057732
2015-06-09,19.98,20.280001,19.98,20.110001,164600,19.724254
2015-06-08,20.200001,20.34,19.799999,19.870001,235900,19.488858
2015-06-05,19.709999,20.370001,19.709999,20.219999,400100,19.832142
2015-06-04,20.09,20.16,19.74,19.84,237500,19.459432
2015-06-03,20.43,20.65,20.24,20.26,477200,19.871376
2015-06-02,20.450001,20.709999,20.280001,20.60,622100,20.057731
2015-06-01,19.93,20.299999,19.870001,20.26,459700,19.726681
2015-05-29,20.08,20.24,19.780001,19.82,355800,19.298263
2015-05-28,20.219999,20.27,19.790001,20.00,412500,19.473525
2015-05-27,20.18,20.440001,19.950001,20.27,298400,19.736418
2015-05-26,20.18,20.58,20.10,20.219999,222100,19.687733
2015-05-22,20.559999,20.85,20.309999,20.440001,150500,19.901943
2015-05-21,20.24,20.799999,20.15,20.700001,339500,20.155099
2015-05-20,20.32,20.49,19.940001,20.120001,495400,19.590367
2015-05-19,20.799999,20.82,19.969999,20.360001,555400,19.824049
2015-05-18,20.84,21.00,20.559999,20.98,194100,20.427728
2015-05-15,21.040001,21.110001,20.74,20.91,316300,20.359571
2015-05-14,21.059999,21.41,20.950001,21.200001,555400,20.641938
2015-05-13,21.17,21.26,20.700001,20.940001,411200,20.388781
2015-05-12,20.85,21.16,20.76,21.01,190800,20.456939
2015-05-11,21.17,21.190001,20.57,20.84,221000,20.291413
2015-05-08,20.99,21.280001,20.379999,21.209999,441200,20.651673
2015-05-07,21.110001,21.190001,20.540001,20.74,761600,20.194045
2015-05-06,20.92,21.23,20.639999,21.190001,563000,20.632201
2015-05-05,21.309999,21.389999,20.620001,20.639999,700300,20.096678
2015-05-04,21.40,21.50,20.940001,21.07,650700,20.515359
