Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,15.48,15.89,15.10,15.59,92600,15.59
2016-02-29,14.90,15.58,14.88,15.33,209500,15.33
2016-02-26,14.68,14.99,14.50,14.92,134100,14.92
2016-02-25,14.36,14.68,14.13,14.48,132500,14.48
2016-02-24,14.03,14.70,13.66,14.32,98000,14.32
2016-02-23,13.91,14.38,13.66,14.29,217200,14.29
2016-02-22,14.22,14.306,13.89,14.00,161500,14.00
2016-02-19,13.93,14.222,13.58,13.97,97700,13.97
2016-02-18,14.25,14.25,13.86,14.00,124300,14.00
2016-02-17,13.49,14.39,13.39,14.01,189700,14.01
2016-02-16,13.35,13.71,12.97,13.21,188500,13.21
2016-02-12,12.74,13.38,12.74,13.00,231700,13.00
2016-02-11,12.92,13.061,12.21,12.55,211400,12.55
2016-02-10,13.22,13.65,12.96,13.29,148800,13.29
2016-02-09,13.49,13.60,12.26,13.29,221200,13.29
2016-02-08,13.61,13.73,12.16,13.65,208200,13.65
2016-02-05,13.90,14.095,13.60,13.78,91500,13.78
2016-02-04,13.83,14.24,13.52,13.99,102900,13.99
2016-02-03,14.60,14.60,13.612,14.12,284200,13.642
2016-02-02,14.49,14.84,14.07,14.21,268000,13.728953
2016-02-01,14.77,14.90,14.25,14.44,344900,13.951167
2016-01-29,14.65,14.90,13.96,14.30,306200,13.815907
2016-01-28,13.10,14.30,12.706,14.25,341600,13.767599
2016-01-27,12.10,12.70,11.85,12.02,148600,11.613091
2016-01-26,11.71,12.00,11.52,11.98,156100,11.574444
2016-01-25,11.09,11.93,11.03,11.36,60300,10.975433
2016-01-22,11.00,11.98,10.93,11.25,174700,10.869157
2016-01-21,9.90,10.75,9.90,10.55,126100,10.192854
2016-01-20,10.45,10.45,9.57,10.00,252500,9.661473
2016-01-19,11.47,11.47,10.50,10.53,140800,10.173531
2016-01-15,11.01,11.24,10.90,11.13,96900,10.75322
2016-01-14,11.40,11.73,10.72,11.53,188100,11.139678
2016-01-13,12.13,12.36,11.16,11.28,117300,10.898141
2016-01-12,12.43,12.45,11.31,11.99,167800,11.584106
2016-01-11,12.50,12.87,11.55,12.29,145200,11.87395
2016-01-08,13.19,13.56,12.801,12.91,104900,12.472962
2016-01-07,13.95,14.09,13.06,13.10,101600,12.65653
2016-01-06,14.41,14.41,13.98,14.16,57200,13.680646
2016-01-05,14.35,14.69,13.90,14.64,148400,14.144397
2016-01-04,14.12,14.83,13.94,14.25,143900,13.767599
2015-12-31,13.23,14.38,13.23,14.22,340400,13.738615
2015-12-30,13.54,13.75,13.25,13.41,199800,12.956035
2015-12-29,13.66,13.90,13.36,13.61,443800,13.149264
2015-12-28,13.80,13.90,13.51,13.64,263700,13.17825
2015-12-24,13.90,13.90,13.57,13.86,84200,13.390801
2015-12-23,12.92,13.90,12.92,13.85,239000,13.381141
2015-12-22,12.75,13.30,12.51,12.91,358800,12.472962
2015-12-21,13.52,13.52,12.33,12.67,338000,12.241086
2015-12-18,13.00,13.27,12.13,12.89,538500,12.453639
2015-12-17,14.83,14.83,13.14,13.31,371200,12.859421
2015-12-16,14.87,14.90,14.47,14.90,153900,14.395594
2015-12-15,14.30,14.90,14.01,14.87,190500,14.36661
2015-12-14,15.14,15.25,13.70,14.06,255500,13.584031
2015-12-11,16.360001,16.370001,15.33,15.36,134800,14.840022
