Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,43.790001,44.709999,42.560001,44.310001,5227800,44.310001
2016-02-29,43.049999,44.009998,42.619999,43.599998,6601500,43.599998
2016-02-26,42.689999,43.619999,42.48,43.07,5547600,43.07
2016-02-25,41.66,42.369999,39.950001,41.580002,4256400,41.580002
2016-02-24,40.650002,42.040001,39.98,41.700001,4904300,41.700001
2016-02-23,43.66,44.709999,41.610001,41.919998,5141400,41.919998
2016-02-22,43.470001,44.59,43.040001,44.580002,5398100,44.580002
2016-02-19,41.540001,42.34,40.25,42.310001,6154400,42.310001
2016-02-18,44.00,44.200001,41.490002,42.07,7995500,42.07
2016-02-17,41.57,44.139999,41.43,43.470001,7789100,43.470001
2016-02-16,41.00,41.25,39.959999,40.84,6573700,40.84
2016-02-12,39.279999,40.150002,38.50,40.110001,12385800,40.110001
2016-02-11,38.439999,39.41,36.950001,38.93,9688400,38.93
2016-02-10,39.220001,40.150002,38.75,39.290001,9976200,39.290001
2016-02-09,38.279999,39.369999,37.349998,38.700001,8797100,38.700001
2016-02-08,37.23,39.119999,37.00,38.990002,14392700,38.990002
2016-02-05,38.700001,39.299999,38.00,38.02,40159300,38.02
2016-02-04,43.380001,45.16,42.529999,43.470001,9968900,43.470001
2016-02-03,40.27,43.02,38.970001,42.990002,10059700,42.990002
2016-02-02,40.57,40.57,38.77,39.360001,7280400,39.360001
2016-02-01,41.380001,42.259998,40.799999,41.759998,6180900,41.759998
2016-01-29,40.830002,42.66,40.52,42.50,8134500,42.50
2016-01-28,40.59,41.990002,39.049999,40.34,9889000,40.34
2016-01-27,34.970001,39.66,34.02,36.849998,11428700,36.849998
2016-01-26,35.119999,35.98,34.549999,34.810001,8791100,34.810001
2016-01-25,37.16,37.84,34.279999,34.380001,10090500,34.380001
2016-01-22,39.41,39.950001,36.799999,38.330002,7601000,38.330002
2016-01-21,35.07,37.950001,35.00,37.619999,7468600,37.619999
2016-01-20,35.77,35.77,32.41,35.209999,10518900,35.209999
2016-01-19,38.970001,39.259998,35.720001,36.529999,6149500,36.529999
2016-01-15,38.00,39.209999,37.709999,38.720001,6923600,38.720001
2016-01-14,38.880001,40.540001,38.470001,39.959999,7968400,39.959999
2016-01-13,40.189999,41.049999,38.220001,38.59,7043000,38.59
2016-01-12,42.490002,42.82,38.799999,39.599998,6291100,39.599998
2016-01-11,43.549999,43.77,41.299999,41.689999,6021500,41.689999
2016-01-08,43.93,44.419998,42.860001,43.580002,3851900,43.580002
2016-01-07,44.00,45.509998,43.490002,43.619999,4562900,43.619999
2016-01-06,46.68,46.77,44.860001,45.07,7968400,45.07
2016-01-05,47.68,48.119999,46.630001,48.07,3143500,48.07
2016-01-04,48.400002,49.849998,47.57,48.18,3273600,48.18
2015-12-31,47.740002,48.900002,47.709999,48.48,2394700,48.48
2015-12-30,48.490002,49.610001,48.099998,48.169998,1932300,48.169998
2015-12-29,49.799999,49.990002,48.790001,49.360001,1893500,49.360001
2015-12-28,49.43,49.900002,48.740002,48.990002,2298600,48.990002
2015-12-24,51.110001,51.259998,49.830002,50.57,1147100,50.57
2015-12-23,49.77,51.32,49.549999,51.27,3910500,51.27
2015-12-22,47.720001,48.759998,47.369999,48.48,3320200,48.48
2015-12-21,48.869999,49.240002,47.040001,47.439999,5436300,47.439999
2015-12-18,49.200001,50.84,48.470001,48.50,5523600,48.50
2015-12-17,51.040001,51.18,48.470001,49.200001,4490000,49.200001
2015-12-16,51.369999,52.52,50.400002,50.919998,4409000,50.919998
2015-12-15,51.119999,51.939999,50.790001,51.73,4095000,51.73
2015-12-14,49.849998,50.720001,48.889999,50.119999,4079200,49.87
2015-12-11,51.73,51.75,49.50,50.43,4142200,50.178455
2015-12-10,51.619999,53.110001,51.099998,52.48,3718700,52.218229
