Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,51.669998,52.360001,51.080002,52.290001,2563700,52.290001
2016-02-29,52.32,52.50,51.23,51.32,3204900,51.32
2016-02-26,52.720001,52.759998,51.810001,52.509998,2328500,52.509998
2016-02-25,51.900002,52.759998,50.650002,52.43,2806700,52.43
2016-02-24,50.52,52.00,49.48,51.919998,3531400,51.919998
2016-02-23,51.400002,51.57,50.189999,50.860001,2749300,50.860001
2016-02-22,49.32,51.389999,49.32,51.369999,4705900,51.369999
2016-02-19,47.849998,49.75,46.650002,49.169998,18939300,49.169998
2016-02-18,52.16,53.07,51.169998,52.720001,7048200,52.720001
2016-02-17,51.34,52.779999,51.080002,52.25,7112200,52.25
2016-02-16,49.639999,51.639999,49.509998,50.900002,4475100,50.900002
2016-02-12,48.939999,49.700001,47.299999,48.91,3800500,48.91
2016-02-11,48.580002,49.369999,47.970001,49.189999,2902600,49.189999
2016-02-10,50.619999,50.860001,49.150002,49.189999,2628400,49.189999
2016-02-09,50.220001,51.73,50.09,50.34,4308100,50.34
2016-02-08,48.150002,51.889999,47.970001,50.849998,6710000,50.849998
2016-02-05,47.43,48.950001,46.700001,48.18,4679400,48.18
2016-02-04,49.279999,49.279999,46.799999,47.43,5547800,47.43
2016-02-03,49.330002,50.779999,48.84,50.529999,4037700,50.529999
2016-02-02,50.18,50.18,48.66,49.16,3148500,49.16
2016-02-01,48.459999,50.189999,47.810001,49.93,2847000,49.93
2016-01-29,48.43,49.18,48.200001,49.099998,2101400,49.099998
2016-01-28,49.68,49.810001,47.48,47.990002,1680200,47.990002
2016-01-27,47.689999,48.849998,47.66,48.02,1826500,48.02
2016-01-26,47.369999,48.290001,47.080002,48.040001,2123200,48.040001
2016-01-25,47.93,48.189999,46.759998,46.869999,3191300,46.869999
2016-01-22,48.299999,49.099998,47.549999,48.02,4239700,48.02
2016-01-21,46.290001,48.23,45.970001,47.740002,5489300,47.740002
2016-01-20,45.540001,46.619999,44.689999,46.099998,4644900,46.099998
2016-01-19,45.759998,46.470001,44.560001,46.139999,4305100,46.139999
2016-01-15,44.490002,46.040001,44.490002,45.450001,3789600,45.450001
2016-01-14,46.060001,46.549999,44.630001,45.790001,3563100,45.790001
2016-01-13,47.200001,47.599998,45.84,45.950001,2726600,45.950001
2016-01-12,47.369999,47.549999,46.32,47.119999,2968700,47.119999
2016-01-11,46.529999,47.299999,45.880001,46.810001,3701600,46.810001
2016-01-08,48.48,48.509998,46.139999,46.240002,4014200,46.240002
2016-01-07,47.07,49.630001,47.02,48.50,7609900,48.50
2016-01-06,49.040001,49.310001,47.709999,48.490002,4198900,48.490002
2016-01-05,49.619999,50.700001,48.709999,49.970001,5307900,49.970001
