Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,44.610001,45.009998,44.459999,44.880001,281200,44.880001
2016-02-29,44.009998,45.310001,43.73,44.439999,379500,44.439999
2016-02-26,44.310001,44.580002,43.860001,43.990002,191900,43.990002
2016-02-25,43.66,44.349998,43.400002,44.32,235100,44.32
2016-02-24,42.810001,43.540001,42.630001,43.400002,193800,43.400002
2016-02-23,43.23,43.880001,42.82,43.00,187100,43.00
2016-02-22,43.130001,43.82,42.279999,43.119999,221900,43.119999
2016-02-19,43.18,43.59,42.959999,43.130001,259100,43.130001
2016-02-18,42.279999,43.240002,42.139999,43.240002,192900,43.240002
2016-02-17,42.389999,42.919998,42.119999,42.279999,191200,42.279999
2016-02-16,42.23,42.759998,41.950001,42.400002,212400,42.220002
2016-02-12,41.360001,42.07,41.25,41.889999,283100,41.712165
2016-02-11,41.619999,41.939999,40.549999,41.119999,583000,40.945433
2016-02-10,44.060001,44.200001,42.150002,42.18,419800,42.000934
2016-02-09,45.32,45.639999,43.860001,43.93,523400,43.743505
2016-02-08,45.639999,45.970001,44.889999,45.759998,249400,45.565734
2016-02-05,46.27,46.27,45.810001,45.98,197800,45.784802
2016-02-04,45.790001,46.290001,45.279999,46.16,181400,45.964038
2016-02-03,45.490002,46.189999,45.290001,45.959999,206100,45.764886
2016-02-02,44.939999,45.330002,44.509998,45.259998,216100,45.067857
2016-02-01,44.360001,45.299999,43.950001,45.09,147400,44.89858
2016-01-29,43.490002,44.639999,43.490002,44.529999,281100,44.340956
2016-01-28,43.77,43.98,43.23,43.419998,149400,43.235668
2016-01-27,45.220001,45.220001,43.310001,43.669998,239400,43.484607
2016-01-26,44.34,45.599998,44.139999,45.330002,257400,45.137563
2016-01-25,44.32,44.950001,43.950001,44.23,174700,44.042231
2016-01-22,43.580002,44.549999,43.27,44.369999,301300,44.181636
2016-01-21,43.880001,44.00,43.139999,43.25,279200,43.066392
2016-01-20,43.889999,44.349998,42.799999,43.66,480700,43.474651
2016-01-19,43.380001,44.610001,43.310001,44.32,374200,44.131849
2016-01-15,42.669998,43.259998,42.509998,43.259998,326400,42.897111
2016-01-14,42.84,43.779999,42.57,43.439999,339400,43.075601
2016-01-13,43.00,43.66,42.580002,42.84,211800,42.480636
2016-01-12,43.84,43.84,42.68,43.00,218100,42.639294
2016-01-11,43.169998,43.860001,43.169998,43.529999,173700,43.164847
2016-01-08,43.50,43.580002,42.970001,43.049999,189200,42.688873
2016-01-07,43.700001,43.98,43.27,43.349998,197600,42.986356
2016-01-06,44.23,44.68,44.009998,44.150002,135200,43.779648
2016-01-05,43.09,44.970001,43.080002,44.580002,284100,44.206042
2016-01-04,42.990002,43.080002,42.529999,42.990002,250000,42.629379
2015-12-31,43.689999,43.75,43.119999,43.139999,164600,42.778119
2015-12-30,43.73,43.91,43.540001,43.619999,135600,43.254092
2015-12-29,42.799999,43.77,42.610001,43.75,251900,43.383002
2015-12-28,42.00,42.709999,41.959999,42.700001,316500,42.341811
2015-12-24,41.990002,42.189999,41.830002,42.029999,149000,41.677429
2015-12-23,41.880001,42.110001,41.830002,42.00,361200,41.647682
2015-12-22,41.77,42.00,41.709999,41.830002,333800,41.47911
2015-12-21,41.650002,42.00,41.529999,41.68,184600,41.330367
2015-12-18,42.27,42.32,41.610001,41.630001,618300,41.102297
2015-12-17,42.470001,42.650002,42.18,42.310001,144100,41.773677
2015-12-16,41.880001,42.52,41.779999,42.43,274700,41.892155
2015-12-15,41.720001,42.00,41.66,41.700001,162300,41.171409
2015-12-14,41.599998,41.889999,41.169998,41.57,214900,41.043056
2015-12-11,41.57,42.139999,41.57,41.82,151800,41.289887
2015-12-10,42.080002,42.34,41.779999,41.98,121800,41.447859
2015-12-09,42.130001,42.330002,41.82,42.07,105700,41.536718
2015-12-08,42.310001,42.509998,42.049999,42.110001,100500,41.576212
2015-12-07,42.18,42.50,42.169998,42.369999,204400,41.832914
2015-12-04,41.50,42.32,41.490002,42.25,246700,41.714436
2015-12-03,41.759998,42.02,41.400002,41.529999,182800,41.003562
2015-12-02,42.759998,42.810001,41.830002,41.889999,195900,41.358999
2015-12-01,42.700001,42.880001,42.580002,42.799999,272000,42.257464
2015-11-30,42.740002,43.029999,42.50,42.630001,340300,42.089621
2015-11-27,42.259998,42.799999,42.16,42.740002,241500,42.198227
2015-11-25,42.259998,42.48,42.110001,42.299999,167500,41.763802
2015-11-24,42.029999,42.349998,41.59,42.310001,104400,41.773677
2015-11-23,42.009998,42.490002,41.98,42.209999,104700,41.674943
2015-11-20,41.610001,42.16,41.610001,42.00,147300,41.467605
2015-11-19,40.73,41.439999,40.73,41.400002,123300,40.875213
2015-11-18,40.349998,41.00,40.330002,40.73,258400,40.213704
2015-11-17,40.48,40.93,40.259998,40.400002,241000,39.710171
2015-11-16,40.48,40.82,40.02,40.57,271600,39.877267
2015-11-13,40.91,41.310001,40.400002,40.48,173700,39.788803
2015-11-12,41.240002,41.549999,40.849998,40.990002,168500,40.290097
2015-11-11,41.549999,41.799999,41.25,41.349998,130800,40.643947
2015-11-10,40.900002,41.52,40.73,41.439999,147800,40.732411
2015-11-09,41.919998,42.220001,40.610001,40.880001,147100,40.181975
2015-11-06,42.84,42.849998,41.610001,42.130001,394800,41.410631
2015-11-05,43.139999,43.27,42.900002,43.209999,178300,42.472188
2015-11-04,43.540001,43.700001,43.099998,43.169998,234100,42.43287
2015-11-03,43.290001,43.549999,42.580002,43.299999,200200,42.560652
2015-11-02,42.75,43.400002,42.619999,43.240002,181000,42.501679
2015-10-30,43.459999,43.560001,42.75,42.849998,177600,42.118335
2015-10-29,43.700001,43.830002,43.18,43.380001,176300,42.639287
2015-10-28,43.470001,43.93,43.23,43.799999,251000,43.052114
2015-10-27,43.799999,44.09,43.32,43.43,253500,42.688433
2015-10-26,44.259998,44.48,43.599998,43.869999,155100,43.120919
2015-10-23,44.73,44.84,43.880001,44.209999,114200,43.455113
2015-10-22,44.450001,44.630001,44.220001,44.630001,122900,43.867944
2015-10-21,44.139999,44.419998,44.009998,44.220001,127700,43.464945
2015-10-20,44.299999,44.369999,43.939999,44.07,91800,43.317504
2015-10-19,43.709999,44.400002,43.709999,44.400002,102000,43.464946
2015-10-16,43.509998,43.990002,43.310001,43.75,136500,42.828633
2015-10-15,43.23,43.369999,42.77,43.369999,225500,42.456635
2015-10-14,43.880001,44.189999,43.040001,43.099998,149600,42.192321
2015-10-13,44.32,44.529999,43.709999,43.889999,137600,42.965684
2015-10-12,43.880001,44.639999,43.810001,44.330002,144200,43.39642
2015-10-09,44.279999,44.490002,43.650002,43.950001,95900,43.024422
2015-10-08,44.169998,44.470001,43.84,44.27,155600,43.337683
2015-10-07,43.549999,44.439999,43.34,44.240002,223500,43.308316
2015-10-06,43.73,44.00,43.32,43.43,143200,42.515373
2015-10-05,43.139999,43.759998,43.00,43.709999,80800,42.789475
2015-10-02,42.450001,42.950001,41.970001,42.950001,278700,42.045482
2015-10-01,42.77,43.09,42.439999,42.57,316800,41.673484
2015-09-30,42.860001,43.09,42.34,42.669998,291800,41.771376
2015-09-29,42.380001,42.779999,42.259998,42.619999,138700,41.72243
2015-09-28,42.75,42.77,42.040001,42.330002,144200,41.43854
2015-09-25,42.41,43.189999,42.200001,42.91,159300,42.006323
2015-09-24,42.509998,42.790001,42.150002,42.310001,150100,41.418961
2015-09-23,42.50,42.900002,42.349998,42.599998,143700,41.702851
2015-09-22,42.310001,42.66,42.189999,42.299999,206000,41.409169
2015-09-21,42.490002,43.310001,42.34,42.52,193300,41.624537
