Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,28.790001,29.620001,28.790001,29.34,447500,29.34
2016-02-29,28.51,28.91,28.32,28.57,204600,28.57
2016-02-26,28.02,28.43,27.77,28.40,162500,28.40
2016-02-25,27.809999,27.93,27.219999,27.91,91900,27.91
2016-02-24,27.07,27.870001,26.77,27.809999,116900,27.809999
2016-02-23,27.860001,27.940001,27.290001,27.309999,155600,27.309999
2016-02-22,27.33,28.459999,27.33,27.950001,252400,27.950001
2016-02-19,27.00,27.299999,26.60,27.07,228300,27.07
2016-02-18,27.27,27.709999,26.85,27.08,226800,27.08
2016-02-17,26.940001,27.360001,26.700001,27.16,201400,27.16
2016-02-16,26.50,26.84,26.26,26.780001,162400,26.780001
2016-02-12,25.85,26.35,25.73,26.18,196600,26.18
2016-02-11,25.26,25.77,24.74,25.620001,241300,25.620001
2016-02-10,25.389999,26.059999,25.389999,25.74,218100,25.74
2016-02-09,24.74,25.530001,24.74,25.139999,180000,25.139999
2016-02-08,24.639999,25.25,24.379999,25.15,193800,25.15
2016-02-05,25.33,25.41,24.799999,25.00,277700,25.00
2016-02-04,25.059999,25.790001,25.040001,25.469999,118100,25.469999
2016-02-03,25.299999,25.33,24.50,25.059999,138100,25.059999
2016-02-02,25.870001,25.870001,25.00,25.030001,169500,25.030001
2016-02-01,25.879999,26.40,25.139999,26.219999,214800,26.219999
2016-01-29,25.219999,26.07,25.219999,26.059999,315900,26.059999
2016-01-28,25.57,25.690001,25.01,25.129999,246000,25.129999
2016-01-27,25.450001,25.889999,25.129999,25.290001,266900,25.290001
2016-01-26,25.24,25.85,25.10,25.67,243500,25.67
2016-01-25,25.58,25.59,25.01,25.09,170700,25.09
2016-01-22,25.440001,25.85,25.18,25.629999,219200,25.629999
2016-01-21,25.360001,25.68,24.91,25.07,287400,25.07
2016-01-20,24.360001,25.58,23.83,25.24,373600,25.24
2016-01-19,25.040001,25.530001,24.26,24.799999,376000,24.799999
2016-01-15,25.049999,25.219999,24.120001,25.040001,357800,25.040001
2016-01-14,25.959999,26.50,25.10,25.879999,381600,25.879999
2016-01-13,27.07,27.370001,25.84,25.93,269000,25.93
2016-01-12,27.67,27.90,26.40,27.16,492800,27.069999
2016-01-11,27.799999,27.84,26.780001,27.26,612400,27.169668
2016-01-08,29.00,29.440001,27.629999,27.68,500000,27.588277
2016-01-07,29.620001,29.860001,28.60,28.620001,371800,28.525162
2016-01-06,30.00,30.299999,29.98,30.10,329400,30.000257
2016-01-05,31.25,31.42,30.469999,30.51,426600,30.408899
2016-01-04,31.139999,31.59,31.049999,31.25,506900,31.146446
2015-12-31,31.889999,32.130001,31.43,31.83,290400,31.724524
2015-12-30,32.610001,32.66,31.82,31.969999,241400,31.86406
2015-12-29,32.700001,32.799999,32.290001,32.52,208600,32.412238
2015-12-28,33.27,33.27,32.27,32.52,253800,32.412238
2015-12-24,33.279999,33.669998,33.110001,33.369999,88700,33.25942
2015-12-23,32.84,33.52,32.759998,33.200001,278700,33.089985
2015-12-22,31.870001,32.669998,31.790001,32.540001,270500,32.432172
2015-12-21,31.84,32.27,31.459999,31.74,345800,31.634822
2015-12-18,31.620001,32.119999,31.280001,31.49,581200,31.385651
2015-12-17,32.560001,32.689999,31.82,31.83,346300,31.724524
2015-12-16,32.02,32.560001,31.74,32.48,385700,32.37237
2015-12-15,31.75,32.139999,31.40,31.60,400400,31.495287
2015-12-14,31.33,31.58,30.85,31.52,412900,31.415552
2015-12-11,30.030001,31.620001,30.00,31.33,942600,31.226181
2015-12-10,29.870001,32.00,26.26,30.549999,2140700,30.448765
2015-12-09,35.240002,35.470001,33.580002,34.049999,381500,33.937167
2015-12-08,34.720001,35.48,34.049999,35.16,196800,35.043489
2015-12-07,35.57,35.610001,35.080002,35.25,186600,35.133191
2015-12-04,35.34,35.900002,35.34,35.650002,288400,35.531867
2015-12-03,36.00,36.66,35.200001,35.299999,218500,35.183025
2015-12-02,36.93,36.950001,35.860001,35.93,272100,35.810938
2015-12-01,36.349998,37.25,36.279999,37.040001,335700,36.917261
2015-11-30,36.290001,36.439999,35.880001,36.080002,180600,35.960443
2015-11-27,36.220001,36.400002,35.869999,36.240002,95100,36.119912
