Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,16.41,16.48,16.41,16.43,18300,16.43
2016-02-29,16.43,16.450001,16.34,16.41,22800,16.41
2016-02-26,16.51,16.51,16.40,16.43,20000,16.43
2016-02-25,16.469999,16.58,16.459999,16.52,20600,16.52
2016-02-24,16.43,16.48,16.40,16.450001,18700,16.450001
2016-02-23,16.280001,16.41,16.25,16.360001,27100,16.360001
2016-02-22,16.35,16.35,16.209999,16.209999,29300,16.209999
2016-02-19,16.17,16.35,16.17,16.32,39600,16.32
2016-02-18,16.08,16.16,16.040001,16.15,24500,16.15
2016-02-17,16.120001,16.17,16.030001,16.049999,36300,16.049999
2016-02-16,16.43,16.43,16.200001,16.200001,32000,16.127001
2016-02-12,16.59,16.59,16.440001,16.48,20900,16.405738
2016-02-11,16.610001,16.620001,16.540001,16.540001,30200,16.465469
2016-02-10,16.48,16.540001,16.450001,16.540001,37000,16.465469
2016-02-09,16.41,16.459999,16.360001,16.440001,22400,16.365919
2016-02-08,16.299999,16.41,16.280001,16.40,17000,16.326098
2016-02-05,16.25,16.290001,16.17,16.290001,22500,16.216595
2016-02-04,16.16,16.200001,16.08,16.190001,19000,16.117046
2016-02-03,16.07,16.15,16.02,16.15,18800,16.077225
2016-02-02,16.129999,16.17,15.97,15.99,17500,15.917946
2016-02-01,16.030001,16.110001,15.98,16.110001,26900,16.037406
2016-01-29,15.89,16.049999,15.89,16.02,34700,15.947812
2016-01-28,15.84,15.87,15.75,15.87,21800,15.798487
2016-01-27,15.75,15.82,15.72,15.74,19200,15.669073
2016-01-26,15.64,15.75,15.64,15.75,35800,15.679028
2016-01-25,15.75,15.78,15.66,15.69,18000,15.619298
2016-01-22,15.65,15.78,15.60,15.73,23100,15.659117
2016-01-21,15.50,15.62,15.50,15.61,19400,15.539658
2016-01-20,15.74,15.74,15.42,15.44,77900,15.370424
2016-01-19,15.85,15.97,15.75,15.75,19500,15.606356
2016-01-15,16.040001,16.059999,15.79,15.79,40000,15.645992
2016-01-14,16.120001,16.120001,15.93,16.030001,26100,15.883803
