Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,29.50,29.799999,29.35,29.610001,149200,29.610001
2016-02-29,29.299999,29.99,29.08,29.209999,153700,29.209999
2016-02-26,28.950001,29.83,28.690001,29.299999,102300,29.299999
2016-02-25,28.65,28.780001,28.23,28.700001,66700,28.700001
2016-02-24,27.50,28.68,27.370001,28.629999,95600,28.629999
2016-02-23,27.540001,28.280001,27.42,27.790001,142800,27.790001
2016-02-22,27.10,27.84,26.98,27.40,274400,27.40
2016-02-19,27.00,27.879999,26.639999,26.65,311400,26.65
2016-02-18,26.91,27.00,26.42,26.610001,121000,26.610001
2016-02-17,26.82,27.889999,26.639999,26.93,163800,26.93
2016-02-16,25.360001,26.66,24.98,26.23,103900,26.23
2016-02-12,24.379999,25.33,24.25,25.110001,50600,25.110001
2016-02-11,24.17,24.43,23.870001,24.16,60000,24.16
2016-02-10,24.67,24.969999,24.42,24.440001,78400,24.440001
2016-02-09,24.60,24.809999,24.26,24.51,96600,24.51
2016-02-08,24.370001,25.10,24.17,24.98,194800,24.98
2016-02-05,24.91,25.60,24.50,24.59,222500,24.59
2016-02-04,24.91,25.440001,24.50,25.09,73000,25.09
2016-02-03,25.09,25.459999,24.33,25.280001,91600,25.280001
2016-02-02,25.030001,25.549999,24.85,24.91,135900,24.91
2016-02-01,25.360001,25.60,24.82,24.950001,159700,24.950001
2016-01-29,24.84,25.709999,24.690001,25.700001,185600,25.700001
2016-01-28,24.40,24.879999,24.34,24.780001,64000,24.780001
2016-01-27,24.27,24.74,23.959999,24.040001,60600,24.040001
2016-01-26,23.17,24.530001,23.17,24.41,120500,24.41
2016-01-25,23.299999,23.66,23.030001,23.16,98400,23.16
2016-01-22,23.469999,23.85,23.209999,23.42,81700,23.42
2016-01-21,23.09,23.51,22.780001,23.059999,144200,23.059999
2016-01-20,22.01,23.33,21.85,23.09,163600,23.09
2016-01-19,22.719999,22.799999,21.879999,22.32,202500,22.32
2016-01-15,22.16,22.709999,21.620001,22.67,164500,22.67
2016-01-14,23.129999,23.40,22.57,22.75,124000,22.75
2016-01-13,23.32,23.57,22.969999,23.08,200500,23.08
2016-01-12,23.280001,23.50,22.68,23.32,246100,23.32
2016-01-11,23.120001,23.120001,22.309999,22.790001,157400,22.790001
2016-01-08,24.35,24.35,22.969999,23.07,266000,23.07
2016-01-07,24.139999,24.709999,24.00,24.25,181300,24.25
2016-01-06,24.08,24.92,24.08,24.530001,145800,24.530001
2016-01-05,25.32,25.32,24.139999,24.530001,229100,24.530001
2016-01-04,25.299999,25.469999,24.66,25.299999,172100,25.299999
2015-12-31,26.73,26.98,25.700001,25.709999,172300,25.709999
2015-12-30,26.77,27.65,26.48,26.860001,179400,26.860001
2015-12-29,26.719999,27.01,26.43,26.77,156700,26.77
2015-12-28,26.76,26.93,26.18,26.469999,76800,26.469999
2015-12-24,27.52,27.66,26.889999,26.92,68500,26.92
2015-12-23,27.290001,27.98,26.969999,27.50,166100,27.50
2015-12-22,26.48,27.09,25.92,26.969999,133000,26.969999
2015-12-21,26.219999,26.389999,25.57,26.32,150800,26.32
2015-12-18,26.690001,27.02,25.92,25.950001,325200,25.950001
2015-12-17,27.27,27.379999,26.639999,26.889999,188600,26.889999
2015-12-16,26.48,27.190001,26.290001,27.10,117300,27.10
2015-12-15,26.48,26.59,26.10,26.280001,173300,26.280001
2015-12-14,26.209999,26.690001,25.92,26.290001,147100,26.290001
2015-12-11,25.74,26.530001,25.74,26.16,167000,26.16
2015-12-10,25.709999,26.35,25.620001,26.18,158800,26.18
2015-12-09,26.059999,26.43,25.25,25.629999,268300,25.629999
2015-12-08,26.42,26.700001,26.09,26.25,193200,26.25
2015-12-07,26.66,26.93,26.17,26.690001,296500,26.690001
2015-12-04,27.030001,27.24,26.73,26.799999,146500,26.799999
2015-12-03,27.51,27.58,26.83,27.01,124300,27.01
2015-12-02,27.190001,27.860001,27.110001,27.450001,114600,27.450001
2015-12-01,26.969999,27.280001,26.68,27.059999,150500,26.95
2015-11-30,27.780001,27.889999,26.42,26.75,208700,26.64126
2015-11-27,27.24,27.889999,26.93,27.83,190600,27.71687
2015-11-25,25.48,27.32,25.280001,26.90,313500,26.79065
2015-11-24,24.43,25.959999,24.42,25.16,487800,25.057724
2015-11-23,23.620001,24.18,23.360001,24.040001,431800,23.942277
2015-11-20,23.35,23.799999,23.129999,23.610001,224500,23.514025
2015-11-19,23.00,23.299999,22.85,23.120001,160300,23.026017
2015-11-18,23.120001,23.200001,22.16,22.950001,195700,22.856708
2015-11-17,22.85,23.51,22.030001,23.01,222200,22.916464
2015-11-16,21.559999,23.129999,21.559999,22.799999,471200,22.707316
2015-11-13,24.00,24.00,21.25,21.540001,533300,21.45244
2015-11-12,25.299999,25.43,24.950001,25.07,148400,24.968089
2015-11-11,26.15,26.280001,25.23,25.540001,130300,25.43618
2015-11-10,25.51,26.190001,25.51,26.15,149800,26.043699
2015-11-09,26.58,26.65,25.530001,25.59,109400,25.485976
2015-11-06,27.110001,27.110001,26.370001,26.58,158700,26.471951
2015-11-05,27.290001,27.43,26.620001,27.120001,109100,27.009757
2015-11-04,27.26,27.41,26.879999,27.15,132700,27.039634
2015-11-03,27.049999,27.26,26.690001,27.049999,149900,26.94004
2015-11-02,25.74,27.440001,25.74,27.02,153300,26.910163
2015-10-30,25.27,25.84,25.00,25.74,217300,25.635366
2015-10-29,25.280001,25.540001,25.10,25.32,168700,25.217073
