Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,16.90,16.969999,16.83,16.860001,53500,16.860001
2016-02-29,16.76,16.889999,16.76,16.879999,27400,16.879999
2016-02-26,16.780001,16.82,16.75,16.75,26600,16.75
2016-02-25,16.83,16.85,16.82,16.84,23700,16.84
2016-02-24,16.780001,16.82,16.75,16.809999,11700,16.809999
2016-02-23,16.65,16.780001,16.65,16.780001,23300,16.780001
2016-02-22,16.610001,16.700001,16.610001,16.639999,17900,16.639999
2016-02-19,16.66,16.709999,16.620001,16.66,22500,16.66
2016-02-18,16.66,16.719999,16.629999,16.690001,20800,16.690001
2016-02-17,16.58,16.67,16.58,16.610001,26900,16.610001
2016-02-16,16.690001,16.690001,16.57,16.629999,37300,16.629999
2016-02-12,16.799999,16.799999,16.629999,16.690001,25500,16.690001
2016-02-11,16.76,16.83,16.68,16.690001,43100,16.690001
2016-02-10,16.719999,16.90,16.719999,16.85,49400,16.767001
2016-02-09,16.73,16.77,16.700001,16.719999,11200,16.63764
2016-02-08,16.67,16.82,16.67,16.67,36200,16.587887
2016-02-05,16.77,16.82,16.66,16.66,40000,16.577936
2016-02-04,16.719999,16.76,16.709999,16.709999,21100,16.627689
2016-02-03,16.610001,16.780001,16.610001,16.690001,34000,16.607789
2016-02-02,16.58,16.77,16.58,16.700001,66600,16.61774
2016-02-01,16.700001,16.700001,16.530001,16.57,47600,16.488379
2016-01-29,16.50,16.65,16.50,16.65,28400,16.567985
2016-01-28,16.440001,16.48,16.440001,16.459999,9400,16.378921
2016-01-27,16.450001,16.48,16.42,16.440001,31300,16.359021
2016-01-26,16.41,16.42,16.280001,16.42,18800,16.339119
2016-01-25,16.379999,16.450001,16.290001,16.33,33800,16.249562
2016-01-22,16.370001,16.49,16.35,16.450001,20300,16.368972
2016-01-21,16.27,16.35,16.26,16.35,39100,16.269464
2016-01-20,16.35,16.41,16.23,16.280001,134700,16.199809
2016-01-19,16.49,16.50,16.35,16.35,18700,16.269464
2016-01-15,16.23,16.459999,16.23,16.440001,32700,16.359021
2016-01-14,16.43,16.43,16.32,16.370001,26000,16.289366
2016-01-13,16.43,16.43,16.360001,16.360001,34600,16.279415
2016-01-12,16.52,16.57,16.459999,16.469999,21600,16.30628
2016-01-11,16.549999,16.549999,16.450001,16.48,20900,16.316181
2016-01-08,16.59,16.610001,16.549999,16.549999,33900,16.385485
2016-01-07,16.629999,16.67,16.549999,16.59,37800,16.425088
