Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,17.639999,18.18,17.639999,17.950001,51600,17.950001
2016-02-29,17.73,18.51,17.41,17.50,110300,17.50
2016-02-26,17.77,18.124001,17.360001,17.50,43700,17.50
2016-02-25,16.780001,17.450001,16.513,17.450001,43400,17.450001
2016-02-24,16.610001,17.18,16.50,17.10,19600,17.10
2016-02-23,17.32,17.34,16.610001,16.940001,29600,16.940001
2016-02-22,17.190001,17.40,17.18,17.360001,23800,17.360001
2016-02-19,16.00,17.10,16.00,16.90,47200,16.90
2016-02-18,17.50,18.016001,15.39,15.77,167400,15.77
2016-02-17,17.26,18.030001,17.17,17.719999,70600,17.309999
2016-02-16,17.00,17.389999,16.74,17.139999,37800,16.743419
2016-02-12,16.57,17.110001,16.57,16.73,18600,16.342906
2016-02-11,16.200001,17.540001,16.200001,16.66,66800,16.274526
2016-02-10,17.00,17.65,17.00,17.26,85600,16.860644
2016-02-09,17.49,17.50,16.50,17.08,63100,16.684808
2016-02-08,17.65,17.74,17.17,17.469999,32900,17.065784
2016-02-05,17.549999,17.799999,17.51,17.709999,7500,17.300231
2016-02-04,17.629999,17.860001,17.50,17.58,16100,17.173239
2016-02-03,17.872,17.907,17.41,17.59,17000,17.183008
2016-02-02,17.60,18.120001,17.42,17.809999,48900,17.397917
2016-02-01,17.860001,18.040001,17.620001,17.709999,18800,17.300231
2016-01-29,17.77,18.084999,17.76,17.950001,13700,17.534679
2016-01-28,18.08,18.370001,17.719999,17.719999,18800,17.309999
2016-01-27,17.92,18.120001,17.75,17.84,10000,17.427224
2016-01-26,18.200001,18.549999,18.01,18.049999,26500,17.632364
2016-01-25,18.35,18.74,18.24,18.24,22100,17.817968
2016-01-22,17.82,18.860001,17.76,18.60,30300,18.169639
2016-01-21,18.75,19.120001,17.09,17.76,115500,17.349075
2016-01-20,18.60,19.110001,18.08,18.85,70500,18.413855
2016-01-19,19.700001,19.906,18.799999,19.50,55000,19.048815
2016-01-15,19.58,19.75,19.32,19.629999,51600,19.175806
2016-01-14,19.110001,20.219999,19.10,20.00,165000,19.537246
2016-01-13,19.99,19.99,19.25,19.35,183200,18.902286
2016-01-12,19.84,20.18,19.139999,19.950001,57900,19.488404
2016-01-11,19.809999,20.360001,19.74,19.870001,44200,19.410255
2016-01-08,20.459999,20.50,20.27,20.35,15500,19.879148
2016-01-07,20.299999,20.67,20.299999,20.42,25700,19.947528
2016-01-06,20.780001,20.889999,20.459999,20.58,17500,20.103826
2016-01-05,20.809999,21.023001,20.40,20.82,32000,20.338273
2016-01-04,21.309999,21.344999,20.540001,20.790001,90200,20.308968
2015-12-31,20.76,21.469999,19.75,21.360001,146100,20.86578
2015-12-30,20.83,21.00,20.450001,20.799999,52600,20.318735
2015-12-29,20.73,21.139999,20.370001,20.940001,66800,20.455497
2015-12-28,19.379999,21.045,19.299999,20.690001,235800,20.211282
2015-12-24,19.559999,19.83,19.35,19.459999,57800,19.00974
2015-12-23,19.18,19.969999,19.18,19.549999,66900,19.097657
2015-12-22,19.16,19.51,18.99,19.24,49500,18.794831
2015-12-21,19.41,19.563,19.059999,19.08,47500,18.638533
2015-12-18,19.219999,19.709999,19.072001,19.34,43900,18.892517
2015-12-17,19.360001,19.530001,19.059999,19.07,45200,18.628764
2015-12-16,19.280001,19.860001,18.99,19.190001,61700,18.745988
2015-12-15,19.280001,19.389999,18.60,19.049999,37200,18.609226
2015-12-14,19.629999,19.629999,18.52,18.950001,78000,18.511542
2015-12-11,20.25,20.379999,19.50,19.57,25800,19.117195
2015-12-10,20.50,20.91,19.959999,20.15,17100,19.683775
2015-12-09,19.75,20.940001,19.75,20.74,115400,20.260124
2015-12-08,18.40,19.65,18.40,19.549999,32800,19.097657
2015-12-07,19.040001,19.41,18.42,19.219999,82900,18.775293
2015-12-04,19.35,19.40,18.860001,19.40,53300,18.951128
2015-12-03,19.299999,19.68,19.00,19.200001,32500,18.755757
2015-12-02,19.65,19.82,19.309999,19.459999,43200,19.00974
2015-12-01,19.92,20.138,19.59,19.77,37000,19.312568
2015-11-30,20.24,20.35,19.610001,19.73,41700,19.273493
2015-11-27,20.059999,20.27,19.90,20.17,20500,19.703313
2015-11-25,19.98,20.450001,19.959999,20.08,24500,19.615395
2015-11-24,19.90,20.319,19.794001,19.98,32000,19.517709
2015-11-23,20.01,20.18,19.83,19.83,12800,19.37118
2015-11-20,20.10,20.239,19.85,19.959999,22000,19.498171
2015-11-19,19.92,20.24,19.92,20.00,16500,19.537246
2015-11-18,20.17,20.25,19.98,20.129999,20600,19.664238
2015-11-17,19.860001,20.26,19.77,20.120001,19200,19.654471
2015-11-16,20.00,20.190001,19.76,19.92,28700,19.459097
2015-11-13,19.959999,20.209999,19.799999,19.83,25500,19.37118
2015-11-12,20.77,20.84,19.85,20.01,43600,19.547015
2015-11-11,20.299999,21.040001,20.274,20.879999,79700,20.396884
2015-11-10,20.24,20.99,19.76,20.530001,53200,20.054984
2015-11-09,20.84,21.00,20.254999,20.50,19700,19.644701
2015-11-06,20.24,20.90,20.24,20.82,25700,19.95135
2015-11-05,20.389999,20.620001,19.90,20.129999,69200,19.290138
2015-11-04,21.030001,21.030001,20.18,20.219999,41100,19.376383
2015-11-03,20.969999,21.07,20.549999,20.950001,63400,20.075927
2015-11-02,20.860001,21.200001,20.73,21.00,43800,20.123841
2015-10-30,20.379999,21.25,20.231001,20.860001,60400,19.989682
2015-10-29,21.50,22.25,20.09,20.35,72200,19.50096
2015-10-28,20.17,21.00,20.00,20.00,46000,19.165562
2015-10-27,20.610001,20.959999,20.10,20.10,52500,19.261391
2015-10-26,20.51,20.98,20.129999,20.799999,43300,19.932184
2015-10-23,20.459999,20.73,19.93,20.559999,29600,19.702198
2015-10-22,20.459999,20.610001,20.264999,20.33,22600,19.481794
2015-10-21,20.32,20.620001,20.17,20.41,48200,19.558456
2015-10-20,21.16,21.83,20.110001,20.34,42200,19.491377
2015-10-19,20.43,21.360001,20.09,21.25,75900,20.36341
2015-10-16,20.610001,21.549999,20.219999,20.559999,104100,19.702198
2015-10-15,20.610001,21.190001,20.610001,20.74,78700,19.874688
2015-10-14,20.469999,21.299999,20.33,20.82,41600,19.95135
2015-10-13,20.190001,20.700001,19.50,20.68,71900,19.817192
2015-10-12,20.42,20.870001,20.23,20.639999,51600,19.77886
2015-10-09,20.559999,20.559999,20.18,20.48,25500,19.625535
2015-10-08,20.200001,20.66,20.08,20.299999,38700,19.453045
2015-10-07,20.389999,20.785,20.17,20.35,29800,19.50096
2015-10-06,19.60,20.459999,19.341999,20.120001,62100,19.280557
2015-10-05,19.200001,19.834999,19.200001,19.530001,54200,18.715172
2015-10-02,17.370001,19.129999,17.186001,19.01,92200,18.216867
2015-10-01,17.65,18.43,17.549999,18.00,114300,17.249006
2015-09-30,16.27,17.24,16.27,17.23,73800,16.511132
2015-09-29,16.85,16.958,16.245001,16.49,142500,15.802006
2015-09-28,17.68,17.68,16.76,16.93,115600,16.223649
2015-09-25,18.23,18.690001,17.50,18.00,72100,17.249006
2015-09-24,17.73,18.02,17.299999,18.02,116800,17.268172
2015-09-23,18.459999,18.459999,17.92,18.09,66400,17.335251
2015-09-22,18.26,18.334999,18.030001,18.23,29800,17.46941
2015-09-21,18.870001,18.870001,18.219999,18.32,53000,17.555655
2015-09-18,18.26,18.67,18.200001,18.459999,45800,17.689813
2015-09-17,18.540001,18.73,18.219999,18.540001,32200,17.766477
2015-09-16,18.540001,18.540001,18.110001,18.450001,83700,17.680232
2015-09-15,18.200001,18.85,18.200001,18.450001,49100,17.680232
2015-09-14,19.34,19.34,18.219999,18.299999,126900,17.536489
2015-09-11,20.09,20.129999,19.059999,19.209999,122900,18.408522
2015-09-10,20.486,20.486,19.34,19.98,90100,19.146396
2015-09-09,20.389999,20.77,20.25,20.559999,50300,19.702198
2015-09-08,20.84,20.93,20.254999,20.280001,72000,19.433881
2015-09-04,20.889999,20.92,20.23,20.629999,29800,19.769277
2015-09-03,20.52,21.00,20.459999,20.65,69300,19.788443
2015-09-02,20.530001,20.74,19.959999,20.610001,63100,19.750113
2015-09-01,20.77,21.117001,20.01,20.66,52100,19.798026
2015-08-31,21.40,21.780001,20.68,20.75,55400,19.884271
2015-08-28,21.129999,21.34,20.620001,21.309999,98300,20.420906
2015-08-27,20.389999,21.049999,19.965,20.93,66700,20.056761
2015-08-26,20.25,20.25,19.50,19.860001,70200,19.031404
2015-08-25,21.00,21.00,19.959999,20.26,50800,19.414715
2015-08-24,19.74,19.85,19.00,19.76,206800,18.935576
2015-08-21,21.08,21.10,20.299999,20.540001,97200,19.683033
2015-08-20,21.65,21.91,21.112,21.25,43100,20.36341
2015-08-19,21.90,22.280001,21.51,21.51,57700,20.612563
2015-08-18,21.84,22.17,21.709999,22.120001,89900,21.197113
2015-08-17,21.57,22.334999,21.57,22.040001,63400,21.120451
2015-08-14,22.049999,22.219999,21.209999,21.91,76400,20.995873
2015-08-13,21.99,22.25,21.52,21.75,99600,20.842549
2015-08-12,21.16,22.77,21.16,22.17,85900,21.245026
2015-08-11,21.41,21.938999,21.24,21.43,125300,20.181337
2015-08-10,21.469999,21.542,20.93,21.52,58000,20.266093
2015-08-07,22.610001,22.610001,21.309999,21.309999,30700,20.068329
2015-08-06,22.139999,22.139999,21.190001,22.00,59800,20.718125
2015-08-05,22.860001,23.00,21.92,21.959999,122100,20.680455
2015-08-04,22.52,22.906,22.23,22.43,50800,21.12307
2015-08-03,23.27,23.440001,22.33,22.52,39300,21.207826
2015-07-31,22.84,24.02,22.620001,22.90,101800,21.565684
2015-07-30,23.40,24.26,22.74,22.99,121300,21.65044
2015-07-29,21.51,22.705,21.360001,22.059999,75300,20.774628
2015-07-28,21.559999,21.91,21.07,21.65,92900,20.388518
2015-07-27,21.40,22.02,21.40,21.610001,58900,20.350849
2015-07-24,21.889999,22.33,20.639999,21.24,208400,20.002407
2015-07-23,21.60,22.33,21.549999,21.844999,68600,20.572155
2015-07-22,21.379999,22.790001,21.379999,21.66,169800,20.397935
2015-07-21,21.99,22.23,21.355,21.559999,49900,20.303762
2015-07-20,22.438,22.438,21.40,21.790001,54700,20.520362
2015-07-17,22.40,22.639999,22.190001,22.51,24100,21.198409
2015-07-16,22.780001,22.879999,22.33,22.59,21300,21.273747
2015-07-15,22.84,23.139999,22.41,22.65,21800,21.330251
2015-07-14,23.33,23.74,23.07,23.200001,13300,21.848205
2015-07-13,22.940001,23.799999,22.879999,22.99,36500,21.65044
2015-07-10,22.969999,23.49,22.594999,23.08,25600,21.735196
2015-07-09,22.639999,23.389999,22.639999,22.85,29400,21.518598
2015-07-08,23.35,23.65,22.540001,23.040001,42500,21.697528
2015-07-07,23.790001,23.799999,23.379999,23.379999,68100,22.017715
2015-07-06,23.43,23.93,23.370001,23.440001,42000,22.074221
2015-07-02,23.799999,24.35,23.447001,23.559999,49700,22.187228
2015-07-01,23.860001,24.16,23.219999,23.49,64000,22.121307
2015-06-30,23.98,24.33,23.690001,23.93,45700,22.53567
2015-06-29,24.110001,24.75,23.940001,24.10,56400,22.695764
2015-06-26,24.219999,24.468,23.969999,24.41,35500,22.987701
2015-06-25,24.75,24.75,24.030001,24.190001,13900,22.78052
2015-06-24,25.00,25.00,24.25,24.26,59500,22.846441
2015-06-23,24.18,25.00,23.945,24.99,43000,23.533906
2015-06-22,24.00,24.370001,23.629999,23.90,48900,22.507417
2015-06-19,24.09,25.09,23.639999,24.08,48400,22.676929
2015-06-18,21.719999,24.719999,21.610001,24.059999,206200,22.658094
2015-06-17,21.75,21.99,21.52,21.780001,43000,20.510944
2015-06-16,21.59,21.99,21.27,21.82,24600,20.548613
2015-06-15,21.360001,21.790001,21.24,21.67,142900,20.407353
2015-06-12,21.65,21.75,21.26,21.40,21400,20.153085
2015-06-11,22.190001,22.440001,21.74,21.75,35000,20.482692
2015-06-10,22.379999,22.587999,21.879999,22.25,29500,20.953558
2015-06-09,22.780001,22.90,22.299999,22.40,58200,21.094818
2015-06-08,22.92,23.10,22.66,22.73,41600,21.405589
2015-06-05,22.83,23.18,22.790001,22.799999,48000,21.47151
2015-06-04,23.41,23.559999,22.77,22.83,12200,21.499763
2015-06-03,23.690001,23.719999,23.18,23.52,89000,22.149559
2015-06-02,23.120001,23.940001,23.120001,23.610001,180800,22.234315
2015-06-01,23.01,23.530001,23.01,23.33,30300,21.970629
2015-05-29,23.93,23.93,23.02,23.120001,65500,21.772866
2015-05-28,24.059999,24.191,23.60,23.84,36600,22.450914
2015-05-27,24.76,24.76,23.969999,24.24,48000,22.827606
2015-05-26,24.49,24.68,24.299999,24.58,159700,23.147796
2015-05-22,24.389999,24.77,24.280001,24.389999,42000,22.968866
2015-05-21,24.59,24.91,24.43,24.52,13500,23.091292
2015-05-20,24.65,24.709999,24.25,24.49,34800,23.06304
2015-05-19,24.709999,24.790001,24.370001,24.49,93000,23.06304
2015-05-18,25.08,25.10,24.52,24.99,36900,23.533906
2015-05-15,24.799999,24.809999,24.32,24.700001,61000,23.260804
2015-05-14,24.790001,25.290001,24.25,24.450001,87100,23.025371
2015-05-13,24.57,24.82,24.309999,24.379999,17700,22.959448
2015-05-12,24.799999,25.01,24.559999,24.59,47600,22.827606
2015-05-11,24.83,24.98,24.709999,24.875,46200,23.092179
2015-05-08,25.139999,25.190001,24.66,24.68,40600,22.911155
2015-05-07,24.870001,25.059999,24.612,24.77,98100,22.994705
2015-05-06,24.76,24.870001,24.648001,24.870001,58900,23.087538
2015-05-05,24.488001,24.75,24.40,24.66,46100,22.892588
2015-05-04,24.370001,24.50,24.33,24.48,60500,22.725489
2015-05-01,24.358999,24.379999,24.07,24.26,20900,22.521257
2015-04-30,24.07,24.57,23.666,24.32,37200,22.576956
2015-04-29,24.049999,24.07,23.700001,23.99,11700,22.270608
2015-04-28,24.049999,24.129999,23.51,23.780001,26200,22.07566
2015-04-27,24.07,24.190001,23.639999,23.92,56600,22.205625
2015-04-24,24.190001,24.190001,23.516001,23.969999,30400,22.252041
2015-04-23,23.83,24.120001,23.629999,23.98,11100,22.261324
2015-04-22,23.440001,23.968,23.219999,23.76,8400,22.057093
2015-04-21,23.40,23.59,23.299999,23.370001,149400,21.695045
2015-04-20,23.280001,23.59,23.200001,23.299999,15100,21.630061
2015-04-17,23.08,23.52,22.92,23.059999,14800,21.407262
2015-04-16,23.379999,23.65,23.10,23.34,18000,21.667195
2015-04-15,23.50,23.639999,23.32,23.60,17200,21.90856
2015-04-14,23.549999,23.690001,22.969999,23.32,53700,21.648628
2015-04-13,23.49,24.00,22.92,22.92,22700,21.277296
2015-04-10,23.989,23.989,23.26,23.290001,26000,21.620779
2015-04-09,22.940001,23.83,22.940001,23.83,16800,22.122076
2015-04-08,23.379999,23.50,23.00,23.16,32800,21.500095
2015-04-07,22.73,23.25,22.27,23.17,11400,21.509379
2015-04-06,23.10,23.10,22.285,22.485001,37500,20.873474
2015-04-02,22.84,23.01,22.58,22.610001,15500,20.989515
2015-04-01,22.82,22.99,22.719999,22.719999,7800,21.09163
2015-03-31,23.08,23.25,22.622,22.622,26300,21.000654
2015-03-30,23.50,23.50,23.00,23.02,8700,21.37013
2015-03-27,23.02,23.549999,22.719999,23.379999,56600,21.704327
2015-03-26,22.809999,23.23,22.371,23.07,37800,21.416545
2015-03-25,22.16,22.768,22.16,22.549999,17700,20.933814
2015-03-24,22.91,22.91,22.01,22.299999,57100,20.701732
2015-03-23,22.110001,22.799999,22.110001,22.690001,20700,21.063781
2015-03-20,22.540001,22.85,22.041,22.25,59400,20.655316
2015-03-19,22.73,23.34,22.200001,22.370001,29600,20.766716
2015-03-18,23.01,23.209999,22.620001,22.98,58500,21.332996
2015-03-17,22.76,23.43,22.51,23.209999,35600,21.546511
2015-03-16,23.110001,23.110001,22.690001,22.799999,7800,21.165896
2015-03-13,22.969999,23.49,22.969999,23.129999,19100,21.472245
2015-03-12,22.676001,23.799999,22.631001,23.110001,72800,21.453679
2015-03-11,22.09,23.50,22.00,22.700001,41900,21.073065
2015-03-10,22.559999,22.799999,22.25,22.25,28000,20.655316
2015-03-09,23.299999,23.639999,22.76,22.809999,39100,21.17518
2015-03-06,23.57,23.629999,22.90,22.90,31400,21.258729
2015-03-05,23.90,23.92,23.52,23.530001,15600,21.843578
2015-03-04,23.83,24.16,23.700001,23.74,30800,22.038526
2015-03-03,24.43,24.50,23.90,24.030001,70300,22.307742
2015-03-02,24.450001,24.718,24.370001,24.370001,10300,22.623374
2015-02-27,25.01,25.01,24.030001,24.440001,29300,22.688357
2015-02-26,25.35,25.75,24.629999,24.84,38100,23.059688
2015-02-25,25.17,25.59,24.809999,25.16,59900,23.356753
2015-02-24,25.440001,25.75,25.02,25.02,64100,23.226787
2015-02-23,24.780001,25.190001,24.690001,25.120001,73100,23.319621
2015-02-20,24.049999,24.85,23.90,24.790001,93500,23.013272
2015-02-19,24.10,24.10,23.41,23.879999,62600,22.168491
2015-02-18,24.41,24.879999,23.60,24.129999,326000,22.094226
2015-02-17,23.309999,24.43,23.299999,24.190001,121000,22.149165
2015-02-13,22.76,23.690001,22.610001,23.40,113200,21.425814
