Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,56.189999,57.18,56.060001,57.049999,2356700,57.049999
2016-02-29,56.110001,56.169998,55.50,55.849998,2903300,55.849998
2016-02-26,56.48,56.50,55.970001,56.040001,2227700,56.040001
2016-02-25,56.25,56.50,55.970001,56.169998,2456300,56.169998
2016-02-24,56.040001,56.259998,55.110001,56.09,2669500,56.09
2016-02-23,56.18,56.799999,56.139999,56.299999,1791900,56.299999
2016-02-22,55.759998,56.25,55.639999,56.18,2599900,56.18
2016-02-19,55.25,55.720001,54.860001,55.50,3042900,55.50
2016-02-18,54.799999,55.580002,54.34,55.310001,3122100,55.310001
2016-02-17,54.869999,55.25,54.580002,54.900002,2768900,54.900002
2016-02-16,54.720001,54.869999,54.029999,54.790001,2881400,54.790001
2016-02-12,53.240002,54.23,53.049999,53.98,2453400,53.98
2016-02-11,52.57,53.150002,52.23,52.959999,3366300,52.959999
2016-02-10,53.490002,54.200001,53.369999,53.52,1686300,53.52
2016-02-09,52.23,53.580002,52.200001,53.279999,2388900,53.279999
2016-02-08,52.23,52.880001,51.68,52.700001,1914300,52.700001
2016-02-05,52.93,53.189999,52.290001,52.57,2141400,52.57
2016-02-04,52.919998,53.549999,52.73,53.189999,1653300,53.189999
2016-02-03,52.470001,53.27,51.790001,53.080002,2225200,53.080002
2016-02-02,52.700001,52.959999,51.75,52.119999,2516000,52.119999
2016-02-01,52.689999,53.470001,52.389999,53.259998,1741700,53.259998
2016-01-29,52.310001,53.07,52.18,52.950001,3420900,52.950001
2016-01-28,52.00,52.380001,51.639999,52.07,1450800,52.07
2016-01-27,52.130001,52.490002,51.459999,51.889999,2883400,51.889999
2016-01-26,52.189999,52.57,51.98,52.290001,1990900,52.290001
2016-01-25,52.919998,52.919998,52.09,52.240002,1714000,52.240002
2016-01-22,52.529999,53.139999,52.290001,52.98,2242400,52.98
2016-01-21,51.900002,52.580002,51.630001,51.98,2414100,51.98
2016-01-20,51.959999,52.369999,50.360001,51.919998,4113900,51.919998
2016-01-19,51.990002,52.73,51.84,52.619999,2156700,52.619999
2016-01-15,51.919998,52.110001,51.049999,51.52,3399000,51.52
2016-01-14,52.439999,53.009998,51.939999,52.779999,2786600,52.779999
2016-01-13,53.189999,53.349998,52.00,52.259998,2434300,52.259998
2016-01-12,52.970001,53.32,52.66,53.200001,2299900,53.200001
2016-01-11,52.349998,53.040001,52.25,52.860001,2127700,52.860001
2016-01-08,52.689999,53.150002,52.23,52.349998,2617400,52.349998
2016-01-07,52.580002,53.049999,52.419998,52.669998,3307100,52.669998
2016-01-06,52.169998,53.32,52.119999,53.299999,3272000,53.299999
2016-01-05,52.419998,52.700001,52.23,52.650002,2401400,52.650002
2016-01-04,52.599998,52.610001,52.00,52.450001,2060800,52.450001
2015-12-31,53.830002,53.970001,53.349998,53.369999,1053100,53.369999
2015-12-30,54.330002,54.48,53.919998,53.98,825100,53.98
2015-12-29,54.02,54.439999,54.02,54.349998,849000,54.349998
2015-12-28,53.400002,53.970001,53.34,53.91,986000,53.91
2015-12-24,53.470001,53.619999,53.200001,53.43,529500,53.43
2015-12-23,53.41,53.740002,53.290001,53.66,1228500,53.66
2015-12-22,52.990002,53.400002,52.52,53.200001,1410200,53.200001
2015-12-21,52.98,53.259998,52.490002,52.810001,1302000,52.810001
2015-12-18,53.00,53.09,52.389999,52.73,3876600,52.73
2015-12-17,53.91,54.099998,53.27,53.279999,3178800,53.279999
2015-12-16,53.700001,54.240002,53.16,53.93,2266400,53.93
2015-12-15,52.099998,53.419998,52.099998,53.34,3423400,53.34
2015-12-14,51.490002,51.880001,51.080002,51.830002,3184700,51.830002
2015-12-11,51.630001,51.84,51.169998,51.34,2134700,51.34
2015-12-10,51.970001,52.400002,51.740002,52.02,1450300,52.02
2015-12-09,52.299999,52.630001,51.650002,51.889999,1916800,51.889999
2015-12-08,51.849998,52.630001,51.700001,52.529999,2426300,52.529999
2015-12-07,52.459999,52.669998,51.799999,52.099998,2420300,52.099998
2015-12-04,52.009998,52.700001,52.009998,52.66,4590600,52.66
2015-12-03,53.52,53.669998,51.630001,51.84,3821900,51.84
2015-12-02,53.549999,53.84,53.380001,53.509998,1695200,53.509998
2015-12-01,54.049999,54.57,53.599998,53.919998,1980500,53.534998
2015-11-30,54.029999,54.169998,53.75,53.77,1809400,53.386071
2015-11-27,53.990002,54.240002,53.700001,53.919998,780700,53.534998
2015-11-25,54.02,54.16,53.91,54.029999,1038700,53.644213
2015-11-24,53.869999,54.080002,53.540001,53.98,1541100,53.594571
2015-11-23,54.119999,54.450001,53.939999,54.139999,1422200,53.753428
2015-11-20,53.860001,54.169998,53.779999,54.119999,1223800,53.73357
2015-11-19,53.77,53.900002,53.509998,53.630001,1181500,53.247071
2015-11-18,52.77,53.630001,52.560001,53.580002,1900000,53.197429
2015-11-17,52.619999,52.849998,52.439999,52.68,1492200,52.303854
2015-11-16,52.049999,52.57,52.040001,52.560001,2935800,52.184711
2015-11-13,52.650002,52.849998,52.02,52.16,2404400,51.787566
2015-11-12,53.459999,53.57,52.77,52.77,1882100,52.393211
2015-11-11,53.740002,54.080002,53.610001,53.630001,1525400,53.247071
2015-11-10,53.57,54.029999,53.529999,53.650002,1526000,53.266929
2015-11-09,54.27,54.41,53.50,53.689999,1556100,53.30664
2015-11-06,54.43,54.439999,53.970001,54.43,1399700,54.041358
2015-11-05,54.360001,54.57,54.23,54.43,1829300,54.041358
2015-11-04,54.09,55.279999,53.93,54.139999,2343700,53.753428
2015-11-03,54.310001,54.610001,53.880001,54.049999,2082200,53.66407
2015-11-02,53.860001,54.610001,53.860001,54.439999,2193200,54.051285
2015-10-30,54.439999,54.689999,53.759998,53.759998,3320700,53.37614
2015-10-29,54.669998,54.689999,54.200001,54.459999,1523800,54.071143
2015-10-28,54.59,54.849998,54.060001,54.610001,2812800,54.220073
2015-10-27,52.939999,54.50,52.799999,54.34,3126200,53.952001
2015-10-26,53.259998,53.630001,53.099998,53.189999,2226200,52.81021
2015-10-23,53.599998,53.810001,52.970001,53.189999,2839600,52.81021
2015-10-22,53.860001,53.970001,53.459999,53.509998,2538500,53.127925
2015-10-21,53.279999,53.779999,53.279999,53.439999,3239200,53.058425
2015-10-20,52.450001,52.869999,52.380001,52.709999,1727700,52.333638
2015-10-19,52.369999,52.650002,52.040001,52.509998,2003000,52.135065
2015-10-16,52.66,53.099998,52.189999,52.450001,2384500,52.075496
2015-10-15,52.549999,52.700001,52.23,52.50,1829900,52.125138
2015-10-14,52.970001,53.029999,52.43,52.450001,1412500,52.075496
2015-10-13,53.240002,53.419998,52.98,53.060001,1393400,52.681141
2015-10-12,53.07,53.560001,53.009998,53.41,894000,53.028641
2015-10-09,52.950001,53.549999,52.849998,53.16,1482800,52.780426
2015-10-08,51.799999,52.98,51.490002,52.950001,2472200,52.571926
2015-10-07,51.560001,51.990002,51.48,51.82,1582900,51.449994
2015-10-06,51.41,51.639999,51.139999,51.43,1857800,51.062779
2015-10-05,50.84,51.529999,50.790001,51.459999,1556500,51.092563
2015-10-02,49.700001,50.529999,49.490002,50.529999,1761200,50.169204
2015-10-01,49.849998,50.240002,49.52,50.099998,2361600,49.742274
2015-09-30,49.580002,49.860001,49.07,49.810001,3399600,49.454347
2015-09-29,49.720001,49.77,48.98,49.220001,5423500,48.86856
2015-09-28,50.18,50.279999,49.68,49.779999,2076200,49.424559
2015-09-25,50.220001,50.66,49.939999,50.369999,3294400,50.010346
2015-09-24,49.66,49.919998,49.419998,49.799999,3534500,49.444416
2015-09-23,49.880001,50.060001,49.439999,49.950001,2004200,49.593347
2015-09-22,49.650002,49.93,49.32,49.869999,1972800,49.513916
2015-09-21,50.259998,50.349998,49.970001,50.110001,2083600,49.752204
2015-09-18,49.459999,50.049999,49.439999,49.889999,3756400,49.533774
2015-09-17,50.240002,50.509998,49.939999,50.07,2119500,49.712489
2015-09-16,50.290001,50.290001,49.990002,50.16,2214900,49.801846
2015-09-15,50.049999,50.330002,49.880001,50.150002,2945900,49.79192
2015-09-14,50.009998,50.029999,49.450001,49.889999,2187000,49.533774
2015-09-11,49.68,50.049999,49.549999,50.00,1889200,49.642989
2015-09-10,49.779999,50.139999,49.509998,49.799999,2729400,49.444416
2015-09-09,51.02,51.18,50.029999,50.130001,3217000,49.389812
2015-09-08,50.580002,50.900002,50.25,50.700001,2922600,49.951396
2015-09-04,49.689999,50.189999,49.57,49.93,2295300,49.192765
2015-09-03,49.880001,50.549999,49.880001,50.279999,1934800,49.537595
2015-09-02,49.740002,49.959999,49.290001,49.779999,1701900,49.044978
2015-09-01,49.32,49.84,48.900002,49.310001,2870900,48.58192
2015-08-31,50.130001,50.27,49.919998,50.060001,2074700,49.320846
2015-08-28,50.080002,50.50,49.93,50.209999,2510000,49.468629
2015-08-27,50.029999,50.310001,49.310001,50.029999,3857000,49.291287
2015-08-26,50.32,50.34,49.119999,49.50,4369600,48.769114
2015-08-25,50.369999,50.77,49.119999,49.150002,3039200,48.424283
2015-08-24,49.18,50.68,48.790001,49.470001,4431600,48.739558
2015-08-21,52.060001,52.360001,51.630001,51.639999,3558700,50.877515
2015-08-20,52.290001,53.040001,52.099998,52.57,3257100,51.793784
2015-08-19,52.43,52.950001,52.169998,52.599998,2285100,51.823339
2015-08-18,52.540001,53.060001,52.50,52.700001,2028000,51.921865
2015-08-17,51.919998,52.700001,51.630001,52.639999,1428300,51.86275
2015-08-14,51.959999,52.290001,51.830002,52.25,1104600,51.478509
2015-08-13,51.720001,52.27,51.610001,51.900002,1872900,51.133678
2015-08-12,51.240002,51.91,51.150002,51.849998,2420400,51.084413
2015-08-11,51.009998,51.57,50.939999,51.52,1590600,50.759288
2015-08-10,51.029999,51.43,50.950001,51.389999,1606800,50.631206
2015-08-07,50.959999,51.119999,50.560001,50.759998,2308000,50.010508
2015-08-06,51.599998,51.799999,50.950001,50.98,1820400,50.22726
2015-08-05,51.209999,51.830002,51.18,51.599998,2052200,50.838105
2015-08-04,50.869999,51.380001,50.790001,50.970001,1853900,50.21741
2015-08-03,51.049999,51.130001,50.669998,50.799999,2178600,50.049918
2015-07-31,51.43,51.459999,51.040001,51.130001,1658300,50.375047
2015-07-30,50.540001,51.380001,50.540001,51.200001,2769400,50.444013
2015-07-29,50.27,50.790001,50.209999,50.700001,3278900,49.951396
2015-07-28,49.709999,50.25,49.52,50.16,3520500,49.419368
2015-07-27,48.73,49.540001,48.689999,49.060001,3871600,48.335612
2015-07-24,49.209999,49.560001,48.73,48.830002,3129700,48.109008
2015-07-23,47.759998,49.360001,47.759998,49.080002,4709200,48.355317
2015-07-22,48.220001,48.470001,47.549999,47.799999,2750100,47.094214
2015-07-21,48.509998,48.610001,48.02,48.23,1269500,47.517865
2015-07-20,48.639999,48.73,48.439999,48.529999,1022900,47.813435
2015-07-17,48.830002,48.889999,48.509998,48.68,1602100,47.961222
2015-07-16,48.669998,49.23,48.48,48.939999,2299000,48.217381
2015-07-15,48.630001,48.740002,48.32,48.400002,1573900,47.685357
2015-07-14,47.860001,48.669998,47.830002,48.599998,2284500,47.882401
2015-07-13,48.139999,48.169998,47.779999,47.93,2082400,47.222296
2015-07-10,47.560001,47.889999,47.310001,47.75,1920300,47.044953
2015-07-09,47.169998,47.34,47.07,47.150002,2254300,46.453814
2015-07-08,46.66,47.259998,46.599998,46.810001,2051700,46.118834
2015-07-07,46.529999,47.110001,46.41,47.02,1986300,46.325732
2015-07-06,46.040001,46.540001,45.860001,46.529999,1228500,45.842966
2015-07-02,46.57,46.669998,46.220001,46.369999,884600,45.685328
