Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,17.16,17.17,17.08,17.110001,65000,17.110001
2016-02-29,17.07,17.15,17.02,17.129999,94700,17.129999
2016-02-26,16.940001,17.07,16.879999,17.040001,111100,17.040001
2016-02-25,17.07,17.08,17.030001,17.08,54200,17.08
2016-02-24,17.030001,17.059999,17.01,17.02,60700,17.02
2016-02-23,16.83,17.01,16.83,16.959999,76100,16.959999
2016-02-22,16.85,16.92,16.85,16.860001,119100,16.860001
2016-02-19,16.76,16.91,16.76,16.879999,69800,16.879999
2016-02-18,16.74,16.870001,16.709999,16.799999,108000,16.799999
2016-02-17,16.66,16.709999,16.620001,16.629999,157800,16.629999
2016-02-16,16.940001,16.940001,16.73,16.73,276400,16.73
2016-02-12,17.10,17.18,16.98,16.98,75700,16.98
2016-02-11,17.18,17.25,17.10,17.10,134800,17.10
2016-02-10,17.200001,17.23,17.16,17.17,102900,17.17
2016-02-09,17.110001,17.25,17.07,17.25,158700,17.18
2016-02-08,17.08,17.120001,17.049999,17.07,153500,17.000731
2016-02-05,17.09,17.18,17.059999,17.10,149400,17.03061
2016-02-04,17.02,17.09,16.950001,17.02,116200,16.950934
2016-02-03,17.040001,17.08,17.00,17.02,110300,16.950934
2016-02-02,16.940001,17.049999,16.940001,17.040001,67200,16.970854
2016-02-01,16.940001,17.040001,16.92,16.940001,200500,16.871259
2016-01-29,16.860001,16.98,16.860001,16.940001,145600,16.871259
2016-01-28,16.809999,16.889999,16.799999,16.85,119800,16.781624
2016-01-27,16.790001,16.889999,16.790001,16.799999,104700,16.731826
2016-01-26,16.75,16.84,16.719999,16.799999,94600,16.731826
2016-01-25,16.67,16.799999,16.66,16.700001,91600,16.632233
2016-01-22,16.700001,16.90,16.66,16.690001,217800,16.622273
2016-01-21,16.73,16.860001,16.58,16.690001,262200,16.622273
2016-01-20,16.469999,16.73,16.120001,16.700001,755700,16.632233
2016-01-19,16.58,16.58,16.389999,16.40,102200,16.333449
2016-01-15,16.49,16.66,16.370001,16.52,261300,16.452963
2016-01-14,16.440001,16.49,16.40,16.48,114200,16.413125
2016-01-13,16.49,16.549999,16.43,16.440001,123900,16.373288
2016-01-12,16.610001,16.66,16.52,16.549999,138800,16.413123
2016-01-11,16.60,16.629999,16.559999,16.58,105500,16.442876
2016-01-08,16.52,16.620001,16.52,16.57,119700,16.432958
2016-01-07,16.43,16.58,16.43,16.52,158300,16.383373
2016-01-06,16.41,16.51,16.379999,16.41,147100,16.274282
2016-01-05,16.389999,16.41,16.33,16.389999,139900,16.254447
2016-01-04,16.33,16.379999,16.280001,16.360001,98200,16.224696
2015-12-31,16.290001,16.35,16.25,16.25,110400,16.115605
2015-12-30,16.120001,16.25,16.120001,16.25,110300,16.115605
2015-12-29,16.129999,16.190001,16.10,16.110001,89200,15.976764
2015-12-28,16.049999,16.25,16.01,16.219999,155300,16.085853
2015-12-24,16.040001,16.08,16.01,16.030001,23800,15.897425
