Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,16.59,17.049999,16.40,16.540001,69100,16.540001
2016-03-03,15.45,16.75,15.44,16.48,92000,16.48
2016-03-02,14.37,16.00,14.21,15.46,133900,15.46
2016-03-01,14.21,14.54,13.70,14.15,104400,14.15
2016-02-29,13.67,14.48,13.67,14.30,107200,14.30
2016-02-26,13.91,14.70,13.58,13.79,131800,13.79
2016-02-25,14.44,14.52,13.50,14.01,80300,14.01
2016-02-24,14.71,14.88,14.35,14.47,88700,14.47
2016-02-23,15.32,15.59,14.58,14.84,57000,14.84
2016-02-22,15.41,15.77,15.18,15.48,74600,15.48
2016-02-19,15.08,15.315,14.69,15.26,75300,15.26
2016-02-18,15.49,15.49,14.39,15.16,112800,15.16
2016-02-17,14.90,15.87,14.78,15.45,118000,15.45
2016-02-16,14.40,14.61,14.05,14.40,121100,14.40
2016-02-12,14.62,14.68,13.34,14.24,114500,14.24
2016-02-11,14.71,14.78,13.86,14.05,105600,14.05
2016-02-10,16.280001,16.280001,14.60,15.01,175400,15.01
2016-02-09,14.27,15.00,13.819,14.15,104600,14.15
2016-02-08,16.00,16.00,13.21,14.50,189600,14.50
2016-02-05,17.26,17.48,16.09,16.09,81600,16.09
2016-02-04,17.49,17.65,16.985001,17.219999,93900,17.219999
2016-02-03,17.440001,17.639999,16.389999,17.23,61500,17.23
2016-02-02,17.639999,17.66,17.25,17.41,101100,17.41
2016-02-01,17.32,17.540001,17.139999,17.41,97100,17.41
2016-01-29,17.40,17.99,17.01,17.33,255700,17.33
2016-01-28,18.450001,18.450001,17.00,17.309999,163200,17.309999
2016-01-27,19.200001,19.43,17.43,17.67,70900,17.67
2016-01-26,18.780001,19.219999,18.440001,19.190001,25900,19.190001
2016-01-25,17.24,18.709999,17.136,18.459999,59200,18.459999
2016-01-22,17.209999,17.68,17.049999,17.17,107000,17.17
2016-01-21,17.870001,17.870001,16.700001,16.959999,85400,16.959999
2016-01-20,17.51,18.030001,16.309999,17.85,179200,17.85
2016-01-19,18.799999,18.903,17.58,17.74,67500,17.74
2016-01-15,18.76,18.85,18.07,18.440001,81300,18.440001
2016-01-14,19.73,20.045,18.92,19.08,76100,19.08
2016-01-13,20.76,20.799999,18.00,19.620001,147500,19.620001
2016-01-12,20.68,20.969999,20.52,20.76,24200,20.76
2016-01-11,21.42,21.51,20.50,20.60,58800,20.60
2016-01-08,22.10,22.10,20.809999,21.32,55500,21.32
2016-01-07,22.48,22.50,21.07,21.889999,197000,21.889999
2016-01-06,22.190001,22.59,21.219999,22.379999,134900,22.379999
2016-01-05,22.26,22.73,21.65,22.34,68800,22.34
2016-01-04,20.48,22.42,20.389999,22.309999,66300,22.309999
2015-12-31,21.110001,21.549999,19.879999,20.82,145500,20.82
2015-12-30,21.34,22.120001,20.42,20.92,137200,20.92
2015-12-29,22.67,23.389999,21.219999,21.219999,324400,21.219999
2015-12-28,22.889999,23.629999,22.00,22.49,210600,22.49
2015-12-24,21.85,22.92,21.85,22.639999,53900,22.639999
2015-12-23,22.049999,22.327999,21.530001,21.76,106000,21.76
2015-12-22,21.34,22.450001,21.34,21.790001,148800,21.790001
2015-12-21,21.559999,22.035,21.129999,21.25,99500,21.25
2015-12-18,21.26,22.459999,20.75,21.559999,552300,21.559999
2015-12-17,20.00,20.870001,19.110001,20.709999,95200,20.709999
2015-12-16,19.42,20.35,18.997,19.98,123000,19.98
2015-12-15,19.18,19.75,19.00,19.24,96300,19.24
2015-12-14,20.52,20.639999,18.42,18.99,56100,18.99
2015-12-11,19.200001,20.75,19.00,20.309999,129100,20.309999
2015-12-10,18.799999,19.709999,18.709999,19.620001,49300,19.620001
2015-12-09,17.33,18.77,17.33,18.75,56400,18.75
2015-12-08,18.85,18.85,18.00,18.690001,41100,18.690001
2015-12-07,17.60,18.15,17.108,18.00,53600,18.00
2015-12-04,18.440001,18.639999,17.41,17.469999,332200,17.469999
2015-12-03,18.690001,18.899,18.50,18.540001,34700,18.540001
2015-12-02,18.48,18.90,18.309999,18.75,53400,18.75
2015-12-01,18.50,18.665001,18.25,18.52,93400,18.52
2015-11-30,19.17,19.18,18.549999,18.74,27700,18.74
2015-11-27,19.139999,19.139999,18.780001,18.90,16800,18.90
2015-11-25,18.99,19.00,18.809999,18.93,42600,18.93
2015-11-24,18.99,18.99,18.450001,18.90,63700,18.90
2015-11-23,17.809999,18.99,17.76,18.99,47600,18.99
2015-11-20,18.200001,18.799999,18.049999,18.07,77600,18.07
2015-11-19,17.540001,18.27,17.540001,18.00,136500,18.00
2015-11-18,17.469999,18.10,17.25,17.75,96600,17.75
2015-11-17,17.51,18.139999,17.209999,17.27,145700,17.27
2015-11-16,18.379999,18.90,17.60,17.700001,374000,17.700001
2015-11-13,16.00,18.24,15.75,18.00,3539600,18.00
