Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,26.17,26.26,26.10,26.26,99800,26.26
2016-02-29,25.860001,26.049999,25.860001,26.049999,43700,26.049999
2016-02-26,25.940001,25.940001,25.809999,25.860001,47300,25.860001
2016-02-25,26.10,26.290001,26.049999,26.26,61600,26.26
2016-02-24,25.83,26.120001,25.83,26.120001,48600,26.120001
2016-02-23,26.040001,26.09,25.74,26.040001,67400,26.040001
2016-02-22,26.129999,26.25,25.950001,26.01,113900,26.01
2016-02-19,25.67,26.139999,25.610001,26.139999,107100,26.139999
2016-02-18,25.790001,25.99,25.73,25.959999,89100,25.959999
2016-02-17,25.76,25.84,25.50,25.82,76600,25.82
2016-02-16,25.27,25.75,25.219999,25.709999,122000,25.709999
2016-02-12,25.40,25.40,24.93,25.27,156200,25.27
2016-02-11,24.879999,25.219999,24.610001,25.16,234900,25.16
2016-02-10,25.10,25.58,25.10,25.35,118100,25.35
2016-02-09,24.879999,25.190001,24.52,25.030001,366600,25.030001
2016-02-08,25.00,25.17,21.00,25.17,753600,25.17
2016-02-05,25.73,25.74,25.25,25.309999,297900,25.309999
2016-02-04,25.950001,26.00,25.75,25.780001,95000,25.780001
2016-02-03,26.18,26.190001,25.90,26.040001,43200,26.040001
2016-02-02,26.02,26.68,26.02,26.18,45400,26.18
2016-02-01,25.940001,26.200001,25.940001,26.190001,45600,26.190001
2016-01-29,25.959999,26.09,25.950001,26.07,53400,26.07
2016-01-28,25.889999,25.99,25.780001,25.959999,86800,25.959999
2016-01-27,25.799999,25.98,25.799999,25.92,48300,25.92
2016-01-26,25.799999,25.93,25.799999,25.90,50500,25.90
2016-01-25,25.879999,25.90,25.809999,25.809999,33000,25.809999
2016-01-22,25.799999,25.889999,25.700001,25.889999,208500,25.889999
2016-01-21,25.709999,25.780001,25.700001,25.700001,34300,25.700001
2016-01-20,25.75,25.780001,25.41,25.73,102600,25.73
2016-01-19,25.84,25.85,25.76,25.83,35900,25.83
2016-01-15,25.790001,25.85,25.67,25.82,40600,25.82
2016-01-14,25.84,25.889999,25.799999,25.809999,62200,25.809999
2016-01-13,25.799999,25.879999,25.799999,25.82,42100,25.82
2016-01-12,25.83,25.92,25.719999,25.77,35800,25.77
2016-01-11,25.91,25.950001,25.83,25.860001,11800,25.860001
2016-01-08,26.00,26.00,25.91,25.98,26100,25.98
2016-01-07,25.67,26.02,25.67,25.98,43700,25.98
2016-01-06,25.82,26.09,25.82,26.09,23400,26.09
2016-01-05,26.15,26.15,25.98,26.01,44000,26.01
2016-01-04,25.92,26.040001,25.860001,26.040001,25500,26.040001
2015-12-31,26.030001,26.030001,25.99,25.99,6600,25.99
2015-12-30,25.969999,26.030001,25.959999,26.02,14300,26.02
2015-12-29,25.889999,25.99,25.860001,25.969999,31700,25.969999
2015-12-28,25.860001,26.02,25.809999,25.959999,21100,25.959999
2015-12-24,25.809999,25.92,25.809999,25.92,5600,25.92
2015-12-23,25.82,25.879999,25.77,25.85,20900,25.85
2015-12-22,25.700001,25.84,25.65,25.709999,27100,25.709999
2015-12-21,25.65,25.77,25.65,25.700001,26500,25.700001
2015-12-18,25.73,25.75,25.629999,25.629999,35700,25.629999
2015-12-17,25.629999,25.809999,25.629999,25.67,36500,25.67
2015-12-16,25.559999,25.75,25.559999,25.700001,33100,25.700001
2015-12-15,25.549999,25.66,25.450001,25.610001,58200,25.610001
2015-12-14,25.780001,25.790001,25.370001,25.370001,83200,25.370001
2015-12-11,25.950001,25.950001,25.68,25.76,37700,25.76
2015-12-10,26.01,26.040001,25.91,25.950001,23800,25.950001
2015-12-09,26.190001,26.190001,25.969999,25.99,39700,25.99
2015-12-08,26.129999,26.17,26.040001,26.10,16200,26.10
2015-12-07,26.25,26.25,26.16,26.18,21700,26.18
2015-12-04,26.200001,26.26,26.129999,26.23,26500,26.23
2015-12-03,26.110001,26.280001,26.07,26.190001,48800,26.190001
2015-12-02,26.219999,26.219999,26.110001,26.17,23800,26.17
2015-12-01,26.110001,26.299999,26.110001,26.280001,45000,26.280001
2015-11-30,26.43,26.440001,26.10,26.129999,80400,26.129999
2015-11-27,26.24,26.450001,26.18,26.450001,25900,26.450001
2015-11-25,26.51,26.620001,26.51,26.610001,33400,26.160001
2015-11-24,26.42,26.610001,26.42,26.559999,37800,26.110846
2015-11-23,26.42,26.440001,26.41,26.440001,18400,25.992876
2015-11-20,26.360001,26.43,26.360001,26.40,21900,25.953552
2015-11-19,26.25,26.35,26.25,26.34,30400,25.894567
2015-11-18,26.280001,26.360001,26.27,26.280001,32800,25.835582
2015-11-17,26.34,26.35,26.209999,26.27,31200,25.825751
2015-11-16,26.40,26.459999,26.309999,26.34,14200,25.894567
2015-11-13,26.43,26.43,26.32,26.43,12600,25.983045
2015-11-12,26.41,26.469999,26.379999,26.42,37400,25.973214
2015-11-11,26.32,26.469999,26.32,26.469999,21200,26.022368
2015-11-10,26.25,26.360001,26.25,26.35,39800,25.904398
2015-11-09,26.219999,26.35,26.110001,26.309999,34600,25.865073
2015-11-06,26.299999,26.33,26.16,26.27,51300,25.825751
2015-11-05,26.360001,26.43,26.32,26.360001,57200,25.914229
2015-11-04,26.219999,26.41,26.129999,26.389999,29600,25.94372
2015-11-03,26.17,26.32,26.17,26.26,31300,25.81592
2015-11-02,26.24,26.24,26.120001,26.200001,38600,25.756935
2015-10-30,26.10,26.26,26.10,26.24,23300,25.796257
2015-10-29,26.219999,26.24,26.08,26.200001,21000,25.756935
2015-10-28,26.25,26.299999,26.139999,26.23,32400,25.786426
2015-10-27,26.200001,26.25,26.18,26.219999,26600,25.776595
2015-10-26,26.10,26.209999,26.02,26.200001,32400,25.756935
2015-10-23,26.15,26.190001,26.049999,26.10,25300,25.658626
2015-10-22,26.200001,26.25,26.139999,26.23,24400,25.786426
2015-10-21,26.07,26.25,26.07,26.219999,22500,25.776595
2015-10-20,26.040001,26.120001,25.969999,26.120001,30100,25.678288
