Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,19.209999,19.91,18.90,19.91,665700,19.91
2016-02-29,19.610001,19.82,18.879999,19.02,762400,19.02
2016-02-26,18.73,20.860001,18.73,19.610001,1220500,19.610001
2016-02-25,17.35,18.209999,17.26,18.10,717800,18.10
2016-02-24,17.26,17.43,16.66,17.34,407000,17.34
2016-02-23,17.290001,17.469999,17.139999,17.450001,545800,17.450001
2016-02-22,17.15,17.49,16.889999,17.35,443300,17.35
2016-02-19,16.84,16.99,16.790001,16.799999,383600,16.799999
2016-02-18,17.299999,17.50,16.879999,16.889999,546900,16.889999
2016-02-17,16.65,17.49,16.52,17.299999,852200,17.299999
2016-02-16,16.24,16.57,16.01,16.51,663100,16.51
2016-02-12,15.84,16.18,15.81,16.059999,802900,16.059999
2016-02-11,16.209999,16.32,15.74,15.84,651000,15.84
2016-02-10,16.49,16.84,16.27,16.51,597400,16.51
2016-02-09,16.48,16.700001,16.10,16.35,692700,16.35
2016-02-08,17.57,17.950001,16.440001,16.75,597700,16.75
2016-02-05,18.809999,18.809999,17.719999,17.74,648000,17.74
2016-02-04,18.860001,19.129999,18.68,18.91,313400,18.91
2016-02-03,19.50,19.66,18.610001,18.940001,638300,18.940001
2016-02-02,19.84,19.99,19.18,19.280001,261800,19.280001
2016-02-01,20.09,20.209999,19.549999,20.07,285700,20.07
2016-01-29,19.77,20.280001,19.75,20.280001,436100,20.280001
2016-01-28,20.26,20.35,19.57,19.65,296300,19.65
2016-01-27,19.889999,20.200001,19.76,20.10,432200,20.10
2016-01-26,19.889999,20.049999,19.57,19.959999,338400,19.959999
2016-01-25,20.33,20.549999,19.620001,19.75,690800,19.75
2016-01-22,20.02,20.75,20.02,20.450001,618300,20.450001
2016-01-21,19.15,20.200001,19.040001,19.73,585900,19.73
2016-01-20,19.00,19.379999,18.379999,19.09,1142500,19.09
2016-01-19,19.67,19.799999,19.09,19.26,609200,19.26
2016-01-15,19.459999,19.620001,19.120001,19.49,659000,19.49
2016-01-14,19.700001,20.07,19.09,19.93,858900,19.93
2016-01-13,20.360001,20.52,19.540001,19.559999,756100,19.559999
2016-01-12,20.66,20.83,19.799999,20.360001,871100,20.360001
2016-01-11,20.84,20.940001,20.110001,20.51,629800,20.51
2016-01-08,21.74,21.91,20.709999,20.77,767900,20.77
2016-01-07,22.700001,22.700001,21.690001,21.75,629100,21.75
2016-01-06,23.32,23.49,22.98,23.15,349300,23.15
2016-01-05,23.559999,23.639999,23.34,23.620001,242000,23.620001
2016-01-04,24.26,24.26,23.299999,23.540001,413800,23.540001
2015-12-31,24.09,24.40,23.870001,24.08,290200,24.08
2015-12-30,24.32,24.49,24.18,24.190001,212900,24.190001
2015-12-29,24.299999,24.50,24.030001,24.34,1341700,24.34
2015-12-28,24.110001,24.389999,24.09,24.309999,159800,24.19
2015-12-24,24.40,24.48,24.209999,24.26,146600,24.140248
2015-12-23,24.23,24.559999,24.190001,24.40,240100,24.279556
2015-12-22,23.709999,24.17,23.60,24.129999,271500,24.010888
2015-12-21,23.719999,23.99,23.51,23.629999,166800,23.513356
2015-12-18,23.91,24.00,23.59,23.60,624100,23.483506
2015-12-17,24.32,24.450001,23.950001,24.07,249700,23.951185
2015-12-16,24.139999,24.309999,23.959999,24.24,628100,24.120346
2015-12-15,23.559999,24.01,23.469999,24.00,438600,23.881531
2015-12-14,23.959999,24.219999,23.32,23.41,413100,23.294443
2015-12-11,24.66,25.16,23.790001,23.93,605100,23.811877
2015-12-10,25.08,25.42,24.98,25.08,241100,24.9562
2015-12-09,25.110001,25.469999,24.940001,25.110001,304700,24.986052
2015-12-08,25.23,25.459999,25.02,25.17,292800,25.045755
2015-12-07,25.809999,25.870001,25.26,25.40,331000,25.27462
2015-12-04,25.639999,25.950001,25.440001,25.879999,463900,25.75225
2015-12-03,26.01,26.219999,25.48,25.559999,368300,25.43383
2015-12-02,26.26,26.290001,25.870001,25.950001,345200,25.821906
2015-12-01,26.209999,26.309999,25.940001,26.290001,236200,26.160228
2015-11-30,26.33,26.440001,26.01,26.10,343400,25.971165
2015-11-27,26.10,26.379999,25.959999,26.24,64300,26.110473
2015-11-25,25.950001,26.120001,25.780001,26.120001,207100,25.991067
2015-11-24,25.620001,25.99,25.530001,25.950001,272300,25.821906
2015-11-23,25.48,25.959999,25.389999,25.709999,356200,25.583089
2015-11-20,25.280001,25.57,24.92,25.559999,304200,25.43383
2015-11-19,25.17,25.41,25.049999,25.139999,183300,25.015903
2015-11-18,25.139999,25.280001,24.870001,25.15,364800,25.025854
2015-11-17,24.75,25.18,24.66,25.049999,198000,24.926347
2015-11-16,24.74,24.780001,24.48,24.74,293900,24.617878
2015-11-13,24.799999,25.209999,24.469999,24.66,487200,24.538273
2015-11-12,25.23,25.280001,24.889999,24.92,253600,24.79699
2015-11-11,25.17,25.610001,25.15,25.42,217700,25.294521
2015-11-10,25.049999,25.16,24.889999,25.110001,326600,24.986052
2015-11-09,25.52,25.530001,25.040001,25.07,304100,24.946249
2015-11-06,25.50,25.67,24.98,25.58,316600,25.453731
