Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,8.08,8.37,8.02,8.06,316300,8.06
2016-03-03,7.79,8.20,7.73,8.00,382400,8.00
2016-03-02,7.42,7.94,7.37,7.87,160300,7.87
2016-03-01,7.36,7.51,7.27,7.44,210000,7.44
2016-02-29,7.24,7.44,7.15,7.30,207700,7.30
2016-02-26,7.27,7.41,7.08,7.11,117400,7.11
2016-02-25,6.92,7.17,6.83,7.06,73600,7.06
2016-02-24,6.49,7.02,6.46,7.00,141500,7.00
2016-02-23,7.09,7.29,6.75,6.78,358200,6.78
2016-02-22,6.89,7.18,6.89,7.18,290300,7.18
2016-02-19,6.69,6.86,6.51,6.68,303600,6.68
2016-02-18,6.96,7.11,6.77,6.90,370700,6.90
2016-02-17,6.36,6.97,6.36,6.87,306600,6.87
2016-02-16,5.92,6.27,5.92,6.24,369600,6.24
2016-02-12,5.68,5.85,5.57,5.77,239700,5.77
2016-02-11,5.71,5.78,5.29,5.53,200000,5.53
2016-02-10,5.85,6.06,5.68,5.83,223600,5.83
2016-02-09,5.82,5.92,5.64,5.89,289400,5.89
2016-02-08,7.08,7.08,6.07,6.10,547400,6.10
2016-02-05,7.93,7.93,7.18,7.28,232800,7.28
2016-02-04,7.67,8.14,7.42,8.08,171200,8.08
2016-02-03,7.67,7.75,7.25,7.72,312100,7.72
2016-02-02,7.42,7.55,7.22,7.46,244500,7.46
2016-02-01,7.68,7.77,7.39,7.65,237700,7.65
2016-01-29,7.80,8.30,7.74,7.79,208200,7.79
2016-01-28,7.36,7.80,7.31,7.63,235400,7.63
2016-01-27,7.38,7.38,7.01,7.09,274500,7.09
2016-01-26,6.93,7.41,6.68,7.17,393300,7.17
2016-01-25,6.97,7.33,6.83,6.85,311200,6.85
2016-01-22,6.59,7.07,6.59,7.02,228300,7.02
2016-01-21,6.10,6.40,6.03,6.25,341700,6.25
2016-01-20,6.27,6.39,5.60,6.11,405100,6.11
2016-01-19,7.32,7.35,6.52,6.66,337400,6.66
2016-01-15,7.16,7.96,7.08,7.32,307000,7.32
2016-01-14,7.32,7.69,6.85,7.62,257300,7.62
2016-01-13,8.62,8.65,7.18,7.37,393700,7.37
2016-01-12,8.94,9.15,8.14,8.53,159700,8.53
2016-01-11,9.28,9.28,8.59,8.86,126400,8.86
2016-01-08,9.43,9.74,9.06,9.38,122600,9.38
2016-01-07,9.28,9.49,9.00,9.34,412600,9.34
2016-01-06,10.01,10.13,9.38,9.42,226600,9.42
2016-01-05,10.68,10.76,10.24,10.28,225700,10.28
2016-01-04,10.22,10.87,10.13,10.65,310600,10.65
2015-12-31,9.96,10.69,9.84,10.46,438100,10.46
2015-12-30,10.51,10.58,10.04,10.08,653100,10.08
2015-12-29,10.34,11.25,9.97,11.25,599100,11.25
2015-12-28,10.26,10.38,9.64,10.30,623800,10.30
2015-12-24,10.07,10.40,9.97,10.38,237500,10.38
2015-12-23,8.98,10.28,8.72,10.09,751200,10.09
2015-12-22,8.10,8.65,8.10,8.60,483900,8.60
2015-12-21,7.97,8.08,7.90,8.05,358100,8.05
2015-12-18,7.97,8.08,7.89,8.00,357000,8.00
2015-12-17,8.32,8.32,7.93,8.03,333800,8.03
2015-12-16,8.20,8.61,8.18,8.50,523600,8.17
2015-12-15,8.10,8.39,7.97,8.23,386700,7.910482
2015-12-14,8.43,8.49,7.94,8.00,331000,7.689412
2015-12-11,8.87,8.94,8.39,8.49,311500,8.160388
2015-12-10,9.10,9.52,9.01,9.07,329300,8.71787
2015-12-09,8.75,9.34,8.72,9.14,431600,8.785153
2015-12-08,8.18,8.89,8.13,8.55,404100,8.218059
2015-12-07,9.45,9.45,8.35,8.64,437700,8.304565
2015-12-04,10.08,10.11,9.69,9.72,206900,9.342635
2015-12-03,10.61,10.68,10.16,10.22,186500,9.823224
2015-12-02,11.09,11.09,10.67,10.67,229300,10.255753
2015-12-01,11.07,11.23,10.99,11.12,292100,10.688282
2015-11-30,11.27,11.47,11.09,11.09,186600,10.659447
2015-11-27,10.94,11.27,10.90,11.24,101900,10.803623
2015-11-25,10.96,11.16,10.84,11.03,216800,10.601776
2015-11-24,10.98,11.15,10.90,11.08,260000,10.649835
2015-11-23,11.07,11.25,10.81,10.85,244000,10.428765
2015-11-20,11.40,11.45,11.03,11.07,139500,10.640223
2015-11-19,11.32,11.47,11.20,11.40,171900,10.957411
2015-11-18,11.37,11.59,11.20,11.37,252300,10.928576
2015-11-17,11.64,11.72,11.18,11.25,341900,10.813235
2015-11-16,11.30,11.72,11.23,11.69,153300,11.236152
2015-11-13,11.23,11.51,11.01,11.31,231000,10.870906
2015-11-12,11.49,11.69,11.21,11.32,187700,10.880517
2015-11-11,11.85,11.91,11.51,11.61,141900,11.159258
2015-11-10,11.85,12.13,11.70,11.81,218600,11.351494
2015-11-09,12.31,12.47,12.01,12.06,148100,11.591788
2015-11-06,12.47,12.59,12.25,12.45,142200,11.966647
2015-11-05,12.61,12.97,12.44,12.53,293600,12.043541
2015-11-04,13.29,13.39,12.67,12.78,382300,12.283835
2015-11-03,13.09,13.44,13.08,13.29,158000,12.774035
2015-11-02,12.83,13.24,12.52,13.02,140600,12.514518
2015-10-30,12.75,13.10,12.53,12.88,201300,12.379953
2015-10-29,12.66,12.91,12.55,12.70,177000,12.206941
2015-10-28,12.17,12.76,12.12,12.56,198600,12.072377
2015-10-27,12.38,12.43,12.07,12.07,208600,11.6014
2015-10-26,12.91,12.92,12.53,12.58,159000,12.0916
2015-10-23,13.38,13.38,12.85,12.93,133200,12.428012
2015-10-22,13.60,13.63,13.32,13.42,159900,12.898988
2015-10-21,13.70,13.83,13.42,13.55,140600,13.023941
2015-10-20,13.49,13.76,13.48,13.69,146700,13.158505
2015-10-19,13.54,13.60,13.44,13.54,65900,13.014329
2015-10-16,13.65,13.87,13.60,13.70,93400,13.168117
2015-10-15,13.55,13.71,13.27,13.57,116200,13.043164
2015-10-14,13.66,13.87,13.50,13.60,137300,13.072
2015-10-13,14.10,14.22,13.82,13.89,115000,13.350741
2015-10-12,14.47,14.50,14.05,14.22,171700,13.667929
2015-10-09,14.14,14.46,14.14,14.44,106700,13.879388
2015-10-08,13.63,14.10,13.63,14.09,150100,13.542976
2015-10-07,13.62,13.91,13.52,13.66,106700,13.12967
2015-10-06,12.95,13.53,12.90,13.42,162200,12.898988
2015-10-05,12.60,12.91,12.60,12.84,156000,12.341506
2015-10-02,11.93,12.58,11.75,12.47,177300,11.985871
2015-10-01,12.08,12.44,11.97,12.05,161600,11.582176
2015-09-30,11.84,12.32,11.67,11.93,201300,11.466835
2015-09-29,12.54,12.56,11.71,11.77,244200,11.313047
2015-09-28,12.79,12.83,12.48,12.62,106700,12.130047
2015-09-25,13.00,13.05,12.86,12.95,130600,12.447235
2015-09-24,12.96,12.96,12.61,12.87,129700,12.370341
2015-09-23,13.52,13.65,13.03,13.06,184200,12.552965
2015-09-22,13.41,13.53,13.34,13.42,114100,12.898988
2015-09-21,13.50,13.68,13.50,13.60,137000,13.072
2015-09-18,13.48,13.52,13.36,13.52,200800,12.995106
2015-09-17,13.56,13.94,13.46,13.88,279900,13.023941
2015-09-16,13.42,13.58,13.34,13.53,183200,12.695527
2015-09-15,13.17,13.40,13.17,13.34,126100,12.517246
2015-09-14,13.44,13.49,13.09,13.29,154000,12.47033
2015-09-11,13.77,13.89,13.42,13.52,150200,12.686145
2015-09-10,14.11,14.19,13.89,13.96,140600,13.099007
2015-09-09,14.65,14.65,14.03,14.09,101900,13.220989
2015-09-08,14.60,14.60,14.42,14.52,60800,13.624469
2015-09-04,14.39,14.57,14.35,14.46,66300,13.568169
2015-09-03,14.45,14.74,14.45,14.56,89900,13.662002
2015-09-02,14.55,14.58,14.20,14.50,160800,13.605702
2015-09-01,14.21,14.43,14.14,14.38,145000,13.493103
2015-08-31,14.45,14.77,14.17,14.55,175500,13.652618
2015-08-28,14.03,14.73,14.03,14.50,123700,13.605702
2015-08-27,13.60,14.38,13.60,14.12,194500,13.249139
2015-08-26,13.50,13.50,13.13,13.46,197300,12.629845
2015-08-25,13.54,13.67,13.12,13.21,214100,12.395264
2015-08-24,12.88,13.69,12.88,13.26,162400,12.44218
2015-08-21,14.40,14.46,13.79,13.92,130600,13.061474
2015-08-20,14.75,14.83,14.43,14.43,99100,13.54002
2015-08-19,15.15,15.17,14.72,14.81,91800,13.896583
2015-08-18,15.32,15.36,15.16,15.22,57700,14.281296
2015-08-17,15.18,15.38,15.12,15.32,91700,14.375128
2015-08-14,14.92,15.22,14.92,15.15,104200,14.215612
2015-08-13,15.23,15.23,14.97,15.03,75500,14.103014
2015-08-12,14.87,15.32,14.73,15.27,163300,14.328212
2015-08-11,14.73,14.89,14.52,14.87,107100,13.952882
2015-08-10,14.42,14.93,14.30,14.93,192600,14.009182
2015-08-07,14.26,14.49,14.25,14.42,89800,13.530636
2015-08-06,14.33,14.53,13.82,14.26,111500,13.380504
2015-08-05,15.18,15.30,14.33,14.38,150300,13.493103
2015-08-04,15.16,15.30,15.00,15.06,82700,14.131164
2015-08-03,15.47,15.47,15.07,15.21,75800,14.271912
2015-07-31,15.58,15.73,15.51,15.58,104800,14.619092
2015-07-30,15.83,15.92,15.53,15.60,105600,14.637859
2015-07-29,15.56,15.89,15.42,15.83,145600,14.853673
2015-07-28,15.22,15.58,15.15,15.52,139600,14.562793
2015-07-27,15.14,15.35,15.01,15.29,116100,14.346978
2015-07-24,15.15,15.30,15.10,15.27,105900,14.328212
2015-07-23,15.20,15.45,15.09,15.09,125100,14.159313
2015-07-22,15.58,15.71,15.12,15.21,139600,14.271912
2015-07-21,15.76,16.00,15.42,15.69,190700,14.722307
2015-07-20,16.120001,16.23,15.72,15.86,129100,14.881823
2015-07-17,16.34,16.50,16.120001,16.24,102400,15.238386
2015-07-16,16.620001,16.68,16.35,16.43,67000,15.416668
2015-07-15,16.91,16.969999,16.610001,16.610001,87000,15.585567
2015-07-14,16.870001,17.129999,16.85,17.00,85800,15.951513
2015-07-13,16.91,17.00,16.809999,16.959999,95100,15.913979
2015-07-10,16.75,16.90,16.709999,16.84,58300,15.801381
