Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,14.99,14.99,14.96,14.96,1600,14.96
2016-03-03,15.02,15.08,15.00,15.08,3000,15.08
2016-03-02,14.97,15.03,14.91,14.98,8700,14.98
2016-03-01,15.04,15.04,14.95,14.98,6300,14.98
2016-02-29,14.93,15.00,14.83,15.00,2800,15.00
2016-02-26,15.05,15.05,14.79,14.90,8900,14.90
2016-02-25,14.87,14.99,14.87,14.99,3900,14.99
2016-02-24,14.82,14.93,14.79,14.91,6300,14.91
2016-02-23,14.80,14.82,14.75,14.82,7900,14.82
2016-02-22,14.69,14.81,14.69,14.75,3600,14.75
2016-02-19,14.89,14.89,14.66,14.66,11000,14.66
2016-02-18,14.75,14.89,14.70,14.80,6900,14.80
2016-02-17,14.90,14.90,14.71,14.71,1700,14.71
2016-02-16,14.80,14.95,14.78,14.83,8800,14.83
2016-02-12,15.02,15.02,14.76,14.86,12300,14.86
2016-02-11,15.00,15.08,14.94,14.96,5700,14.96
2016-02-10,15.09,15.10,14.96,14.96,6900,14.902
2016-02-09,15.04,15.10,14.97,15.04,7600,14.98169
2016-02-08,15.00,15.04,14.94,15.01,15300,14.951807
2016-02-05,14.95,14.98,14.88,14.95,11600,14.892039
2016-02-04,15.05,15.06,14.98,15.00,5500,14.941845
2016-02-03,14.99,15.07,14.92,15.01,13500,14.951807
2016-02-02,14.88,14.99,14.83,14.95,9400,14.892039
2016-02-01,14.78,14.87,14.75,14.79,9300,14.732659
2016-01-29,14.70,14.81,14.67,14.73,18500,14.672892
2016-01-28,14.73,14.73,14.66,14.69,11100,14.633047
2016-01-27,14.70,14.70,14.59,14.69,19100,14.633047
2016-01-26,14.64,14.70,14.64,14.66,5400,14.603163
2016-01-25,14.60,14.69,14.56,14.57,4000,14.513512
2016-01-22,14.64,14.70,14.55,14.57,6000,14.513512
2016-01-21,14.56,14.61,14.52,14.53,6000,14.473667
2016-01-20,14.60,14.70,14.50,14.51,8900,14.453745
2016-01-19,14.65,14.65,14.64,14.65,3400,14.593202
2016-01-15,14.50,14.65,14.50,14.60,3600,14.543396
2016-01-14,14.64,14.64,14.51,14.56,4600,14.503552
2016-01-13,14.88,14.88,14.56,14.59,19200,14.533435
2016-01-12,15.04,15.04,14.85,14.93,15900,14.814341
2016-01-11,15.15,15.15,14.93,14.94,5200,14.824263
2016-01-08,15.30,15.30,15.12,15.12,9500,15.002869
2016-01-07,15.25,15.32,15.19,15.19,5100,15.072326
2016-01-06,15.27,15.31,15.27,15.31,5400,15.191398
2016-01-05,15.20,15.29,15.19,15.29,4400,15.171552
2016-01-04,15.30,15.30,15.03,15.20,4000,15.082249
2015-12-31,15.03,15.28,15.03,15.18,9900,15.062405
2015-12-30,15.29,15.29,14.97,15.09,25000,14.973102
2015-12-29,14.93,15.19,14.93,14.98,18400,14.863953
2015-12-28,15.12,15.13,14.84,14.85,10000,14.734961
2015-12-24,15.13,15.13,15.10,15.13,1200,15.012792
2015-12-23,15.17,15.19,15.06,15.10,11700,14.983024
2015-12-22,14.87,15.27,14.79,15.17,67700,15.052482
2015-12-21,14.64,15.34,14.63,14.90,68300,14.784573
2015-12-18,14.50,14.84,14.37,14.61,44400,14.49682
2015-12-17,14.43,14.50,14.40,14.49,10900,14.377749
2015-12-16,14.29,14.42,14.25,14.37,11600,14.258679
2015-12-15,14.02,14.37,14.02,14.36,8000,14.248756
2015-12-14,14.43,14.43,14.02,14.02,12600,13.911391
2015-12-11,14.36,14.45,14.27,14.43,8600,14.318215
2015-12-10,14.45,14.45,14.22,14.42,9000,14.308292
2015-12-09,14.43,14.46,14.42,14.46,6800,14.290431
2015-12-08,14.39,14.41,14.35,14.40,3800,14.231135
2015-12-07,14.45,14.45,14.35,14.35,8300,14.181722
2015-12-04,14.35,14.40,14.35,14.39,1600,14.221253
2015-12-03,14.39,14.39,14.32,14.35,3200,14.181722
2015-12-02,14.39,14.42,14.39,14.39,4600,14.221253
2015-12-01,14.46,14.46,14.39,14.42,16700,14.250901
2015-11-30,14.38,14.38,14.33,14.37,4800,14.201487
2015-11-27,14.34,14.34,14.30,14.30,200,14.132308
2015-11-25,14.31,14.32,14.21,14.32,1300,14.152073
2015-11-24,14.34,14.34,14.21,14.34,2000,14.171839
2015-11-23,14.18,14.35,14.18,14.33,13100,14.161956
2015-11-20,14.02,14.29,14.02,14.11,8500,13.944535
2015-11-19,14.07,14.20,14.01,14.03,7700,13.865474
2015-11-18,14.04,14.04,13.99,14.00,3700,13.835826
2015-11-17,14.04,14.05,13.96,13.98,5300,13.81606
2015-11-16,13.95,14.01,13.89,13.97,2000,13.806178
2015-11-13,13.91,13.92,13.89,13.92,2100,13.756764
2015-11-12,13.96,13.96,13.90,13.90,1200,13.736998
2015-11-11,14.01,14.01,13.94,13.94,1100,13.719209
2015-11-10,13.95,13.95,13.95,13.95,1500,13.729051
2015-11-09,13.98,13.98,13.88,13.92,8000,13.699526
2015-11-06,14.05,14.05,13.96,13.96,3200,13.738893
2015-11-05,14.05,14.07,14.04,14.05,3900,13.827468
2015-11-04,14.03,14.07,13.98,13.98,4600,13.758576
2015-11-03,14.04,14.23,14.00,14.00,8600,13.778259
2015-11-02,14.06,14.08,14.03,14.03,5900,13.807784
2015-10-30,14.02,14.06,13.96,14.04,2200,13.817626
2015-10-29,14.03,14.04,13.95,13.96,2400,13.738893
2015-10-28,13.94,14.03,13.94,13.97,2600,13.748735
2015-10-27,14.02,14.04,13.94,13.94,3900,13.719209
2015-10-26,14.03,14.04,13.95,13.96,3200,13.738893
2015-10-23,14.00,14.05,13.94,14.00,11800,13.778259
2015-10-22,14.04,14.04,13.87,13.98,11400,13.758576
2015-10-21,13.98,14.01,13.98,14.01,600,13.788101
2015-10-20,13.95,14.04,13.95,13.95,3200,13.729051
2015-10-19,13.96,14.01,13.92,13.96,6000,13.738893
2015-10-16,14.12,14.19,14.09,14.09,800,13.866834
2015-10-15,14.07,14.09,13.90,14.09,1200,13.866834
2015-10-14,13.99,14.01,13.99,14.01,800,13.788101
2015-10-13,13.92,14.10,13.92,13.98,5200,13.758576
2015-10-12,14.11,14.18,14.04,14.04,4400,13.760544
2015-10-09,14.18,14.24,14.09,14.18,3200,13.897758
2015-10-08,14.23,14.26,14.16,14.26,800,13.976166
2015-10-07,14.05,14.20,13.91,14.20,3300,13.917359
2015-10-06,14.05,14.13,13.91,14.12,4100,13.838952
2015-10-05,14.02,14.02,14.01,14.02,1600,13.740943
2015-10-02,13.96,14.00,13.82,14.00,1900,13.72134
2015-10-01,13.94,13.97,13.91,13.91,3600,13.633132
2015-09-30,13.89,13.89,13.89,13.89,500,13.61353
2015-09-29,13.98,13.98,13.87,13.87,400,13.593928
2015-09-28,13.94,13.97,13.83,13.95,2200,13.672335
2015-09-25,13.98,13.98,13.74,13.88,2000,13.603729
2015-09-24,13.91,13.91,13.91,13.91,500,13.633132
2015-09-23,13.89,13.95,13.89,13.94,900,13.662534
2015-09-22,13.76,13.90,13.71,13.86,6300,13.584127
2015-09-21,13.81,13.93,13.72,13.77,4300,13.495919
2015-09-18,13.86,13.94,13.84,13.87,4000,13.593928
2015-09-17,13.71,13.92,13.67,13.92,8000,13.642933
2015-09-16,13.76,13.82,13.70,13.73,7600,13.456714
2015-09-15,13.89,13.90,13.80,13.80,4900,13.525321
2015-09-14,13.93,13.99,13.90,13.98,1100,13.701738
2015-09-11,13.98,13.98,13.94,13.98,4500,13.701738
2015-09-10,14.16,14.16,13.98,13.98,5500,13.644892
2015-09-09,14.31,14.35,14.14,14.22,3000,13.87914
2015-09-08,14.16,14.30,14.16,14.30,1600,13.957222
2015-09-04,14.31,14.31,14.08,14.24,2400,13.89866
2015-09-03,14.24,14.26,14.05,14.16,6600,13.820578
2015-09-02,14.34,14.34,14.05,14.34,2400,13.996263
2015-09-01,14.31,14.40,13.95,14.40,9200,14.054825
2015-08-31,14.14,14.14,13.96,14.13,4300,13.791297
2015-08-28,14.15,14.21,14.01,14.01,3900,13.674174
2015-08-27,14.32,14.32,14.12,14.14,3200,13.801058
2015-08-26,14.42,14.42,14.29,14.37,2800,14.025544
2015-08-25,14.32,14.32,14.15,14.18,1400,13.840099
2015-08-24,14.30,14.30,14.30,14.30,000,13.957222
2015-08-21,14.28,14.47,14.28,14.30,3200,13.957222
2015-08-20,14.48,14.48,14.20,14.47,10200,14.123147
2015-08-19,14.37,14.43,14.35,14.43,2900,14.084106
2015-08-18,14.14,14.47,14.14,14.44,10500,14.093866
2015-08-17,14.09,14.19,14.00,14.18,6200,13.840099
2015-08-14,14.05,14.13,14.03,14.07,2100,13.732735
2015-08-13,14.21,14.21,14.05,14.06,900,13.722975
2015-08-12,14.12,14.19,14.07,14.19,3000,13.849858
2015-08-11,14.11,14.11,14.00,14.09,7200,13.695646
2015-08-10,14.22,14.22,14.07,14.07,1700,13.676206
2015-08-07,14.17,14.21,14.01,14.15,4200,13.753967
2015-08-06,14.24,14.24,14.24,14.24,1000,13.841448
2015-08-05,14.24,14.24,14.18,14.24,2500,13.841448
2015-08-04,14.06,14.23,14.06,14.22,4200,13.822008
2015-08-03,14.24,14.24,14.00,14.00,3000,13.608165
2015-07-31,14.02,14.22,14.02,14.21,6700,13.812288
2015-07-30,14.05,14.05,13.86,13.96,9300,13.569285
2015-07-29,13.95,14.19,13.95,14.01,11400,13.617886
2015-07-28,13.95,13.95,13.91,13.92,1100,13.530404
2015-07-27,13.93,13.99,13.90,13.90,5700,13.510964
2015-07-24,14.00,14.00,13.85,13.91,2100,13.520684
2015-07-23,13.91,13.96,13.91,13.96,3600,13.569285
2015-07-22,13.76,13.88,13.75,13.88,5800,13.491524
2015-07-21,13.78,13.87,13.70,13.87,12100,13.481804
2015-07-20,13.71,13.78,13.71,13.71,7600,13.326282
2015-07-17,13.79,13.88,13.72,13.76,7000,13.374883
2015-07-16,13.89,14.01,13.81,13.81,17000,13.423483
2015-07-15,13.95,13.95,13.85,13.91,5700,13.520684
2015-07-14,13.84,13.95,13.84,13.90,9400,13.510964
2015-07-13,14.11,14.11,13.82,13.86,23200,13.472083
2015-07-10,14.24,14.24,14.10,14.16,4200,13.70731
2015-07-09,14.07,14.07,14.01,14.06,7200,13.610508
2015-07-08,14.23,14.23,14.03,14.03,4500,13.581466
2015-07-07,14.24,14.24,14.10,14.10,10400,13.649229
2015-07-06,14.24,14.24,14.13,14.13,3300,13.67827
2015-07-02,14.24,14.24,14.21,14.21,2400,13.755712
2015-07-01,14.24,14.24,14.02,14.22,8300,13.765392
2015-06-30,13.85,14.04,13.85,14.04,7900,13.591147
2015-06-29,13.93,13.93,13.83,13.83,1100,13.38786
2015-06-26,14.02,14.02,13.91,13.94,3300,13.494343
2015-06-25,14.37,14.40,14.06,14.06,8300,13.610508
2015-06-24,14.61,14.61,14.26,14.45,2600,13.988039
2015-06-23,14.47,14.48,14.45,14.46,8100,13.99772
2015-06-22,14.48,14.49,14.40,14.48,9700,14.01708
2015-06-19,14.98,14.98,14.27,14.42,5700,13.958998
2015-06-18,14.24,14.27,14.22,14.22,4400,13.765392
2015-06-17,14.22,14.25,14.21,14.24,4300,13.784753
2015-06-16,14.03,15.31,13.79,14.19,28600,13.736351
2015-06-15,13.99,13.99,13.83,13.83,3900,13.38786
2015-06-12,13.77,13.98,13.77,13.78,1800,13.339459
2015-06-11,13.80,13.99,13.71,13.82,10900,13.37818
2015-06-10,13.75,13.94,13.75,13.81,11100,13.312355
2015-06-09,13.94,13.95,13.90,13.90,9000,13.399111
2015-06-08,14.00,14.08,13.94,13.96,7700,13.456949
2015-06-05,13.95,14.06,13.95,14.01,11900,13.505147
2015-06-04,14.05,14.21,13.94,13.94,7000,13.437669
2015-06-03,14.02,14.21,14.01,14.05,10700,13.543706
2015-06-02,14.07,14.09,13.95,14.09,6400,13.582264
2015-06-01,14.12,14.12,13.99,14.00,2500,13.495507
2015-05-29,14.02,14.06,13.92,14.05,3200,13.543706
2015-05-28,14.01,14.02,13.94,13.95,6400,13.447309
2015-05-27,14.02,14.06,14.02,14.05,4300,13.543706
2015-05-26,13.98,14.02,13.92,13.95,3800,13.447309
2015-05-22,13.96,13.96,13.79,13.91,8700,13.40875
2015-05-21,14.02,14.02,13.91,13.91,1100,13.40875
2015-05-20,13.98,14.01,13.96,13.96,3800,13.456949
2015-05-19,13.89,13.98,13.89,13.95,3200,13.447309
2015-05-18,14.11,14.11,13.90,13.90,8000,13.399111
2015-05-15,13.97,14.08,13.97,14.08,7100,13.572625
2015-05-14,13.95,14.04,13.87,14.03,3700,13.524426
2015-05-13,13.78,13.95,13.78,13.95,10100,13.447309
2015-05-12,13.84,13.89,13.75,13.89,6300,13.333562
2015-05-11,13.92,13.97,13.87,13.90,9200,13.343161
2015-05-08,13.85,13.91,13.81,13.89,7700,13.333562
2015-05-07,13.79,13.84,13.78,13.78,1400,13.227968
2015-05-06,14.07,14.13,13.73,13.83,25500,13.275965
2015-05-05,13.99,14.06,13.89,13.97,7900,13.410357
2015-05-04,14.10,14.10,14.04,14.05,2100,13.487152
2015-05-01,14.17,14.17,13.98,14.09,8500,13.52555
2015-04-30,14.14,14.21,13.99,14.17,17200,13.602345
2015-04-29,14.26,14.26,14.03,14.21,19600,13.640743
2015-04-28,14.12,14.24,14.12,14.24,6500,13.669541
2015-04-27,14.12,14.12,14.08,14.08,800,13.51595
2015-04-24,14.14,14.14,14.05,14.07,5400,13.506351
2015-04-23,14.13,14.15,14.10,14.15,1700,13.583146
2015-04-22,14.11,14.12,14.08,14.12,3000,13.554348
2015-04-21,14.10,14.11,14.10,14.11,12400,13.544748
2015-04-20,14.08,14.11,14.06,14.11,5800,13.544748
2015-04-17,14.07,14.08,14.07,14.08,400,13.51595
2015-04-16,14.01,14.01,14.01,14.01,300,13.448755
2015-04-15,14.06,14.11,14.06,14.09,1000,13.52555
2015-04-14,14.04,14.09,14.02,14.09,2200,13.52555
2015-04-13,14.07,14.07,13.95,14.03,7600,13.467953
2015-04-10,14.11,14.11,14.07,14.09,5700,13.469873
2015-04-09,14.05,14.10,14.04,14.10,3600,13.479434
2015-04-08,14.09,14.11,14.07,14.09,7900,13.469873
2015-04-07,13.97,14.09,13.97,14.09,4400,13.469873
2015-04-06,13.96,13.99,13.93,13.94,5900,13.326475
2015-04-02,13.96,14.01,13.91,13.95,7800,13.336035
2015-04-01,14.05,14.05,13.98,14.01,3200,13.393394
2015-03-31,13.95,13.98,13.90,13.98,7500,13.364714
2015-03-30,14.04,14.06,13.91,13.91,17500,13.297795
2015-03-27,14.01,14.07,14.00,14.01,5200,13.393394
2015-03-26,14.02,14.06,13.99,13.99,25400,13.374274
2015-03-25,13.99,14.09,13.99,14.00,6100,13.383834
2015-03-24,14.05,14.05,13.99,14.02,10800,13.402955
2015-03-23,13.92,14.03,13.92,14.03,6600,13.412514
2015-03-20,13.84,13.90,13.84,13.90,1200,13.288235
2015-03-19,13.84,13.92,13.78,13.86,7200,13.249996
2015-03-18,13.77,13.92,13.71,13.88,17000,13.269116
2015-03-17,13.85,13.85,13.71,13.73,9500,13.125717
2015-03-16,13.84,13.86,13.81,13.85,4600,13.240437
2015-03-13,13.89,13.89,13.85,13.87,8500,13.259556
2015-03-12,14.02,14.06,13.87,13.94,17300,13.326475
2015-03-11,13.98,14.04,13.98,14.04,5400,13.422074
2015-03-10,14.04,14.09,14.02,14.08,16700,13.404866
2015-03-09,14.11,14.11,14.11,14.11,3000,13.433427
2015-03-06,14.06,14.10,13.99,14.07,5700,13.395345
2015-03-05,14.15,14.15,14.10,14.11,10300,13.433427
2015-03-04,14.05,14.16,14.04,14.10,22300,13.423907
2015-03-03,14.18,14.19,14.06,14.06,8100,13.385826
2015-03-02,14.25,14.25,14.10,14.10,12100,13.423907
2015-02-27,14.14,14.20,14.13,14.17,5400,13.490551
2015-02-26,14.25,14.25,14.12,14.17,8900,13.490551
2015-02-25,14.12,14.18,14.10,14.18,3600,13.500071
2015-02-24,14.09,14.16,14.09,14.10,9400,13.423907
2015-02-23,14.16,14.40,14.09,14.09,10200,13.414387
2015-02-20,14.13,14.18,14.12,14.12,2900,13.442948
2015-02-19,14.14,14.23,14.02,14.06,2400,13.385826
2015-02-18,13.99,14.19,13.99,14.11,1000,13.433427
2015-02-17,14.23,14.23,13.94,13.94,8700,13.271579
2015-02-13,14.26,14.33,14.21,14.21,1100,13.528633
