Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,24.10,24.10,24.10,24.10,100,24.10
2016-02-29,24.10,24.17,24.09,24.17,700,24.17
2016-02-26,24.10,24.219999,24.10,24.209999,1500,24.209999
2016-02-25,24.15,24.40,24.07,24.07,12800,24.07
2016-02-24,24.139999,24.26,24.139999,24.26,1000,24.26
2016-02-23,24.00,24.299999,23.65,24.25,46400,24.25
2016-02-22,24.00,24.00,24.00,24.00,000,24.00
2016-02-19,24.110001,24.110001,23.98,24.00,4300,24.00
2016-02-18,24.200001,24.40,24.10,24.40,4700,24.40
2016-02-17,24.02,24.200001,24.02,24.200001,6600,24.200001
2016-02-16,24.01,24.40,24.00,24.16,33400,24.16
2016-02-12,24.01,24.15,23.83,24.01,17500,24.01
2016-02-11,23.66,24.00,23.66,24.00,3500,24.00
2016-02-10,24.02,24.25,24.00,24.00,5300,24.00
2016-02-09,24.32,24.32,24.24,24.24,700,24.24
2016-02-08,24.08,24.41,24.01,24.15,6400,24.15
2016-02-05,24.209999,24.450001,24.120001,24.219999,18000,24.219999
2016-02-04,24.15,24.15,24.15,24.15,300,24.15
2016-02-03,24.309999,24.309999,24.049999,24.110001,3200,24.110001
2016-02-02,23.879999,24.370001,23.610001,24.35,2000,24.35
2016-02-01,24.200001,24.360001,24.200001,24.25,6800,24.25
2016-01-29,24.26,24.309999,24.16,24.200001,4200,24.200001
2016-01-28,24.15,24.360001,23.50,24.360001,9900,24.360001
2016-01-27,24.10,24.139999,24.02,24.030001,600,24.030001
2016-01-26,24.35,24.389999,24.09,24.24,7400,24.24
2016-01-25,24.01,24.41,24.01,24.24,13700,24.24
2016-01-22,24.379999,24.379999,24.01,24.129999,1800,24.129999
2016-01-21,24.059999,24.129999,23.99,24.120001,2300,24.120001
2016-01-20,24.030001,24.08,23.860001,24.00,64000,24.00
2016-01-19,24.02,24.33,24.01,24.33,8900,24.33
2016-01-15,24.040001,24.040001,23.90,24.00,423900,24.00
2016-01-14,24.01,24.059999,23.98,23.99,2800,23.99
2016-01-13,24.00,24.15,24.00,24.09,8600,24.09
2016-01-12,24.389999,24.389999,24.16,24.16,9300,24.16
2016-01-11,24.00,24.379999,24.00,24.309999,5200,24.309999
2016-01-08,24.139999,24.299999,23.959999,24.24,10800,24.24
2016-01-07,24.25,24.389999,24.139999,24.139999,14300,24.139999
2016-01-06,24.25,24.379999,24.25,24.26,5600,24.26
2016-01-05,24.370001,24.58,24.299999,24.49,1900,24.49
2016-01-04,24.200001,24.59,24.15,24.440001,1800,24.440001
2015-12-31,24.49,24.60,24.23,24.60,1500,24.60
2015-12-30,24.620001,24.620001,24.24,24.440001,1000,24.440001
2015-12-29,24.48,24.50,24.389999,24.389999,1700,24.389999
2015-12-28,24.639999,24.75,24.639999,24.74,2300,24.287
2015-12-24,24.209999,24.629999,24.209999,24.629999,2300,24.179013
2015-12-23,24.440001,24.639999,24.440001,24.639999,76400,24.18883
2015-12-22,24.200001,24.40,24.200001,24.389999,8000,23.943408
2015-12-21,24.40,24.40,23.870001,24.18,3700,23.737254
2015-12-18,24.049999,24.120001,24.049999,24.120001,600,23.678353
2015-12-17,23.65,24.10,23.620001,24.10,7900,23.658719
2015-12-16,23.969999,23.969999,23.379999,23.610001,12200,23.177691
2015-12-15,24.25,24.25,23.879999,23.91,8700,23.472198
2015-12-14,24.17,24.190001,23.959999,24.00,36200,23.56055
2015-12-11,24.129999,24.26,24.129999,24.16,37000,23.71762
2015-12-10,24.32,24.50,24.209999,24.209999,23900,23.766704
2015-12-09,24.51,24.549999,24.32,24.549999,4500,24.100478
2015-12-08,24.35,24.66,24.35,24.66,3100,24.208465
2015-12-07,24.32,24.65,24.27,24.610001,10600,24.159381
2015-12-04,24.26,24.66,24.26,24.58,4200,24.12993
2015-12-03,24.700001,24.700001,24.549999,24.549999,5800,24.100478
2015-12-02,24.74,24.74,24.52,24.68,1200,24.228099
2015-12-01,24.77,24.77,24.52,24.52,1300,24.071029
2015-11-30,24.50,24.76,24.50,24.709999,6200,24.257548
2015-11-27,24.51,24.52,24.51,24.51,500,24.061212
2015-11-25,24.50,24.75,24.50,24.60,9000,24.149564
2015-11-24,24.40,24.530001,24.389999,24.469999,7400,24.021943
2015-11-23,24.370001,24.50,24.309999,24.35,2900,23.904141
2015-11-20,24.25,24.42,24.25,24.35,2200,23.904141
2015-11-19,24.129999,24.200001,24.10,24.200001,3600,23.756888
2015-11-18,23.82,24.190001,23.82,24.02,8400,23.580184
2015-11-17,24.059999,24.129999,23.99,23.99,9400,23.550733
2015-11-16,24.25,24.25,24.15,24.200001,1200,23.756888
2015-11-13,24.35,24.379999,24.35,24.379999,2400,23.933591
2015-11-12,24.49,24.49,24.299999,24.299999,1600,23.855056
2015-11-11,24.299999,24.299999,24.299999,24.299999,1200,23.855056
2015-11-10,24.16,24.299999,24.15,24.299999,5200,23.855056
2015-11-09,24.190001,24.190001,23.950001,24.15,4800,23.707803
2015-11-06,24.209999,24.209999,24.02,24.15,1400,23.707803
2015-11-05,23.799999,24.290001,23.799999,23.950001,6800,23.511466
2015-11-04,24.41,24.49,23.959999,24.030001,9300,23.590001
2015-11-03,24.540001,24.540001,24.40,24.40,5000,23.953225
2015-11-02,24.440001,24.450001,24.41,24.450001,1000,24.002311
2015-10-30,24.549999,24.549999,24.540001,24.540001,1000,24.090663
2015-10-29,24.66,24.66,24.57,24.59,1700,24.139747
2015-10-28,24.60,24.60,24.50,24.549999,4300,24.100478
2015-10-27,24.59,24.68,24.50,24.50,3600,24.051395
2015-10-26,24.299999,24.60,24.299999,24.41,1900,23.963042
2015-10-23,24.67,24.67,24.32,24.32,2900,23.87469
2015-10-22,24.299999,24.76,24.299999,24.50,4200,24.051395
2015-10-21,24.549999,24.59,24.48,24.49,4700,24.041577
2015-10-20,24.60,24.60,24.59,24.60,1800,24.149564
2015-10-19,24.52,24.77,24.48,24.65,6200,24.198648
2015-10-16,24.60,24.60,24.34,24.50,14900,24.051395
2015-10-15,23.60,24.780001,23.60,24.59,37400,24.139747
2015-10-14,23.59,23.719999,23.43,23.65,3100,23.216958
2015-10-13,23.51,23.549999,23.50,23.50,5100,23.069705
2015-10-12,23.17,23.57,23.17,23.57,4600,23.138423
2015-10-09,23.530001,23.530001,23.35,23.35,6200,22.922452
2015-10-08,23.290001,23.299999,23.290001,23.299999,900,22.873366
2015-10-07,23.09,23.23,23.09,23.219999,10100,22.794831
2015-10-06,23.040001,23.10,22.969999,23.049999,8100,22.627944
2015-10-05,23.110001,23.27,23.110001,23.18,11600,22.755565
2015-10-02,23.309999,23.35,23.10,23.35,12600,22.922452
2015-10-01,23.59,23.59,23.200001,23.389999,26400,22.961718
2015-09-30,23.41,23.66,23.41,23.59,7000,23.158057
2015-09-29,23.41,23.450001,23.299999,23.450001,16700,23.020621
2015-09-28,23.65,23.709999,23.52,23.67,7000,23.236592
2015-09-25,23.799999,23.799999,23.73,23.73,400,23.295493
2015-09-24,23.57,23.68,23.57,23.68,3500,23.246409
2015-09-23,23.85,23.879999,23.809999,23.809999,7800,23.374028
2015-09-22,23.700001,23.879999,23.700001,23.780001,10200,23.344579
2015-09-21,23.65,23.83,23.65,23.83,1500,23.393662
2015-09-18,23.60,23.91,23.450001,23.91,8400,23.472198
2015-09-17,23.50,23.65,23.450001,23.459999,4900,23.030436
2015-09-16,23.469999,23.50,23.370001,23.50,7200,23.069705
2015-09-15,23.790001,23.790001,23.35,23.50,7100,23.069705
2015-09-14,23.540001,23.809999,23.52,23.610001,3700,23.177691
2015-09-11,23.60,23.74,23.60,23.700001,4400,23.266044
2015-09-10,23.690001,23.780001,23.59,23.719999,9100,23.285676
2015-09-09,23.540001,23.90,23.540001,23.68,5600,23.246409
2015-09-08,23.83,24.08,23.82,24.049999,44300,23.609633
2015-09-04,24.17,24.24,24.15,24.24,3300,23.796155
2015-09-03,24.00,24.379999,23.82,24.26,13000,23.815789
2015-09-02,23.860001,23.99,23.610001,23.969999,6000,23.531098
2015-09-01,23.52,24.00,23.52,23.84,16300,23.40348
2015-08-31,24.059999,24.129999,23.75,23.879999,29600,23.442746
2015-08-28,24.219999,24.26,24.059999,24.139999,9000,23.697986
