Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,12.28,12.59,12.26,12.29,66400,12.29
2016-03-03,11.62,12.19,11.62,12.16,79300,12.16
2016-03-02,11.44,11.68,11.30,11.62,59700,11.62
2016-03-01,12.08,12.08,11.50,11.56,50800,11.56
2016-02-29,11.51,12.23,11.49,12.03,130800,12.03
2016-02-26,11.87,12.11,11.48,11.54,97800,11.54
2016-02-25,11.58,12.12,11.50,12.02,224400,12.02
2016-02-24,11.17,11.83,11.10,11.53,106500,11.53
2016-02-23,11.13,11.44,11.13,11.24,57300,11.24
2016-02-22,11.14,11.43,10.81,11.15,141700,11.15
2016-02-19,11.01,11.22,10.97,11.03,34100,11.03
2016-02-18,10.86,11.22,10.75,11.03,35700,11.03
2016-02-17,11.07,11.19,10.85,10.87,60800,10.87
2016-02-16,10.46,11.07,10.37,10.97,66800,10.97
2016-02-12,10.49,10.52,10.14,10.35,63600,10.35
2016-02-11,10.12,10.49,10.12,10.39,41100,10.39
2016-02-10,10.89,11.05,10.43,10.49,80300,10.49
2016-02-09,10.68,11.03,10.68,10.86,44100,10.86
2016-02-08,10.71,10.92,10.47,10.83,62000,10.83
2016-02-05,11.11,11.25,10.81,10.83,68200,10.83
2016-02-04,10.97,11.26,10.92,11.12,32500,11.12
2016-02-03,10.96,11.06,10.66,11.00,34500,11.00
2016-02-02,11.05,11.17,10.77,10.91,48700,10.91
2016-02-01,11.26,11.30,10.79,11.22,67600,11.22
2016-01-29,10.88,11.39,10.79,11.39,199300,11.39
2016-01-28,10.91,10.99,10.77,10.86,28900,10.86
2016-01-27,10.90,10.98,10.74,10.78,44700,10.78
2016-01-26,10.74,10.97,10.74,10.97,71900,10.97
2016-01-25,11.06,11.06,10.68,10.72,50200,10.72
2016-01-22,11.22,11.34,10.97,11.14,50400,11.14
2016-01-21,11.07,11.33,10.95,11.08,70100,11.08
2016-01-20,10.65,11.13,10.53,11.08,66000,11.08
2016-01-19,11.36,11.68,10.76,10.84,87300,10.84
2016-01-15,11.54,11.74,11.10,11.34,88500,11.34
2016-01-14,12.07,12.12,11.80,11.90,58500,11.90
2016-01-13,12.54,12.63,11.89,11.97,86700,11.97
2016-01-12,12.64,12.76,12.34,12.54,90000,12.54
2016-01-11,12.36,12.55,12.36,12.52,69100,12.52
2016-01-08,12.31,12.42,12.28,12.35,84700,12.35
2016-01-07,12.25,12.29,12.02,12.25,63700,12.25
2016-01-06,12.34,12.60,12.32,12.49,98300,12.49
2016-01-05,12.81,12.85,12.40,12.53,82300,12.53
2016-01-04,13.14,13.14,12.66,12.81,118000,12.81
2015-12-31,13.93,13.93,13.29,13.32,118000,13.32
2015-12-30,14.28,14.35,13.93,13.95,47900,13.95
2015-12-29,14.29,14.38,14.12,14.33,49100,14.33
2015-12-28,13.82,14.22,13.68,14.21,63900,14.21
2015-12-24,13.79,13.94,13.75,13.88,35000,13.88
2015-12-23,13.83,13.98,13.75,13.89,73000,13.89
2015-12-22,13.70,13.82,13.55,13.77,54100,13.77
2015-12-21,13.68,13.75,13.61,13.71,53900,13.71
2015-12-18,13.89,14.06,13.56,13.69,225600,13.69
2015-12-17,14.21,14.25,13.96,13.97,84100,13.97
2015-12-16,14.40,14.40,14.04,14.22,101400,14.22
2015-12-15,14.19,14.35,14.11,14.28,104400,14.28
2015-12-14,14.11,14.25,13.97,14.10,126000,14.10
2015-12-11,14.23,14.40,14.09,14.13,100500,14.13
2015-12-10,14.49,14.67,14.36,14.48,84600,14.48
2015-12-09,14.63,14.81,14.44,14.54,70800,14.54
2015-12-08,15.01,15.03,14.61,14.68,65200,14.68
2015-12-07,15.40,15.43,15.14,15.21,82300,15.21
2015-12-04,15.38,15.56,15.36,15.47,73200,15.47
2015-12-03,15.59,15.68,15.21,15.40,95900,15.40
2015-12-02,15.42,15.66,15.41,15.44,94700,15.44
2015-12-01,15.52,15.63,15.35,15.45,77200,15.45
