Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,8.31,8.41,8.20,8.28,357200,8.28
2016-03-03,8.52,8.75,8.36,8.37,401000,8.37
2016-03-02,8.08,8.51,8.02,8.35,115000,8.35
2016-03-01,8.00,8.39,7.95,8.11,311800,8.11
2016-02-29,8.24,8.24,7.75,7.82,1496500,7.82
2016-02-26,8.00,9.07,8.00,8.33,683000,8.33
2016-02-25,7.42,8.07,7.18,7.99,686300,7.99
2016-02-24,6.43,7.29,6.43,7.18,868500,7.18
2016-02-23,6.90,6.95,6.42,6.49,1167900,6.49
2016-02-22,6.99,7.15,6.86,6.92,299100,6.92
2016-02-19,6.91,7.10,6.91,6.96,200600,6.96
2016-02-18,7.38,7.38,6.79,7.07,761000,7.07
2016-02-17,7.10,7.55,6.99,7.11,3778300,7.11
2016-02-16,7.10,7.63,6.96,7.06,422800,7.06
2016-02-12,6.99,7.25,6.65,7.19,1000500,7.19
2016-02-11,6.91,7.04,6.475,6.61,765500,6.61
2016-02-10,6.92,7.33,6.75,7.04,481500,7.04
2016-02-09,7.67,8.049,6.40,6.81,994700,6.81
2016-02-08,8.20,8.59,7.50,7.61,497600,7.61
2016-02-05,8.30,8.67,8.16,8.32,599000,8.32
2016-02-04,8.90,8.90,8.30,8.30,1073600,8.30
2016-02-03,8.92,9.01,8.06,8.63,277400,8.63
2016-02-02,8.99,9.469,8.37,8.67,269800,8.67
2016-02-01,8.75,9.05,8.75,8.99,477900,8.99
2016-01-29,8.90,9.14,7.82,8.75,445600,8.75
2016-01-28,8.98,9.10,8.56,8.73,522300,8.73
2016-01-27,9.55,9.55,8.71,8.96,311100,8.96
2016-01-26,9.50,10.00,9.34,9.41,232000,9.41
2016-01-25,9.12,9.95,9.04,9.50,237400,9.50
2016-01-22,9.05,9.55,8.97,9.07,306400,9.07
2016-01-21,8.96,9.099,8.52,9.00,1114700,9.00
2016-01-20,9.52,9.52,8.16,9.01,1090000,9.01
2016-01-19,10.85,11.00,9.27,9.62,344100,9.62
2016-01-15,11.47,11.47,10.51,10.75,406300,10.75
2016-01-14,11.94,11.94,11.01,11.47,879000,11.47
2016-01-13,12.95,13.00,11.55,11.93,468300,11.93
2016-01-12,12.50,12.93,12.30,12.30,678400,12.30
