Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,9.87,9.87,9.65,9.72,186900,9.72
2016-03-03,9.75,9.88,9.67,9.87,234700,9.87
2016-03-02,9.64,9.75,9.60,9.63,142900,9.63
2016-03-01,9.72,9.75,9.61,9.66,140900,9.66
2016-02-29,9.61,9.79,9.53,9.62,296400,9.62
2016-02-26,9.53,9.75,9.50,9.52,132700,9.52
2016-02-25,9.35,9.57,9.31,9.53,218600,9.53
2016-02-24,9.06,9.40,9.00,9.35,149200,9.35
2016-02-23,9.48,9.51,9.23,9.25,169200,9.25
2016-02-22,9.50,9.60,9.42,9.51,179500,9.51
2016-02-19,9.53,9.68,9.51,9.62,247100,9.48
2016-02-18,9.68,9.68,9.50,9.53,198900,9.39131
2016-02-17,9.42,9.64,9.42,9.62,300200,9.48
2016-02-16,9.19,9.44,9.12,9.42,349100,9.282911
2016-02-12,9.17,9.19,8.95,9.14,203800,9.006986
2016-02-11,8.83,8.95,8.67,8.88,156900,8.750769
2016-02-10,8.88,9.09,8.87,8.88,98500,8.750769
2016-02-09,9.06,9.09,8.80,8.89,171500,8.760624
2016-02-08,8.81,9.18,8.81,9.17,174400,9.036549
2016-02-05,9.00,9.13,8.92,8.94,141300,8.809896
2016-02-04,9.06,9.22,9.03,9.05,109700,8.918295
2016-02-03,9.06,9.17,8.95,9.03,161000,8.898586
2016-02-02,8.84,8.99,8.71,8.94,139300,8.809896
2016-02-01,8.77,9.04,8.75,8.90,177000,8.770478
2016-01-29,8.61,8.95,8.60,8.88,257800,8.750769
2016-01-28,8.37,8.63,8.37,8.47,185100,8.346736
2016-01-27,8.33,8.59,8.33,8.37,166300,8.248191
2016-01-26,8.27,8.48,8.16,8.40,242800,8.277754
2016-01-25,8.70,8.71,8.22,8.23,294800,8.110228
2016-01-22,8.56,8.87,8.49,8.74,198600,8.612806
2016-01-21,8.45,8.70,8.32,8.63,387000,8.366445
2016-01-20,8.22,8.59,7.50,8.46,804700,8.201637
2016-01-19,8.76,8.84,8.29,8.35,376600,8.094996
2016-01-15,8.90,8.95,8.39,8.71,484900,8.444002
2016-01-14,8.85,9.03,8.63,8.96,350600,8.686367
2016-01-13,9.07,9.21,8.82,8.86,422900,8.589421
2016-01-12,9.65,9.65,8.94,9.07,701600,8.793007
2016-01-11,9.77,9.87,9.60,9.61,190200,9.316516
2016-01-08,9.95,9.99,9.76,9.77,195500,9.471631
2016-01-07,10.11,10.21,9.90,9.90,354600,9.59766
2016-01-06,10.00,10.29,9.94,10.25,353500,9.936971
2016-01-05,9.87,10.08,9.82,10.03,188600,9.72369
2016-01-04,9.85,9.92,9.69,9.91,321700,9.607354
2015-12-31,9.90,10.10,9.84,9.93,358900,9.626744
2015-12-30,9.84,9.99,9.79,9.89,425500,9.587966
2015-12-29,9.75,9.87,9.70,9.84,336800,9.539493
2015-12-28,9.72,9.79,9.56,9.75,333700,9.452241
2015-12-24,9.75,9.79,9.68,9.76,139300,9.461936
2015-12-23,9.67,9.75,9.50,9.69,334200,9.394073
2015-12-22,9.48,9.70,9.35,9.67,562100,9.374684
2015-12-21,9.60,9.65,9.36,9.62,467400,9.190486
2015-12-18,9.50,9.58,9.40,9.58,453600,9.152272
2015-12-17,9.31,9.58,9.23,9.50,512500,9.075844
2015-12-16,8.94,9.30,8.80,9.25,420700,8.837006
2015-12-15,8.43,8.84,8.42,8.80,364600,8.407098
2015-12-14,9.02,9.06,8.30,8.40,717200,8.024957
2015-12-11,9.09,9.15,8.97,9.02,353800,8.617276
2015-12-10,9.10,9.29,9.09,9.17,162900,8.760578
2015-12-09,9.10,9.24,9.09,9.11,115100,8.703256
2015-12-08,9.00,9.14,9.00,9.09,131700,8.68415
2015-12-07,9.22,9.31,9.05,9.07,197200,8.665042
2015-12-04,9.11,9.39,9.11,9.26,249800,8.84656
2015-12-03,9.23,9.29,9.10,9.10,227900,8.693704
2015-12-02,9.59,9.62,9.24,9.25,350200,8.837006
2015-12-01,9.65,9.69,9.56,9.61,187900,9.180932
2015-11-30,9.48,9.65,9.48,9.57,371400,9.142718
2015-11-27,9.36,9.59,9.28,9.53,226900,9.104504
2015-11-25,9.21,9.30,9.17,9.29,205400,8.87522
2015-11-24,9.16,9.28,9.12,9.23,186300,8.817899
2015-11-23,9.00,9.27,8.99,9.17,228200,8.760578
2015-11-20,9.13,9.23,9.00,9.05,276800,8.645936
2015-11-19,9.25,9.40,9.22,9.26,341500,8.712811
2015-11-18,9.19,9.34,9.15,9.31,338900,8.759856
2015-11-17,9.30,9.34,9.15,9.17,276100,8.628129
2015-11-16,9.19,9.30,9.11,9.28,337300,8.731628
2015-11-13,9.02,9.19,8.99,9.17,197400,8.628129
2015-11-12,9.00,9.04,8.88,9.00,185200,8.468174
2015-11-11,8.82,9.05,8.82,9.01,183500,8.477584
2015-11-10,8.86,9.00,8.77,8.79,306600,8.270584
2015-11-09,9.05,9.09,8.82,8.85,379200,8.327038
2015-11-06,9.06,9.22,8.90,9.12,352400,8.581083
2015-11-05,9.24,9.29,8.96,9.12,371100,8.581083
2015-11-04,9.15,9.34,9.08,9.24,351700,8.693992
2015-11-03,8.96,9.31,8.95,9.15,384000,8.60931
2015-11-02,8.90,9.16,8.86,8.96,440600,8.430538
2015-10-30,8.80,9.32,8.80,8.88,1256600,8.355265
2015-10-29,9.85,9.90,9.33,9.39,525200,8.835129
2015-10-28,9.51,9.91,9.51,9.91,340100,9.324401
2015-10-27,9.81,9.84,9.41,9.48,440700,8.91981
2015-10-26,10.12,10.14,9.79,9.82,288100,9.239719
2015-10-23,10.15,10.15,10.03,10.13,159500,9.531401
2015-10-22,9.76,10.15,9.72,10.12,582100,9.521991
2015-10-21,9.96,10.09,9.82,9.90,507500,9.183264
2015-10-20,9.82,9.95,9.75,9.89,249100,9.173989
2015-10-19,9.81,9.95,9.75,9.79,193700,9.081228
2015-10-16,9.94,9.94,9.66,9.80,227900,9.090504
2015-10-15,9.77,9.89,9.55,9.89,223900,9.173989
2015-10-14,9.60,9.83,9.50,9.70,254600,8.997744
2015-10-13,9.74,9.83,9.61,9.63,205400,8.932812
2015-10-12,9.50,9.77,9.44,9.74,325100,9.034848
2015-10-09,10.16,10.16,9.51,9.54,589700,8.849328
2015-10-08,10.02,10.21,9.96,10.16,285900,9.424441
2015-10-07,9.90,10.00,9.82,10.00,303600,9.276025
2015-10-06,9.72,9.97,9.72,9.86,368700,9.14616
2015-10-05,9.29,9.75,9.29,9.72,385200,9.016296
2015-10-02,9.14,9.28,9.14,9.27,179900,8.598875
2015-10-01,9.28,9.29,9.10,9.22,186200,8.552495
2015-09-30,9.14,9.27,8.99,9.25,460300,8.580323
2015-09-29,9.32,9.40,9.05,9.10,318600,8.441183
2015-09-28,9.52,9.56,9.20,9.36,499600,8.682359
2015-09-25,9.80,9.86,9.56,9.56,227100,8.86788
2015-09-24,9.62,9.89,9.60,9.83,208100,9.118332
2015-09-23,9.63,9.88,9.60,9.66,229100,8.96064
2015-09-22,9.80,9.95,9.77,9.85,369100,9.00702
2015-09-21,10.10,10.10,9.76,9.84,385900,8.997876
2015-09-18,9.60,10.05,9.56,10.04,721100,9.180759
2015-09-17,9.37,9.76,9.28,9.66,463900,8.83328
2015-09-16,9.25,9.40,9.23,9.36,417000,8.558955
2015-09-15,9.10,9.23,9.08,9.23,223700,8.44008
2015-09-14,9.02,9.23,9.02,9.08,127200,8.302918
2015-09-11,8.96,9.07,8.93,9.07,160200,8.293774
2015-09-10,9.00,9.04,8.87,8.96,237000,8.193188
2015-09-09,9.10,9.10,8.97,8.99,249100,8.22062
2015-09-08,9.01,9.02,8.93,8.96,195300,8.193188
2015-09-04,8.96,8.98,8.84,8.92,211400,8.156611
2015-09-03,9.14,9.17,8.99,9.00,266300,8.229765
2015-09-02,9.16,9.24,9.06,9.15,342900,8.366927
2015-09-01,9.00,9.13,8.96,9.04,376500,8.266341
2015-08-31,9.01,9.09,8.90,9.09,230900,8.312062
2015-08-28,9.04,9.19,8.89,9.01,368700,8.238909
2015-08-27,8.80,9.23,8.79,9.05,574300,8.275486
2015-08-26,8.76,8.80,8.61,8.79,317600,8.037737
2015-08-25,8.75,8.77,8.60,8.63,437800,7.89143
2015-08-24,8.03,8.59,7.13,8.36,944400,7.644537
2015-08-21,9.01,9.16,8.80,8.85,619800,7.964583
2015-08-20,9.10,9.30,9.04,9.10,454100,8.189572
2015-08-19,9.40,9.49,8.90,9.14,670400,8.22557
2015-08-18,9.25,9.36,9.00,9.35,859100,8.41456
2015-08-17,9.38,9.39,9.05,9.27,597200,8.342564
2015-08-14,9.42,9.50,9.20,9.39,635600,8.450558
2015-08-13,9.04,9.43,9.04,9.29,749200,8.360562
2015-08-12,8.76,9.05,8.76,9.05,680000,8.144574
2015-08-11,8.49,8.82,8.43,8.80,458100,7.919586
2015-08-10,8.55,8.56,8.40,8.50,624200,7.6496
2015-08-07,8.41,8.49,8.38,8.41,614300,7.568604
2015-08-06,8.20,8.54,8.20,8.43,511500,7.586603
2015-08-05,8.27,8.30,8.20,8.24,298600,7.415612
2015-08-04,8.32,8.41,8.20,8.22,351000,7.397613
2015-08-03,8.61,8.73,8.20,8.30,694000,7.469609
2015-07-31,8.65,8.85,8.56,8.62,1158000,7.757594
2015-07-30,7.96,8.67,7.96,8.63,841400,7.766594
2015-07-29,8.42,8.44,8.10,8.26,467500,7.433611
2015-07-28,8.21,8.54,8.21,8.32,558500,7.487608
2015-07-27,7.75,8.26,7.75,8.22,743800,7.397613
2015-07-24,8.25,8.39,7.76,7.77,1013900,6.992634
2015-07-23,8.46,8.65,8.18,8.26,1075700,7.433611
2015-07-22,8.62,8.70,8.58,8.65,455800,7.658599
2015-07-21,8.86,8.90,8.55,8.62,612300,7.632037
2015-07-20,8.62,8.90,8.62,8.85,641000,7.835677
2015-07-17,8.66,8.72,8.57,8.62,576100,7.632037
2015-07-16,8.70,8.86,8.60,8.66,625200,7.667453
2015-07-15,8.79,9.08,8.69,8.73,883200,7.72943
2015-07-14,8.81,8.97,8.51,8.84,1041800,7.826823
2015-07-13,9.50,9.50,8.45,8.76,3259400,7.755992
2015-07-10,11.33,11.45,9.33,9.50,3210800,8.411178
2015-07-09,11.56,11.63,11.45,11.48,319800,10.164244
2015-07-08,11.53,11.60,11.43,11.49,411100,10.173099
2015-07-07,11.34,11.53,11.33,11.51,421800,10.190807
2015-07-06,11.15,11.38,11.11,11.33,328400,10.031437
2015-07-02,11.20,11.37,11.18,11.20,379900,9.916336
2015-07-01,11.23,11.26,11.12,11.15,389400,9.872067
2015-06-30,11.31,11.48,11.09,11.21,853000,9.92519
2015-06-29,11.70,11.84,11.01,11.30,1786000,10.004875
2015-06-26,12.65,12.75,12.04,12.18,2183500,10.784016
2015-06-25,12.80,12.81,12.55,12.68,601100,11.22671
2015-06-24,12.94,13.00,12.80,12.81,326600,11.34181
2015-06-23,12.76,13.04,12.75,12.93,397800,11.448057
2015-06-22,13.11,13.12,12.51,12.75,839700,11.288687
2015-06-19,13.14,13.15,13.09,13.10,650800,11.598572
2015-06-18,13.10,13.23,13.09,13.14,432100,11.633988
2015-06-17,13.45,13.46,13.24,13.28,700300,11.598572
2015-06-16,13.40,13.52,13.40,13.44,329000,11.738313
2015-06-15,13.40,13.41,13.35,13.39,389800,11.694645
2015-06-12,13.50,13.51,13.35,13.40,242900,11.703378
2015-06-11,13.58,13.60,13.43,13.50,304500,11.790717
2015-06-10,13.50,13.61,13.47,13.58,226100,11.860588
2015-06-09,13.22,13.55,13.22,13.45,252200,11.747047
2015-06-08,13.30,13.35,13.04,13.19,628200,11.519967
2015-06-05,13.45,13.45,13.35,13.35,335300,11.659709
2015-06-04,13.53,13.55,13.41,13.46,418700,11.755782
2015-06-03,13.64,13.64,13.48,13.53,472700,11.816918
2015-06-02,13.67,13.67,13.63,13.63,294200,11.904257
2015-06-01,13.65,13.69,13.62,13.67,413700,11.939193
2015-05-29,13.71,13.73,13.63,13.64,338400,11.912991
2015-05-28,13.70,13.72,13.68,13.71,303900,11.974128
2015-05-27,13.62,13.73,13.60,13.70,429000,11.965394
2015-05-26,13.74,13.80,13.55,13.59,685100,11.869322
2015-05-22,13.89,13.91,13.80,13.81,164300,12.061467
2015-05-21,13.83,14.00,13.82,13.89,565700,12.131338
2015-05-20,14.06,14.12,14.01,14.09,412700,12.148806
2015-05-19,14.14,14.16,14.05,14.06,327300,12.122939
2015-05-18,14.12,14.15,14.02,14.14,386900,12.191917
2015-05-15,14.10,14.13,14.04,14.12,303500,12.174672
2015-05-14,14.16,14.20,14.09,14.09,362400,12.148806
2015-05-13,14.25,14.25,14.14,14.16,293400,12.209162
2015-05-12,14.09,14.22,14.02,14.22,417000,12.260896
2015-05-11,13.91,14.07,13.87,14.07,255000,12.131561
2015-05-08,13.75,13.90,13.67,13.90,241300,11.984982
2015-05-07,13.60,13.71,13.51,13.66,338100,11.778047
2015-05-06,13.69,13.69,13.55,13.60,337900,11.726314
2015-05-05,13.76,13.78,13.64,13.70,215600,11.812536
2015-05-04,13.80,13.81,13.74,13.76,274400,11.86427
2015-05-01,13.85,13.90,13.77,13.79,320400,11.890137
2015-04-30,13.95,13.98,13.74,13.81,328600,11.907382
2015-04-29,13.91,14.00,13.80,13.98,228000,12.05396
2015-04-28,13.75,13.99,13.60,13.96,470000,12.036716
2015-04-27,13.99,14.01,13.90,13.92,198300,12.002227
2015-04-24,14.11,14.11,13.95,14.01,208100,12.079828
2015-04-23,13.99,14.09,13.93,14.08,309800,12.140183
2015-04-22,14.08,14.18,14.05,14.16,410500,12.053961
2015-04-21,14.15,14.15,14.00,14.03,263100,11.943296
2015-04-20,14.05,14.12,14.01,14.12,369000,12.01991
2015-04-17,14.01,14.02,13.95,14.01,234400,11.926271
2015-04-16,14.02,14.05,13.93,14.02,248700,11.934784
2015-04-15,14.00,14.03,13.92,13.96,249800,11.883707
2015-04-14,13.96,14.00,13.91,14.00,212200,11.917758
2015-04-13,13.95,13.97,13.90,13.96,223600,11.883707
2015-04-10,13.81,13.93,13.76,13.91,304300,11.841143
2015-04-09,13.85,13.85,13.70,13.81,230600,11.756017
2015-04-08,13.80,13.80,13.67,13.79,238400,11.738991
2015-04-07,13.60,13.75,13.54,13.72,307900,11.679403
2015-04-06,13.46,13.59,13.45,13.57,221700,11.551712
2015-04-02,13.43,13.46,13.37,13.46,112300,11.458073
2015-04-01,13.29,13.41,13.21,13.40,246400,11.406996
2015-03-31,13.22,13.30,13.21,13.24,373000,11.270794
2015-03-30,13.25,13.29,13.20,13.22,218300,11.253769
2015-03-27,13.27,13.29,13.17,13.19,265000,11.22823
2015-03-26,13.46,13.47,13.25,13.27,326700,11.296332
2015-03-25,13.50,13.61,13.44,13.46,308700,11.458073
2015-03-24,13.73,13.76,13.66,13.66,330700,11.475098
2015-03-23,13.69,13.77,13.68,13.73,469500,11.533901
2015-03-20,13.60,13.72,13.55,13.68,372900,11.4919
2015-03-19,13.66,13.68,13.58,13.60,277100,11.424695
2015-03-18,13.60,13.70,13.58,13.67,313700,11.483499
2015-03-17,13.64,13.65,13.56,13.63,177600,11.449897
2015-03-16,13.65,13.68,13.60,13.64,205000,11.458297
2015-03-13,13.76,13.77,13.64,13.65,199100,11.466697
2015-03-12,13.77,13.78,13.73,13.75,124300,11.550703
2015-03-11,13.86,13.90,13.75,13.78,165900,11.575904
2015-03-10,13.73,13.83,13.73,13.81,114200,11.601106
2015-03-09,13.77,13.81,13.75,13.80,157500,11.592706
2015-03-06,13.75,13.75,13.68,13.71,121100,11.517101
2015-03-05,13.75,13.85,13.70,13.75,211700,11.550703
2015-03-04,13.60,13.75,13.60,13.71,109800,11.517101
2015-03-03,13.82,13.82,13.51,13.63,180900,11.449897
2015-03-02,13.90,13.90,13.72,13.82,348400,11.609506
2015-02-27,13.90,13.90,13.82,13.90,160200,11.67671
2015-02-26,13.61,13.84,13.60,13.84,163200,11.626308
2015-02-25,13.25,13.74,13.25,13.66,310500,11.475098
2015-02-24,13.89,13.90,13.05,13.29,774400,11.164279
2015-02-23,14.05,14.10,13.90,13.93,223800,11.701912
2015-02-20,14.13,14.25,14.07,14.21,319300,11.785917
2015-02-19,14.15,14.25,14.10,14.21,289500,11.785917
2015-02-18,14.05,14.09,13.96,14.09,237600,11.686388
2015-02-17,14.00,14.14,13.99,14.00,275100,11.611741
2015-02-13,13.72,13.99,13.70,13.98,317500,11.595152
2015-02-12,13.67,13.72,13.63,13.68,124400,11.34633
2015-02-11,13.53,13.66,13.51,13.63,163100,11.304859
2015-02-10,13.60,13.65,13.42,13.52,131500,11.213625
2015-02-09,13.39,13.67,13.37,13.56,241900,11.246801
2015-02-06,13.27,13.43,13.25,13.41,165300,11.122389
2015-02-05,13.17,13.32,13.17,13.27,213000,11.006272
2015-02-04,13.23,13.23,13.15,13.17,137500,10.923331
2015-02-03,13.16,13.27,13.13,13.19,249300,10.939919
2015-02-02,13.01,13.17,13.01,13.08,159500,10.848684
2015-01-30,13.17,13.17,13.00,13.00,175300,10.782331
2015-01-29,13.15,13.18,13.00,13.17,134200,10.923331
2015-01-28,13.20,13.23,13.02,13.13,257500,10.890154
2015-01-27,13.05,13.20,13.05,13.18,137700,10.931625
2015-01-26,12.95,13.10,12.90,13.10,140700,10.865272
2015-01-23,13.02,13.13,12.95,12.96,192900,10.749155
2015-01-22,13.27,13.34,12.96,13.14,219100,10.898449
2015-01-21,13.32,13.43,13.29,13.32,318300,10.898448
2015-01-20,13.33,13.42,13.25,13.32,241400,10.898448
2015-01-16,13.03,13.25,13.03,13.23,155300,10.82481
2015-01-15,12.90,13.06,12.85,13.01,180400,10.644806
2015-01-14,12.95,12.99,12.75,12.84,421200,10.505712
2015-01-13,13.30,13.30,12.95,12.99,327900,10.628442
2015-01-12,13.28,13.30,13.10,13.21,161300,10.808446
2015-01-09,13.38,13.38,13.20,13.22,107300,10.816629
2015-01-08,13.09,13.42,13.09,13.36,145400,10.931176
2015-01-07,13.28,13.31,13.10,13.14,141600,10.751172
2015-01-06,13.25,13.43,13.09,13.14,181100,10.751172
2015-01-05,13.28,13.50,13.21,13.21,164600,10.808446
2015-01-02,13.08,13.34,13.06,13.34,187700,10.914813
2014-12-31,13.12,13.17,13.00,13.05,172500,10.677534
