Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,12.70,12.70,12.55,12.64,21900,12.64
2016-03-03,12.65,12.75,12.63,12.66,26100,12.66
2016-03-02,12.69,12.72,12.62,12.68,16800,12.68
2016-03-01,12.65,12.73,12.64,12.68,29600,12.68
2016-02-29,12.62,12.69,12.62,12.68,9800,12.68
2016-02-26,12.70,12.70,12.58,12.58,17800,12.58
2016-02-25,12.60,12.71,12.58,12.71,30900,12.71
2016-02-24,12.60,12.63,12.56,12.63,27600,12.63
2016-02-23,12.52,12.60,12.47,12.58,24200,12.58
2016-02-22,12.53,12.53,12.49,12.53,15600,12.53
2016-02-19,12.52,12.55,12.45,12.51,16500,12.51
2016-02-18,12.44,12.52,12.40,12.47,16200,12.47
2016-02-17,12.42,12.42,12.30,12.37,27200,12.37
2016-02-16,12.41,12.43,12.32,12.39,15100,12.39
2016-02-12,12.49,12.56,12.43,12.44,11100,12.44
2016-02-11,12.50,12.56,12.45,12.50,16300,12.50
2016-02-10,12.45,12.50,12.45,12.49,13900,12.49
2016-02-09,12.29,12.43,12.27,12.43,26900,12.43
2016-02-08,12.33,12.42,12.30,12.36,17700,12.302999
2016-02-05,12.46,12.46,12.31,12.34,21700,12.283092
2016-02-04,12.50,12.50,12.39,12.43,18700,12.372677
2016-02-03,12.50,12.50,12.43,12.48,23600,12.422446
2016-02-02,12.44,12.52,12.41,12.47,53700,12.412493
2016-02-01,12.25,12.42,12.20,12.42,43000,12.362723
2016-01-29,12.06,12.24,12.06,12.24,5500,12.183553
2016-01-28,12.08,12.11,12.01,12.11,23900,12.054152
2016-01-27,11.93,12.05,11.87,12.04,41300,11.984475
2016-01-26,11.78,11.88,11.78,11.86,30100,11.805305
2016-01-25,11.87,11.87,11.80,11.83,12500,11.775444
2016-01-22,11.89,11.92,11.79,11.84,20300,11.785398
2016-01-21,11.80,11.91,11.80,11.81,26500,11.755537
2016-01-20,11.81,11.94,11.67,11.75,25500,11.695813
2016-01-19,11.99,12.02,11.84,11.87,30900,11.815259
2016-01-15,11.84,11.96,11.84,11.96,27100,11.904844
2016-01-14,11.97,12.00,11.87,11.87,15400,11.815259
2016-01-13,12.06,12.09,11.91,11.92,13200,11.865029
2016-01-12,12.03,12.05,11.97,12.04,19800,11.984475
2016-01-11,12.10,12.10,12.03,12.04,9100,11.927739
2016-01-08,12.12,12.14,12.06,12.10,13600,11.98718
2016-01-07,12.13,12.13,12.03,12.07,12700,11.957459
2016-01-06,12.00,12.08,11.96,12.06,17800,11.947553
2016-01-05,11.98,12.00,11.98,11.99,9800,11.878205
2016-01-04,11.95,11.98,11.90,11.91,11800,11.798951
2015-12-31,11.85,11.95,11.85,11.90,17700,11.789044
2015-12-30,11.87,11.88,11.85,11.87,18900,11.759324
2015-12-29,11.84,11.87,11.74,11.81,28400,11.699884
2015-12-28,11.82,11.86,11.70,11.81,8400,11.699884
2015-12-24,11.78,11.87,11.78,11.83,8100,11.719697
2015-12-23,11.78,11.88,11.74,11.78,24000,11.670163
2015-12-22,11.88,11.88,11.80,11.82,12400,11.70979
2015-12-21,11.85,11.86,11.80,11.84,14600,11.729604
2015-12-18,11.56,11.82,11.55,11.82,32700,11.70979
2015-12-17,11.45,11.55,11.43,11.52,20500,11.412588
2015-12-16,11.48,11.54,11.40,11.46,52200,11.353147
2015-12-15,11.46,11.52,11.37,11.49,22100,11.382867
2015-12-14,11.52,11.53,11.49,11.53,10700,11.422494
2015-12-11,11.66,11.68,11.53,11.56,13900,11.452215
2015-12-10,11.58,11.65,11.50,11.64,16400,11.531469
2015-12-09,11.72,11.76,11.59,11.63,18300,11.521562
2015-12-08,11.65,11.77,11.65,11.77,7200,11.603788
2015-12-07,11.79,11.79,11.65,11.66,26700,11.495341
2015-12-04,11.71,11.77,11.67,11.75,19800,11.58407
2015-12-03,11.77,11.77,11.63,11.69,6900,11.524917
2015-12-02,11.73,11.84,11.73,11.79,17100,11.623505
2015-12-01,11.75,11.82,11.59,11.79,35200,11.623505
2015-11-30,11.72,11.72,11.65,11.67,17800,11.5052
2015-11-27,11.71,11.73,11.65,11.69,11000,11.524917
2015-11-25,11.74,11.75,11.62,11.63,17600,11.465765
2015-11-24,11.72,11.72,11.67,11.70,18000,11.534776
2015-11-23,11.69,11.73,11.68,11.69,51300,11.524917
2015-11-20,11.57,11.61,11.53,11.61,15000,11.446047
2015-11-19,11.50,11.56,11.44,11.53,27800,11.367176
2015-11-18,11.49,11.56,11.43,11.44,22700,11.278447
2015-11-17,11.42,11.55,11.41,11.42,21500,11.25873
2015-11-16,11.54,11.54,11.44,11.48,20200,11.317882
2015-11-13,11.40,11.52,11.37,11.48,20400,11.317882
2015-11-12,11.36,11.42,11.35,11.37,40100,11.209436
2015-11-11,11.36,11.43,11.28,11.32,24100,11.160142
2015-11-10,11.51,11.52,11.37,11.40,40000,11.239012
2015-11-09,11.49,11.53,11.45,11.53,13200,11.367176
2015-11-06,11.51,11.61,11.44,11.61,36100,11.389852
2015-11-05,11.59,11.61,11.57,11.58,14300,11.360421
2015-11-04,11.58,11.66,11.54,11.65,14900,11.429093
2015-11-03,11.62,11.67,11.62,11.63,10100,11.409473
2015-11-02,11.60,11.70,11.59,11.63,19400,11.409473
2015-10-30,11.56,11.70,11.56,11.61,17400,11.389852
2015-10-29,11.54,11.65,11.54,11.56,14000,11.340801
2015-10-28,11.61,11.64,11.58,11.58,15100,11.360421
