Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,24.50,24.73,24.48,24.73,1700,24.73
2016-03-03,24.139999,24.26,24.10,24.25,6400,24.25
2016-03-02,24.129999,24.129999,23.66,23.93,1700,23.93
2016-03-01,23.700001,24.120001,23.700001,24.120001,2500,24.120001
2016-02-29,23.66,23.99,23.549999,23.82,3900,23.82
2016-02-26,23.93,24.190001,23.690001,24.190001,4300,24.190001
2016-02-25,23.799999,24.200001,23.610001,24.200001,1800,24.200001
2016-02-24,24.440001,24.440001,23.51,24.379999,8600,24.379999
2016-02-23,24.559999,24.559999,24.15,24.15,3300,24.15
2016-02-22,24.639999,24.639999,24.209999,24.26,1600,24.26
2016-02-19,24.639999,24.639999,24.26,24.40,2200,24.40
2016-02-18,24.50,24.50,24.33,24.33,500,24.33
2016-02-17,24.25,24.389999,24.25,24.389999,1400,24.389999
2016-02-16,23.809999,24.190001,23.809999,24.17,1700,24.17
2016-02-12,24.09,24.09,23.879999,24.09,3100,24.09
2016-02-11,24.00,24.25,23.50,23.50,1900,23.50
2016-02-10,24.26,24.51,23.51,24.030001,5900,24.030001
2016-02-09,24.540001,24.99,24.26,24.99,2000,24.99
2016-02-08,24.68,25.00,24.26,24.58,3500,24.58
2016-02-05,24.83,25.00,24.610001,24.76,3000,24.76
2016-02-04,24.940001,24.950001,24.25,24.25,14200,24.25
2016-02-03,24.969999,25.00,24.780001,24.790001,7000,24.790001
2016-02-02,24.940001,25.00,24.940001,24.940001,1100,24.940001
2016-02-01,24.90,25.00,24.90,25.00,5200,25.00
2016-01-29,24.84,24.84,24.84,24.84,000,24.84
2016-01-28,25.00,25.00,24.84,24.84,600,24.84
2016-01-27,25.00,25.00,24.82,25.00,1300,25.00
2016-01-26,24.99,25.02,24.68,24.74,7800,24.74
2016-01-25,25.190001,25.190001,25.139999,25.15,700,25.15
2016-01-22,25.00,25.870001,25.00,25.41,3100,25.41
2016-01-21,25.00,25.00,24.65,24.65,2600,24.65
2016-01-20,24.65,25.200001,24.65,25.059999,5700,25.059999
2016-01-19,24.690001,24.690001,24.690001,24.690001,300,24.690001
2016-01-15,24.559999,25.00,24.559999,25.00,7700,25.00
2016-01-14,24.309999,24.77,24.309999,24.77,2900,24.77
2016-01-13,24.77,24.799999,24.66,24.77,1900,24.77
2016-01-12,25.00,25.129999,25.00,25.00,3100,25.00
2016-01-11,24.50,25.00,24.50,24.950001,11000,24.950001
2016-01-08,24.25,24.799999,24.25,24.42,1500,24.42
2016-01-07,24.290001,24.290001,24.290001,24.290001,200,24.290001
2016-01-06,24.700001,24.700001,24.129999,24.129999,2500,24.129999
2016-01-05,24.01,24.01,24.01,24.01,000,24.01
2016-01-04,24.01,24.01,24.01,24.01,200,24.01
2015-12-31,24.120001,24.200001,24.00,24.00,3800,24.00
2015-12-30,24.799999,24.93,24.00,24.01,3400,24.01
2015-12-29,24.57,24.57,24.57,24.57,000,24.57
2015-12-28,24.57,24.629999,24.57,24.57,1000,24.57
2015-12-24,24.549999,24.549999,24.549999,24.549999,000,24.549999
2015-12-23,24.549999,24.549999,24.549999,24.549999,400,24.549999
2015-12-22,24.440001,25.190001,24.440001,24.49,10500,24.49
2015-12-21,25.17,25.200001,25.17,25.200001,300,25.200001
2015-12-18,25.00,25.00,25.00,25.00,2700,25.00
2015-12-17,24.66,25.00,24.66,25.00,1600,25.00
2015-12-16,24.90,24.90,24.75,24.75,1900,24.75
2015-12-15,24.799999,24.809999,24.799999,24.799999,1700,24.799999
2015-12-14,24.75,24.799999,24.75,24.799999,1300,24.799999
2015-12-11,24.75,24.75,24.75,24.75,000,24.75
2015-12-10,24.75,25.040001,24.75,24.75,2200,24.75
2015-12-09,24.969999,25.00,24.799999,24.799999,700,24.799999
2015-12-08,24.50,24.65,24.50,24.65,800,24.65
2015-12-07,24.50,25.17,24.50,25.00,4100,25.00
2015-12-04,24.559999,24.559999,24.50,24.50,700,24.50
2015-12-03,24.50,24.700001,24.50,24.700001,400,24.700001
2015-12-02,24.51,24.51,24.40,24.41,1800,24.41
2015-12-01,25.16,25.16,25.16,25.16,000,25.16
2015-11-30,24.75,25.16,24.450001,25.16,2100,25.16
2015-11-27,24.27,25.16,24.27,24.60,1900,24.60
2015-11-25,24.25,24.540001,24.25,24.540001,2000,24.540001
2015-11-24,24.790001,24.790001,24.16,24.16,2200,24.16
2015-11-23,24.75,24.75,24.35,24.35,1400,24.35
2015-11-20,24.75,25.00,24.450001,24.780001,2200,24.780001
2015-11-19,24.85,25.00,24.059999,24.75,2900,24.75
2015-11-18,24.23,24.23,24.23,24.23,000,24.23
2015-11-17,24.01,24.60,24.00,24.23,5400,24.23
2015-11-16,24.35,24.73,24.35,24.60,1400,24.60
2015-11-13,24.469999,24.469999,24.190001,24.25,5400,24.25
2015-11-12,24.00,24.00,24.00,24.00,200,24.00
2015-11-11,24.15,24.49,24.08,24.16,3100,24.16
2015-11-10,24.129999,24.129999,24.129999,24.129999,300,24.129999
2015-11-09,24.15,24.57,24.110001,24.290001,7400,24.290001
2015-11-06,24.08,24.790001,24.08,24.60,1400,24.60
2015-11-05,24.50,24.60,24.50,24.60,700,24.60
2015-11-04,24.25,24.450001,24.25,24.26,2300,24.26
2015-11-03,24.25,24.799999,24.25,24.799999,700,24.799999
2015-11-02,24.77,24.790001,24.25,24.25,1300,24.25
2015-10-30,24.530001,24.799999,24.530001,24.75,1500,24.75
2015-10-29,24.99,24.99,24.50,24.799999,2300,24.799999
2015-10-28,24.48,25.01,24.09,24.75,4000,24.75
2015-10-27,24.35,24.60,24.129999,24.450001,5800,24.450001
2015-10-26,24.09,24.42,24.00,24.35,5000,24.35
2015-10-23,23.91,24.57,23.799999,24.08,3400,24.08
2015-10-22,24.450001,24.49,23.85,23.85,3300,23.85
