Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,18.50,18.99,18.50,18.92,2300,18.92
2016-03-03,18.200001,18.549999,18.200001,18.549999,400,18.549999
2016-03-02,17.889999,18.98,17.889999,18.110001,12700,18.110001
2016-03-01,17.90,18.10,17.90,18.10,1700,18.10
2016-02-29,17.98,18.23,17.976,17.99,11700,17.99
2016-02-26,17.35,17.66,17.35,17.66,1700,17.66
2016-02-25,16.959999,17.200001,16.93,17.200001,1600,17.200001
2016-02-24,17.40,17.40,17.40,17.40,000,17.40
2016-02-23,17.41,17.41,17.40,17.40,1600,17.40
2016-02-22,17.559999,17.743999,17.50,17.50,4200,17.50
2016-02-19,17.75,17.75,17.50,17.50,5300,17.50
2016-02-18,17.950001,17.950001,17.57,17.59,2200,17.59
2016-02-17,17.93,18.10,17.07,18.10,6500,18.10
2016-02-16,16.709,17.389999,16.709,17.33,4000,17.33
2016-02-12,16.200001,16.66,16.059999,16.66,3400,16.66
2016-02-11,16.121,16.593,15.38,16.10,9700,16.10
2016-02-10,16.50,16.853001,16.50,16.75,2600,16.75
2016-02-09,17.51,17.57,16.24,16.24,4000,16.24
2016-02-08,17.780001,18.136,17.753,17.799999,6300,17.799999
2016-02-05,18.129999,18.139999,18.049999,18.09,4000,18.09
2016-02-04,18.10,18.10,18.08,18.10,1000,18.10
2016-02-03,18.32,18.32,18.00,18.00,400,18.00
2016-02-02,18.25,18.25,18.00,18.18,1400,18.18
2016-02-01,18.549999,18.549999,18.549999,18.549999,000,18.549999
2016-01-29,18.00,18.785,17.747,18.549999,2200,18.549999
2016-01-28,18.00,18.17,17.51,17.85,1500,17.85
2016-01-27,17.00,18.02,17.00,17.99,6100,17.99
2016-01-26,16.40,17.25,16.261,17.25,4600,17.25
2016-01-25,16.74,16.74,16.219999,16.440001,5500,16.440001
2016-01-22,16.08,16.950001,16.08,16.75,6500,16.75
2016-01-21,14.74,15.77,14.74,15.77,6700,15.77
2016-01-20,14.80,14.91,13.75,14.77,24400,14.77
2016-01-19,15.08,15.656,15.00,15.20,5600,15.20
2016-01-15,15.48,15.838,14.76,15.35,8100,15.35
2016-01-14,16.09,16.09,15.01,15.93,53700,15.93
2016-01-13,16.08,16.17,16.02,16.030001,12200,16.030001
2016-01-12,17.10,17.129999,16.049999,16.309999,38800,16.309999
2016-01-11,17.618999,17.90,17.00,17.040001,9200,17.040001
2016-01-08,18.049999,18.049999,17.841999,17.969999,1400,17.969999
2016-01-07,18.99,19.10,18.059999,18.25,35900,18.25
2016-01-06,19.42,19.42,19.26,19.26,2600,19.26
2016-01-05,19.690001,19.690001,19.52,19.559999,4000,19.559999
2016-01-04,19.40,19.40,19.40,19.40,000,19.40
2015-12-31,18.35,19.450001,18.35,19.40,13400,19.40
2015-12-30,18.40,18.700001,18.40,18.60,19700,18.60
2015-12-29,18.950001,19.024,18.51,18.77,8800,18.293
2015-12-28,18.52,18.75,18.51,18.690001,2200,18.215033
2015-12-24,17.889999,18.549999,17.889999,18.540001,10700,18.068845
2015-12-23,17.41,18.219999,17.41,17.90,12800,17.445108
2015-12-22,16.76,17.26,16.50,17.059999,45500,16.626455
2015-12-21,18.10,18.382,16.559999,17.059999,46600,16.626455
2015-12-18,18.41,18.530001,18.120001,18.48,14600,18.010369
2015-12-17,18.700001,18.719999,18.40,18.60,3200,18.12732
2015-12-16,17.00,18.851999,17.00,18.549999,36500,18.07859
2015-12-15,16.719999,17.18,16.541,16.950001,38100,16.519252
2015-12-14,16.25,16.27,15.50,16.27,17500,15.856532
2015-12-11,17.35,17.60,16.59,16.59,35000,16.1684
2015-12-10,18.254,18.254,17.00,17.139999,27200,16.704422
2015-12-09,17.983,18.280001,17.799999,17.99,19100,17.532821
2015-12-08,19.450001,19.450001,17.917999,17.952,50600,17.495787
2015-12-07,20.549999,20.549999,20.450001,20.450001,700,19.930307
2015-12-04,20.360001,20.549999,20.35,20.549999,3500,20.027764
2015-12-03,20.450001,20.459999,20.35,20.35,8600,19.832848
2015-12-02,20.65,20.65,20.459999,20.469999,6200,19.949797
2015-12-01,20.639,20.639,20.50,20.50,500,19.979035
2015-11-30,20.40,20.60,20.40,20.60,5500,20.076494
2015-11-27,20.25,20.584,20.209999,20.584,2200,20.0609
2015-11-25,20.805,20.805,20.40,20.40,3900,19.881576
2015-11-24,20.639999,20.66,20.546,20.60,7600,20.076494
2015-11-23,21.00,21.049999,20.65,20.68,10000,20.154461
2015-11-20,21.00,21.00,20.74,20.74,5300,20.212936
2015-11-19,20.99,20.99,20.99,20.99,100,20.456583
2015-11-18,21.299999,21.34,20.870001,20.870001,4100,20.339633
2015-11-17,21.01,21.08,21.00,21.00,6600,20.466329
2015-11-16,21.096001,21.225,21.096001,21.17,5000,20.632009
2015-11-13,21.15,21.15,21.00,21.00,4700,20.466329
2015-11-12,21.51,21.620001,20.860001,21.09,6300,20.554042
2015-11-11,21.32,21.50,21.299999,21.50,1400,20.953622
2015-11-10,21.50,21.50,21.459999,21.50,700,20.953622
2015-11-09,21.49,21.59,21.440001,21.52,4200,20.973114
2015-11-06,21.469999,21.60,21.42,21.60,2100,21.051081
2015-11-05,21.52,21.57,21.52,21.57,500,21.021843
2015-11-04,21.587999,21.587999,21.469999,21.540001,4900,20.992607
2015-11-03,21.370001,21.59,21.299999,21.57,4800,21.021843
2015-11-02,21.50,21.60,21.50,21.50,3100,20.953622
2015-10-30,21.450001,21.49,21.440001,21.49,1500,20.943876
2015-10-29,21.514,21.514,21.50,21.50,3500,20.953622
2015-10-28,21.66,21.67,21.549999,21.60,500,21.051081
2015-10-27,21.73,21.73,21.530001,21.530001,300,20.982861
2015-10-26,21.50,21.83,21.50,21.75,2700,21.197269
2015-10-23,21.24,21.50,21.24,21.50,3000,20.953622
2015-10-22,21.50,21.50,21.299999,21.34,4400,20.797688
2015-10-21,21.33,21.33,21.299999,21.299999,1400,20.758704
2015-10-20,21.35,21.40,21.35,21.370001,1200,20.826927
2015-10-19,21.34,21.50,21.25,21.42,4000,20.875655
2015-10-16,21.10,21.299999,21.10,21.10,3000,20.563788
2015-10-15,21.469999,21.469999,21.25,21.440001,700,20.895148
2015-10-14,21.60,21.700001,21.309999,21.60,5400,21.051081
2015-10-13,21.780001,21.790001,21.479,21.50,3400,20.953622
2015-10-12,21.379999,21.65,21.379999,21.575001,3800,21.026717
2015-10-09,21.01,21.549999,21.00,21.32,9100,20.778196
2015-10-08,21.379999,21.40,21.25,21.25,3000,20.709976
2015-10-07,20.712,21.68,20.712,21.40,6400,20.856163
2015-10-06,21.02,21.049999,20.837999,20.99,4500,20.456583
2015-10-05,20.684,20.879999,20.684,20.799999,4400,20.271411
2015-10-02,20.860001,20.879999,20.66,20.66,11700,20.134969
2015-10-01,21.120001,21.120001,20.719999,20.889999,9300,20.359124
2015-09-30,21.530001,21.530001,21.25,21.440001,2600,20.895148
2015-09-29,21.497,21.882999,21.360001,21.49,3400,20.943876
2015-09-28,22.00,22.10,21.84,22.049999,3200,21.489644
2015-09-25,22.10,22.10,22.10,22.10,200,21.538375
2015-09-24,22.066,22.066,22.066,22.066,100,21.505239
2015-09-23,22.120001,22.120001,21.93,22.02,3800,21.460408
2015-09-22,22.200001,22.200001,22.120001,22.146999,1200,21.584179
2015-09-21,22.10,22.10,22.09,22.10,1800,21.538375
2015-09-18,22.08,22.10,22.066,22.066,500,21.505239
2015-09-17,22.011,22.16,22.01,22.129999,2000,21.567611
2015-09-16,22.17,22.17,22.15,22.15,500,21.587104
2015-09-15,22.313999,22.313999,21.639999,22.16,13500,21.59685
2015-09-14,22.25,22.25,22.059999,22.059999,2200,21.499391
2015-09-11,22.15,22.15,22.059999,22.059999,600,21.499391
2015-09-10,22.299999,22.299999,22.15,22.15,1400,21.587104
2015-09-09,22.110001,22.35,22.110001,22.299999,3500,21.733291
2015-09-08,22.35,22.35,22.25,22.280001,1400,21.713801
2015-09-04,22.450001,22.50,22.27,22.382999,6800,21.814182
2015-09-03,22.450001,22.50,22.450001,22.48,1600,21.908717
2015-09-02,22.51,22.51,22.48,22.48,1900,21.908717
2015-09-01,22.639999,22.639999,22.450001,22.497999,1400,21.926259
2015-08-31,22.25,22.73,22.25,22.73,5500,22.152364
2015-08-28,22.50,22.50,22.50,22.50,000,21.928209
2015-08-27,22.50,22.75,22.49,22.50,2300,21.928209
2015-08-26,22.50,22.50,22.049999,22.50,6600,21.928209
2015-08-25,22.48,22.499001,22.48,22.48,300,21.908717
2015-08-24,22.750999,22.750999,22.450001,22.50,3900,21.928209
2015-08-21,22.90,22.90,22.899,22.899,1000,22.31707
2015-08-20,22.799999,22.85,22.799999,22.85,4300,22.269315
2015-08-19,22.76,22.801001,22.75,22.801001,4300,22.221561
2015-08-18,22.85,22.93,22.629999,22.85,4600,22.269315
2015-08-17,22.49,22.49,22.49,22.49,000,21.918463
2015-08-14,22.40,22.49,22.40,22.49,2900,21.918463
2015-08-13,22.60,22.60,22.60,22.60,700,22.025668
2015-08-12,22.60,22.60,22.52,22.60,2700,22.025668
2015-08-11,22.50,22.50,22.450001,22.450001,1000,21.879481
2015-08-10,22.60,22.60,22.443001,22.443001,1500,21.872659
2015-08-07,22.597,22.60,22.49,22.49,1800,21.918463
2015-08-06,22.60,22.60,22.60,22.60,800,22.025668
2015-08-05,22.799999,22.799999,22.60,22.60,1400,22.025668
2015-08-04,22.50,22.799999,22.50,22.68,1200,22.103635
