Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,64.220001,64.660004,63.84,64.589996,200800,64.589996
2016-03-03,63.860001,64.360001,63.630001,64.18,174200,64.18
2016-03-02,63.82,64.150002,63.549999,64.050003,237100,64.050003
2016-03-01,63.02,64.160004,62.93,64.00,219700,64.00
2016-02-29,63.23,63.799999,62.610001,62.77,179400,62.77
2016-02-26,64.400002,64.400002,62.970001,63.32,176000,63.32
2016-02-25,63.610001,64.239998,63.529999,64.199997,130000,64.199997
2016-02-24,62.57,63.82,62.57,63.73,113800,63.540001
2016-02-23,63.18,63.669998,62.919998,63.02,153800,62.832119
2016-02-22,63.450001,63.689999,62.799999,63.240002,178900,63.051464
2016-02-19,62.00,63.490002,61.73,62.919998,184900,62.732414
2016-02-18,62.549999,62.900002,61.959999,62.369999,226400,62.184055
2016-02-17,62.00,62.889999,62.00,62.59,220300,62.4034
2016-02-16,62.25,62.34,61.240002,61.84,144400,61.655636
2016-02-12,60.869999,61.950001,60.619999,61.700001,176100,61.516054
2016-02-11,59.880001,60.709999,59.50,60.18,171000,60.000585
2016-02-10,61.049999,61.990002,60.73,60.889999,185700,60.708468
2016-02-09,59.82,61.439999,59.82,60.790001,289500,60.608767
2016-02-08,58.810001,60.689999,58.529999,60.240002,368700,60.060408
2016-02-05,59.360001,60.080002,58.720001,59.439999,213500,59.26279
2016-02-04,59.82,60.310001,59.07,59.57,152600,59.392403
2016-02-03,60.650002,60.650002,59.209999,59.939999,173600,59.761299
2016-02-02,60.639999,60.810001,59.990002,60.360001,172400,60.180049
2016-02-01,59.189999,61.540001,58.360001,61.27,386200,61.087336
2016-01-29,59.139999,60.200001,58.669998,59.299999,1453100,59.123208
2016-01-28,60.77,61.009998,58.84,59.139999,356500,58.963685
2016-01-27,63.799999,64.059998,60.119999,60.369999,414100,60.190018
2016-01-26,59.91,64.00,59.650002,63.799999,879900,63.609792
2016-01-25,59.77,61.650002,59.77,60.529999,516500,60.34954
2016-01-22,59.950001,60.41,59.650002,60.049999,406900,59.870972
2016-01-21,60.50,61.02,59.599998,59.669998,332400,59.492104
2016-01-20,60.709999,61.240002,59.380001,60.52,309200,60.339572
2016-01-19,61.209999,62.34,60.990002,61.59,356100,61.406382
2016-01-15,59.50,60.77,59.369999,60.77,271300,60.588827
2016-01-14,59.990002,61.860001,59.509998,61.150002,220300,60.967695
2016-01-13,61.610001,61.900002,59.73,59.889999,220000,59.711449
2016-01-12,61.849998,61.849998,60.75,61.610001,241400,61.426322
2016-01-11,61.400002,61.790001,60.939999,61.43,185900,61.246859
2016-01-08,61.689999,62.669998,61.080002,61.16,284000,60.977663
2016-01-07,62.700001,63.02,61.470001,61.700001,403400,61.516054
2016-01-06,61.23,62.740002,61.099998,62.610001,266400,62.423341
2016-01-05,60.200001,62.09,59.799999,61.939999,311200,61.755337
2016-01-04,60.84,61.16,58.849998,59.93,384500,59.751331
2015-12-31,62.349998,62.669998,61.560001,61.75,164700,61.565904
2015-12-30,62.630001,63.119999,62.439999,62.669998,192800,62.48316
2015-12-29,62.48,63.00,62.130001,62.540001,178200,62.35355
2015-12-28,61.470001,62.220001,61.139999,62.200001,130100,62.014564
2015-12-24,60.98,61.900002,60.919998,61.700001,62000,61.516054
2015-12-23,61.259998,61.52,60.369999,60.990002,263300,60.808172
2015-12-22,59.549999,61.09,58.619999,61.009998,298000,60.828109
2015-12-21,58.080002,58.98,57.779999,58.880001,174600,58.704462
2015-12-18,59.169998,59.380001,57.73,57.73,719900,57.557889
2015-12-17,59.34,60.09,59.169998,59.41,211200,59.232881
2015-12-16,59.790001,59.93,58.369999,59.240002,150600,59.063389
2015-12-15,59.130001,59.990002,58.950001,59.310001,145900,59.13318
2015-12-14,58.470001,59.52,58.470001,58.919998,159000,58.74434
2015-12-11,58.450001,59.48,58.18,58.389999,128600,58.215921
2015-12-10,59.560001,59.900002,59.220001,59.41,120200,59.232881
2015-12-09,60.130001,60.389999,59.509998,59.639999,184600,59.462194
2015-12-08,60.259998,60.84,60.009998,60.080002,70400,59.900885
2015-12-07,60.869999,61.470001,60.380001,60.630001,176700,60.449245
2015-12-04,59.689999,60.98,59.650002,60.860001,82700,60.678558
