Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,36.779999,37.049999,35.200001,35.41,192200,35.41
2016-03-03,36.32,37.029999,35.650002,36.439999,129500,36.439999
2016-03-02,34.790001,36.139999,33.639999,36.110001,290000,36.110001
2016-03-01,35.50,35.599998,34.25,34.779999,141200,34.779999
2016-02-29,33.880001,35.470001,33.240002,35.02,182700,35.02
2016-02-26,33.00,33.779999,33.00,33.459999,170000,33.459999
2016-02-25,31.809999,32.91,31.809999,32.650002,194600,32.650002
2016-02-24,31.18,31.60,30.10,31.50,227700,31.50
2016-02-23,31.559999,31.860001,31.059999,31.639999,355200,31.639999
2016-02-22,31.23,32.549999,30.809999,31.709999,223700,31.709999
2016-02-19,30.73,31.18,29.129999,30.49,403800,30.49
2016-02-18,29.18,31.440001,28.610001,31.32,342000,31.32
2016-02-17,28.41,30.280001,28.33,29.68,257200,29.68
2016-02-16,28.23,29.02,27.51,28.25,230500,28.25
2016-02-12,26.48,27.92,25.82,27.48,382500,27.48
2016-02-11,28.16,28.90,25.85,25.870001,266800,25.870001
2016-02-10,29.209999,30.370001,28.76,29.129999,137100,29.129999
2016-02-09,30.68,30.809999,28.959999,29.17,279000,29.17
2016-02-08,30.360001,33.25,30.00,31.35,405700,31.35
2016-02-05,33.080002,33.349998,31.40,32.150002,122800,32.150002
2016-02-04,32.970001,34.049999,32.50,33.52,270700,33.52
2016-02-03,33.220001,33.220001,31.66,32.700001,290500,32.700001
2016-02-02,33.169998,33.32,31.879999,32.650002,241800,32.650002
2016-02-01,33.810001,34.50,32.459999,34.029999,237800,34.029999
2016-01-29,35.580002,36.02,33.490002,34.509998,248700,34.509998
2016-01-28,35.009998,36.220001,34.16,35.310001,250500,35.310001
2016-01-27,35.75,36.959999,33.93,34.900002,230000,34.900002
2016-01-26,36.299999,37.650002,35.740002,36.830002,266100,36.190002
2016-01-25,36.919998,37.689999,35.209999,35.57,304900,34.951895
2016-01-22,36.77,38.00,36.220001,37.75,307100,37.094013
2016-01-21,31.67,35.27,31.08,34.950001,202200,34.34267
2016-01-20,32.98,33.380001,30.889999,31.469999,380200,30.923141
2016-01-19,35.139999,35.16,32.830002,33.959999,239100,33.369871
2016-01-15,34.68,35.299999,32.91,34.790001,173900,34.18545
2016-01-14,33.639999,36.290001,33.009998,35.939999,334900,35.315464
2016-01-13,36.790001,37.560001,33.490002,33.599998,353300,33.016127
2016-01-12,37.27,38.119999,35.639999,36.470001,453500,35.836257
2016-01-11,37.959999,38.400002,36.279999,36.529999,283900,35.895212
2016-01-08,38.93,39.459999,37.650002,38.48,132200,37.811327
2016-01-07,39.18,40.00,38.049999,38.380001,141600,37.713066
2016-01-06,40.889999,40.889999,38.939999,40.040001,170800,39.34422
2016-01-05,41.25,42.07,39.32,41.34,196200,40.621629
2016-01-04,41.330002,42.349998,40.459999,41.389999,227700,40.67076
2015-12-31,38.919998,41.459999,38.830002,41.209999,168300,40.493887
2015-12-30,38.759998,39.740002,38.400002,39.049999,329900,38.371422
2015-12-29,41.709999,41.91,38.380001,39.759998,265700,39.069083
2015-12-28,40.669998,41.77,39.509998,41.299999,104300,40.582323
2015-12-24,41.580002,42.529999,40.950001,41.060001,55000,40.346496
2015-12-23,39.299999,42.360001,39.200001,41.82,366400,41.093288
2015-12-22,36.900002,39.290001,36.549999,38.720001,358300,38.047158
2015-12-21,35.779999,37.860001,35.07,37.110001,209500,36.465135
2015-12-18,35.099998,36.389999,33.720001,35.91,313600,35.285987
2015-12-17,36.009998,36.75,34.009998,35.02,417400,34.411453
2015-12-16,33.880001,36.759998,33.400002,35.75,332800,35.128767
2015-12-15,34.77,35.68,33.959999,34.509998,273500,33.910313
2015-12-14,36.779999,37.029999,34.209999,34.720001,343100,34.116667
2015-12-11,38.080002,38.470001,37.049999,37.150002,212900,36.504441
2015-12-10,40.779999,41.150002,37.799999,39.349998,350800,38.666208
2015-12-09,36.860001,41.240002,36.860001,41.110001,592000,40.395626
2015-12-08,35.630001,37.919998,35.259998,36.59,530000,35.954171
2015-12-07,38.880001,39.470001,35.939999,36.810001,504500,36.170349
2015-12-04,39.50,40.599998,39.299999,39.560001,174500,38.872562
2015-12-03,41.66,41.93,39.560001,40.34,360200,39.639006
2015-12-02,41.110001,41.900002,39.849998,41.509998,470400,40.788673
2015-12-01,42.939999,43.93,40.84,41.43,191300,40.710065
2015-11-30,44.009998,44.380001,42.919998,43.049999,88500,42.301913
2015-11-27,44.34,44.529999,43.66,43.779999,35200,43.019228
2015-11-25,43.889999,44.950001,43.509998,44.93,214400,44.149245
2015-11-24,43.700001,45.50,43.43,44.00,338600,43.235406
2015-11-23,43.310001,44.50,43.200001,43.41,159700,42.655658
2015-11-20,43.970001,44.970001,43.240002,43.59,256400,42.832531
2015-11-19,43.91,44.66,43.360001,44.029999,120800,43.264883
2015-11-18,43.810001,45.080002,43.310001,44.040001,173200,43.274712
2015-11-17,44.25,44.610001,43.130001,43.779999,116500,43.019228
2015-11-16,42.130001,44.639999,42.130001,44.360001,126000,43.589151
2015-11-13,43.07,43.68,41.419998,42.279999,160200,41.545293
2015-11-12,44.119999,45.150002,42.41,43.00,281200,42.252783
2015-11-11,45.310001,45.310001,43.77,44.68,271300,43.90359
2015-11-10,44.490002,46.43,44.009998,45.16,138500,44.375248
2015-11-09,45.200001,46.689999,44.400002,45.049999,287200,44.267159
2015-11-06,44.279999,45.860001,44.009998,45.25,114900,44.463684
2015-11-05,45.150002,46.59,43.009998,44.610001,186900,43.834806
2015-11-04,46.799999,47.630001,44.950001,45.349998,220100,44.561945
2015-11-03,44.790001,47.200001,44.709999,46.869999,272900,46.055532
2015-11-02,43.09,44.939999,43.09,44.540001,83600,43.766023
2015-10-30,42.75,44.080002,42.029999,43.32,80900,42.567222
2015-10-29,40.900002,42.810001,40.900002,42.599998,87500,41.859732
2015-10-28,39.330002,41.59,39.150002,40.900002,80300,40.189277
2015-10-27,41.77,41.77,38.889999,39.599998,201300,38.32229
2015-10-26,43.169998,43.169998,41.490002,41.869999,113100,40.519048
2015-10-23,43.459999,44.119999,42.68,43.459999,83400,42.057746
2015-10-22,44.48,44.48,42.830002,43.279999,102800,41.883554
2015-10-21,45.009998,45.330002,44.040001,44.459999,143600,43.025481
2015-10-20,44.200001,45.349998,44.049999,45.220001,81200,43.760961
2015-10-19,44.779999,44.860001,43.830002,44.369999,102300,42.938385
2015-10-16,44.790001,45.290001,44.110001,45.23,111500,43.770637
2015-10-15,44.630001,45.150002,43.57,44.700001,158500,43.257739
2015-10-14,43.799999,44.849998,43.360001,44.689999,110800,43.24806
2015-10-13,44.700001,44.790001,43.919998,43.919998,72400,42.502903
2015-10-12,44.77,45.25,43.540001,44.810001,157100,43.36419
2015-10-09,44.720001,45.25,44.439999,44.959999,148700,43.509348
2015-10-08,45.00,45.259998,43.939999,44.560001,243400,43.122257
2015-10-07,45.349998,45.349998,44.59,45.099998,228100,43.644831
2015-10-06,44.50,45.34,43.869999,45.32,196300,43.857733
2015-10-05,42.830002,45.299999,42.25,44.50,287000,43.064191
2015-10-02,40.049999,43.290001,39.75,43.200001,228700,41.806137
2015-10-01,39.009998,41.68,38.689999,40.77,330900,39.454542
2015-09-30,35.549999,39.639999,35.310001,39.290001,293500,38.022295
2015-09-29,37.00,37.52,35.02,35.43,412000,34.286838
2015-09-28,39.490002,39.490002,36.84,37.50,205900,36.290049
2015-09-25,40.490002,41.43,39.279999,39.799999,224400,38.515838
2015-09-24,42.00,42.240002,39.66,40.32,206600,39.01906
2015-09-23,44.279999,44.299999,42.009998,42.029999,302200,40.673886
2015-09-22,42.619999,44.34,42.009998,44.189999,184000,42.764192
2015-09-21,42.459999,43.529999,41.77,43.00,126300,41.612589
2015-09-18,42.00,42.869999,41.360001,42.240002,326500,40.877113
2015-09-17,42.650002,43.48,42.060001,42.150002,87900,40.790016
2015-09-16,43.150002,43.57,42.439999,42.639999,134000,41.264204
2015-09-15,43.00,43.279999,42.450001,43.00,113500,41.612589
2015-09-14,43.060001,43.900002,42.400002,43.009998,195100,41.622265
2015-09-11,44.470001,44.75,42.369999,42.900002,208800,41.515817
2015-09-10,46.189999,46.669998,44.540001,44.799999,141000,43.354511
2015-09-09,47.619999,47.619999,46.00,46.279999,84700,44.786758
2015-09-08,48.060001,48.099998,46.959999,47.509998,69500,45.977071
2015-09-04,47.189999,47.900002,46.639999,47.869999,71700,46.325456
2015-09-03,47.349998,48.50,46.700001,47.68,149900,46.141588
2015-09-02,47.080002,47.68,45.93,47.34,138800,45.812558
2015-09-01,46.860001,46.860001,45.849998,46.580002,90200,45.077081
2015-08-31,46.720001,48.080002,45.599998,47.279999,125600,45.754492
2015-08-28,45.52,47.720001,44.869999,47.00,157600,45.483528
2015-08-27,44.650002,45.919998,44.48,45.57,249100,44.099667
2015-08-26,44.889999,45.00,43.200001,44.02,290700,42.599679
2015-08-25,45.48,46.00,43.619999,44.169998,236700,42.744837
2015-08-24,45.16,46.139999,42.029999,44.040001,426200,42.619034
2015-08-21,47.029999,47.59,46.299999,46.700001,299700,45.193208
2015-08-20,47.599998,47.950001,47.00,47.439999,107900,45.90933
2015-08-19,47.779999,48.02,47.040001,47.41,226000,45.880299
2015-08-18,47.720001,48.700001,47.50,47.790001,129900,46.248039
2015-08-17,47.709999,49.09,47.470001,47.77,182600,46.228684
2015-08-14,47.470001,48.200001,46.25,47.82,177400,46.27707
2015-08-13,46.799999,47.73,46.369999,46.860001,330300,45.348046
2015-08-12,46.139999,47.889999,45.41,46.93,216700,45.415787
2015-08-11,45.529999,46.41,45.00,46.200001,239200,44.709341
2015-08-10,43.299999,46.049999,43.299999,45.66,232700,44.186763
2015-08-07,43.16,44.369999,42.549999,43.200001,174500,41.806137
2015-08-06,43.849998,44.02,42.25,43.360001,171700,41.960974
2015-08-05,45.490002,46.459999,43.540001,43.860001,214500,42.444842
2015-08-04,46.060001,46.59,44.700001,44.869999,148300,43.422252
2015-08-03,46.169998,46.57,44.459999,45.709999,185400,44.235149
2015-07-31,47.48,47.619999,45.310001,46.25,125700,44.757727
2015-07-30,46.75,46.93,45.299999,46.639999,164300,45.135143
2015-07-29,44.580002,46.75,44.48,46.75,417000,45.241594
2015-07-28,45.450001,46.119999,44.279999,45.419998,291600,43.393218
2015-07-27,43.950001,45.330002,42.740002,45.27,180500,43.249914
2015-07-24,43.459999,44.630001,43.459999,43.950001,172400,41.988816
2015-07-23,43.299999,44.360001,43.299999,43.459999,211100,41.52068
2015-07-22,44.919998,44.919998,43.00,43.349998,463500,41.415588
2015-07-21,44.860001,46.459999,44.860001,45.09,97600,43.077946
2015-07-20,44.700001,45.849998,44.279999,45.009998,258500,43.001514
2015-07-17,46.169998,46.48,44.279999,44.700001,248500,42.705349
2015-07-16,45.459999,47.549999,45.400002,46.02,130800,43.966446
2015-07-15,47.060001,47.75,45.07,45.189999,137200,43.173482
2015-07-14,47.369999,47.669998,46.810001,47.00,77700,44.902715
2015-07-13,46.27,47.48,46.27,47.139999,135600,45.036468
2015-07-10,45.459999,47.43,45.360001,46.52,80100,44.444135
2015-07-09,46.00,46.00,45.290001,45.290001,161100,43.269022
2015-07-08,46.919998,47.419998,45.060001,45.59,222000,43.555634
2015-07-07,46.810001,47.43,46.169998,47.16,245500,45.055576
2015-07-06,47.41,47.709999,46.43,47.02,143200,44.921823
2015-07-02,48.02,48.459999,47.369999,47.68,112700,45.552372
2015-07-01,48.099998,48.689999,47.720001,48.630001,83600,46.459981
2015-06-30,49.700001,50.27,48.009998,48.080002,92300,45.934524
2015-06-29,48.939999,49.389999,48.41,48.860001,123500,46.679717
2015-06-26,50.09,50.580002,49.369999,49.740002,105000,47.52045
2015-06-25,50.360001,50.869999,49.700001,50.00,59800,47.768846
2015-06-24,51.080002,51.689999,50.32,50.700001,153600,48.437611
2015-06-23,50.330002,51.790001,50.110001,51.34,299300,49.049051
2015-06-22,50.75,50.900002,49.759998,50.50,214000,48.246535
2015-06-19,50.810001,51.00,50.00,50.549999,503800,48.294303
2015-06-18,51.27,51.939999,50.700001,50.810001,181600,48.542703
2015-06-17,51.50,52.130001,50.509998,51.150002,342000,48.867531
2015-06-16,50.790001,51.50,50.709999,51.48,318400,49.182804
2015-06-15,50.00,50.900002,49.790001,50.790001,292200,48.523595
2015-06-12,48.59,49.970001,48.57,49.849998,274300,47.625538
2015-06-11,48.509998,49.00,48.09,48.209999,86200,46.058721
2015-06-10,48.77,49.66,48.310001,48.73,174600,46.555517
2015-06-09,48.169998,48.869999,48.150002,48.41,119700,46.249797
2015-06-08,48.00,48.57,47.93,48.139999,110700,45.991844
2015-06-05,47.779999,48.580002,47.68,48.09,177500,45.944076
2015-06-04,49.689999,49.740002,47.25,47.759998,176000,45.6288
2015-06-03,50.060001,50.080002,49.560001,49.68,99200,47.463126
2015-06-02,50.25,50.400002,50.009998,50.060001,201400,47.82617
2015-06-01,49.490002,50.220001,49.380001,50.00,222800,47.768846
2015-05-29,48.119999,49.50,47.98,49.490002,125600,47.281606
2015-05-28,48.580002,48.580002,48.00,48.299999,88900,46.144705
2015-05-27,49.25,49.50,48.810001,48.82,131400,46.641501
2015-05-26,50.00,50.00,47.799999,49.119999,211700,46.928113
2015-05-22,50.360001,50.619999,50.099998,50.169998,62100,47.931258
2015-05-21,50.68,50.700001,50.189999,50.32,95100,48.074566
2015-05-20,50.549999,50.599998,50.259998,50.560001,260100,48.303859
2015-05-19,49.310001,50.630001,49.310001,50.470001,527000,48.217874
2015-05-18,48.549999,49.68,48.549999,49.369999,210900,47.166958
2015-05-15,48.900002,48.990002,48.330002,48.849998,78900,46.670161
2015-05-14,48.360001,49.049999,48.360001,48.91,113600,46.727485
2015-05-13,47.709999,48.75,47.50,48.560001,207400,46.393105
2015-05-12,47.75,48.540001,47.43,47.459999,111900,45.342188
2015-05-11,48.970001,49.119999,47.75,48.52,119400,46.354889
2015-05-08,49.299999,49.299999,48.459999,48.77,83700,46.593733
2015-05-07,49.529999,49.77,48.650002,48.849998,276700,46.670161
2015-05-06,50.200001,50.25,49.599998,49.860001,168700,47.635094
2015-05-05,49.779999,50.200001,49.439999,50.099998,150500,47.864382
2015-05-04,49.950001,50.23,49.459999,49.73,131600,47.510894
2015-05-01,49.48,49.880001,49.130001,49.869999,229500,47.644646
2015-04-30,48.869999,49.200001,48.32,49.200001,320100,47.004545
2015-04-29,48.139999,49.450001,47.93,49.00,147600,46.813469
2015-04-28,47.720001,48.459999,47.209999,48.299999,158900,46.144705
2015-04-27,49.549999,49.779999,47.990002,48.02,170000,45.8772
2015-04-24,49.560001,49.689999,49.09,49.32,78200,47.11919
2015-04-23,49.639999,50.07,49.32,49.59,115300,47.377142
2015-04-22,49.380001,49.790001,49.099998,49.610001,72100,47.39625
2015-04-21,50.009998,50.099998,49.57,49.860001,100800,47.138298
2015-04-20,49.93,50.049999,49.810001,50.00,132000,47.270656
2015-04-17,49.41,50.34,49.349998,49.900002,107400,47.176116
2015-04-16,50.150002,50.220001,49.560001,49.830002,132000,47.109937
2015-04-15,50.119999,50.470001,50.009998,50.189999,116700,47.450283
2015-04-14,49.860001,50.25,49.860001,50.02,123700,47.289564
2015-04-13,49.599998,50.150002,49.279999,49.84,126200,47.11939
2015-04-10,49.16,49.970001,49.02,49.619999,133900,46.911398
2015-04-09,48.360001,49.450001,48.360001,49.080002,126900,46.400877
2015-04-08,49.310001,49.82,48.25,48.68,164700,46.022711
2015-04-07,49.630001,50.349998,49.060001,49.259998,187500,46.571048
2015-04-06,49.919998,50.400002,49.630001,49.75,166000,47.034302
2015-04-02,49.150002,50.299999,49.150002,49.84,122200,47.11939
2015-04-01,50.419998,50.75,49.25,50.41,249700,47.658275
2015-03-31,49.669998,50.75,49.400002,50.57,368400,47.809541
2015-03-30,49.34,50.130001,49.00,50.099998,163800,47.365196
2015-03-27,49.900002,49.990002,49.00,49.119999,168000,46.438691
2015-03-26,49.50,50.060001,48.880001,50.00,368000,47.270656
2015-03-25,49.25,49.919998,48.73,49.599998,308400,46.892489
2015-03-24,50.00,50.119999,49.009998,49.380001,242700,46.684501
2015-03-23,49.509998,49.939999,49.310001,49.939999,176300,47.21393
2015-03-20,49.16,49.650002,48.860001,49.630001,446500,46.920854
2015-03-19,48.200001,49.459999,47.599998,49.040001,242800,46.36306
2015-03-18,47.009998,48.799999,46.84,48.439999,179100,45.79581
2015-03-17,46.34,47.16,46.25,47.049999,237800,44.481686
2015-03-16,47.099998,47.099998,46.25,46.330002,192800,43.800991
2015-03-13,46.619999,47.380001,46.529999,46.939999,228000,44.37769
2015-03-12,46.939999,47.650002,46.450001,46.889999,434700,44.33042
2015-03-11,47.540001,48.049999,46.459999,46.91,422900,44.349329
2015-03-10,47.700001,48.259998,47.32,47.720001,225100,45.115115
