Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,119.489998,122.220001,119.370003,121.669998,3288900,121.669998
2016-02-29,121.099998,121.82,118.970001,119.099998,4374900,119.099998
2016-02-26,121.480003,122.260002,120.889999,121.330002,2877500,121.330002
2016-02-25,120.199997,121.230003,119.82,121.199997,2278000,121.199997
2016-02-24,119.93,120.32,117.830002,120.199997,2554000,120.199997
2016-02-23,120.639999,121.800003,120.269997,121.150002,2784200,121.150002
2016-02-22,119.099998,122.139999,118.959999,121.269997,5029200,121.269997
2016-02-19,117.50,118.550003,116.019997,117.68,4442000,117.68
2016-02-18,118.50,120.00,117.059998,117.449997,3805100,117.449997
2016-02-17,115.50,118.389999,115.199997,118.300003,4456000,118.300003
2016-02-16,112.629997,115.269997,112.529999,115.150002,3356900,115.150002
2016-02-12,111.199997,111.910004,110.209999,111.82,2543500,111.82
2016-02-11,111.32,111.690002,110.089996,110.620003,3908500,110.620003
2016-02-10,111.330002,114.480003,111.330002,112.739998,3023200,112.739998
2016-02-09,109.370003,112.279999,109.139999,111.160004,3450900,111.160004
2016-02-08,110.50,111.120003,108.830002,110.019997,4993200,110.019997
2016-02-05,114.07,114.209999,110.900002,111.720001,3309300,111.720001
2016-02-04,112.669998,114.550003,112.040001,114.199997,3544800,114.199997
2016-02-03,114.370003,114.370003,110.300003,112.75,3461200,112.75
2016-02-02,114.949997,115.389999,113.269997,113.879997,2967400,113.879997
2016-02-01,114.830002,116.150002,114.110001,115.889999,4332500,115.889999
2016-01-29,111.93,115.160004,110.620003,115.160004,5235500,115.160004
2016-01-28,112.290001,113.25,110.610001,111.379997,3524300,111.379997
2016-01-27,114.43,114.809998,111.839996,112.330002,4446100,112.330002
2016-01-26,112.910004,114.18,111.760002,113.959999,4592500,113.959999
2016-01-25,114.519997,115.309998,112.849998,113.379997,2892600,113.379997
2016-01-22,114.669998,115.150002,113.889999,114.330002,3616900,114.330002
2016-01-21,114.669998,115.480003,112.260002,113.50,5395300,113.50
2016-01-20,112.580002,115.739998,110.150002,114.790001,8335200,114.790001
2016-01-19,111.489998,114.160004,109.599998,112.580002,7120900,112.580002
2016-01-15,109.080002,110.650002,107.790001,109.269997,5940500,109.269997
2016-01-14,108.739998,111.800003,107.510002,110.760002,4208800,110.760002
2016-01-13,112.410004,113.040001,108.93,109.230003,3376900,109.230003
2016-01-12,110.360001,113.129997,110.050003,112.260002,3998600,112.260002
2016-01-11,110.510002,110.620003,108.190002,109.580002,4499300,109.580002
2016-01-08,112.349998,113.00,109.760002,110.160004,4373700,110.160004
2016-01-07,113.629997,114.089996,111.419998,112.089996,5258900,112.089996
2016-01-06,115.779999,116.650002,114.50,115.489998,2650700,115.489998
